/tmp/tmp.6z2UesbNlh ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k91.mat
  Evaluating with: datasets/N1dataset100k91.mat
Gen 0 Train time: 8.197053372859955 minutes:
 Average MSE:        2.280623470997225
 Average Error:      3.058073801938309
 Structure           |Error               |MSE                 |weights&biases
 [1, 0, 0, 0, 0]     |6.527847678763193   |6.495289902638362   |5         
 [10, 1, 20, 12, 1]  |12.1764168390031    |8.597754246337995   |348       
 [18, 0, 0, 0, 0]    |0.7533916870167389  |0.7003535375852927  |73        
 [13, 18, 3, 5, 5]   |1.625034477473797   |1.0849447157447063  |404       
 [10, 15, 0, 0, 0]   |0.7584126002340817  |0.614142855665556   |211       
 [6, 15, 0, 0, 0]    |1.112153888124558   |0.967827485404813   |139       
 [17, 0, 0, 0, 0]    |0.6782425721963042  |0.6330218881956768  |69        
 [13, 0, 0, 0, 0]    |0.6644413138717549  |0.6301428615434495  |53        
 [8, 17, 6, 18, 0]   |1.5672377463536193  |1.0195024075967036  |430       
 [5, 1, 19, 0, 0]    |1.8606284056306561  |1.7192949313593338  |79        
 [8, 13, 2, 14, 0]   |1.481455641040835   |1.1817839816729996  |226       
 [4, 6, 0, 0, 0]     |1.4169563867561608  |1.3491991330749928  |49        
 [10, 0, 0, 0, 0]    |0.7584188785725632  |0.7279525323562888  |41        
 [11, 20, 13, 0, 0]  |1.4271054308364648  |0.8151755571616567  |560       
 [18, 7, 2, 18, 12]  |1.1787358523799145  |0.7163707438718624  |498       
 [2, 1, 2, 2, 0]     |4.975073573858162   |4.866817142288072   |22        
 [9, 2, 0, 0, 0]     |0.9012104498916763  |0.8572578976044888  |50        
 [3, 6, 8, 7, 0]     |2.282981804817298   |1.9454287652979319  |160       
 [12, 0, 0, 0, 0]    |0.6265279197520816  |0.5965680624171913  |49        
 [20, 19, 17, 0, 0]  |1.348089024668829   |0.595524977303638   |817       
 [1, 9, 8, 14, 18]   |11.975965253961412  |7.148494290639796   |516       
 [2, 17, 14, 0, 0]   |4.747530330477755   |3.4336524622236895  |324       
 [1, 0, 0, 0, 0]     |5.532356015005414   |5.504763274267086   |5         
 [19, 16, 0, 0, 0]   |0.7466814148877772  |0.5035276408489265  |394       
 [19, 13, 17, 10, 3] |9.32894986288357    |4.310795481830106   |772       
Gen 1 Train time: 8.14814252058665 minutes:
 Average MSE:        1.1516198304705432
 Average Error:      1.6486010597629726
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.6409601640349148  |0.6103101730825042  |49        
 [13, 0, 0, 0, 0]    |0.7010192202103115  |0.6648326168133861  |53        
 [17, 0, 0, 0, 0]    |0.6973270771543064  |0.6508339658490649  |69        
 [8, 8, 15, 0, 0]    |1.1039934763646784  |0.8623742297816201  |247       
 [12, 11, 11, 20, 2] |15.552786527931787  |8.569760796634988   |596       
 [12, 8, 0, 0, 0]    |0.5835461272159794  |0.5027653203281863  |149       
 [16, 0, 0, 0, 0]    |0.7417565432830759  |0.6950759224578631  |65        
 [15, 8, 0, 0, 0]    |0.6540510516659526  |0.5452178333690594  |182       
 [9, 7, 4, 3, 16]    |1.346060491233686   |1.0748511336813125  |225       
 [10, 8, 0, 0, 0]    |0.8075290823525959  |0.7112180544294138  |127       
 [16, 8, 19, 0, 0]   |0.8821291887070632  |0.606277933906943   |375       
 [10, 18, 11, 0, 0]  |1.0798872015813363  |0.689255391182651   |449       
 [14, 11, 1, 9, 6]   |1.7935570060024628  |1.3233955264775055  |304       
 [5, 0, 0, 0, 0]     |1.731544129556203   |1.6955608496503516  |21        
 [15, 14, 9, 17, 12] |1.9949964029163985  |0.8937244679512706  |803       
 [10, 0, 0, 0, 0]    |0.8277244983927049  |0.7944740851287483  |41        
 [15, 0, 0, 0, 0]    |0.623136657245044   |0.5862614486924752  |61        
 [19, 10, 9, 0, 0]   |0.7803714969432323  |0.5411898191143819  |366       
 [19, 16, 0, 0, 0]   |0.6755354849814389  |0.455550094431589   |394       
 [15, 15, 0, 0, 0]   |0.7077293404296671  |0.5237747539726845  |301       
 [12, 7, 9, 0, 0]    |0.8424106823938678  |0.6835280141494995  |209       
 [15, 1, 9, 0, 0]    |1.162608937265457   |1.063607640055401   |89        
 [5, 15, 5, 8, 8]    |2.434479149277913   |1.7784333422048846  |314       
 [10, 1, 0, 0, 0]    |1.2592268632655539  |1.2062277550004534  |43        
 [15, 15, 3, 4, 9]   |1.5906596936686865  |1.0619945934173338  |404       
Gen 2 Train time: 7.952793570359548 minutes:
 Average MSE:        0.6817308775037833
 Average Error:      0.8550974771036473
 Structure           |Error               |MSE                 |weights&biases
 [12, 8, 0, 0, 0]    |0.6548210124568237  |0.5641735601196654  |149       
 [15, 0, 0, 0, 0]    |0.5947850087893084  |0.5595875589393596  |61        
 [12, 0, 0, 0, 0]    |0.6684106534137255  |0.636448011069997   |49        
 [12, 9, 5, 0, 0]    |0.8287222653442841  |0.6724212977719671  |209       
 [17, 0, 0, 0, 0]    |0.658565791856591   |0.6146570241265843  |69        
 [17, 16, 7, 0, 0]   |0.8085671746453966  |0.5073817917315647  |466       
 [11, 8, 2, 2, 8]    |1.541676196872596   |1.280013038275484   |186       
 [14, 12, 0, 0, 0]   |0.6226168185085665  |0.49222270720145767 |235       
 [13, 4, 10, 0, 0]   |0.9302846775199164  |0.7959136055135037  |156       
 [12, 13, 0, 0, 0]   |0.8831944671537757  |0.7094892968177477  |219       
 [15, 4, 0, 0, 0]    |0.7265487347572648  |0.6482688889234671  |114       
 [14, 4, 0, 0, 0]    |0.8116039906602038  |0.7292470219095772  |107       
 [14, 8, 0, 0, 0]    |0.7877670564371715  |0.6639470700354833  |171       
 [15, 16, 0, 0, 0]   |0.8313093421151196  |0.604862995358064   |318       
 [10, 10, 0, 0, 0]   |0.8982520752337969  |0.7723599797056357  |151       
 [5, 0, 0, 0, 0]     |1.3898334452602332  |1.3609512671917303  |21        
 [15, 8, 5, 0, 0]    |0.6826743842098864  |0.5456719671452489  |224       
 [13, 12, 0, 0, 0]   |0.7575527088651205  |0.607950289311656   |220       
 [13, 10, 0, 0, 0]   |0.7262226881775534  |0.60055648526533    |190       
 [12, 4, 0, 0, 0]    |0.6547093593479405  |0.5965669128208936  |93        
 [16, 4, 0, 0, 0]    |0.5745815564419622  |0.5090987715633091  |121       
