/tmp/tmp.iQ3mII5Omp ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k93.mat
  Evaluating with: datasets/N1dataset100k93.mat
Gen 0 Train time: 8.258003373940786 minutes:
 Average MSE:        1.8917892285064795
 Average Error:      2.8121311473004402
 Structure           |Error               |MSE                 |weights&biases
 [18, 1, 19, 0, 0]   |1.2542118339062276  |1.10021691355413    |131       
 [2, 14, 17, 17, 0]  |6.098950808796767   |3.2580105808545503  |627       
 [8, 0, 0, 0, 0]     |1.0030297188156574  |0.9704699293678928  |33        
 [8, 8, 5, 8, 12]    |2.040548156630636   |1.496633834509824   |310       
 [3, 0, 0, 0, 0]     |2.9844643712509544  |2.9459174323951145  |13        
 [18, 9, 1, 0, 0]    |1.9040145929021095  |1.5022509260581602  |237       
 [10, 9, 15, 0, 0]   |0.9420784203987959  |0.7014071418568918  |295       
 [1, 0, 0, 0, 0]     |6.424207620141996   |6.39216675096601    |5         
 [3, 19, 19, 17, 0]  |7.76879207470991    |3.4113724630496507  |823       
 [4, 4, 5, 3, 10]    |2.240290507076376   |1.9750733721464804  |126       
 [18, 5, 12, 0, 0]   |0.7495396517238853  |0.5931570598739573  |234       
 [20, 15, 0, 0, 0]   |0.9833096457038076  |0.6650911315960796  |391       
 [6, 8, 0, 0, 0]     |1.32623066585452    |1.2205979147977173  |83        
 [6, 0, 0, 0, 0]     |1.4190799528308258  |1.3840427439566032  |25        
 [5, 11, 6, 0, 0]    |1.0507761682122279  |0.8954123853357648  |160       
 [18, 8, 19, 13, 7]  |2.1983792648032865  |1.0457354220456718  |743       
 [18, 10, 6, 0, 0]   |0.8707205244565176  |0.6341725370808625  |317       
 [9, 4, 4, 0, 0]     |1.1340956879094237  |1.0344145170190673  |92        
 [16, 17, 19, 7, 1]  |16.81423864549838   |7.33917226531162    |829       
 [12, 2, 3, 0, 0]    |1.2302281061083946  |1.141336112140375   |75        
 [10, 17, 12, 6, 0]  |1.65145327088621    |0.9837885143171073  |518       
 [15, 0, 0, 0, 0]    |0.8262726243913039  |0.7773764874180525  |61        
 [5, 9, 11, 0, 0]    |2.1306819841257147  |1.7602258220728977  |191       
 [2, 12, 13, 0, 0]   |4.295652866094452   |3.4301484837366223  |225       
 [18, 16, 3, 0, 0]   |0.9620315192826383  |0.6365399712008937  |413       
Gen 1 Train time: 8.526948996384938 minutes:
 Average MSE:        0.9994739327785073
 Average Error:      1.3218214480982167
 Structure           |Error               |MSE                 |weights&biases
 [18, 5, 12, 0, 0]   |0.9295572979785586  |0.7356161513073044  |234       
 [15, 0, 0, 0, 0]    |0.7277793476422788  |0.6847117236908796  |61        
 [18, 10, 6, 0, 0]   |0.8910784985052558  |0.6489998756926094  |317       
 [18, 8, 9, 0, 0]    |0.7136550378644463  |0.5302771027771103  |297       
 [12, 1, 10, 14, 0]  |1.724386685192766   |1.3591662257552046  |238       
 [8, 6, 2, 0, 0]     |1.053525455472995   |0.9580475349804576  |95        
 [5, 6, 16, 18, 11]  |2.377403704984406   |1.1924488049291546  |690       
 [8, 6, 13, 5, 7]    |1.620027020367072   |1.2134200113370557  |289       
 [8, 1, 2, 0, 0]     |1.176777217555151   |1.130635122862045   |40        
