/tmp/tmp.U1P5YlKejX ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k94.mat
  Evaluating with: datasets/N1dataset100k94.mat
Gen 0 Train time: 8.461106844743092 minutes:
 Average MSE:        2.0521813654276633
 Average Error:      2.8013059755375394
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7421508316178387  |0.6982327498051549  |61        
 [20, 11, 6, 8, 0]   |0.9737374685507271  |0.6346931970185852  |428       
 [10, 13, 17, 4, 16] |1.954839930129402   |1.0945116837762767  |580       
 [7, 10, 5, 0, 0]    |1.4329431592650073  |1.2186339064030196  |162       
 [1, 19, 16, 0, 0]   |7.362192988990295   |5.04479918784458    |378       
 [19, 1, 11, 5, 4]   |2.344624413310726   |1.942790271806063   |188       
 [2, 5, 14, 8, 18]   |8.279288258011661   |5.516573945354645   |406       
 [13, 12, 6, 7, 1]   |11.252495742839763  |7.977219744853076   |344       
 [20, 2, 0, 0, 0]    |0.8566419264881447  |0.7712557334928178  |105       
 [17, 6, 20, 4, 0]   |1.1828396054037897  |0.8024529884075733  |388       
 [1, 2, 2, 0, 0]     |5.857969329970781   |5.764987657670199   |16        
 [18, 5, 6, 0, 0]    |0.7426566684978428  |0.6129196494424202  |192       
 [4, 7, 18, 5, 0]    |4.101760803569821   |3.063065910194736   |292       
 [17, 13, 20, 12, 7] |2.6748528232509092  |1.0702522405129022  |916       
 [8, 0, 0, 0, 0]     |0.9764498132065834  |0.944752845780877   |33        
 [7, 0, 0, 0, 0]     |1.0637236035856341  |1.033318622164833   |29        
 [10, 12, 15, 0, 0]  |1.0989334816428655  |0.756797282015603   |373       
 [13, 16, 12, 0, 0]  |1.4176354594022684  |0.8772092779135923  |480       
 [20, 17, 0, 0, 0]   |0.8714311628078186  |0.5640466014762273  |435       
 [2, 20, 9, 0, 0]    |5.427903050277583   |4.164319516065057   |265       
 [11, 19, 12, 10, 3] |3.2958538767435748  |1.689893108543652   |668       
 [2, 11, 5, 16, 0]   |2.9789107367916845  |2.4098336232662843  |212       
 [15, 11, 2, 13, 0]  |1.3900439840587784  |1.031831511675165   |298       
 [6, 10, 0, 0, 0]    |1.0511101334955273  |0.9520353387432324  |99        
 [12, 0, 0, 0, 0]    |0.7016601365294411  |0.6681075414650105  |49        
Gen 1 Train time: 8.178209785620371 minutes:
 Average MSE:        1.4339188391218436
 Average Error:      1.843203650830427
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.7144890895824103  |0.6803230284758357  |49        
 [15, 0, 0, 0, 0]    |0.6909468716819628  |0.6500588743289232  |61        
 [18, 5, 6, 0, 0]    |0.6634678116423411  |0.54756454197157    |192       
 [19, 8, 6, 4, 0]    |1.1951120197664018  |0.8818263904103534  |304       
 [9, 11, 10, 0, 0]   |1.1372550341183927  |0.8698952246955616  |268       
 [9, 5, 0, 0, 0]     |0.8348269683956843  |0.7683339580932668  |83        
