/tmp/tmp.2aOVaOUcDP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k95.mat
  Evaluating with: datasets/N1dataset100k95.mat
Gen 0 Train time: 8.121946688493093 minutes:
 Average MSE:        1.18823912470021
 Average Error:      1.6335056173836244
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.5763138588911396  |0.5422094718497761  |61        
 [3, 7, 10, 0, 0]    |2.2844883540018657  |2.010014797885127   |128       
 [6, 8, 0, 0, 0]     |0.8183144892746963  |0.7531366789908172  |83        
 [16, 8, 17, 6, 0]   |1.3655106772431662  |0.8689484132678164  |452       
 [10, 0, 0, 0, 0]    |0.8144596795387828  |0.7817421255892731  |41        
 [10, 0, 0, 0, 0]    |0.6523046816781906  |0.6261010350760536  |41        
 [12, 0, 0, 0, 0]    |0.5870348808238246  |0.5589635359952565  |49        
 [18, 14, 0, 0, 0]   |0.68864955108005    |0.49261725203715245 |335       
 [17, 12, 15, 19, 16]|2.4109947370911926  |0.8001463875013032  |1103      
 [10, 1, 0, 0, 0]    |1.1237176561013429  |1.076421941998903   |43        
 [12, 4, 1, 19, 14]  |1.9658611164670423  |1.2839360215042221  |426       
 [8, 0, 0, 0, 0]     |0.8030546267801202  |0.776986316866145   |33        
 [18, 8, 1, 13, 0]   |1.2812002364291766  |0.9928232004006065  |255       
 [11, 10, 7, 20, 1]  |11.862892450550403  |7.849228499772428   |413       
 [6, 16, 2, 11, 20]  |1.9901300060417269  |1.258851712646239   |458       
 [18, 17, 1, 8, 0]   |1.1384198095123284  |0.7479951154545381  |420       
 [15, 2, 13, 7, 7]   |1.7304789402170102  |1.3104862011238378  |278       
 [8, 11, 2, 16, 8]   |1.6894226345181411  |1.2024808938534357  |340       
 [9, 14, 0, 0, 0]    |0.719949346760743   |0.6001507404911883  |182       
 [17, 0, 0, 0, 0]    |0.6740534474112112  |0.6291120662675727  |69        
 [12, 17, 6, 10, 8]  |2.2658344504308054  |1.3310167207414956  |532       
 [17, 0, 0, 0, 0]    |0.6041210005838288  |0.5638422478404264  |69        
 [20, 0, 0, 0, 0]    |0.6241473643214045  |0.5755847619089787  |81        
 [19, 0, 0, 0, 0]    |0.6526894114625443  |0.6043185036295647  |77        
 [3, 4, 0, 0, 0]     |1.5135970273798718  |1.4688634748130955  |30        
Gen 1 Train time: 7.9229174017906185 minutes:
 Average MSE:        0.8690487743291407
 Average Error:      1.0267312917995708
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6797260025231602  |0.6395020198538358  |61        
 [12, 0, 0, 0, 0]    |0.5998209070612508  |0.5711381489023637  |49        
 [17, 0, 0, 0, 0]    |0.5893638489758979  |0.5500690045227855  |69        
