/tmp/tmp.2xPOg2CVUe ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k96.mat
  Evaluating with: datasets/N1dataset100k96.mat
Gen 0 Train time: 8.327514684200287 minutes:
 Average MSE:        1.551914932835897
 Average Error:      2.303926441053836
 Structure           |Error               |MSE                 |weights&biases
 [17, 10, 4, 6, 5]   |1.391408872917459   |0.9844391522598857  |346       
 [12, 16, 8, 7, 0]   |1.4227677015784557  |0.9062899964520931  |451       
 [15, 12, 7, 7, 9]   |2.3551566840049483  |1.4778779742858863  |466       
 [19, 12, 9, 16, 4]  |2.262111374681273   |1.1844737862683186  |647       
 [11, 18, 15, 15, 14]|4.0798294246138225  |1.4815001360282707  |1013      
 [14, 0, 0, 0, 0]    |0.6393954717704569  |0.6039691706141838  |57        
 [15, 20, 0, 0, 0]   |1.0204522387867734  |0.6936733547917454  |386       
 [4, 17, 6, 0, 0]    |2.1078473667508604  |1.705174107559953   |212       
 [10, 18, 0, 0, 0]   |0.9405194553577528  |0.7346780196379075  |247       
 [6, 0, 0, 0, 0]     |1.0331715508598296  |1.0076624543792765  |25        
 [6, 18, 15, 16, 18] |3.113543695395628   |1.1340117075883456  |1010      
 [11, 11, 4, 0, 0]   |0.9024258380910104  |0.7256635756262491  |218       
 [12, 0, 0, 0, 0]    |0.6255384746302471  |0.5956259314433083  |49        
 [15, 0, 0, 0, 0]    |0.6075317434902846  |0.5715799831772973  |61        
 [6, 11, 15, 2, 0]   |1.7981546478073687  |1.3188510532548734  |310       
 [18, 13, 15, 17, 0] |1.5635952413900134  |0.7018664126495289  |801       
 [7, 10, 0, 0, 0]    |1.0610242653323851  |0.9486026514889543  |112       
 [1, 0, 0, 0, 0]     |6.443573323141301   |6.411435867118657   |5         
 [1, 16, 18, 12, 0]  |15.604723638270254  |8.71960261969545    |582       
 [14, 0, 0, 0, 0]    |0.8030178261394801  |0.7585258761669509  |57        
 [7, 0, 0, 0, 0]     |1.1192915353715436  |1.0872982259980226  |29        
 [14, 10, 0, 0, 0]   |0.763659622532125   |0.6233587337282681  |203       
 [15, 14, 10, 0, 0]  |0.9908160636188424  |0.6445348605820131  |430       
 [5, 0, 0, 0, 0]     |1.1436889621376427  |1.1199219212939424  |21        
 [3, 19, 13, 0, 0]   |3.8049160076761313  |2.657255748808037   |359       
Gen 1 Train time: 8.382528678576152 minutes:
 Average MSE:        1.1268065655168162
 Average Error:      1.514634603254451
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.644559674437455   |0.6064167211332165  |61        
 [12, 0, 0, 0, 0]    |0.7588318717153995  |0.7225453888612     |49        
 [14, 0, 0, 0, 0]    |0.7174531137163562  |0.677701956265016   |57        
 [11, 0, 0, 0, 0]    |0.7650152256456989  |0.7313526292812689  |45        
 [9, 19, 2, 0, 0]    |1.5548391376238409  |1.1988611827343119  |260       
 [15, 5, 2, 3, 3]    |3.708999985724935   |3.1542864154996204  |162       
 [6, 14, 5, 4, 12]   |1.5397876721394828  |1.1544736567733453  |288       
