/tmp/tmp.VykYuwmF19 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k99.mat
  Evaluating with: datasets/N1dataset100k99.mat
Gen 0 Train time: 8.31622001727422 minutes:
 Average MSE:        1.386905719462371
 Average Error:      1.9597570854725022
 Structure           |Error               |MSE                 |weights&biases
 [20, 15, 3, 7, 0]   |1.1964344856288411  |0.7560451909923516  |459       
 [8, 20, 3, 3, 0]    |1.4591831566773317  |1.0995233826679756  |283       
 [4, 20, 1, 0, 0]    |2.285346305886218   |1.9967434311702583  |135       
 [20, 0, 0, 0, 0]    |0.6537700030283642  |0.6029025724484797  |81        
 [18, 14, 0, 0, 0]   |1.017822184757976   |0.7280869738919522  |335       
 [17, 15, 20, 3, 0]  |1.8935030910815238  |0.9327935303213177  |708       
 [13, 0, 0, 0, 0]    |0.9128105668740644  |0.8656912968059988  |53        
 [5, 0, 0, 0, 0]     |1.3292747582158966  |1.3016510523684892  |21        
 [20, 20, 1, 3, 0]   |1.9769193233555655  |1.1859447753980608  |511       
 [7, 20, 7, 11, 19]  |2.465829403083334   |1.2693795308990488  |664       
 [6, 2, 5, 0, 0]     |1.231360941632861   |1.1677981051959871  |53        
 [8, 8, 7, 9, 20]    |1.896218467586644   |1.2066665285584757  |452       
 [15, 0, 0, 0, 0]    |0.6568404730137186  |0.6179707818367735  |61        
 [6, 12, 13, 0, 0]   |2.0744758114595228  |1.5600353804583293  |285       
 [9, 11, 19, 8, 18]  |2.1129380770363126  |1.0429773217516407  |706       
 [16, 18, 19, 20, 16]|3.8975462687447053  |0.8979393007984809  |1468      
 [10, 12, 0, 0, 0]   |1.0812448711155391  |0.907658598228636   |175       
 [8, 0, 0, 0, 0]     |1.135690843288904   |1.098824682654199   |33        
 [4, 2, 0, 0, 0]     |2.7652700814973366  |2.6969953199197474  |25        
 [1, 14, 20, 0, 0]   |9.58518330452625    |6.741068883572808   |352       
 [2, 5, 0, 0, 0]     |2.367542428642382   |2.3044740377048925  |27        
 [7, 17, 0, 0, 0]    |1.0649173341214222  |0.8939523326670556  |175       
 [5, 13, 0, 0, 0]    |1.4787704008975389  |1.3287131696646048  |107       
 [13, 14, 8, 8, 0]   |1.2280127006349517  |0.7940547799044103  |436       
 [20, 14, 11, 6, 0]  |1.2270218540253601  |0.6747520266793086  |598       
Gen 1 Train time: 8.362315837542216 minutes:
 Average MSE:        1.1028416245808677
 Average Error:      1.4573617715599965
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.6960327876801631  |0.6418770458372507  |81        
 [15, 0, 0, 0, 0]    |0.6298181256368713  |0.5925475294313353  |61        
 [13, 0, 0, 0, 0]    |0.7415493556563025  |0.7032705871735643  |53        
 [18, 7, 6, 3, 0]    |1.2581346265767188  |0.9700866989763568  |260       
