/tmp/tmp.Kiwwbt4OOh ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k2.mat
  Evaluating with: datasets/N3dataset100k2.mat
Gen 0 Train time: 8.388020364443461 minutes:
 Average MSE:        0.8279231917695193
 Average Error:      1.2713998027537619
 Structure           |Error               |MSE                 |weights&biases
 [20, 12, 0, 0, 0]   |0.3607624018136499  |0.26066070347597436 |325       
 [15, 12, 6, 16, 0]  |0.6581405843723338  |0.42217442691793733 |444       
 [8, 1, 7, 20, 17]   |0.8371357629829381  |0.46777446119231036 |582       
 [12, 20, 0, 0, 0]   |0.5458434842996258  |0.39755459710039054 |317       
 [5, 8, 19, 16, 10]  |3.6193885115680713  |1.735516549447907   |735       
 [3, 6, 11, 0, 0]    |0.7344316218669316  |0.6500809518722528  |122       
 [9, 8, 0, 0, 0]     |0.36977272483148405 |0.32927344971363065 |116       
 [3, 6, 1, 20, 0]    |2.102969007047836   |1.9009431526057246  |101       
 [18, 0, 0, 0, 0]    |0.3763057887858145  |0.3498141735988038  |73        
 [19, 4, 0, 0, 0]    |0.41454595209802636 |0.35966887983043916 |142       
 [16, 8, 0, 0, 0]    |0.5227824500088571  |0.43102470642858215 |193       
 [9, 2, 17, 0, 0]    |0.40784637687217745 |0.3631770935163174  |116       
 [7, 4, 1, 0, 0]     |0.47154447790175597 |0.44408386529537525 |60        
 [17, 2, 0, 0, 0]    |0.38592154014469926 |0.35270573060614285 |90        
 [13, 14, 0, 0, 0]   |0.41768101995821716 |0.32529030541752263 |250       
 [1, 18, 18, 20, 20] |8.537402734837588   |2.566278595325229   |1202      
 [13, 15, 16, 13, 0] |0.7186315930119425  |0.3428691331590463  |740       
 [1, 2, 19, 0, 0]    |2.7996409465746175  |2.5740773921244444  |84        
 [9, 19, 0, 0, 0]    |0.4355325236862688  |0.34363136683678935 |237       
 [17, 9, 7, 3, 19]   |0.5233310780467223  |0.34974849141066694 |403       
 [1, 13, 9, 1, 18]   |1.334629198698443   |1.0710650202651004  |220       
 [20, 17, 6, 11, 0]  |0.8033402987692498  |0.43475315421473953 |614       
 [10, 0, 0, 0, 0]    |0.7371214281311309  |0.7075106190289824  |41        
 [2, 0, 0, 0, 0]     |3.166055957076835   |3.137689294917571   |9         
 [9, 19, 3, 0, 0]    |0.5042376054588289  |0.3807136799361054  |281       
Gen 1 Train time: 8.542773624261221 minutes:
 Average MSE:        0.449813809253328
 Average Error:      0.6103384433097893
 Structure           |Error               |MSE                 |weights&biases
 [20, 12, 0, 0, 0]   |0.40967871372343084 |0.29600407687007857 |325       
 [9, 8, 0, 0, 0]     |0.4054754769739315  |0.3610658659000109  |116       
 [18, 0, 0, 0, 0]    |0.3876124082788309  |0.3603248164642977  |73        
 [9, 11, 0, 0, 0]    |0.47822738415774874 |0.4120259440892357  |149       
 [3, 12, 2, 0, 0]    |1.3039350130213219  |1.1964832458343373  |86        
 [16, 9, 0, 0, 0]    |0.506702032262044   |0.4103141653618431  |211       
 [9, 5, 4, 10, 9]    |0.5649671286711273  |0.43561880048876017 |260       
 [8, 12, 1, 0, 0]    |1.2570430816730698  |1.0851977217612117  |147       
