/tmp/tmp.UC6ThYQwr7 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k3.mat
  Evaluating with: datasets/N3dataset100k3.mat
Gen 0 Train time: 8.51783063809077 minutes:
 Average MSE:        1.1535310477461445
 Average Error:      1.5699929669265544
 Structure           |Error               |MSE                 |weights&biases
 [1, 0, 0, 0, 0]     |3.651151442194399   |3.632941248405787   |5         
 [3, 11, 0, 0, 0]    |1.325110885974906   |1.2417182966142888  |65        
 [15, 20, 19, 13, 11]|1.3155155894960435  |0.40020781553594176 |1190      
 [14, 18, 9, 8, 5]   |0.6746964063427098  |0.3651334201013327  |614       
 [13, 18, 15, 4, 16] |0.6956442522915193  |0.332898752731237   |737       
 [18, 0, 0, 0, 0]    |0.43675096157011073 |0.40600405639013804 |73        
 [10, 4, 14, 0, 0]   |0.39992728610316486 |0.3411365188984058  |159       
 [8, 18, 0, 0, 0]    |0.548844259460344   |0.44711450309717937 |205       
 [5, 9, 5, 15, 10]   |2.6417102251131372  |1.80656367727656    |380       
 [19, 7, 14, 7, 0]   |0.3680163452523647  |0.24132084463514455 |422       
 [10, 6, 19, 17, 3]  |6.745520087234336   |3.6034027009822878  |627       
 [18, 0, 0, 0, 0]    |0.3749154273744979  |0.3485216924768081  |73        
 [19, 15, 19, 16, 0] |0.8277627375325289  |0.3051265365326343  |998       
 [2, 4, 0, 0, 0]     |2.55306975825946    |2.4950192932030797  |23        
 [1, 16, 8, 0, 0]    |2.774507892031321   |2.317463793539244   |180       
 [6, 0, 0, 0, 0]     |1.3470607729832302  |1.313801723995092   |25        
 [14, 15, 20, 10, 16]|0.9760043971472792  |0.36266048431495257 |990       
 [15, 20, 14, 2, 16] |0.7342537831876671  |0.345452351687331   |754       
 [20, 20, 0, 0, 0]   |0.553388240785034   |0.33531145559333997 |501       
 [2, 19, 0, 0, 0]    |1.4139009008434262  |1.301285316146815   |83        
