/tmp/tmp.Vs7qpfUBbD ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k4.mat
  Evaluating with: datasets/N3dataset100k4.mat
Gen 0 Train time: 8.080056377251942 minutes:
 Average MSE:        0.71883073912945
 Average Error:      0.8701116931852106
 Structure           |Error               |MSE                 |weights&biases
 [17, 18, 13, 0, 0]  |0.5124650164602185  |0.27130196108622157 |636       
 [10, 0, 0, 0, 0]    |0.3274895405744019  |0.31433400079653256 |41        
 [11, 0, 0, 0, 0]    |0.7098446450421477  |0.6786096931530039  |45        
 [3, 16, 4, 13, 9]   |1.7692314536106897  |1.2567703867873614  |342       
 [8, 5, 0, 0, 0]     |0.387209868425681   |0.35923143327406154 |75        
 [8, 7, 5, 0, 0]     |0.3849146819576298  |0.3369793674940547  |133       
 [3, 8, 8, 0, 0]     |2.2005971895414116  |1.9478550120540468  |122       
 [5, 9, 12, 1, 0]    |2.5513017959272384  |2.080490612121224   |204       
 [7, 0, 0, 0, 0]     |0.7700254792016575  |0.7480154285552774  |29        
 [19, 11, 4, 15, 17] |0.7767026803350281  |0.3895754772355125  |690       
 [6, 0, 0, 0, 0]     |0.6410797042054042  |0.6252513899117222  |25        
 [15, 1, 0, 0, 0]    |0.4155117667894927  |0.39014206166803533 |63        
 [10, 5, 11, 3, 16]  |0.6035076535511097  |0.4616277001563753  |268       
 [4, 0, 0, 0, 0]     |1.9636752359773508  |1.9305749069250986  |17        
 [19, 6, 7, 3, 0]    |0.46297242378363324 |0.35912391370255126 |254       
 [15, 1, 10, 19, 16] |1.7252996481404665  |0.9216412273204122  |627       
 [2, 3, 0, 0, 0]     |1.3758505530566327  |1.3499561681895187  |19        
 [19, 1, 0, 0, 0]    |0.523042345850476   |0.4833120097412548  |79        
 [11, 10, 11, 0, 0]  |0.4750537529641029  |0.3568901251671977  |286       
 [12, 0, 0, 0, 0]    |0.38559455248621743 |0.36715585659191596 |49        
 [11, 6, 11, 5, 4]   |0.7052431397425188  |0.5378300523441477  |271       
 [11, 0, 0, 0, 0]    |0.4015162762305431  |0.3838485489914025  |45        
 [18, 3, 11, 8, 0]   |0.4587681117388229  |0.3537338800723271  |260       
 [8, 17, 0, 0, 0]    |0.7359446516302871  |0.605560765772363   |195       
 [15, 0, 0, 0, 0]    |0.4899501624071025  |0.4609564991246323  |61        
Gen 1 Train time: 8.460210247834523 minutes:
 Average MSE:        0.3900840119659742
 Average Error:      0.47690649989045947
 Structure           |Error               |MSE                 |weights&biases
 [10, 0, 0, 0, 0]    |0.5555015660341115  |0.533186584811161   |41        
 [8, 7, 5, 0, 0]     |0.40365813951823015 |0.35338861029378255 |133       
 [12, 0, 0, 0, 0]    |0.3793464061996423  |0.3612064896022434  |49        
 [12, 9, 7, 0, 0]    |0.39308416879935315 |0.3120064182497058  |231       
 [12, 16, 6, 0, 0]   |0.4236842525734455  |0.29767089305118566 |353       
 [15, 20, 2, 8, 9]   |0.6044438799177613  |0.3586363163222397  |522       
 [19, 3, 6, 2, 8]    |0.48236207008450965 |0.39969230548322576 |188       
 [13, 4, 6, 4, 0]    |0.42847953105882025 |0.36585715417253095 |158       
 [10, 3, 4, 0, 0]    |0.445610374960881   |0.40970810677930236 |84        
 [20, 1, 0, 0, 0]    |0.341028568495773   |0.31386603424992154 |83        
 [17, 2, 6, 4, 0]    |0.37533251810387525 |0.3269516654899419  |138       
 [15, 2, 6, 4, 0]    |0.34565949725778355 |0.3041296766956996  |128       
 [14, 1, 0, 0, 0]    |0.4067506649990596  |0.38344660525376534 |59        
 [17, 2, 2, 17, 0]   |0.3233517958792938  |0.27499169077783414 |162       
 [13, 10, 3, 6, 4]   |1.365031001083769   |1.0430792332288714  |269       
 [15, 6, 9, 3, 11]   |0.7387187763538043  |0.5527563470317699  |290       
 [13, 5, 8, 4, 0]    |0.4014906813260148  |0.3293708512756305  |198       
 [16, 10, 7, 0, 0]   |0.44123792916317833 |0.32589793576430653 |303       
