/tmp/tmp.C38krXRf9U ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k6.mat
  Evaluating with: datasets/N3dataset100k6.mat
Gen 0 Train time: 8.370117330551148 minutes:
 Average MSE:        1.2437311688588553
 Average Error:      1.4990043858789546
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.8182651663318222  |0.7822594384849647  |45        
 [4, 6, 16, 0, 0]    |0.6164386060326803  |0.5195477558851156  |171       
 [19, 0, 0, 0, 0]    |0.37434096122415655 |0.34659849778674906 |77        
 [19, 0, 0, 0, 0]    |0.36052243256650457 |0.33380406231085846 |77        
 [3, 0, 0, 0, 0]     |3.0886614917113593  |3.048768756916378   |13        
 [20, 0, 0, 0, 0]    |0.3431291751342367  |0.3164315606593851  |81        
 [7, 19, 3, 0, 0]    |1.2499473772094647  |0.9861975910987286  |237       
 [11, 5, 19, 2, 0]   |1.265220534554675   |0.9853547430692023  |250       
 [10, 20, 8, 5, 0]   |0.7686330077106219  |0.48087801094816235 |469       
 [1, 0, 0, 0, 0]     |3.0782001785011657  |3.0628475910618023  |5         
 [14, 15, 0, 0, 0]   |0.5093690269986789  |0.38381964116635514 |283       
 [3, 12, 1, 0, 0]    |2.486646526434094   |2.313901419808541   |72        
 [6, 14, 5, 2, 0]    |1.4004624610811538  |1.1397426729204256  |206       
 [15, 3, 6, 11, 2]   |4.3548557190187696  |3.4913604701944996  |221       
 [5, 7, 3, 0, 0]     |1.0353288872997621  |0.9509623013805235  |85        
 [20, 6, 13, 10, 1]  |5.52991408245352    |3.597259403674559   |430       
 [17, 1, 17, 1, 6]   |3.38966513001206    |2.946833296020148   |140       
 [1, 6, 11, 0, 0]    |1.5978086143872257  |1.4399855437232907  |104       
 [6, 1, 0, 0, 0]     |0.41029598653662047 |0.3993662108477375  |27        
 [13, 2, 7, 1, 0]    |1.8862676401633878  |1.710182488140631   |98        
