/tmp/tmp.NX6ULwxYEV ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k1.mat
  Evaluating with: datasets/N4dataset100k1.mat
Gen 0 Train time: 8.58924497763316 minutes:
 Average MSE:        0.729550204854633
 Average Error:      0.9549896787671489
 Structure           |Error               |MSE                 |weights&biases
 [5, 4, 14, 10, 13]  |2.4956608177315425  |1.6463382032784353  |416       
 [11, 9, 0, 0, 0]    |0.30841649569633195 |0.26519121405302776 |151       
 [11, 18, 13, 6, 12] |0.540472417501152   |0.27463518153220456 |677       
 [2, 17, 14, 0, 0]   |1.6830447577473473  |1.2172625289768921  |324       
 [10, 11, 13, 11, 0] |0.3997113286865109  |0.24907214869494174 |473       
 [14, 0, 0, 0, 0]    |0.4062066132877088  |0.3837003578490305  |57        
 [1, 12, 10, 0, 0]   |2.2435966541117978  |1.8966330350390783  |168       
 [8, 17, 8, 0, 0]    |0.3972410722367105  |0.2855860347249174  |330       
 [14, 4, 17, 3, 17]  |0.3657616979294774  |0.26374481419875473 |327       
 [11, 12, 0, 0, 0]   |0.3056684168348624  |0.25277528925959647 |190       
 [19, 5, 7, 16, 0]   |0.3359969219062798  |0.23819793767495412 |344       
 [4, 8, 19, 0, 0]    |1.4261677808121147  |1.1185027643497385  |243       
 [3, 16, 9, 6, 9]    |2.857169889182937   |1.9953741680593808  |359       
 [12, 19, 0, 0, 0]   |0.36665124924457904 |0.27080828137515467 |303       
 [16, 12, 9, 15, 0]  |0.48278118334801134 |0.28275011294669333 |535       
 [11, 10, 5, 0, 0]   |0.3330103275453741  |0.26885535013963197 |214       
 [2, 1, 17, 15, 0]   |2.73493309168168    |1.9681755006992099  |329       
 [7, 0, 0, 0, 0]     |1.2288655510142708  |1.1937402288710892  |29        
 [11, 19, 0, 0, 0]   |0.31918716801351726 |0.2409953561718874  |281       
 [18, 8, 6, 9, 19]   |0.4126420886358271  |0.24215562639946886 |533       
 [15, 0, 0, 0, 0]    |0.42735059141714676 |0.4020613679372739  |61        
 [5, 4, 3, 10, 0]    |0.5537344068850677  |0.49854066551838755 |105       
 [3, 10, 0, 0, 0]    |0.8096599539060019  |0.7625090288521301  |60        
 [8, 6, 10, 1, 0]    |1.5948986985818678  |1.3577246163218581  |161       
 [4, 10, 15, 0, 0]   |0.8459127952406094  |0.6634253084420814  |243       
Gen 1 Train time: 8.903249367078145 minutes:
 Average MSE:        0.332112287018249
 Average Error:      0.4610322270177292
 Structure           |Error               |MSE                 |weights&biases
 [11, 12, 0, 0, 0]   |0.3079527336354208  |0.25466432590263854 |190       
 [11, 9, 0, 0, 0]    |0.28834931687292276 |0.24793649652313662 |151       
 [11, 19, 0, 0, 0]   |0.3324973139175048  |0.25104489347877385 |281       
 [13, 7, 11, 2, 9]   |0.3964105180012647  |0.29780840274249026 |286       
 [15, 10, 3, 5, 10]  |0.5909774458746808  |0.42529279197873676 |329       
 [13, 13, 9, 2, 9]   |0.494460104605606   |0.3301233820419525  |404       
 [13, 7, 11, 17, 9]  |0.5239408936302988  |0.2872574579152781  |601       
 [11, 14, 0, 0, 0]   |0.2916794595396916  |0.23501643738250683 |216       
 [13, 10, 0, 0, 0]   |0.3778040867853339  |0.3124285404082626  |190       
 [15, 15, 7, 6, 0]   |0.39071503896033777 |0.24863314421671076 |452       
 [8, 11, 19, 0, 0]   |0.7290388998030163  |0.5030688759697564  |371       
 [8, 11, 8, 8, 7]    |0.46523202472332836 |0.32393285577018044 |362       
 [11, 15, 7, 3, 6]   |0.40582375875568816 |0.27752720755452004 |380       
 [14, 16, 5, 8, 0]   |0.34859924460810193 |0.2281316708869298  |424       
 [12, 6, 5, 10, 10]  |0.43225076316658656 |0.31075533243452175 |330       
 [10, 13, 5, 1, 0]   |1.4580611639761216  |1.1344042046747158  |251       
 [12, 14, 0, 0, 0]   |0.31012227231174977 |0.245664466241233   |233       
 [15, 7, 4, 8, 0]    |0.41653159003580303 |0.3283113201917871  |238       
 [11, 15, 7, 3, 6]   |0.5153213312752024  |0.3524083718030472  |380       
 [11, 10, 2, 0, 0]   |0.3529087057449178  |0.295364267456436   |178       
