/tmp/tmp.nXdOvwOouA ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k3.mat
  Evaluating with: datasets/N4dataset100k3.mat
Gen 0 Train time: 8.821654148896535 minutes:
 Average MSE:        1.1115383122837814
 Average Error:      1.4922905680242438
 Structure           |Error               |MSE                 |weights&biases
 [12, 14, 19, 5, 0]  |0.7741156110288856  |0.4210372167850144  |609       
 [4, 0, 0, 0, 0]     |3.250240825011998   |3.1954537406531047  |17        
 [1, 13, 2, 12, 0]   |2.106525795134926   |1.8946612219520869  |106       
 [3, 13, 19, 17, 13] |4.396311599458327   |1.7607958890589803  |915       
 [7, 7, 10, 7, 0]    |1.0974462748296538  |0.8615569775862626  |242       
 [1, 12, 10, 18, 11] |4.299015438875004   |2.416659050748085   |576       
 [19, 7, 8, 19, 0]   |0.31203250072322714 |0.19856318292497183 |452       
 [17, 16, 7, 6, 0]   |0.4480290589009294  |0.2682335601101207  |513       
 [13, 9, 14, 0, 0]   |0.42291631612480757 |0.30710027571678167 |320       
 [8, 0, 0, 0, 0]     |0.5871655349907128  |0.5681052959652375  |33        
 [7, 9, 20, 0, 0]    |0.6130507397878956  |0.44784523064226994 |314       
 [9, 19, 8, 7, 15]   |0.8463772903732668  |0.47578459956948915 |576       
 [2, 14, 7, 15, 0]   |1.887154666618169   |1.413501878779614   |289       
 [1, 20, 3, 0, 0]    |3.3147896433501245  |2.969501713840446   |110       
 [19, 16, 0, 0, 0]   |0.31326595269338325 |0.2112521658808101  |394       
 [2, 3, 14, 7, 0]    |2.8945942841741927  |2.4081166225565465  |184       
 [16, 0, 0, 0, 0]    |0.2936497269818793  |0.2751696047843767  |65        
 [18, 17, 0, 0, 0]   |0.2865748656687527  |0.19305976675146427 |395       
 [13, 5, 14, 10, 18] |1.0133825457363368  |0.5788532952707818  |560       
 [4, 0, 0, 0, 0]     |2.541311255903925   |2.4984741119335547  |17        
 [2, 0, 0, 0, 0]     |2.9707146199716616  |2.9440981422028587  |9         
 [14, 19, 20, 7, 13] |0.7232445809827871  |0.26820388366832193 |992       
 [8, 5, 18, 9, 8]    |0.7628873655380842  |0.49280344352171657 |437       
 [14, 16, 8, 6, 0]   |0.5344214134313136  |0.3310219513523933  |479       
 [12, 12, 9, 4, 19]  |0.6180462943158531  |0.3886049848392542  |464       
Gen 1 Train time: 8.804009461402893 minutes:
 Average MSE:        0.30356027722528994
 Average Error:      0.44033949480952894
 Structure           |Error               |MSE                 |weights&biases
 [18, 17, 0, 0, 0]   |0.38625265010807536 |0.26021070048478734 |395       
 [16, 0, 0, 0, 0]    |0.30664710638883563 |0.287349026135807   |65        
 [19, 7, 8, 19, 0]   |0.4146036687513898  |0.26383477339326566 |452       
 [17, 9, 0, 0, 0]    |0.4263165658988284  |0.3411022148759129  |223       
 [18, 8, 10, 0, 0]   |0.29177861077444495 |0.21464711034810402 |307       
 [17, 18, 10, 4, 8]  |0.5396288215995603  |0.27946625051488    |658       
 [19, 12, 4, 10, 0]  |0.3238435743229247  |0.2149188691044487  |410       
 [17, 16, 4, 3, 0]   |0.34837914595029423 |0.22753211347418115 |426       
 [16, 9, 0, 0, 0]    |0.28373827313555566 |0.22976389536684932 |211       
 [13, 14, 11, 5, 10] |0.5043952898367263  |0.29659283310128914 |531       
 [7, 11, 8, 6, 0]    |0.5182153164217318  |0.3971804949759366  |266       
 [10, 11, 15, 2, 10] |0.5891610224637386  |0.39334989312870644 |404       
 [12, 0, 0, 0, 0]    |0.38912622939965724 |0.3705186527050852  |49        
 [14, 11, 9, 5, 4]   |1.292685409103046   |0.871727649071477   |394       
 [16, 12, 4, 10, 0]  |0.44056680892643907 |0.30584000324473243 |365       
 [18, 12, 8, 13, 0]  |0.4255203487810355  |0.25374067225448493 |517       
 [18, 16, 4, 3, 0]   |0.37689328719267473 |0.2415223679066866  |445       
 [15, 13, 11, 3, 0]  |0.39551382646231953 |0.2529484583524332  |447       
 [19, 12, 8, 19, 0]  |0.4966865244947489  |0.27477678898928454 |592       
 [13, 13, 10, 0, 0]  |0.4281393914247699  |0.29513970587040383 |372       
 [18, 8, 15, 0, 0]   |0.31581114300978047 |0.22099595235637653 |357       
 [11, 13, 14, 3, 0]  |0.4728195580488648  |0.3063455862930266  |434       
 [16, 13, 7, 0, 0]   |0.4338349840496004  |0.2981701333017428  |375       
 [18, 8, 0, 0, 0]    |0.2948104800321274  |0.23777686914448112 |215       
 [18, 4, 4, 10, 0]   |0.3131193336610537  |0.2535559162378668  |211       
Gen 2 Train time: 9.204816552003225 minutes:
 Average MSE:        0.39573697160917604
 Average Error:      0.6675079550795389
 Structure           |Error               |MSE                 |weights&biases
 [16, 9, 0, 0, 0]    |0.30493111490278235 |0.24692530903346782 |211       
 [18, 8, 10, 0, 0]   |0.3178400040247923  |0.23381918995320228 |307       
 [18, 8, 0, 0, 0]    |0.3511368185981849  |0.28320639537146486 |215       
 [17, 9, 10, 5, 0]   |0.36344564684375824 |0.2500422137332547  |374       
 [9, 6, 8, 13, 4]    |1.7660504759876927  |1.2811340777036784  |321       
 [19, 14, 6, 11, 15] |0.5174975732787744  |0.2569816896379574  |700       
 [18, 12, 6, 15, 0]  |0.384666984644611   |0.2377876349058686  |481       
 [18, 12, 6, 11, 0]  |0.34241788114825955 |0.21855372512348623 |449       
 [14, 7, 6, 2, 0]    |0.3611263521289311  |0.2921384702332741  |212       
 [16, 13, 10, 12, 5] |0.6207102383210047  |0.3365895946177225  |612       
 [13, 12, 6, 8, 0]   |0.42993487208212905 |0.3029699837110149  |350       
 [8, 19, 17, 20, 7]  |4.54487698589578    |1.5904240224314612  |1050      
 [16, 13, 7, 5, 0]   |0.43418284203256347 |0.28728241042394903 |413       
 [14, 15, 13, 3, 9]  |0.506140150174912   |0.2882458055368949  |563       
 [17, 6, 4, 7, 0]    |0.34096036954715175 |0.27090447072716656 |230       
 [17, 13, 2, 2, 0]   |0.5011657976380706  |0.36319394660355203 |322       
 [19, 6, 6, 15, 0]   |0.32370767355303265 |0.23040551528557557 |340       
 [17, 9, 5, 0, 0]    |0.319326090873553   |0.24401087869352941 |269       
 [17, 15, 4, 0, 0]   |0.5331928328176907  |0.3610018728923681  |390       
 [17, 8, 4, 10, 0]   |0.38656565529106124 |0.28867506845928725 |292       
 [18, 12, 10, 16, 0] |0.41981644792232226 |0.22925102609310155 |605       
 [16, 15, 8, 4, 5]   |0.4274043286250885  |0.2597528158772969  |498       
 [17, 15, 9, 3, 0]   |0.41874084985874527 |0.2542332701092894  |499       
 [15, 9, 9, 7, 0]    |0.4059775494533915  |0.28409192380517634 |357       
 [6, 1, 10, 11, 11]  |1.3658833413441918  |1.0018029792663594  |310       
Increasing Epochs
Gen 3 Train time: 10.556334503491719 minutes:
 Average MSE:        0.4702896894472538
 Average Error:      0.7228893973692228
 Structure           |Error               |MSE                 |weights&biases
 [16, 9, 0, 0, 0]    |0.2770323815724739  |0.22433363828374775 |211       
 [18, 8, 10, 0, 0]   |0.47257435456611535 |0.34764960790992017 |307       
 [17, 9, 5, 0, 0]    |0.3065877043419595  |0.23427692653757237 |269       
 [16, 13, 9, 9, 3]   |1.9804303198284043  |1.1785845143796743  |519       
 [18, 9, 1, 3, 0]    |0.4675567469244453  |0.365958787703368   |245       
 [17, 11, 4, 4, 0]   |0.45917928100977706 |0.33276639398477137 |322       
 [7, 6, 3, 14, 9]    |1.5406313527455013  |1.1516460902234822  |291       
 [14, 14, 10, 6, 5]  |0.5783954750153589  |0.34767142319715977 |509       
 [19, 9, 6, 13, 0]   |0.40609035670764626 |0.2716666296479401  |402       
