/tmp/tmp.Tt1gTr7ust ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k5.mat
  Evaluating with: datasets/N4dataset100k5.mat
Gen 0 Train time: 8.634875365098317 minutes:
 Average MSE:        0.857317300414628
 Average Error:      1.1635532155309745
 Structure           |Error               |MSE                 |weights&biases
 [20, 10, 10, 8, 0]  |0.45188875095190084 |0.2804613773500399  |477       
 [11, 4, 19, 0, 0]   |0.3215861802100979  |0.2643477746361246  |196       
 [13, 14, 17, 2, 20] |0.5054776661316084  |0.275476921547572   |607       
 [7, 7, 18, 0, 0]    |0.3806450523215298  |0.29942600333325126 |240       
 [19, 5, 2, 16, 17]  |0.4613098631071817  |0.273163350971186   |524       
 [17, 0, 0, 0, 0]    |0.28422456663255624 |0.2652743711718294  |69        
 [5, 10, 15, 8, 0]   |0.7517096223728011  |0.5156097128878117  |377       
 [4, 19, 0, 0, 0]    |2.0805144730478475  |1.8323791527389695  |127       
 [14, 3, 0, 0, 0]    |0.36237183318850996 |0.33085190163214395 |91        
 [2, 19, 15, 8, 3]   |6.008621274078608   |3.565111454522767   |522       
 [16, 18, 20, 0, 0]  |0.5600840993183582  |0.2632454718214212  |755       
 [8, 5, 4, 11, 0]    |0.46423743457144057 |0.39559704647566096 |160       
 [9, 15, 13, 10, 14] |0.6446662272867199  |0.3220583388811546  |694       
 [15, 0, 0, 0, 0]    |0.4151877244220161  |0.39061826000595035 |61        
 [5, 11, 12, 0, 0]   |0.9415379564170608  |0.7421227510148565  |238       
 [1, 15, 20, 2, 8]   |3.808116001393013   |2.4821734785856697  |428       
 [2, 0, 0, 0, 0]     |3.03664254067503    |3.0094353737084334  |9         
 [19, 16, 4, 0, 0]   |0.39381908598707754 |0.2511101358713164  |450       
 [9, 10, 0, 0, 0]    |0.34056008461383486 |0.29666144416794993 |138       
 [14, 0, 0, 0, 0]    |0.34803288843647207 |0.32874980236159235 |57        
 [19, 13, 10, 11, 5] |0.5713639248622387  |0.3000731724721081  |644       
 [6, 6, 8, 11, 12]   |1.437202597604965   |0.9907417080258154  |372       
 [6, 19, 12, 5, 0]   |1.3636943919289064  |0.8591579317687128  |462       
 [7, 15, 1, 19, 0]   |1.1936050850811963  |0.962691964324369   |215       
 [3, 0, 0, 0, 0]     |1.9617310636333924  |1.9363936100889958  |13        
Gen 1 Train time: 8.845068558057148 minutes:
 Average MSE:        0.7075558215655527
 Average Error:      0.9910976112294227
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.3150151599806674  |0.29401205343906    |69        
 [11, 4, 19, 0, 0]   |0.368479595957941   |0.30289473610670237 |196       
 [9, 10, 0, 0, 0]    |0.3515125528272376  |0.3062021249000325  |138       
 [18, 17, 12, 0, 0]  |0.3919022058057991  |0.21379387153013202 |606       
 [8, 17, 6, 5, 2]    |4.07729949748099    |2.9166476200143054  |335       
 [14, 7, 9, 8, 10]   |0.39956781468986924 |0.2678383159372729  |400       
 [11, 17, 18, 1, 19] |0.5457153712799809  |0.28832766000871557 |638       
 [16, 9, 7, 2, 14]   |0.4192399773385488  |0.2972113477301186  |344       
 [18, 8, 2, 0, 0]    |0.33311186273094756 |0.2654637662376723  |227       
 [8, 9, 9, 0, 0]     |0.38484629378441976 |0.3135140004623564  |205       
 [17, 3, 11, 8, 9]   |0.5215691627335763  |0.3727253749705489  |336       
 [13, 3, 2, 3, 0]    |0.38078213684105755 |0.3438575223150971  |102       
 [19, 3, 10, 15, 17] |0.552962359794134   |0.299852274106864   |612       
 [4, 14, 10, 0, 0]   |0.5105307659465994  |0.40039473663589165 |243       
 [16, 18, 4, 0, 0]   |0.3879026428940158  |0.2510756750114849  |435       
 [18, 5, 2, 10, 8]   |0.4617521322657693  |0.34620401390735556 |288       
 [9, 8, 2, 6, 0]     |0.4435394982815534  |0.38175798403050126 |150       
 [10, 5, 12, 6, 0]   |1.249106514266621   |0.9806187854452432  |242       
 [18, 8, 16, 0, 0]   |0.35096669962351    |0.24315311458856562 |367       
 [6, 10, 20, 1, 4]   |3.237964920241295   |2.300082568004698   |342       
