/tmp/tmp.PHJKDo4Jin ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k7.mat
  Evaluating with: datasets/N4dataset100k7.mat
Gen 0 Train time: 8.595399912198385 minutes:
 Average MSE:        0.756593036648268
 Average Error:      1.0695289207984857
 Structure           |Error               |MSE                 |weights&biases
 [17, 6, 11, 0, 0]   |0.3203841147942341  |0.25001492964801175 |248       
 [4, 6, 19, 0, 0]    |0.7719275648684041  |0.6351687538825083  |195       
 [8, 17, 0, 0, 0]    |0.39313564033717885 |0.3234856301864764  |195       
 [7, 9, 15, 0, 0]    |0.8206980555120249  |0.6334336542113802  |259       
 [3, 19, 3, 9, 14]   |1.8805631819058433  |1.3438939017368807  |336       
 [1, 13, 15, 0, 0]   |3.986893222191914   |3.089509333485728   |255       
 [12, 20, 0, 0, 0]   |0.37244878953334115 |0.2712659081264719  |317       
 [10, 17, 15, 2, 0]  |0.5626271640946141  |0.33382509162169705 |522       
 [10, 3, 12, 0, 0]   |0.5323266638478723  |0.47024664360757906 |124       
 [1, 16, 19, 2, 12]  |5.742739122288795   |3.6727338224711756  |447       
 [4, 0, 0, 0, 0]     |1.458684011543348   |1.4340959738267582  |17        
 [12, 4, 4, 5, 18]   |0.3738649996288818  |0.28826920084029906 |260       
 [7, 17, 19, 0, 0]   |0.6529583122828555  |0.3885855249169991  |519       
 [12, 8, 0, 0, 0]    |0.3567200164036701  |0.30733894879965196 |149       
 [18, 11, 20, 1, 0]  |1.6637986232476627  |0.9832452637579714  |526       
 [20, 7, 0, 0, 0]    |0.41448047376642677 |0.3342956782369546  |215       
 [9, 14, 17, 0, 0]   |0.5141847958755708  |0.33115373571106815 |440       
 [8, 1, 15, 0, 0]    |0.4476605549534554  |0.41365622537623653 |79        
 [17, 19, 17, 19, 0] |0.864554856336358   |0.28922784182427513 |1095      
 [15, 0, 0, 0, 0]    |0.32144042408197687 |0.30241862117978    |61        
 [16, 16, 10, 11, 18]|0.6499749845020578  |0.278922475262771   |846       
 [17, 15, 19, 11, 12]|0.7880016473929772  |0.28931040586661927 |1002      
 [6, 19, 3, 2, 16]   |2.005745029222286   |1.509857955783792   |284       
 [10, 19, 0, 0, 0]   |0.3600946958218865  |0.2779293767112513  |259       
 [10, 0, 0, 0, 0]    |0.48231607552851014 |0.4629410191343668  |41        
Gen 1 Train time: 8.500183192888896 minutes:
 Average MSE:        0.5000991107465634
 Average Error:      0.679787148156898
 Structure           |Error               |MSE                 |weights&biases
 [17, 6, 11, 0, 0]   |0.35966277039933825 |0.28066641910804824 |248       
 [15, 0, 0, 0, 0]    |0.3459771444361852  |0.3255033379169043  |61        
 [12, 8, 0, 0, 0]    |0.3300828773961548  |0.28438921252150645 |149       
 [10, 11, 8, 0, 0]   |0.33961719820116    |0.2629119264511532  |256       
 [10, 18, 8, 1, 0]   |3.342317082229876   |2.260676949611425   |391       
 [13, 9, 8, 1, 0]    |1.2319730835480762  |0.9537220683969647  |256       
 [8, 17, 10, 3, 0]   |0.6615176066257066  |0.4460970813025158  |394       
 [7, 9, 8, 1, 17]    |1.4465909834490824  |1.1447768675204444  |234       
 [16, 6, 2, 13, 9]   |0.4492817982750078  |0.32010539596617377 |339       
 [10, 13, 0, 0, 0]   |0.2676139200432446  |0.2219706897494135  |187       
 [18, 4, 18, 2, 0]   |1.246074403768244   |0.9598273376434145  |261       
 [11, 9, 20, 0, 0]   |0.34774094991524584 |0.24212589200253407 |362       
 [14, 13, 6, 0, 0]   |0.30258029762158645 |0.2179676568980148  |328       
 [15, 5, 8, 3, 20]   |0.34385741518025853 |0.2544812299690457  |301       
 [16, 6, 2, 3, 9]    |0.5376287804171056  |0.4318888756135081  |219       
 [19, 13, 9, 10, 0]  |0.48408015986221353 |0.2781750279592293  |554       
 [5, 3, 18, 10, 17]  |1.908169036066085   |1.1573630242883823  |500       
 [13, 0, 0, 0, 0]    |0.3064510971747395  |0.2906320953637934  |53        
 [8, 9, 8, 0, 0]     |0.4104735334217083  |0.33808977029584186 |194       
 [6, 12, 10, 0, 0]   |0.36294304771598723 |0.2846458934450795  |243       
 [8, 17, 0, 0, 0]    |0.4166469293960501  |0.34283153367968894 |195       
 [14, 4, 16, 0, 0]   |0.42689244615854804 |0.34985965871386976 |199       
 [12, 14, 0, 0, 0]   |0.3671565692046843  |0.29084438833841775 |233       
 [9, 16, 9, 0, 0]    |0.3991353298710979  |0.2812659131461125  |350       
 [15, 5, 8, 3, 9]    |0.36021424354506654 |0.28165952276260614 |246       
Gen 2 Train time: 8.388666478792826 minutes:
 Average MSE:        0.4733516176422515
 Average Error:      0.5774416645644667
 Structure           |Error               |MSE                 |weights&biases
 [10, 13, 0, 0, 0]   |0.3939600096899888  |0.3267676624236942  |187       
 [14, 13, 6, 0, 0]   |0.32107767981227    |0.23129248698953866 |328       
 [13, 0, 0, 0, 0]    |0.840023840779833   |0.7966618206042061  |53        
 [14, 7, 3, 0, 0]    |0.2857470502044939  |0.2398723674582536  |175       
 [12, 15, 8, 0, 0]   |0.540111661420321   |0.37382056089945037 |368       
