/tmp/tmp.NkCP0HgaKM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k1.mat
  Evaluating with: datasets/N5dataset100k1.mat
Gen 0 Train time: 8.357444369792939 minutes:
 Average MSE:        0.6074819946676067
 Average Error:      0.7336067303224469
 Structure           |Error               |MSE                 |weights&biases
 [17, 13, 0, 0, 0]   |0.34198150585346626 |0.25359960351839206 |299       
 [16, 0, 0, 0, 0]    |0.2682683926289775  |0.25138558218516927 |65        
 [11, 10, 19, 11, 0] |0.49737017772217423 |0.27460523939311043 |594       
 [14, 7, 16, 0, 0]   |0.30849013057199404 |0.23037072316947776 |292       
 [9, 17, 16, 20, 0]  |1.0886849769087252  |0.46718522371042565 |846       
 [5, 1, 0, 0, 0]     |0.4772745782927936  |0.46642253982425885 |23        
 [14, 4, 18, 5, 0]   |0.32139826744924255 |0.23977022349886204 |293       
 [6, 12, 14, 0, 0]   |0.669989992722959   |0.49683738333100447 |299       
 [9, 20, 6, 0, 0]    |0.36382637318871114 |0.2538330473740479  |360       
 [19, 12, 7, 6, 15]  |0.418665501999118   |0.23986404328294353 |557       
 [15, 5, 10, 15, 0]  |0.3432777303545483  |0.23806406759380644 |366       
 [3, 13, 0, 0, 0]    |0.6717865156665374  |0.6232455641129844  |75        
 [8, 0, 0, 0, 0]     |1.2680492718910785  |1.2268865660134147  |33        
 [2, 4, 2, 10, 0]    |2.572827419433494   |2.4012884737940303  |69        
 [11, 17, 3, 2, 13]  |0.5263976836882175  |0.37020502719231296 |352       
 [8, 0, 0, 0, 0]     |0.720427193156357   |0.6970410887552708  |33        
 [11, 0, 0, 0, 0]    |0.692339002362708   |0.6618743428335894  |45        
 [10, 15, 14, 0, 0]  |0.3879725071117757  |0.2513721421490968  |434       
 [12, 5, 0, 0, 0]    |0.25586017850295034 |0.22989693908078315 |107       
 [12, 0, 0, 0, 0]    |0.48839203791220726 |0.46503768239500054 |49        
 [4, 0, 0, 0, 0]     |2.47252889519682    |2.4308511683900837  |17        
 [8, 0, 0, 0, 0]     |0.6727050967304317  |0.6508681203187622  |33        
 [12, 0, 0, 0, 0]    |0.3515328061463312  |0.3347229044824992  |49        
 [12, 11, 10, 1, 9]  |1.6323114471184168  |1.164156832467281   |338       
 [16, 7, 12, 19, 8]  |0.5278105754511354  |0.2676653378235597  |679       
Gen 1 Train time: 8.774235359827678 minutes:
 Average MSE:        0.45701630460664566
 Average Error:      0.6570057791803181
 Structure           |Error               |MSE                 |weights&biases
 [12, 5, 0, 0, 0]    |0.3272996105551405  |0.2940871028435225  |107       
 [16, 0, 0, 0, 0]    |0.32115254797382464 |0.3009416034870217  |65        
 [14, 7, 16, 0, 0]   |0.30548261337438093 |0.22812480395490153 |292       
 [20, 6, 8, 0, 0]    |0.27083223456101363 |0.21071353742777163 |251       
 [12, 5, 10, 6, 0]   |0.3328070107204905  |0.2633707603465484  |234       
 [13, 2, 9, 3, 0]    |0.5261511042007243  |0.46293582697169294 |128       
 [9, 9, 15, 3, 0]    |1.2610236974783926  |0.9166072927929164  |319       
 [13, 5, 9, 3, 0]    |0.2669843148580539  |0.21924501860283135 |197       
 [12, 12, 4, 3, 0]   |0.34352082405020434 |0.26407885004624737 |263       
 [12, 10, 16, 3, 0]  |0.3944623494394233  |0.26521045935912346 |397       
 [15, 7, 20, 0, 0]   |0.3248506001323184  |0.23168191728529863 |338       
 [9, 6, 7, 0, 0]     |0.3406199764759316  |0.29493866437472377 |144       
 [12, 20, 6, 6, 11]  |0.5186033251604762  |0.29831181093466286 |553       
 [14, 3, 0, 0, 0]    |0.25028645079954964 |0.2285159623781065  |91        
 [15, 6, 13, 8, 0]   |0.31169271284296995 |0.21898819138535233 |353       
 [11, 4, 8, 0, 0]    |0.2772695027338586  |0.24346908348421734 |130       
 [13, 4, 8, 0, 0]    |0.3639332927285073  |0.3151253792844586  |144       
 [11, 13, 4, 3, 8]   |0.3541940205512     |0.2621311218497337  |301       
 [16, 3, 5, 8, 0]    |0.24683399617788718 |0.20699942809373076 |176       
 [14, 9, 2, 1, 7]    |0.34772356950212474 |0.27849714935554243 |222       
 [9, 8, 7, 0, 0]     |0.32801119945105506 |0.2745264882000237  |178       
 [16, 6, 4, 3, 8]    |0.2937648399211844  |0.23247427716630398 |234       
 [11, 10, 7, 0, 0]   |0.34087377776320726 |0.2686776289562598  |238       
 [7, 1, 4, 8, 19]    |1.5574900190989729  |1.1913362345988525  |268       
 [3, 19, 14, 12, 3]  |6.21928088895706    |3.454419021986297   |588       
Gen 2 Train time: 9.063636298974355 minutes:
 Average MSE:        0.4325671333174624
 Average Error:      0.5523470016714215
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 5, 8, 0]    |0.36156138467594057 |0.30321187926949733 |176       
 [14, 3, 0, 0, 0]    |0.3988779821614177  |0.3641826622011357  |91        
 [13, 5, 9, 3, 0]    |0.2762837228406403  |0.22688160533348425 |197       
 [13, 6, 13, 3, 0]   |0.43561547661042765 |0.33588200404104657 |260       
 [15, 20, 7, 4, 0]   |0.46821522851321123 |0.2704069591086391  |549       
 [14, 4, 7, 9, 0]    |0.2872848135307417  |0.23078213000495965 |219       
 [17, 5, 4, 2, 0]    |0.4396277268017979  |0.3679430951023548  |178       
 [10, 5, 8, 0, 0]    |0.34305575583357767 |0.2976424659210536  |142       
 [13, 8, 6, 2, 17]   |0.32390220246455226 |0.24284943104955503 |288       
 [18, 5, 7, 4, 0]    |0.27827676396611933 |0.22154288274193204 |228       
 [14, 8, 12, 6, 4]   |0.3795480092306806  |0.2592988079556506  |381       
 [16, 9, 6, 2, 0]    |0.3311555985799192  |0.25078308223125007 |278       
 [13, 6, 6, 4, 0]    |0.36501008576008775 |0.2994432704488303  |198       
 [11, 8, 12, 2, 0]   |1.3129273212042072  |1.0062788705360028  |266       
