/tmp/tmp.nRTSiRrGa9 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k3.mat
  Evaluating with: datasets/N5dataset100k3.mat
Gen 0 Train time: 8.959094786643982 minutes:
 Average MSE:        0.8697946998385047
 Average Error:      1.082702813426605
 Structure           |Error               |MSE                 |weights&biases
 [10, 6, 0, 0, 0]    |0.4411152368793957  |0.3979419536025915  |103       
 [4, 8, 0, 0, 0]     |2.5491135268995944  |2.398265246934527   |61        
 [2, 9, 7, 3, 12]    |3.6087451234183265  |2.9902592839186406  |188       
 [3, 2, 15, 4, 13]   |1.681816626557945   |1.370087401521528   |205       
 [3, 4, 17, 11, 0]   |0.7875317280030715  |0.5718654059544102  |320       
 [10, 6, 6, 0, 0]    |0.3041380865129925  |0.26308622501778184 |145       
 [10, 0, 0, 0, 0]    |0.29985192969774094 |0.2878066167949513  |41        
 [7, 20, 0, 0, 0]    |0.38986912586087075 |0.318560085302191   |202       
 [6, 5, 4, 19, 13]   |1.1970549238533736  |0.7663351365174206  |446       
 [9, 17, 17, 17, 0]  |0.5691656175109543  |0.24892993204519415 |827       
 [12, 4, 7, 9, 0]    |0.3567665447730727  |0.2906389082847564  |205       
 [11, 0, 0, 0, 0]    |0.29307166513579813 |0.28017577386645653 |45        
 [8, 2, 3, 12, 0]    |0.33893739383446203 |0.30302503060983776 |112       
 [12, 18, 5, 0, 0]   |0.4342663077626935  |0.29966283469475113 |371       
 [17, 11, 4, 10, 5]  |2.3817878531937065  |1.5838386162095666  |408       
 [8, 19, 0, 0, 0]    |0.43059335267652715 |0.34729138279850985 |215       
 [4, 5, 5, 0, 0]     |0.4424301573241489  |0.4112834414769709  |73        
 [2, 9, 0, 0, 0]     |2.5876816414899335  |2.478769718250558   |43        
 [8, 20, 7, 10, 7]   |1.902025641986497   |1.1353255586553639  |516       
 [15, 20, 3, 2, 19]  |0.4472959591486222  |0.2677946556404874  |513       
 [14, 17, 0, 0, 0]   |0.4061051746388298  |0.2963710382345103  |315       
 [14, 17, 0, 0, 0]   |0.456391736555888   |0.3330696116468214  |315       
 [12, 19, 18, 16, 12]|0.7537177303263979  |0.23533686009549304 |1164      
 [12, 10, 3, 18, 0]  |0.4244204378996897  |0.31757835101607873 |290       
 [2, 0, 0, 0, 0]     |3.58367681372459    |3.551568426873218   |9         
Gen 1 Train time: 8.967826739947002 minutes:
