/tmp/tmp.XcXOkQHJyz ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k2.mat
  Evaluating with: datasets/N6dataset100k2.mat
Gen 0 Train time: 8.072303211688995 minutes:
 Average MSE:        0.9590362768584642
 Average Error:      1.1889476831885595
 Structure           |Error               |MSE                 |weights&biases
 [11, 4, 19, 6, 0]   |0.3487085004890711  |0.2575557833579339  |303       
 [15, 0, 0, 0, 0]    |0.28309422114266775 |0.26634162229731084 |61        
 [10, 8, 19, 12, 0]  |0.44731465157164146 |0.2601510087979991  |542       
 [12, 0, 0, 0, 0]    |0.36634925405713153 |0.3488308465923241  |49        
 [1, 1, 0, 0, 0]     |3.534242947751524   |3.5095896343816717  |7         
 [15, 20, 5, 5, 0]   |0.49721433978035273 |0.2997717045992918  |506       
 [11, 8, 0, 0, 0]    |0.2677722268858016  |0.23325603652608087 |138       
 [3, 12, 13, 0, 0]   |2.9245987165439358  |2.3005708328729435  |240       
 [16, 18, 14, 12, 0] |0.4886182965453116  |0.21671467031937247 |813       
 [18, 8, 15, 0, 0]   |0.324270001490188   |0.22691522888319487 |357       
 [3, 15, 0, 0, 0]    |1.5480174442403487  |1.4218730390025083  |85        
 [11, 10, 11, 0, 0]  |0.4264524438647007  |0.3203777785547376  |286       
 [12, 17, 1, 6, 16]  |0.33054616350941196 |0.21805478255146596 |416       
 [16, 11, 0, 0, 0]   |0.23172570800585213 |0.18101038026074057 |247       
 [4, 20, 4, 3, 0]    |1.3844566877810933  |1.1166216908260949  |215       
 [15, 0, 0, 0, 0]    |0.3093049656389394  |0.29100129985123435 |61        
 [11, 0, 0, 0, 0]    |0.354105563917265   |0.33852402740799514 |45        
 [3, 10, 0, 0, 0]    |0.6596397613588992  |0.6212253321897888  |60        
 [7, 11, 0, 0, 0]    |1.1330007732501373  |1.003877161344609   |121       
 [13, 2, 2, 3, 9]    |0.286090029936536   |0.2517172795792535  |128       
 [3, 0, 0, 0, 0]     |3.552820953453976   |3.5069331977220712  |13        
 [1, 5, 14, 0, 0]    |3.926955650870431   |3.5108721491192867  |112       
 [17, 16, 15, 1, 0]  |4.027321243606947   |2.183876374341307   |612       
 [18, 0, 0, 0, 0]    |0.2560370312324677  |0.23801223675104177 |73        
 [12, 15, 19, 8, 6]  |1.8150345027893555  |0.852232823331344   |756       
Gen 1 Train time: 8.42395767768224 minutes:
 Average MSE:        0.41912114120232247
 Average Error:      0.6067858257248709
 Structure           |Error               |MSE                 |weights&biases
 [16, 11, 0, 0, 0]   |0.6309720936402283  |0.49287797882507256 |247       
 [18, 0, 0, 0, 0]    |0.2669297027570037  |0.24813807324144874 |73        
 [11, 8, 0, 0, 0]    |0.26225887626877376 |0.22845336401645203 |138       
 [16, 6, 0, 0, 0]    |0.29710618758003254 |0.25393786442450234 |157       
 [13, 0, 0, 0, 0]    |0.3378643434826534  |0.32042379028940227 |53        
 [16, 6, 5, 0, 0]    |0.2021381384381944  |0.16699290347200987 |191       
 [16, 16, 3, 3, 0]   |0.40022623259489265 |0.27179007051122844 |387       
 [15, 3, 8, 8, 5]    |1.6584905200673983  |1.2942195681669524  |248       
 [14, 8, 10, 3, 0]   |0.4001380219738841  |0.2997082623041207  |289       
 [14, 6, 20, 0, 0]   |0.27291429051205546 |0.20360010323466704 |293       
 [12, 6, 7, 2, 5]    |0.2799638834407817  |0.22921504112410754 |200       
