/tmp/tmp.YrqQz4Ti3n ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k3.mat
  Evaluating with: datasets/N6dataset100k3.mat
Gen 0 Train time: 8.417479193210601 minutes:
 Average MSE:        0.9628867207772958
 Average Error:      1.3112812628520092
 Structure           |Error               |MSE                 |weights&biases
 [1, 17, 3, 4, 5]    |3.472223463606623   |3.024649316596794   |138       
 [15, 3, 18, 15, 0]  |0.317006435772535   |0.19892384753715123 |466       
 [5, 17, 5, 4, 19]   |0.7477621637311448  |0.5290510682255614  |346       
 [3, 0, 0, 0, 0]     |3.0779450626605565  |3.03819073981626    |13        
 [2, 6, 0, 0, 0]     |2.3027948506109284  |2.2325033574725515  |31        
 [16, 19, 13, 0, 0]  |0.4269736240150808  |0.22401706698821688 |645       
 [11, 15, 1, 14, 0]  |0.38014398208814904 |0.2896143125815152  |272       
 [12, 0, 0, 0, 0]    |0.296510965655836   |0.28233214624616854 |49        
 [9, 19, 3, 0, 0]    |0.32123470525900605 |0.24254130481018255 |281       
 [5, 0, 0, 0, 0]     |0.6975039454465365  |0.6830090912432704  |21        
 [9, 10, 5, 18, 18]  |0.4629358434796123  |0.24143214909441263 |651       
 [11, 13, 5, 14, 0]  |0.3979401384603399  |0.2781892362619924  |358       
 [3, 1, 7, 7, 0]     |1.3089645647492452  |1.1951078305556095  |91        
 [5, 18, 1, 18, 19]  |3.0961994159049606  |1.77034663160159    |559       
 [15, 16, 10, 0, 0]  |0.3762076545593945  |0.2323259316865358  |482       
 [15, 3, 19, 0, 0]   |0.31826560173448176 |0.263455970660884   |189       
 [13, 0, 0, 0, 0]    |0.47751844192291665 |0.4528689459113832  |53        
 [11, 0, 0, 0, 0]    |0.6330780760057099  |0.6052210464652025  |45        
 [15, 1, 15, 15, 9]  |2.5796106534963115  |1.5882590481009646  |485       
 [12, 2, 8, 11, 13]  |0.34623565183716487 |0.24277124416022938 |355       
 [1, 17, 20, 16, 0]  |7.632129375900532   |3.6051626433675663  |750       
 [10, 0, 0, 0, 0]    |1.1555131079896819  |1.1090951410850134  |41        
 [10, 4, 0, 0, 0]    |0.23838622426062384 |0.22027838865453636 |79        
 [13, 9, 0, 0, 0]    |0.3673184998360236  |0.308348093545763   |175       
 [4, 11, 3, 0, 0]    |1.3516291223168355  |1.2144734667630306  |107       
Gen 1 Train time: 8.756472369035086 minutes:
 Average MSE:        0.46565961288938934
 Average Error:      0.6665824266680486
 Structure           |Error               |MSE                 |weights&biases
 [10, 4, 0, 0, 0]    |0.22298833487609407 |0.20605012411104165 |79        
 [12, 0, 0, 0, 0]    |0.31290452990708617 |0.29794178877470895 |49        
 [15, 3, 18, 15, 0]  |0.41726038546183364 |0.26183393122170173 |466       
 [11, 11, 11, 0, 0]  |0.37874752386651067 |0.2780691487178554  |309       
 [12, 11, 3, 7, 0]   |0.29805375387674005 |0.23189248844323104 |251       
 [15, 3, 18, 2, 0]   |1.453354459662215   |1.1827879308364024  |206       
 [13, 10, 5, 0, 0]   |0.3939031530278933  |0.309855194733703   |240       
 [10, 12, 2, 0, 0]   |0.3332399220950191  |0.2753003593156604  |191       
 [13, 12, 7, 0, 0]   |0.38614453793495307 |0.28435167091135793 |306       
 [12, 12, 1, 7, 0]   |0.35065753519966947 |0.27944627726725274 |227       
 [12, 11, 11, 0, 0]  |0.29501131386036733 |0.2135804779776329  |323       
 [10, 12, 2, 5, 0]   |0.35132057364871855 |0.2850598396420805  |209       
 [6, 4, 12, 11, 1]   |4.689091662912334   |3.6047012216131717  |263       
 [12, 7, 12, 17, 9]  |1.646406024556214   |0.8892247576404637  |616       
 [13, 12, 18, 19, 15]|1.0009226389465933  |0.32723464833250826 |1118      
 [11, 2, 0, 0, 0]    |0.3868386575770913  |0.3643109279254463  |60        
 [13, 8, 12, 15, 0]  |0.39938731431541696 |0.2496179773704716  |470       
 [11, 10, 1, 7, 0]   |0.5305580374263943  |0.44050832908057114 |186       
 [13, 20, 12, 14, 17]|0.6552177722431708  |0.23485484843699803 |1026      
 [16, 12, 14, 20, 16]|0.7514127720325481  |0.25339641764773324 |1087      
 [7, 11, 1, 7, 0]    |0.30790908426658053 |0.26688145163794263 |143       
 [8, 2, 0, 0, 0]     |0.23836933756979872 |0.22788048646295173 |45        
