/tmp/tmp.IZypGMkofC ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k4.mat
  Evaluating with: datasets/N6dataset100k4.mat
Gen 0 Train time: 8.391003100077311 minutes:
 Average MSE:        0.8972603633476609
 Average Error:      1.1288050741251947
 Structure           |Error               |MSE                 |weights&biases
 [5, 6, 0, 0, 0]     |1.0458456210933231  |0.9869121653717201  |58        
 [14, 6, 9, 8, 8]    |0.33165210363511466 |0.23231321803982227 |356       
 [6, 0, 0, 0, 0]     |0.6513976271063532  |0.635314562388562   |25        
 [9, 10, 8, 0, 0]    |0.25062635111916043 |0.20032943552131538 |224       
 [11, 13, 10, 5, 0]  |0.33432776882991994 |0.2263589142219305  |390       
 [1, 0, 0, 0, 0]     |3.038322895828093   |3.023169197165801   |5         
 [5, 0, 0, 0, 0]     |1.331668009289913   |1.3039945692071422  |21        
 [10, 17, 14, 0, 0]  |0.36702739984171395 |0.22620383198598892 |484       
 [18, 19, 12, 10, 19]|0.6578607810655269  |0.2386488751401143  |1014      
 [20, 15, 1, 0, 0]   |1.4423103774300938  |0.9736009677071193  |393       
 [5, 18, 13, 12, 0]  |0.641039007249761   |0.36947767120760683 |551       
 [10, 8, 0, 0, 0]    |0.3039996464857705  |0.26774272511765007 |127       
 [17, 7, 0, 0, 0]    |0.2623143823842676  |0.21801060691558938 |185       
 [11, 1, 0, 0, 0]    |0.2790600462014365  |0.2662476732517773  |47        
 [4, 19, 18, 8, 0]   |4.393656284217111   |2.344710047215517   |628       
 [9, 14, 13, 6, 0]   |0.3744846400961952  |0.23806667647371266 |453       
 [19, 10, 19, 5, 0]  |0.3876531172083348  |0.21878968193738246 |572       
 [15, 16, 16, 0, 0]  |0.42710161795657337 |0.2367540801875821  |590       
 [16, 14, 3, 7, 0]   |0.26385469420264573 |0.18280107703383153 |367       
 [13, 11, 18, 11, 0] |0.4495436926556197  |0.23942328490274756 |630       
 [16, 1, 20, 2, 0]   |1.705780303882524   |1.4681787135804476  |150       
 [2, 5, 2, 1, 0]     |3.6593684503478983  |3.522921362638897   |38        
 [7, 2, 20, 11, 16]  |1.7946775352402302  |1.0489874438410345  |537       
 [18, 0, 0, 0, 0]    |0.25362034888241086 |0.23576568683252025 |73        
 [3, 0, 0, 0, 0]     |3.572934150879879   |3.526786615805711   |13        
Gen 1 Train time: 8.853574852148691 minutes:
 Average MSE:        0.3231472157201166
