/tmp/tmp.Yb41a2iF82 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k7.mat
  Evaluating with: datasets/N6dataset100k7.mat
Gen 0 Train time: 8.127506923675536 minutes:
 Average MSE:        0.707132240821752
 Average Error:      1.095056892822643
 Structure           |Error               |MSE                 |weights&biases
 [19, 14, 0, 0, 0]   |0.2459524871745322  |0.17297349518048943 |352       
 [16, 11, 19, 0, 0]  |0.2835037235394654  |0.17490190208894543 |483       
 [13, 0, 0, 0, 0]    |0.36065523700864505 |0.34203821817606495 |53        
 [12, 0, 0, 0, 0]    |0.3332248180613139  |0.31729038370520063 |49        
 [19, 20, 16, 13, 5] |4.33018058905642    |1.4558781347695064  |1090      
 [8, 20, 0, 0, 0]    |0.42416193688267506 |0.3387001859812072  |225       
 [9, 20, 3, 0, 0]    |0.2964041204873399  |0.22090302296613845 |294       
 [13, 0, 0, 0, 0]    |0.33216020463293927 |0.31501409901590965 |53        
 [15, 8, 16, 11, 0]  |0.36777135836679836 |0.2195239715375991  |516       
 [2, 14, 16, 2, 5]   |3.1919681913573554  |2.2651425986719076  |343       
 [4, 20, 16, 0, 0]   |1.1602375395324684  |0.7287859289391971  |465       
 [13, 17, 0, 0, 0]   |0.327569257943392   |0.2438856596216236  |295       
 [1, 20, 0, 0, 0]    |2.233264389231447   |2.094813162373039   |64        
 [8, 16, 18, 0, 0]   |0.4157505432883375  |0.2539368019499145  |493       
 [7, 0, 0, 0, 0]     |1.141627459745738   |1.1089957106841961  |29        
 [4, 10, 0, 0, 0]    |1.1184774389935794  |1.0397375556535544  |73        
 [13, 0, 0, 0, 0]    |0.3148256185077154  |0.29857432401009437 |53        
 [8, 1, 0, 0, 0]     |0.9180380205883047  |0.8864624850104423  |35        
 [9, 4, 2, 18, 0]    |0.3601826793094496  |0.3100121050517919  |150       
 [8, 18, 13, 16, 3]  |7.061971594793919   |3.4650403418278843  |712       
 [16, 0, 0, 0, 0]    |0.2602315342708503  |0.2438545037099955  |65        
 [7, 17, 18, 20, 0]  |0.8974572427279153  |0.37150617239568295 |882       
 [14, 0, 0, 0, 0]    |0.34921858144277496 |0.32986980094343543 |57        
 [14, 9, 1, 0, 0]    |0.31805870649017787 |0.2632847055693499  |189       
 [13, 8, 7, 8, 15]   |0.3335290471325199  |0.21718075071062892 |429       
Gen 1 Train time: 8.610987257957458 minutes:
 Average MSE:        0.2419434064473772
 Average Error:      0.3328305836618697
 Structure           |Error               |MSE                 |weights&biases
 [19, 14, 0, 0, 0]   |0.3031312173219276  |0.21318615949300196 |352       
 [16, 0, 0, 0, 0]    |0.3908781560547942  |0.36627920218390286 |65        
 [16, 11, 19, 0, 0]  |0.3171196745551551  |0.1956405848115887  |483       
 [11, 10, 2, 0, 0]   |0.26859889280405413 |0.22480180828982488 |178       
 [20, 5, 17, 6, 10]  |0.3025086964465973  |0.191734197650498   |456       
 [13, 13, 4, 4, 8]   |0.3267386268579621  |0.23117165852203997 |346       
 [12, 14, 10, 6, 0]  |0.35115799769782546 |0.22593249457354384 |441       
 [14, 4, 9, 11, 0]   |0.2737915939899427  |0.20921600000058466 |269       
 [14, 2, 16, 15, 16] |0.4177462247342465  |0.2185192541413595  |648       
 [11, 19, 2, 15, 0]  |0.4285832860139158  |0.2984149852031763  |362       
 [14, 9, 1, 9, 0]    |0.28823879833222277 |0.23247653552185307 |215       
 [14, 5, 1, 0, 0]    |0.23758587332590161 |0.20966879730796423 |125       
 [18, 7, 0, 0, 0]    |0.2811714374949622  |0.23135760362628638 |195       
 [17, 9, 0, 0, 0]    |0.2924231641579008  |0.23397211592043549 |223       
 [15, 0, 0, 0, 0]    |0.29685767367330407 |0.27929059829768743 |61        
 [13, 8, 11, 9, 0]   |0.29131108443438203 |0.20162140675341228 |368       
 [13, 10, 2, 0, 0]   |0.2934654246788058  |0.23931001107006483 |204       
 [16, 7, 0, 0, 0]    |0.29958277160653923 |0.2514868609266073  |175       
 [16, 6, 10, 0, 0]   |0.32081487611177445 |0.2546434284611224  |231       
 [14, 4, 4, 4, 8]    |0.2557203331283557  |0.211258900650214   |191       
 [10, 4, 4, 4, 15]   |0.33809281115983975 |0.2754264013093546  |205       
 [15, 4, 4, 4, 8]    |0.2747839707251284  |0.22542448570840362 |198       
 [7, 13, 16, 16, 13] |0.8700224474102257  |0.3696361017663921  |856       
 [15, 9, 1, 9, 0]    |0.27924899557000415 |0.22253932800338344 |227       
 [9, 20, 2, 10, 0]   |0.3211905632609748  |0.23557624099172697 |310       
Gen 2 Train time: 8.856460467974346 minutes:
 Average MSE:        0.3533976676066035
 Average Error:      0.47608447901472545
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 1, 0, 0]    |0.24105440390342306 |0.21272976479914685 |125       
 [14, 4, 4, 4, 8]    |0.25682109541440434 |0.2121682762465266  |191       
 [11, 10, 2, 0, 0]   |0.28690190133350735 |0.24012037260560107 |178       
 [17, 8, 1, 5, 0]    |0.29237109476376294 |0.23463329952878892 |220       
 [16, 0, 0, 0, 0]    |0.3092865295466046  |0.28982234369903714 |65        
 [14, 8, 2, 0, 0]    |0.2566325426559745  |0.21371540924973625 |183       
 [15, 2, 5, 6, 0]    |0.41325675400969236 |0.3610690015908161  |135       
 [14, 6, 8, 7, 4]    |2.087346247688235   |1.5650120462209192  |288       
 [13, 4, 4, 4, 12]   |0.30999212546745514 |0.25177778562995734 |208       
 [4, 13, 20, 11, 9]  |1.2813079502790017  |0.6324724556980525  |706       
 [16, 7, 3, 2, 4]    |0.246836329132813   |0.19888474416716867 |216       
 [19, 9, 10, 4, 8]   |0.30949920158419253 |0.20133204544012234 |430       
 [15, 7, 5, 10, 0]   |0.27666749656422857 |0.2116251209002283  |268       
 [15, 10, 2, 2, 4]   |1.075853400297387   |0.8378754706216387  |250       
 [15, 6, 6, 0, 0]    |0.2604018316449736  |0.2153416731743926  |190       
 [20, 10, 9, 3, 5]   |0.35559660873390136 |0.23247831848486505 |425       
 [16, 11, 6, 5, 0]   |0.30414266177719984 |0.2147547916897324  |348       
 [15, 8, 10, 0, 0]   |0.25974220237613777 |0.19749032776548087 |274       
 [13, 9, 10, 9, 0]   |0.3143783208937878  |0.21628502635448807 |374       
 [14, 11, 3, 7, 4]   |1.226891868763953   |0.901661627895401   |308       
 [14, 7, 3, 2, 4]    |0.3213443103078394  |0.2641489546172677  |196       
 [12, 12, 3, 2, 4]   |0.36110684188533615 |0.2795479615214652  |256       
 [14, 10, 1, 0, 0]   |0.2622623784740405  |0.2136513428195518  |205       
 [14, 7, 6, 5, 0]    |0.29273960515412867 |0.23120008264545033 |236       
 [14, 11, 11, 3, 0]  |0.2996782727161564  |0.20514344679925328 |379       
Increasing Epochs
Gen 3 Train time: 10.154902529716491 minutes:
 Average MSE:        0.3064264307853623
 Average Error:      0.3948111052627697
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 1, 0, 0]    |0.2932530934126014  |0.25879494660997177 |125       
 [16, 7, 3, 2, 4]    |0.2623643839035182  |0.21139624606535073 |216       
 [14, 8, 2, 0, 0]    |0.5541266727820687  |0.4614590473374539  |183       
 [15, 7, 6, 3, 0]    |0.26334843282404524 |0.20923917904529593 |230       
 [15, 8, 8, 5, 0]    |0.29029832157980984 |0.21592024196642176 |296       
 [13, 8, 2, 0, 0]    |0.27256595122217    |0.22949485424392835 |172       
 [15, 8, 5, 5, 8]    |0.3201514675249529  |0.2359911300584249  |305       
 [15, 5, 6, 4, 14]   |0.32799728645587556 |0.24938685749093387 |274       
 [13, 2, 2, 2, 4]    |0.9979083770759241  |0.9065638519069988  |96        
 [16, 8, 6, 3, 0]    |0.257441737911438   |0.19790625004912132 |263       
 [6, 7, 2, 0, 0]     |0.37011970977144615 |0.3396197105471555  |86        
 [15, 6, 16, 0, 0]   |0.39418129839442767 |0.30090992024538243 |270       
 [14, 8, 8, 4, 4]    |0.303116760320964   |0.2256800027492909  |295       
 [5, 7, 4, 20, 13]   |1.5761065162477603  |0.9791774226769991  |476       
 [19, 9, 6, 2, 4]    |0.3108364895924675  |0.22391511227742536 |328       
 [14, 5, 6, 5, 19]   |0.36505602421840355 |0.26455544012010623 |322       
 [13, 14, 2, 0, 0]   |0.3637536209274129  |0.2782379750517197  |268       
 [14, 9, 2, 0, 0]    |0.2501738747026868  |0.20482504483576744 |200       
 [16, 7, 4, 3, 0]    |0.24618856931204572 |0.1979664920313072  |218       
 [14, 9, 2, 3, 0]    |0.2598026086987346  |0.21059190167315137 |210       
 [17, 7, 7, 4, 8]    |0.33780929418056105 |0.24677611728800475 |314       
 [14, 6, 4, 3, 0]    |0.3256290678885941  |0.2722603846768113  |179       
 [16, 6, 3, 3, 0]    |0.3127559088415621  |0.25941342960615804 |187       
 [15, 5, 15, 6, 0]   |0.28698615168817254 |0.20881192420468841 |318       
 [13, 5, 4, 3, 8]    |0.32830601209160354 |0.27176728687618745 |189       
Increasing Epochs
Gen 4 Train time: 11.80546732346217 minutes:
 Average MSE:        0.34176416650379615
 Average Error:      0.478674360453181
 Structure           |Error               |MSE                 |weights&biases
