/tmp/tmp.S04S2CssC6 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k5.mat
  Evaluating with: datasets/N7dataset100k5.mat
Gen 0 Train time: 8.38912193775177 minutes:
 Average MSE:        1.0463716705347017
 Average Error:      1.2773943949753381
 Structure           |Error               |MSE                 |weights&biases
 [13, 7, 20, 1, 20]  |0.332458077560907   |0.22758271838978414 |379       
 [4, 5, 3, 2, 7]     |0.35610235791199424 |0.32480279441667886 |92        
 [10, 20, 16, 20, 0] |0.5062427345322278  |0.19637306968264995 |947       
 [1, 16, 3, 17, 0]   |4.190121882681041   |3.5279953582550205  |172       
 [9, 9, 0, 0, 0]     |0.27594583399347955 |0.24303478781096266 |127       
 [7, 11, 10, 20, 2]  |5.768351544510305   |3.5197372625716303  |494       
 [19, 0, 0, 0, 0]    |0.2571224410603248  |0.23806705931228883 |77        
 [7, 12, 9, 0, 0]    |0.6677184035261546  |0.5231491123324823  |244       
 [18, 0, 0, 0, 0]    |0.19728432131029863 |0.1833956688411288  |73        
 [5, 14, 4, 6, 0]    |1.1782911509780774  |0.9685697421170218  |196       
 [16, 4, 7, 11, 15]  |0.288472174075809   |0.18671784571445538 |435       
 [7, 0, 0, 0, 0]     |1.2325879636192039  |1.1973562417630592  |29        
 [17, 5, 7, 7, 19]   |0.3044905237655708  |0.20187323805283414 |411       
 [1, 0, 0, 0, 0]     |2.964658395915167   |2.9498721004789514  |5         
 [19, 3, 20, 17, 6]  |0.5308532995358489  |0.2719139649720799  |669       
 [6, 15, 2, 5, 0]    |2.1153622780821206  |1.7739808476725467  |176       
 [18, 11, 14, 0, 0]  |0.32768680145045925 |0.20977977260737105 |446       
 [19, 0, 0, 0, 0]    |0.24844922475212355 |0.23003661633439093 |77        
 [15, 16, 14, 0, 0]  |0.3276958483107731  |0.1883093118129839  |554       
 [1, 0, 0, 0, 0]     |3.5420670590999923  |3.524400925941817   |5         
 [12, 12, 0, 0, 0]   |0.2468719145303174  |0.20111354266947115 |205       
 [10, 20, 19, 0, 0]  |0.37169884059125996 |0.19039178170139498 |669       
 [3, 3, 0, 0, 0]     |3.0293118087224538  |2.9545178336714857  |25        
 [1, 13, 13, 0, 0]   |2.4589380386893342  |1.963501904817806   |225       
 [16, 13, 0, 0, 0]   |0.21607695517820427 |0.1628182614272541  |283       
Gen 1 Train time: 8.726786776383717 minutes:
 Average MSE:        0.5424452539229592
 Average Error:      0.731165868085794
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.2825974059122165  |0.2627027830991323  |73        
 [16, 13, 0, 0, 0]   |0.21264579679983903 |0.16023281569387524 |283       
 [12, 12, 0, 0, 0]   |0.3502680393219846  |0.2853449182583426  |205       
 [11, 3, 2, 1, 4]    |1.654408357647898   |1.5074861423243775  |93        
 [9, 6, 12, 2, 14]   |0.32706408395498016 |0.2537009286677185  |254       
 [13, 17, 10, 10, 0] |0.36485760356148783 |0.20469215145443648 |578       
 [14, 6, 10, 9, 3]   |3.0454733121087867  |2.178543051121692   |335       
 [14, 5, 8, 0, 0]    |0.2013072191910984  |0.16915783176252583 |174       
 [10, 6, 12, 2, 14]  |0.3673834610194544  |0.2824230588648361  |263       
 [15, 10, 10, 0, 0]  |0.22256565168751635 |0.16064904193216972 |326       
 [15, 6, 0, 0, 0]    |0.2102862408280253  |0.18135739713428534 |148       
 [9, 11, 5, 12, 10]  |0.5021013337909233  |0.33321967576412576 |410       
 [14, 10, 10, 0, 0]  |0.2613970242794454  |0.19114655115011037 |313       
 [15, 16, 14, 0, 0]  |0.3201514914241226  |0.18397397262354934 |554       
 [18, 8, 1, 4, 10]   |0.22969872609205563 |0.17290953933360434 |284       
 [10, 10, 15, 1, 10] |0.3095763173604269  |0.21771887023422748 |352       
 [13, 18, 1, 16, 0]  |0.38240557111822676 |0.26706224268291967 |359       
 [9, 9, 0, 0, 0]     |0.29733747793884574 |0.26187512894585574 |127       
 [10, 9, 2, 1, 4]    |1.075992884076838   |0.9123275920521495  |165       
 [10, 12, 14, 0, 0]  |0.3111116492010482  |0.21727239620870037 |359       
 [19, 2, 10, 9, 3]   |2.517819073178645   |1.94136838914086    |260       
 [16, 4, 10, 1, 10]  |1.1044541836743451  |0.8970454597062435  |208       
 [7, 13, 10, 11, 4]  |2.905179843146819   |1.872913606244675   |439       
 [10, 10, 5, 16, 19] |0.4774220378347679  |0.253256010177908   |634       
 [15, 17, 14, 0, 0]  |0.3456419169950526  |0.19275179349565685 |584       
Increasing Epochs
Gen 2 Train time: 9.850824610392253 minutes:
 Average MSE:        0.26291819755407964
 Average Error:      0.3477528564134037
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 8, 0, 0]    |0.2149233899764486  |0.180599457831443   |174       
 [15, 6, 0, 0, 0]    |0.2433579906106657  |0.20987950317241225 |148       
 [16, 13, 0, 0, 0]   |0.2581971175801759  |0.19455663726500458 |283       
 [15, 6, 4, 2, 0]    |0.24527823500377466 |0.20446426547395227 |182       
 [11, 13, 3, 8, 10]  |0.29705032638408596 |0.206417656199809   |364       
 [13, 12, 8, 1, 5]   |0.28262896837262375 |0.2019731911720326  |336       
 [17, 12, 8, 2, 5]   |0.3071832916853775  |0.20386226836469873 |410       
 [15, 10, 10, 0, 0]  |0.29680858853117403 |0.2142379788760871  |326       
 [14, 12, 5, 8, 0]   |0.24243973719622727 |0.1718725430071265  |344       
 [14, 5, 0, 0, 0]    |0.18703882568606062 |0.1653916370422309  |123       
 [15, 6, 18, 0, 0]   |0.24630164301900714 |0.18503721664647538 |286       
 [15, 15, 14, 0, 0]  |0.29459138535452795 |0.17444146857963427 |524       
 [15, 11, 11, 0, 0]  |0.2780739323938908  |0.19303799256430848 |365       
 [16, 10, 0, 0, 0]   |0.27048831042508065 |0.21512707126065003 |229       
 [10, 9, 13, 1, 7]   |0.45422603659064237 |0.3381856320911792  |295       
 [15, 6, 4, 0, 0]    |0.2643561628120456  |0.22213766348784914 |174       
 [18, 0, 0, 0, 0]    |0.2621617309809838  |0.2437057627209211  |73        
 [12, 8, 12, 1, 5]   |1.12089859437217    |0.8497022202686711  |277       
 [10, 5, 3, 8, 10]   |0.43435725217657306 |0.3430469633516142  |236       
 [20, 12, 8, 2, 5]   |0.320101360696746   |0.20308765783151334 |455       
 [11, 9, 6, 1, 7]    |1.0806253008893187  |0.8585931132718396  |230       
 [15, 8, 5, 13, 0]   |0.2799386785125058  |0.20532017168444722 |310       
 [15, 10, 7, 0, 0]   |0.26418772105404675 |0.19768204666635186 |290       
 [16, 10, 9, 0, 0]   |0.278613421124332   |0.2009036085617817  |327       
 [18, 12, 5, 0, 0]   |0.26999340890660556 |0.18969121145995688 |353       
Gen 3 Train time: 9.819646430015563 minutes:
 Average MSE:        0.26560443060301175
 Average Error:      0.34204051108960676
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 0, 0, 0]    |0.16351653212814787 |0.14459172758888017 |123       
 [14, 5, 8, 0, 0]    |0.21415139837023883 |0.17995075567972657 |174       
 [14, 12, 5, 8, 0]   |0.23090690532327304 |0.16369658487005784 |344       
 [16, 10, 10, 0, 0]  |0.31328713384117873 |0.22321158438729644 |339       
 [15, 10, 5, 11, 0]  |0.22860337475952702 |0.1630388496761398  |338       
 [13, 6, 2, 4, 5]    |0.3986530784335244  |0.3329830411029243  |180       
 [15, 6, 4, 1, 0]    |0.30950997149467235 |0.25956062811757735 |176       
 [16, 9, 6, 1, 11]   |0.26072057005528115 |0.1927606417415672  |302       
 [16, 10, 9, 0, 0]   |0.2609701620200627  |0.18818134124768687 |327       
 [15, 8, 5, 0, 0]    |0.24375020426324956 |0.1948332272732395  |224       
 [7, 12, 7, 1, 3]    |0.3117758697791225  |0.24870925498536609 |226       
 [15, 11, 7, 4, 0]   |0.266027892044813   |0.18897243551659973 |342       
 [18, 11, 9, 1, 3]   |1.2570942440287445  |0.8502736009322545  |391       
 [16, 6, 4, 1, 3]    |0.2516883222035486  |0.20751248475814169 |193       
 [17, 3, 0, 0, 0]    |0.2030573617858427  |0.18208771281030894 |109       
 [16, 10, 0, 0, 0]   |0.254110601343026   |0.2021014119142464  |229       
 [13, 8, 7, 4, 5]    |0.2493754779258684  |0.18904020251078685 |277       
 [15, 8, 4, 0, 0]    |0.1919828078796332  |0.1549970098937416  |214       
 [15, 9, 8, 0, 0]    |0.2818486981105284  |0.21344312322705666 |278       
 [17, 9, 12, 0, 0]   |0.2566860685536602  |0.18160859876799013 |346       
 [16, 6, 0, 0, 0]    |0.3249188824074693  |0.27770948758017017 |157       
 [17, 9, 5, 1, 0]    |0.34673409806400346 |0.2644251430497407  |271       
 [18, 20, 4, 1, 3]   |0.35965444703886823 |0.21106026338218292 |533       
 [15, 6, 4, 0, 0]    |0.19968174308080516 |0.16779194922982854 |174       
 [12, 3, 5, 1, 0]    |1.1723069323050805  |1.0575697048317834  |103       
Gen 4 Train time: 10.079530362288157 minutes:
 Average MSE:        0.6135940414031871
 Average Error:      0.8660540068863095
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 0, 0, 0]    |0.2393212445211185  |0.21162308020885803 |123       
 [15, 8, 4, 0, 0]    |0.22991802430805394 |0.18562394561271298 |214       
 [15, 6, 4, 0, 0]    |0.20046981022052532 |0.16845415960248195 |174       
 [6, 3, 3, 12, 18]   |1.3244669583356938  |0.9314712840119601  |352       
 [16, 8, 5, 1, 6]    |0.37310712194380935 |0.2894161357769678  |254       
 [15, 8, 5, 0, 0]    |0.2300056396824321  |0.183846988788475   |224       
 [6, 6, 8, 2, 3]     |1.4113773846975184  |1.2184335960709634  |147       
 [15, 11, 5, 10, 0]  |0.3068268022424436  |0.21578519090667636 |352       
 [16, 9, 7, 13, 0]   |0.28729734975810933 |0.19471125961526078 |389       
 [14, 5, 7, 0, 0]    |0.22178532023015055 |0.18767465177904724 |167       
 [16, 18, 6, 1, 2]   |2.461674497532954   |1.5201998529725207  |482       
 [16, 4, 4, 0, 0]    |0.23257399241828128 |0.20198802659413176 |141       
 [15, 7, 6, 3, 4]    |0.32151650519938413 |0.2511496258532313  |247       
 [11, 10, 8, 6, 0]   |0.2700709838571652  |0.19967375858776854 |302       
 [12, 8, 4, 1, 2]    |3.2123868786056384  |2.661831012933916   |188       
