/tmp/tmp.qa9W4cDGPt ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k0.mat
  Evaluating with: datasets/N8dataset100k0.mat
Gen 0 Train time: 8.12261936267217 minutes:
 Average MSE:        0.9613429277361993
 Average Error:      1.132902039269816
 Structure           |Error               |MSE                 |weights&biases
 [14, 16, 5, 18, 0]  |0.2672090079418122  |0.16304580171481864 |494       
 [10, 15, 13, 15, 0] |0.4294404214375095  |0.22894527832239536 |629       
 [8, 6, 3, 6, 0]     |0.6609127308250661  |0.5803444491747214  |130       
 [3, 11, 15, 16, 0]  |3.8322546153240213  |2.3104753957853967  |506       
 [11, 17, 0, 0, 0]   |0.5061557994041748  |0.3922284794969745  |255       
 [3, 1, 11, 4, 19]   |3.546740923430611   |2.9096393304727055  |198       
 [15, 0, 0, 0, 0]    |0.3471056068920409  |0.326565021620588   |61        
 [5, 12, 5, 8, 0]    |0.5537170435880917  |0.4492833710619328  |209       
 [5, 9, 15, 12, 0]   |0.5677907744610572  |0.37157584273484223 |424       
 [17, 13, 10, 0, 0]  |0.2934271680175875  |0.1897352081112086  |436       
 [7, 0, 0, 0, 0]     |1.9887912523767126  |1.9319445669458974  |29        
 [9, 1, 5, 0, 0]     |0.22137461428100705 |0.20994725945508538 |53        
 [9, 18, 0, 0, 0]    |0.5162426327049281  |0.4118160929602652  |226       
 [12, 15, 0, 0, 0]   |0.24649997194463513 |0.19255115904029713 |247       
 [7, 2, 0, 0, 0]     |0.9883407817835089  |0.9495873854211462  |40        
 [14, 1, 7, 0, 0]    |0.942691607604437   |0.8710846818658213  |79        
 [2, 0, 0, 0, 0]     |3.552733981164982   |3.5209028303730383  |9         
 [8, 20, 5, 0, 0]    |1.305721413190119   |0.9529009602410188  |315       
 [5, 2, 0, 0, 0]     |2.4528435619888365  |2.3803510792252793  |30        
 [6, 8, 8, 0, 0]     |1.0098640566948431  |0.8648629053486362  |155       
 [14, 0, 0, 0, 0]    |0.3824595042907749  |0.36126897952592635 |57        
 [7, 2, 19, 0, 0]    |0.2672642382862575  |0.23846864293376502 |114       
 [2, 2, 18, 0, 0]    |2.0366015493727603  |1.8706435415299214  |85        
 [7, 0, 0, 0, 0]     |1.169938246246737   |1.1364972748132653  |29        
 [19, 0, 0, 0, 0]    |0.23642947849287946 |0.2189076552300322  |77        
Gen 1 Train time: 8.536002937952677 minutes:
 Average MSE:        0.33750482483975724
 Average Error:      0.43292218153373774
 Structure           |Error               |MSE                 |weights&biases
 [9, 1, 5, 0, 0]     |0.26187048859766787 |0.24835273724500176 |53        
 [19, 0, 0, 0, 0]    |0.38737976438848887 |0.3586709933397766  |77        
 [12, 15, 0, 0, 0]   |0.24512775669725595 |0.19147926587028502 |247       
 [11, 1, 10, 0, 0]   |0.22744055403398838 |0.21079559150754532 |76        
 [13, 1, 10, 0, 0]   |0.2075875754236754  |0.1908625052215313  |84        
 [15, 14, 5, 0, 0]   |0.1986191568131088  |0.1399645541961712  |350       
 [17, 5, 4, 19, 11]  |0.3563348839722961  |0.2178639910892787  |492       
 [10, 8, 3, 9, 0]    |1.0444974761231063  |0.8628934032669717  |191       
 [15, 1, 4, 0, 0]    |0.18044272591077723 |0.16757205191290062 |74        
 [11, 9, 12, 9, 0]   |0.352601804277401   |0.23920941627898262 |388       
 [15, 8, 3, 9, 0]    |0.21295813229349259 |0.16651669661890184 |246       
 [14, 3, 2, 3, 0]    |0.2237285065579026  |0.2008248815945409  |108       
 [1, 6, 6, 12, 15]   |3.3896729988307137  |2.383889640077574   |352       
 [13, 8, 7, 8, 0]    |0.28527289967865416 |0.21410065712819018 |287       
 [12, 8, 7, 8, 0]    |0.2757870704865013  |0.20927079522191913 |276       
 [7, 2, 19, 0, 0]    |0.3600039856091229  |0.32121642030911596 |114       
 [11, 2, 13, 12, 0]  |0.5097798738773722  |0.3864409259291698  |277       
 [11, 3, 2, 3, 0]    |0.26198387303762094 |0.23943523160721983 |90        
 [11, 8, 5, 0, 0]    |0.2123120591420204  |0.17733793852471785 |180       
 [11, 7, 7, 8, 0]    |0.2421253896379666  |0.18932322337666693 |246       
 [17, 14, 3, 9, 0]   |0.241653089153899   |0.16295974087396548 |394       
 [12, 6, 3, 4, 0]    |0.2054865909963042  |0.17580594142489864 |156       
 [15, 14, 5, 5, 0]   |0.26726684768915443 |0.18277348309644922 |380       
 [9, 1, 5, 17, 0]    |0.3574369172400141  |0.3024629804460627  |167       
 [12, 1, 3, 0, 0]    |0.31568411787493855 |0.2975975548360924  |59        
Gen 2 Train time: 8.860150996843974 minutes:
 Average MSE:        0.5259009902320511
 Average Error:      0.6592171206961833
 Structure           |Error               |MSE                 |weights&biases
 [15, 1, 4, 0, 0]    |0.2103487114836774  |0.19534489419087891 |74        
 [15, 14, 5, 0, 0]   |0.24451652669107768 |0.17230788409859032 |350       
 [12, 6, 3, 4, 0]    |0.2240930154870492  |0.19172483889789993 |156       
 [11, 5, 5, 6, 0]    |0.3267704593885545  |0.2767896870694152  |166       
 [12, 7, 5, 6, 0]    |0.2051257685850993  |0.1662717164576078  |210       
 [12, 5, 18, 0, 0]   |0.3324816682566785  |0.26469672204970507 |228       
 [13, 8, 4, 5, 0]    |0.2657478688095058  |0.2136946223783908  |218       
 [14, 5, 7, 5, 0]    |0.20701796704732178 |0.16864663130404733 |205       
 [11, 3, 11, 2, 0]   |0.21547925928959347 |0.1873286686210427  |140       
 [13, 8, 9, 6, 0]    |0.2798281456838339  |0.20750919445659796 |299       
 [12, 5, 5, 1, 3]    |0.9290275661516924  |0.8020239027124972  |147       
 [14, 12, 2, 5, 0]   |0.3559172267530803  |0.27197174839237703 |269       
 [7, 4, 4, 2, 0]     |0.4232486188162     |0.38837049099764176 |86        
 [10, 11, 13, 4, 0]  |0.3416652424165776  |0.2364723846623586  |368       
 [12, 8, 5, 11, 0]   |0.2600225968113809  |0.19989026441655583 |263       
 [14, 5, 6, 1, 0]    |1.8109893987790384  |1.5401400057072376  |162       
 [14, 7, 5, 10, 6]   |0.29384676093080214 |0.213376542497125   |320       
 [13, 4, 6, 4, 0]    |0.23640249796529603 |0.20185222134447245 |158       
 [15, 3, 7, 10, 6]   |1.9005425698521292  |1.4450434762573194  |274       
 [15, 14, 11, 3, 0]  |0.37466576970164556 |0.23323215892812904 |474       
 [13, 8, 5, 0, 0]    |0.21094834435147464 |0.1723648222274023  |202       
 [4, 12, 1, 17, 16]  |3.098181979862735   |2.027524278121844   |424       
 [2, 12, 2, 5, 0]    |3.2449651218404933  |2.9686419781192575  |89        
 [12, 6, 3, 4, 14]   |0.27032760856595117 |0.2134995208758598  |236       
 [12, 4, 4, 6, 0]    |0.2182673238836973  |0.18880610101702072 |145       
Increasing Epochs
Gen 3 Train time: 10.204673453172047 minutes:
 Average MSE:        0.46789202560213355
 Average Error:      0.5887718767807096
 Structure           |Error               |MSE                 |weights&biases
 [12, 7, 5, 6, 0]    |0.214360428738374   |0.17375718649474092 |210       
