/tmp/tmp.ADUMGeOLX9 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k1.mat
  Evaluating with: datasets/N8dataset100k1.mat
Gen 0 Train time: 8.29742614030838 minutes:
 Average MSE:        0.7963449766671816
 Average Error:      0.9395949461581481
 Structure           |Error               |MSE                 |weights&biases
 [7, 0, 0, 0, 0]     |0.6914940924976326  |0.6717287465335937  |29        
 [2, 9, 0, 0, 0]     |1.9975528609758924  |1.913478637789791   |43        
 [17, 0, 0, 0, 0]    |0.20506820985303012 |0.19139563149170863 |69        
 [2, 9, 14, 0, 0]    |2.1899899608582523  |1.8146578902590704  |188       
 [3, 10, 20, 4, 0]   |3.260659758316881   |2.279439443796617   |358       
 [9, 0, 0, 0, 0]     |1.0622981468392467  |1.0237113727345064  |37        
 [7, 17, 18, 0, 0]   |0.495053386044594   |0.30026505683060056 |500       
 [8, 9, 0, 0, 0]     |0.39439740711749294 |0.35155249594917237 |115       
 [14, 15, 3, 3, 0]   |0.2618294290056889  |0.1880472493188268  |331       
 [1, 0, 0, 0, 0]     |3.526621394980189   |3.509032297393194   |5         
 [3, 0, 0, 0, 0]     |2.3968848298980796  |2.365926989063195   |13        
 [9, 0, 0, 0, 0]     |0.44797913230266656 |0.43170679893445596 |37        
 [12, 6, 0, 0, 0]    |0.2212044058389174  |0.1959946155848454  |121       
 [18, 3, 12, 11, 0]  |0.23513752260979762 |0.17177243450072416 |314       
 [4, 10, 0, 0, 0]    |1.0445398280901637  |0.9710050911876149  |73        
 [20, 7, 3, 7, 0]    |0.2456258882873882  |0.18806912831641537 |267       
 [7, 11, 1, 14, 12]  |1.2623173111634494  |0.8966848357582722  |342       
 [13, 4, 6, 18, 0]   |0.3845414922836949  |0.29355108993106593 |270       
 [11, 13, 0, 0, 0]   |0.29986614348221563 |0.2447742082647426  |203       
 [7, 8, 1, 0, 0]     |1.0249115544509113  |0.9310952668716954  |96        
 [16, 12, 10, 20, 0] |0.3343759850821834  |0.17933688276830145 |623       
 [16, 19, 2, 17, 18] |0.5300679681065993  |0.23698698879631058 |805       
 [12, 10, 6, 20, 19] |0.4128722318581724  |0.18719262729063074 |791       
 [11, 18, 0, 0, 0]   |0.274339406436399   |0.20984434664634272 |268       
 [14, 8, 15, 17, 0]  |0.29024530757415545 |0.16137429066784897 |587       
Gen 1 Train time: 8.858853324254353 minutes:
 Average MSE:        0.2791769282139905
 Average Error:      0.40356040862747705
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.25683403861464205 |0.23971006059128058 |69        
 [12, 6, 0, 0, 0]    |0.18782255759537697 |0.16641716440709278 |121       
 [18, 3, 12, 11, 0]  |0.2442708164371134  |0.17844447943134936 |314       
 [16, 4, 9, 15, 0]   |0.233723908837733   |0.168534511019522   |327       
 [15, 11, 6, 6, 0]   |0.23064499009376604 |0.16383825463827267 |342       
 [15, 10, 13, 19, 12]|0.46683714480682365 |0.19616977249878556 |867       
 [10, 8, 11, 16, 0]  |0.3063676585934613  |0.20009372452463742 |426       
 [11, 12, 2, 1, 0]   |1.900372498526036   |1.5434959156766954  |208       
 [9, 18, 0, 0, 0]    |0.19624190615255344 |0.15654572084326834 |226       
 [15, 5, 6, 6, 0]    |0.21630011164264448 |0.17532946289912027 |210       
 [19, 12, 10, 17, 5] |1.7159527849666096  |0.8436382298458168  |710       
 [15, 10, 13, 19, 0] |0.3332163995900256  |0.17675986694863    |634       
 [7, 9, 9, 14, 0]    |0.8370334049185392  |0.5969682802013571  |338       
 [13, 7, 8, 9, 0]    |0.2262603112087662  |0.1689640813502465  |292       
 [14, 8, 2, 4, 0]    |0.20863882438472126 |0.17133224833009766 |197       
 [16, 8, 2, 2, 0]    |0.2544554378697289  |0.20605141476382632 |211       
 [12, 10, 0, 0, 0]   |0.23014309926836585 |0.19280923611450554 |177       
 [20, 7, 0, 0, 0]    |0.17715859221137464 |0.14288574610194987 |215       
 [19, 4, 2, 17, 0]   |0.20699464626215944 |0.16678289379223518 |216       
 [18, 13, 4, 12, 9]  |0.30654541346546893 |0.17792567596123818 |544       
 [10, 8, 0, 0, 0]    |0.23417216786223485 |0.20624331342134403 |127       
 [17, 11, 7, 14, 9]  |0.4031090233095622  |0.22345433034316872 |590       
 [17, 11, 10, 5, 0]  |0.24696814918239823 |0.16065502715013485 |430       
 [13, 11, 2, 2, 0]   |0.23108288470276914 |0.18433900011252088 |226       
 [15, 5, 6, 6, 15]   |0.23786344518404817 |0.1720347943826672  |324       
Gen 2 Train time: 8.68954640229543 minutes:
 Average MSE:        0.3734703661189748
 Average Error:      0.4850906704250773
 Structure           |Error               |MSE                 |weights&biases
 [20, 7, 0, 0, 0]    |0.23599560647178003 |0.19034023631927116 |215       
 [12, 6, 0, 0, 0]    |0.23686305572374555 |0.2098687111441782  |121       
 [9, 18, 0, 0, 0]    |0.25119527946994685 |0.20038302148614454 |226       
 [13, 11, 2, 2, 0]   |0.21963375666176835 |0.1752058234259265  |226       
 [16, 5, 1, 9, 0]    |0.21375363612817228 |0.18087824381357015 |167       
 [17, 4, 9, 9, 0]    |0.23147463347566846 |0.1770567482734723  |268       
 [16, 4, 1, 2, 0]    |0.23692308816178434 |0.2084575797165303  |128       
 [15, 10, 4, 5, 0]   |0.3508957175284226  |0.26520127825442263 |280       
 [11, 13, 4, 5, 0]   |0.2552632494847719  |0.19369705445717772 |276       
 [12, 8, 18, 5, 0]   |0.2973955397693193  |0.19875303751269716 |403       
 [14, 8, 5, 7, 0]    |0.21633127138229327 |0.16730372893053275 |257       
 [4, 7, 17, 2, 0]    |2.282133879550142   |1.8277960876003712  |222       
 [15, 8, 6, 7, 0]    |0.2158589255810622  |0.16249139913954072 |284       
 [16, 8, 8, 11, 0]   |0.22192781603630085 |0.15375373145358667 |367       
 [18, 6, 3, 3, 0]    |0.18632598800672895 |0.15178996610738715 |205       
 [15, 11, 6, 4, 0]   |0.2375904340566328  |0.17149400778623056 |326       
 [14, 16, 2, 6, 2]   |2.3516858483611456  |1.6555486314184198  |351       
 [10, 10, 5, 7, 0]   |0.27949804642218556 |0.21876438936438097 |245       
 [11, 14, 0, 0, 0]   |0.23734214341378962 |0.1912349435708085  |216       
 [17, 9, 1, 1, 0]    |2.249918634033327   |1.793006917923001   |227       
 [16, 7, 7, 7, 0]    |0.22953709529845165 |0.17227028222467977 |287       
 [15, 9, 5, 3, 0]    |0.20821402220487872 |0.1603832885007285  |261       
 [17, 6, 2, 11, 0]   |0.20921921284215017 |0.16823849193182397 |218       
 [14, 10, 11, 11, 0] |0.25996881117763765 |0.164607140267168   |457       
 [16, 7, 0, 0, 0]    |0.21232106938482778 |0.1782344123523197  |175       
Increasing Epochs
Gen 3 Train time: 10.305899393558501 minutes:
 Average MSE:        0.5340541806389308
 Average Error:      0.8146660034460999
 Structure           |Error               |MSE                 |weights&biases
 [18, 6, 3, 3, 0]    |0.28986605673438504 |0.2361386052374256  |205       
 [15, 9, 5, 3, 0]    |0.27371060007189685 |0.21083405273177586 |261       
 [17, 6, 2, 11, 0]   |0.2150501676243328  |0.1729273110213843  |218       
 [13, 6, 10, 1, 0]   |1.0751372695015342  |0.8749822714648532  |206       
 [13, 13, 4, 4, 0]   |0.23424920452178527 |0.1731893535730489  |302       
 [14, 10, 1, 6, 0]   |0.25903064343198834 |0.20746162215817213 |222       
 [15, 9, 5, 6, 0]    |0.20577028300202257 |0.155207109527352   |282       
 [16, 7, 7, 7, 0]    |0.21521489413992076 |0.1615213022724385  |287       
 [10, 10, 5, 7, 0]   |0.3714935326181678  |0.29076967390774344 |245       
 [12, 14, 15, 13, 1] |6.819417229425855   |3.500038673387047   |667       
 [12, 12, 3, 4, 0]   |0.26015398478969093 |0.20220331576545592 |252       
 [12, 14, 6, 6, 0]   |0.23580085850091936 |0.16500695572115393 |357       
 [12, 13, 1, 1, 0]   |1.9159133415944944  |1.5329507145713046  |223       
 [1, 18, 17, 2, 3]   |5.266960875828259   |3.491926229926457   |411       
 [17, 6, 13, 10, 0]  |0.2722735279443599  |0.1823279846069544  |401       
 [13, 12, 1, 5, 0]   |0.25468990944668013 |0.20114916832668356 |236       
 [11, 12, 3, 4, 0]   |0.30423223152358825 |0.24003658020626756 |237       
 [15, 13, 16, 0, 0]  |0.28644837044050314 |0.17478529099043533 |494       
 [16, 8, 6, 5, 0]    |0.2530008919533156  |0.19140527031168203 |279       
 [16, 9, 7, 11, 0]   |0.23733886053141032 |0.16377424280616606 |371       
 [16, 16, 5, 10, 0]  |0.236045357909801   |0.14664636102339138 |476       
 [18, 6, 3, 7, 0]    |0.20880241318041048 |0.16673211344065447 |225       
 [17, 4, 5, 6, 0]    |0.2177813945697556  |0.17991630714708856 |191       
 [13, 11, 3, 4, 0]   |0.22237841266453198 |0.17318848192131353 |250       
 [17, 8, 16, 4, 0]   |0.23588977420288423 |0.1562355239270239  |412       
Increasing Epochs
Gen 4 Train time: 11.932948271433512 minutes:
 Average MSE:        0.2791208870650506
 Average Error:      0.42915013717123557
 Structure           |Error               |MSE                 |weights&biases
 [15, 9, 5, 6, 0]    |0.23009762812966525 |0.17355658577168712 |282       
 [18, 6, 3, 7, 0]    |0.19256615035527472 |0.15376719424274363 |225       
 [17, 6, 2, 11, 0]   |0.21230503485185223 |0.17071987991828003 |218       
 [9, 18, 5, 9, 3]    |3.135934818412776   |2.1232062267845238  |390       
 [15, 14, 3, 8, 13]  |0.31016582848363194 |0.1925021042904758  |477       
 [13, 12, 2, 5, 0]   |0.22208212117568424 |0.17226728077707038 |254       
 [16, 8, 13, 7, 0]   |0.2537395751864534  |0.16890027407243877 |407       
 [15, 10, 4, 9, 0]   |0.26052278577383076 |0.1922295684412005  |304       
 [15, 14, 3, 8, 0]   |0.273796864905205   |0.19197909050529494 |355       
