/tmp/tmp.AtmBItFnIo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k1.mat
  Evaluating with: datasets/N2dataset100k1.mat
Gen 0 Train time: 8.32435286839803 minutes:
 Average MSE:        1.051676418986547
 Average Error:      1.3797288705676143
 Structure           |Error               |MSE                 |weights&biases
 [17, 9, 16, 5, 8]   |0.9719199000921819  |0.5807227182263767  |515       
 [3, 10, 20, 9, 11]  |2.601019538133814   |1.4563065908058188  |580       
 [10, 19, 0, 0, 0]   |0.6033076270547676  |0.46564671653873396 |259       
 [12, 4, 0, 0, 0]    |0.565399210602125   |0.515188085773225   |93        
 [9, 18, 14, 4, 11]  |0.8814236165451286  |0.48373553708804584 |600       
 [2, 8, 6, 17, 0]    |2.1274834739856883  |1.7056389881360583  |221       
 [19, 0, 0, 0, 0]    |0.48340093972638937 |0.4475760253165089  |77        
 [2, 10, 0, 0, 0]    |2.2352079056209098  |2.1325836937472777  |47        
 [11, 1, 0, 0, 0]    |0.6294631849988261  |0.6005628920544763  |47        
 [10, 17, 16, 20, 0] |1.5459228206166795  |0.6502626160069415  |866       
 [12, 10, 0, 0, 0]   |0.6802066937797345  |0.5698634173458841  |177       
 [7, 1, 0, 0, 0]     |0.6586290663275326  |0.6385247915224126  |31        
 [2, 9, 0, 0, 0]     |3.4290163540731475  |3.28469382229279    |43        
 [9, 0, 0, 0, 0]     |0.5345886326133036  |0.5151703074783233  |37        
 [7, 7, 0, 0, 0]     |0.5291367125801942  |0.48601857063271153 |85        
 [7, 20, 11, 17, 7]  |1.8468360970780815  |0.8723836006544433  |750       
 [20, 5, 17, 4, 20]  |0.6860178154281005  |0.43307182740614875 |460       
 [19, 19, 17, 0, 0]  |0.9379230486797313  |0.4235484485851556  |795       
 [9, 0, 0, 0, 0]     |0.7355262831586907  |0.7088091260020206  |37        
 [9, 17, 2, 7, 1]    |5.161500506497794   |3.9638958139149927  |264       
 [8, 14, 7, 19, 0]   |0.9180863561072118  |0.5990178851576806  |427       
 [4, 19, 6, 7, 0]    |1.880831816282732   |1.4158274555998132  |284       
 [2, 18, 0, 0, 0]    |1.5673758077505273  |1.448317822970854   |79        
 [12, 12, 2, 2, 0]   |1.5921919338958355  |1.2688508415163193  |227       
 [6, 10, 0, 0, 0]    |0.6908064225612289  |0.6256928798906672  |99        
Gen 1 Train time: 8.482550207773844 minutes:
 Average MSE:        0.6911686711503999
 Average Error:      0.9062500186059679
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.41849296117652707 |0.38747838655908334 |77        
 [7, 7, 0, 0, 0]     |0.5982714408088224  |0.5495196677894627  |85        
 [9, 0, 0, 0, 0]     |0.5755690364422553  |0.5546621446652511  |37        
 [9, 11, 4, 9, 0]    |0.6661314314525125  |0.5239975431126913  |240       
 [18, 19, 5, 0, 0]   |0.7848221204347414  |0.46612651744158484 |521       
 [8, 4, 0, 0, 0]     |0.49408960070657637 |0.46299528881526564 |65        
 [10, 10, 4, 0, 0]   |0.6660281166384354  |0.551329088032603   |189       
 [13, 1, 5, 9, 0]    |0.6035256718093499  |0.5315453814393152  |127       
 [17, 11, 7, 10, 19] |1.1030608305903615  |0.5804735104865844  |642       
 [7, 9, 0, 0, 0]     |0.5166025943466863  |0.46604113493067567 |103       
 [10, 7, 7, 2, 6]    |0.7082974871777352  |0.577589948399957   |204       
 [5, 16, 11, 10, 15] |1.4330016982360974  |0.7872348478961161  |599       
 [20, 3, 1, 3, 9]    |0.7579527690946228  |0.6337287817043332  |179       
 [14, 14, 8, 3, 4]   |0.795642053259232   |0.5227740808051005  |420       
 [7, 4, 0, 0, 0]     |0.6697061574578457  |0.6319681802831963  |58        
 [7, 15, 6, 9, 4]    |3.685881285640514   |2.610416146956674   |345       
 [15, 3, 9, 2, 10]   |0.6478528562670047  |0.5357478369412958  |190       
 [9, 9, 7, 2, 6]     |0.9057047737694462  |0.7210535426466375  |228       
 [14, 17, 12, 10, 0] |1.0740563256794762  |0.5584682222267838  |654       
 [13, 5, 8, 3, 4]    |0.6268679847473754  |0.5106763215186809  |205       
 [6, 1, 0, 0, 0]     |0.754756252583207   |0.7346504830626464  |27        
 [15, 10, 8, 3, 4]   |1.8865585635082451  |1.3414542724356253  |341       
 [15, 10, 0, 0, 0]   |0.4798882373958188  |0.38666289382365215 |216       
 [12, 10, 0, 0, 0]   |0.4651064031605146  |0.3896567422200807  |177       
 [5, 6, 0, 0, 0]     |1.3383838127657952  |1.2629658145667046  |58        
Gen 2 Train time: 8.49291009902954 minutes:
 Average MSE:        0.6969667619737198
 Average Error:      0.8649457984805159
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.43469223527363104 |0.4024771300813825  |77        
 [12, 10, 0, 0, 0]   |0.6702828542353318  |0.5615494251907337  |177       
 [15, 10, 0, 0, 0]   |0.5900407838545176  |0.4754166890966844  |216       
 [13, 8, 4, 2, 2]    |2.364724989396886   |1.924491412683965   |206       
 [9, 6, 2, 5, 0]     |0.5647294904938291  |0.4998693871559327  |122       
 [11, 14, 5, 16, 0]  |0.6905678107756666  |0.46802147113119263 |389       
