/tmp/tmp.5CquZNdwuG ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k3.mat
  Evaluating with: datasets/N2dataset100k3.mat
Gen 0 Train time: 8.361955801645914 minutes:
 Average MSE:        0.9920785347813529
 Average Error:      1.1944162596747658
 Structure           |Error               |MSE                 |weights&biases
 [10, 4, 2, 0, 0]    |0.6121565386220439  |0.5611498778968989  |87        
 [5, 20, 0, 0, 0]    |0.7517435943751944  |0.6431611409702407  |156       
 [2, 0, 0, 0, 0]     |3.958479388100255   |3.9230129121475295  |9         
 [17, 11, 7, 2, 19]  |1.0850914572001094  |0.708690963392929   |426       
 [18, 13, 2, 13, 15] |0.9390879376571163  |0.5184839772913827  |594       
 [19, 12, 0, 0, 0]   |0.49384416965205596 |0.36220850308041197 |310       
 [13, 6, 0, 0, 0]    |0.46029004121877465 |0.4041785820924429  |130       
 [4, 17, 3, 10, 0]   |0.8836859611007788  |0.722055316709207   |202       
 [14, 14, 3, 0, 0]   |0.85963674473424    |0.6361980474141464  |301       
 [14, 0, 0, 0, 0]    |0.4152804121786398  |0.3922714144680285  |57        
 [5, 10, 11, 3, 5]   |1.5375453271748523  |1.1879001889235776  |258       
 [16, 15, 17, 9, 0]  |0.8699301109493962  |0.4121605163147276  |747       
 [6, 17, 3, 3, 0]    |0.6831229041342876  |0.5553923444177515  |207       
 [11, 8, 0, 0, 0]    |0.5748691026226439  |0.5007677232196662  |138       
 [6, 14, 14, 0, 0]   |0.8927462512216681  |0.6347951746990445  |341       
 [18, 7, 10, 1, 5]   |0.7346158484028604  |0.5474919220563186  |294       
 [15, 0, 0, 0, 0]    |0.5197506249789264  |0.4889934668682795  |61        
 [9, 20, 1, 2, 17]   |0.7276138478383057  |0.5278280029643097  |321       
 [6, 10, 11, 0, 0]   |0.8692068916141923  |0.6968576636302899  |221       
 [2, 10, 0, 0, 0]    |3.0707683781241073  |2.929781410487234   |47        
 [14, 4, 8, 2, 0]    |0.5876575352670652  |0.4992686637683349  |163       
 [1, 0, 0, 0, 0]     |2.790653755609336   |2.776735311937215   |5         
 [9, 0, 0, 0, 0]     |0.6471371535344099  |0.6236306311588271  |37        
 [13, 11, 1, 2, 0]   |0.7244761191683754  |0.5860756046371963  |212       
 [4, 5, 5, 20, 7]    |4.171016396389511   |2.9628740089878316  |342       
Gen 1 Train time: 8.696083994706472 minutes:
 Average MSE:        1.0197490580832766
 Average Error:      1.3919046999283369
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.5331948843163345  |0.5036527255417791  |57        
 [13, 6, 0, 0, 0]    |0.4710971164187783  |0.41366822544718096 |130       
 [19, 12, 0, 0, 0]   |0.4944405638244434  |0.3626459265708594  |310       
 [9, 12, 6, 2, 3]    |2.9658079293436184  |2.305158607205484   |252       
 [12, 20, 1, 1, 9]   |1.7984986919687158  |1.2711884583480813  |347       
 [17, 6, 0, 0, 0]    |0.460684654730445   |0.3902212019382672  |166       
 [7, 9, 19, 14, 2]   |7.013998345001836   |3.864792198922609   |596       
 [15, 11, 9, 5, 0]   |0.6156701232383848  |0.41893312704971575 |385       
 [16, 9, 0, 0, 0]    |0.4116281938307895  |0.33332583656135273 |211       
 [14, 6, 6, 1, 3]    |2.396087000538844   |1.9794855551905866  |191       
 [12, 12, 5, 2, 9]   |0.7473913168017668  |0.5503689651904963  |306       
