/tmp/tmp.tVLuwE8Y1A ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k4.mat
  Evaluating with: datasets/N2dataset100k4.mat
Gen 0 Train time: 8.204208278656006 minutes:
 Average MSE:        1.0559744455489704
 Average Error:      1.3098578651597028
 Structure           |Error               |MSE                 |weights&biases
 [5, 18, 7, 11, 10]  |2.309750697532086   |1.4363994429548608  |475       
 [12, 18, 0, 0, 0]   |0.5924775186094827  |0.44377289286518967 |289       
 [2, 15, 7, 0, 0]    |3.4207045694990255  |2.8830436076467287  |171       
 [13, 6, 0, 0, 0]    |0.585724461703278   |0.5143219736000537  |130       
 [15, 20, 8, 5, 0]   |0.942759000703581   |0.5257420448295613  |584       
 [2, 12, 11, 0, 0]   |2.7555126096179516  |2.2628011449931806  |197       
 [19, 0, 0, 0, 0]    |0.43910976979372246 |0.40656728047149154 |77        
 [10, 9, 7, 11, 0]   |0.7464440236406681  |0.5535325893472669  |299       
 [15, 0, 0, 0, 0]    |0.4017649809965291  |0.3779898310497015  |61        
 [20, 14, 0, 0, 0]   |0.47867288847575007 |0.33096659838578024 |369       
 [5, 16, 17, 0, 0]   |1.9008660928801144  |1.2514584368457466  |418       
 [2, 14, 0, 0, 0]    |1.6572496005907114  |1.5560636967485713  |63        
 [15, 14, 6, 0, 0]   |0.8600586286211165  |0.5964530681533653  |366       
 [9, 6, 11, 16, 0]   |0.7945352571659937  |0.5471688078789514  |373       
 [1, 0, 0, 0, 0]     |4.0687821916765445  |4.048489055835114   |5         
 [5, 20, 7, 0, 0]    |0.775751252802428   |0.5804663999754862  |290       
 [8, 12, 5, 14, 0]   |0.8002431615041374  |0.5952108028858996  |296       
 [3, 2, 9, 2, 0]     |2.4757711822160124  |2.315329329216293   |67        
 [14, 1, 14, 0, 0]   |0.5221979287478057  |0.4725042255518905  |100       
 [13, 0, 0, 0, 0]    |0.5086644788405348  |0.48240722479208803 |53        
 [18, 15, 5, 0, 0]   |0.8927286076767953  |0.5836389900201262  |425       
 [20, 0, 0, 0, 0]    |0.40381596236367173 |0.37239653299641134 |81        
 [10, 10, 11, 0, 0]  |0.726693112011027   |0.553080886371218   |273       
 [14, 0, 0, 0, 0]    |0.5131558150382541  |0.4847239395460794  |57        
 [3, 14, 9, 14, 0]   |3.1730128362853613  |2.224832335763205   |355       
Gen 1 Train time: 8.089417270819347 minutes:
 Average MSE:        0.5241922458216388
 Average Error:      0.6345577509046719
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.5422208258058708  |0.5101339540087029  |61        
 [20, 0, 0, 0, 0]    |0.4189317849193466  |0.38633624919825077 |81        
 [19, 0, 0, 0, 0]    |0.38568090762313206 |0.357098039098002   |77        
 [14, 1, 7, 0, 0]    |0.6437741486995205  |0.594873015724005   |79        
 [14, 10, 4, 3, 0]   |0.616597259931194   |0.4778113893182792  |255       
 [5, 1, 7, 0, 0]     |0.8757426650419101  |0.8388838736113021  |43        
 [16, 9, 0, 0, 0]    |0.535673691320574   |0.43377466354196664 |211       
 [20, 6, 0, 0, 0]    |0.5518845686272164  |0.45501887863867746 |193       
 [10, 15, 3, 7, 0]   |1.5750139613187588  |1.191560909858442   |279       
 [13, 9, 0, 0, 0]    |0.5262238566193763  |0.4417423109353842  |175       
 [16, 3, 0, 0, 0]    |0.42494455808216475 |0.3833539480801038  |103       
 [14, 10, 4, 3, 3]   |0.7044819744956713  |0.5394028772040919  |267       
 [14, 1, 7, 16, 0]   |0.5806600093456878  |0.4678582679160053  |216       
 [12, 5, 6, 0, 0]    |0.5706641586206396  |0.4941311032061265  |144       
 [14, 3, 0, 0, 0]    |0.4545233728642658  |0.4149878894427454  |91        
 [15, 1, 7, 0, 0]    |0.6516409608065842  |0.599738505853964   |83        
 [16, 8, 3, 0, 0]    |0.6081616012915213  |0.49050753376621287 |215       
 [16, 0, 0, 0, 0]    |0.48853313226412676 |0.45778850302656277 |65        
 [18, 7, 0, 0, 0]    |0.5805100684767697  |0.4776638036931586  |195       
 [17, 0, 0, 0, 0]    |0.5097526327127537  |0.4757657323509175  |69        
 [15, 6, 0, 0, 0]    |0.5601179078365826  |0.4830631117545098  |148       
 [7, 16, 6, 7, 0]    |0.7690815692688343  |0.565209826054119   |308       
 [17, 20, 0, 0, 0]   |0.6481111558734954  |0.4207598395273224  |432       
 [6, 19, 11, 5, 7]   |1.0143440036699336  |0.6270318775510808  |481       
 [15, 5, 4, 6, 0]    |0.6266729971008671  |0.5203100421810392  |186       
Gen 2 Train time: 8.272525533040364 minutes:
 Average MSE:        0.7892067571351294
 Average Error:      1.0983644778164254
