/tmp/tmp.6uMEbPGBsN ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k7.mat
  Evaluating with: datasets/N2dataset100k7.mat
Gen 0 Train time: 8.441629588603973 minutes:
 Average MSE:        0.842859755862047
 Average Error:      1.1084659528941263
 Structure           |Error               |MSE                 |weights&biases
 [3, 11, 0, 0, 0]    |0.8747223077936305  |0.8196738141238056  |65        
 [2, 16, 17, 0, 0]   |2.130564123519429   |1.4849584489800223  |361       
 [8, 5, 7, 13, 0]    |0.8179643986552365  |0.6505504256418453  |229       
 [7, 18, 10, 3, 10]  |0.8637434978201243  |0.5568388315748493  |439       
 [4, 19, 1, 11, 0]   |1.5746344243122727  |1.3404738003094112  |161       
 [13, 19, 0, 0, 0]   |0.6188799828421067  |0.44715771622495837 |325       
 [4, 2, 0, 0, 0]     |0.9198020138165091  |0.8970920211788627  |25        
 [6, 13, 4, 0, 0]    |1.62323863410506    |1.3694693245344098  |170       
 [9, 0, 0, 0, 0]     |0.5397919383991964  |0.5201846090891118  |37        
 [9, 19, 0, 0, 0]    |0.5901594995447589  |0.46563070368164733 |237       
 [11, 20, 13, 0, 0]  |0.801362319890741   |0.4577454205485047  |560       
 [3, 3, 12, 8, 0]    |1.5979883208269177  |1.3320852062100086  |182       
 [2, 5, 0, 0, 0]     |2.4551411310870868  |2.3897392194723914  |27        
 [9, 17, 9, 0, 0]    |0.7753537489815716  |0.5360992841337686  |369       
 [18, 17, 8, 14, 0]  |0.7495949115469496  |0.3866550464424524  |662       
 [10, 4, 14, 12, 0]  |0.7228757186467926  |0.5160673656929767  |337       
 [9, 16, 17, 2, 0]   |0.9252471022477309  |0.5528356937618204  |515       
 [20, 5, 0, 0, 0]    |0.6673389660580018  |0.562447677411929   |171       
 [13, 20, 10, 0, 0]  |0.8491961005983196  |0.49486754354647744 |540       
 [16, 14, 0, 0, 0]   |0.6886117147863758  |0.5096262241663921  |301       
 [14, 11, 0, 0, 0]   |0.5850996052178897  |0.4700232201546438  |219       
 [1, 14, 0, 0, 0]    |2.2851392963939405  |2.182403917507178   |46        
 [15, 12, 6, 20, 19] |1.0545616634811983  |0.44004653149585266 |874       
 [18, 0, 0, 0, 0]    |0.4049218401633178  |0.3764156787113916  |73        
 [3, 18, 20, 10, 0]  |2.5957155616179977  |1.3124061719564601  |682       
Gen 1 Train time: 8.677960626284282 minutes:
 Average MSE:        0.7002968949208649
 Average Error:      0.9463337641728531
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.43390436862863685 |0.40335786122899836 |73        
