/tmp/tmp.c5Kw90bjIn ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k1.mat
  Evaluating with: datasets/N3dataset100k1.mat
Gen 0 Train time: 8.149754591782887 minutes:
 Average MSE:        1.0538609304655122
 Average Error:      1.3753569475971492
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.45931580273889827 |0.423578135666628   |81        
 [14, 16, 2, 20, 4]  |3.7710574094636646  |2.3687335425696334  |465       
 [3, 0, 0, 0, 0]     |3.1567482357382457  |3.115976101750505   |13        
 [1, 13, 15, 11, 0]  |3.952226170574689   |2.5786835264612336  |427       
 [6, 19, 0, 0, 0]    |0.6287858229072669  |0.52995425663935    |171       
 [11, 13, 0, 0, 0]   |0.3973035727400771  |0.32431026166838206 |203       
 [4, 19, 3, 20, 0]   |1.5016989901234703  |1.1486612424197553  |268       
 [15, 15, 17, 0, 0]  |0.661132824198701   |0.3720226591047021  |575       
 [4, 4, 5, 14, 0]    |0.616417153024744   |0.5273813603726581  |156       
 [15, 11, 0, 0, 0]   |0.44098330167326516 |0.3493264982850276  |233       
 [14, 0, 0, 0, 0]    |0.35385857453738423 |0.33425271090250497 |57        
 [16, 7, 4, 7, 0]    |0.4189581809838914  |0.32890570811728137 |242       
 [15, 3, 7, 5, 11]   |0.42687237401439526 |0.3361256601726951  |239       
 [11, 0, 0, 0, 0]    |0.49042067913422666 |0.4688409342911994  |45        
 [10, 16, 0, 0, 0]   |0.4094819899255255  |0.32763262065809595 |223       
 [8, 0, 0, 0, 0]     |0.6855485839705087  |0.6632946894631264  |33        
 [11, 13, 20, 12, 4] |5.140485322449732   |2.361146947585125   |778       
 [1, 3, 20, 0, 0]    |2.860280288624799   |2.562336719065901   |110       
 [6, 20, 8, 0, 0]    |0.6000353875637505  |0.42922816588366997 |335       
 [18, 0, 0, 0, 0]    |0.3959255740365756  |0.3680527422528391  |73        
 [14, 8, 9, 6, 15]   |0.6401262942250935  |0.4189139343787178  |424       
 [12, 0, 0, 0, 0]    |0.43265010480462524 |0.4119612655570446  |49        
 [2, 0, 0, 0, 0]     |2.047191317546212   |2.0288492587615568  |9         
 [2, 14, 3, 0, 0]    |1.946932595325199   |1.7669503704240248  |97        
 [4, 11, 0, 0, 0]    |1.9494871396037874  |1.801403949186152   |79        
Gen 1 Train time: 8.382532771428426 minutes:
 Average MSE:        0.5622610192774163
 Average Error:      0.8173875432841655
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.40422270466982363 |0.381826369534411   |57        
 [18, 0, 0, 0, 0]    |0.3817041684944614  |0.3548325118567564  |73        
 [11, 13, 0, 0, 0]   |0.4291810573800698  |0.35033115877138715 |203       
 [14, 6, 0, 0, 0]    |0.4237739085948218  |0.368779932988519   |139       
 [6, 1, 9, 13, 19]   |1.8595148814265372  |1.1750558016909074  |459       
 [19, 5, 0, 0, 0]    |0.44581156310762726 |0.3787575757095752  |163       
 [5, 12, 11, 7, 0]   |0.8052363828605431  |0.5835533494468323  |322       
 [17, 2, 4, 3, 6]    |0.45806600297970573 |0.39623730429357673 |145       
 [13, 10, 4, 8, 6]   |0.5203391096348577  |0.37633538716312226 |324       
 [10, 8, 3, 7, 0]    |0.4639790663113854  |0.3871605386248784  |181       
 [10, 10, 0, 0, 0]   |0.5056045355752379  |0.43474289634602464 |151       
 [16, 7, 0, 0, 0]    |0.3668468015680018  |0.3079521231229874  |175       
 [15, 8, 9, 0, 0]    |0.4842587622153723  |0.37189791572831465 |264       
 [14, 4, 2, 4, 13]   |0.45093167480789115 |0.36808571451529043 |203       
 [13, 8, 9, 0, 0]    |0.392169674790257   |0.3078752258425832  |242       
 [13, 0, 0, 0, 0]    |0.4338581425979967  |0.4114623906926348  |53        
 [6, 0, 0, 0, 0]     |0.8385859059452495  |0.817881146155661   |25        
