/tmp/tmp.mmnb9PHKrP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k5.mat
  Evaluating with: datasets/N3dataset100k5.mat
Gen 0 Train time: 8.230873505274454 minutes:
 Average MSE:        1.0637613173553055
 Average Error:      1.3415525603757317
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.35751250310739174 |0.33501333441254966 |65        
 [13, 11, 19, 2, 16] |0.5841652654609718  |0.3452207030892105  |526       
 [6, 20, 5, 0, 0]    |0.4760744761885666  |0.36378910016574223 |269       
 [20, 17, 6, 0, 0]   |0.5360316570800803  |0.3148805060690582  |532       
 [8, 18, 9, 0, 0]    |0.5299429199036966  |0.3671495662322686  |367       
 [1, 0, 0, 0, 0]     |3.1058687384961354  |3.0903781535380888  |5         
 [5, 12, 9, 0, 0]    |0.6584109300401982  |0.5315670010492358  |214       
 [5, 2, 3, 0, 0]     |0.605247968048581   |0.5815158557694794  |40        
 [2, 5, 8, 0, 0]     |2.0526860397236826  |1.898661565606945   |78        
 [1, 15, 3, 19, 0]   |2.048284364217559   |1.7160112332960042  |177       
 [18, 15, 0, 0, 0]   |0.32015191527270537 |0.22448202078158194 |355       
 [4, 20, 6, 14, 10]  |4.11997679024925    |2.506400173580924   |497       
 [6, 0, 0, 0, 0]     |1.5912407080132929  |1.5519528349483465  |25        
 [2, 10, 12, 5, 0]   |2.380555908699082   |1.8744851508298948  |239       
 [13, 0, 0, 0, 0]    |0.43028673449109883 |0.4080753386276356  |53        
 [3, 0, 0, 0, 0]     |2.3294481518824544  |2.2993613140755     |13        
 [7, 18, 13, 20, 0]  |0.9311277913045953  |0.4564122829300887  |713       
 [8, 1, 0, 0, 0]     |0.46627686426526754 |0.4502394656101365  |35        
 [1, 0, 0, 0, 0]     |3.670341481455204   |3.652035576946485   |5         
 [18, 2, 14, 13, 0]  |0.4325721352302395  |0.3069697164155679  |343       
 [20, 11, 20, 17, 0] |1.0468738444888304  |0.42308102587763424 |906       
 [5, 6, 19, 17, 0]   |3.168001898836874   |1.84245896475938    |542       
 [13, 5, 20, 17, 17] |1.0144265451715775  |0.4083312579343114  |910       
 [13, 0, 0, 0, 0]    |0.3557589602330727  |0.33739468714653087 |53        
 [15, 0, 0, 0, 0]    |0.32754941753288236 |0.3081661041900313  |61        
Gen 1 Train time: 8.217007207870484 minutes:
 Average MSE:        0.5533138824258339
 Average Error:      0.7579203753905273
 Structure           |Error               |MSE                 |weights&biases
 [18, 15, 0, 0, 0]   |0.3844767189003733  |0.2695848648249092  |355       
 [15, 0, 0, 0, 0]    |0.3195470031752482  |0.3006372467880519  |61        
 [13, 0, 0, 0, 0]    |0.36306370172412433 |0.3443223579729944  |53        
 [18, 4, 8, 0, 0]    |0.3297768358728875  |0.27572835795780914 |179       
 [6, 11, 4, 0, 0]    |1.2652751655144072  |1.0912126717030712  |148       
 [18, 9, 7, 7, 0]    |0.4224054642134109  |0.2949971420774012  |359       
 [17, 8, 0, 0, 0]    |0.3171184625414135  |0.2585981734112897  |204       
 [10, 13, 0, 0, 0]   |0.3454995559173347  |0.2865724425795719  |187       
 [16, 19, 0, 0, 0]   |0.36586064102742566 |0.24746087746676454 |391       
 [6, 16, 7, 0, 0]    |1.0615606674906815  |0.8209772772209261  |257       
 [17, 4, 0, 0, 0]    |0.4345780621220145  |0.3823649764601854  |128       
 [16, 1, 2, 0, 0]    |0.5065490030737834  |0.4713594976025209  |72        
 [10, 9, 7, 14, 0]   |0.4897613178742339  |0.35351225984501555 |326       
 [14, 0, 0, 0, 0]    |0.3619563837111375  |0.3419018534228941  |57        
 [13, 17, 5, 0, 0]   |0.4512998711223379  |0.31079453082891206 |373       
 [15, 1, 0, 0, 0]    |0.46142028337290675 |0.4332475637007813  |63        
 [11, 12, 15, 9, 9]  |1.8654803026659195  |1.0075468901836024  |616       
 [10, 4, 18, 17, 5]  |3.6396556480996547  |2.031732901579083   |583       
 [6, 3, 0, 0, 0]     |0.4856851628564866  |0.46524334948678925 |43        
 [15, 12, 0, 0, 0]   |0.4006493383973667  |0.3120260184809095  |250       
 [17, 1, 7, 18, 0]   |0.42449058977458953 |0.33191862641647507 |246       
 [12, 9, 5, 0, 0]    |0.48441569578314647 |0.39305258762933326 |209       
 [2, 9, 5, 0, 0]     |1.513978628134854   |1.3850566464354923  |89        
 [6, 16, 7, 6, 15]   |1.7136016332423154  |1.1281705898938341  |418       
 [16, 18, 7, 13, 0]  |0.5399032481551326  |0.29482735667723076 |605       
Gen 2 Train time: 8.250735533237457 minutes:
 Average MSE:        0.48417345919989446
 Average Error:      0.6110625940875526
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 0, 0, 0]    |0.34746017244324673 |0.2833406961137156  |204       
 [15, 0, 0, 0, 0]    |0.3433470303770638  |0.32302886548682125 |61        
 [18, 4, 8, 0, 0]    |0.3233663439194392  |0.2703685078174938  |179       
 [14, 0, 0, 0, 0]    |0.35135273263708466 |0.33188570750471186 |57        
 [15, 2, 0, 0, 0]    |0.35915126197902386 |0.33153840075822594 |80        
 [15, 9, 3, 0, 0]    |0.8578970876308819  |0.6864161989800199  |223       
 [16, 10, 8, 0, 0]   |0.37596179220784665 |0.27437273310354143 |315       
 [8, 6, 4, 7, 6]     |1.4683474312811426  |1.206999553271387   |196       
 [16, 4, 14, 0, 0]   |0.3503037490015984  |0.28651779112833015 |201       
 [13, 16, 0, 0, 0]   |0.41012563624548726 |0.30996628782852426 |280       
 [11, 16, 6, 13, 6]  |0.8077770714004817  |0.48555186921609594 |509       
 [6, 19, 0, 0, 0]    |0.6000440863659495  |0.5057301010232902  |171       
 [8, 10, 13, 5, 11]  |1.5071795948077413  |1.0052538395358348  |405       
 [18, 9, 4, 4, 0]    |0.41407317545841926 |0.309835871507102   |290       
 [6, 1, 14, 16, 8]   |1.7245933799879465  |1.1129245730512292  |438       
 [17, 5, 5, 4, 0]    |0.3842744048167008  |0.3146172728441707  |200       
 [17, 6, 0, 0, 0]    |0.31799956518713485 |0.26936033416562905 |166       
 [2, 11, 0, 0, 0]    |1.6277568923259045  |1.5468226555894555  |51        
 [7, 2, 4, 0, 0]     |0.39247536707691066 |0.371843763779744   |54        
