/tmp/tmp.7eiHK58hKo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k4.mat
  Evaluating with: datasets/N4dataset100k4.mat
Gen 0 Train time: 8.288437310854594 minutes:
 Average MSE:        1.0448464537840174
 Average Error:      1.4326604444449185
 Structure           |Error               |MSE                 |weights&biases
 [1, 10, 0, 0, 0]    |2.063171243745358   |1.9942025333917868  |34        
 [10, 11, 18, 16, 1] |7.302852511127348   |3.6629360555004276  |690       
 [20, 14, 0, 0, 0]   |0.32561901066862653 |0.2251412581019785  |369       
 [15, 11, 12, 19, 20]|0.7555580166696596  |0.2689314652663957  |1033      
 [20, 4, 0, 0, 0]    |0.36214325975060946 |0.31201144776995615 |149       
 [7, 2, 16, 0, 0]    |0.4542989018017504  |0.41024533361769777 |102       
 [5, 0, 0, 0, 0]     |1.6305825685082502  |1.5966973743796589  |21        
 [8, 18, 0, 0, 0]    |0.45131820802893063 |0.36766516701837687 |205       
 [14, 0, 0, 0, 0]    |0.35036689098539664 |0.33095448732719285 |57        
 [11, 1, 13, 0, 0]   |1.0987309404024455  |1.0091978660116117  |85        
 [15, 10, 5, 0, 0]   |0.4671503794062549  |0.35804232920390006 |266       
 [6, 0, 0, 0, 0]     |0.7901452023475609  |0.7706364477912088  |25        
 [5, 5, 0, 0, 0]     |0.6401675723117796  |0.6083375895344092  |51        
 [9, 1, 7, 14, 2]    |4.429387313862539   |3.6410105641233557  |196       
 [3, 3, 7, 17, 15]   |1.7865781095511712  |1.1154993136843971  |471       
 [4, 3, 0, 0, 0]     |0.5999120297075538  |0.5816000587959326  |31        
 [1, 17, 5, 8, 3]    |3.7564060081099764  |3.057087457347788   |206       
 [19, 13, 6, 15, 0]  |0.44831717495728224 |0.2660012376873571  |522       
 [18, 19, 4, 0, 0]   |0.5394177157845211  |0.3271733830154674  |500       
 [17, 18, 0, 0, 0]   |0.3436855477847974  |0.23176574321989712 |394       
 [5, 17, 13, 5, 2]   |5.65268584822662    |3.6551268686077387  |436       
 [13, 3, 0, 0, 0]    |0.4021911876028733  |0.36941754649125025 |85        
 [8, 6, 12, 6, 0]    |0.5277299818430885  |0.41223136401421084 |247       
 [8, 3, 8, 0, 0]     |0.35168432199654215 |0.32077308110731984 |92        
 [19, 8, 0, 0, 0]    |0.2864111659420249  |0.22847537159112458 |226       
Gen 1 Train time: 8.119722135861714 minutes:
 Average MSE:        0.2923348912532233
 Average Error:      0.37424187974831385
 Structure           |Error               |MSE                 |weights&biases
 [19, 8, 0, 0, 0]    |0.2405298005335704  |0.19187497587566307 |226       
 [20, 14, 0, 0, 0]   |0.3368015045086446  |0.23287311849517103 |369       
 [17, 18, 0, 0, 0]   |0.3603217524848093  |0.24298443533979652 |394       
 [14, 13, 0, 0, 0]   |0.3279856616247216  |0.2551801822945996  |251       
 [10, 11, 4, 10, 10] |0.4669995023985267  |0.32257258869722405 |370       
 [19, 8, 7, 0, 0]    |0.3556413803546779  |0.2666462476008138  |288       
 [14, 16, 0, 0, 0]   |0.3076062698446482  |0.22810832380450377 |299       
 [11, 7, 17, 0, 0]   |0.35041570244227593 |0.2672327952818484  |271       
 [20, 9, 3, 8, 0]    |0.42824375809224574 |0.31096879257150284 |320       
 [14, 9, 4, 0, 0]    |0.3739764106809381  |0.29952345321309165 |222       
 [16, 4, 0, 0, 0]    |0.33552602922259234 |0.2972874562185684  |121       
 [7, 7, 0, 0, 0]     |0.43377521199502656 |0.3984278608862783  |85        
 [17, 10, 5, 0, 0]   |0.32475534911601417 |0.2425170766088824  |292       
 [6, 4, 8, 9, 0]     |0.5597499999458401  |0.46894723434137175 |177       
 [16, 14, 3, 0, 0]   |0.4004319657018936  |0.28644423605958647 |335       
 [15, 11, 0, 0, 0]   |0.347468583107016   |0.2752484797956528  |233       
 [12, 7, 0, 0, 0]    |0.3921587762978216  |0.3426353627595151  |135       
 [17, 9, 3, 0, 0]    |0.3099553553633054  |0.2421187412522566  |247       
 [13, 11, 4, 0, 0]   |0.46666295624715226 |0.3648941370390739  |246       
 [8, 3, 12, 0, 0]    |0.44060492335078233 |0.393920301548152   |112       
 [15, 16, 0, 0, 0]   |0.32984381782717637 |0.23999528159236938 |318       
 [10, 7, 3, 0, 0]    |0.32127717030339    |0.28070497575617825 |135       
 [15, 11, 20, 0, 0]  |0.5391522428443062  |0.3329518834123385  |482       
 [16, 9, 0, 0, 0]    |0.2791911609999814  |0.22608176188026013 |211       
 [8, 3, 8, 0, 0]     |0.3269717084204889  |0.29823257900588374 |92        
Gen 2 Train time: 8.262391885121664 minutes:
 Average MSE:        0.3082224971908534
 Average Error:      0.39804141370986784
 Structure           |Error               |MSE                 |weights&biases
 [19, 8, 0, 0, 0]    |0.26790751235555266 |0.21371467217824466 |226       
 [16, 9, 0, 0, 0]    |0.3086047092403616  |0.24990009046028142 |211       
 [14, 16, 0, 0, 0]   |0.3630443022756462  |0.26921891839427364 |299       
 [14, 3, 9, 0, 0]    |0.3807231266969305  |0.3333098071816676  |133       
 [18, 7, 2, 4, 0]    |0.33645794949411134 |0.27001382919293454 |220       
 [11, 19, 4, 5, 0]   |0.40410376619189753 |0.278570645644401   |372       
 [13, 8, 4, 5, 0]    |0.3510209105171589  |0.2822648447038083  |218       
 [18, 9, 3, 0, 0]    |0.39045989317752405 |0.30136593512959814 |259       
 [17, 18, 0, 0, 0]   |0.3676905668659119  |0.24795362520737596 |394       
 [8, 9, 3, 0, 0]     |0.4206074403075398  |0.3660243835337021  |139       
 [19, 8, 7, 0, 0]    |0.3554939591828843  |0.26653571686832006 |288       
 [16, 13, 2, 0, 0]   |0.3489945055501019  |0.2585414886293224  |300       
 [16, 8, 0, 0, 0]    |0.31943917103136227 |0.2633718383492978  |193       
 [13, 9, 2, 11, 0]   |0.38010713502282056 |0.3020078913269028  |230       
 [10, 5, 15, 0, 0]   |0.35177657261569695 |0.29061409038596214 |191       
 [14, 8, 0, 0, 0]    |0.37452289215435136 |0.3156559732666722  |171       
 [15, 15, 2, 0, 0]   |0.32327769888401453 |0.23474778975202576 |320       
 [11, 9, 11, 5, 5]   |1.297975329705938   |0.917415878983266   |347       
 [16, 10, 5, 0, 0]   |0.3519508929621199  |0.26626489449801166 |279       
 [17, 7, 10, 0, 0]   |0.3243666346987661  |0.24811056281123642 |268       
 [18, 14, 2, 0, 0]   |0.3837903312465365  |0.26964233377251345 |353       
 [19, 8, 6, 0, 0]    |0.35333887701336114 |0.26758240847966314 |278       
 [13, 8, 2, 6, 0]    |0.4331821983854503  |0.35679394168861484 |194       
 [16, 7, 0, 0, 0]    |0.4031976462719344  |0.33846709492059474 |175       
 [13, 6, 8, 0, 0]    |0.3590013208987246  |0.29747377441264233 |188       
Increasing Epochs
Gen 3 Train time: 9.839368979136148 minutes:
 Average MSE:        0.5238637918033564
 Average Error:      0.826030132122161
 Structure           |Error               |MSE                 |weights&biases
 [19, 8, 0, 0, 0]    |0.3172231791701121  |0.2530546722919319  |226       
