/tmp/tmp.ZKLVRUvbpp ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k6.mat
  Evaluating with: datasets/N5dataset100k6.mat
Gen 0 Train time: 8.736708613236745 minutes:
 Average MSE:        0.8073530019030711
 Average Error:      1.1648283095638992
 Structure           |Error               |MSE                 |weights&biases
 [6, 17, 0, 0, 0]    |0.6076912985961811  |0.520436051342496   |155       
 [5, 3, 0, 0, 0]     |0.4702395391680641  |0.45315862179379984 |37        
 [15, 0, 0, 0, 0]    |0.2923733371306649  |0.27507163026339565 |61        
 [14, 5, 0, 0, 0]    |0.2692594446028491  |0.2380963426636078  |123       
 [8, 17, 0, 0, 0]    |0.5798754726904807  |0.47714163628634376 |195       
 [10, 14, 18, 0, 0]  |0.7652002743757045  |0.47681930143689605 |473       
 [12, 14, 14, 0, 0]  |0.4101869406121098  |0.26338399082032915 |443       
 [6, 0, 0, 0, 0]     |0.7948880050579288  |0.7752621502854253  |25        
 [5, 5, 10, 20, 4]   |3.418655219480363   |2.2597343521266966  |414       
 [7, 17, 8, 10, 0]   |0.7362523804027858  |0.4925386664581485  |402       
 [7, 19, 8, 2, 0]    |2.283931256811821   |1.6030341763167608  |354       
 [3, 15, 0, 0, 0]    |1.8989355201101368  |1.7441956025074312  |85        
 [16, 19, 20, 0, 0]  |0.45375539769137746 |0.20552306811696913 |792       
 [5, 0, 0, 0, 0]     |1.652972810628612   |1.6186223240852189  |21        
 [5, 0, 0, 0, 0]     |1.3128939461270168  |1.2856106505160094  |21        
 [11, 10, 12, 9, 0]  |0.4401273840479819  |0.291507051010294   |412       
 [11, 2, 18, 0, 0]   |0.2566203239320682  |0.22533713392610344 |130       
 [5, 5, 1, 15, 0]    |1.2931218017252317  |1.173580457817613   |97        
 [11, 18, 16, 16, 1] |8.26400794618112    |3.553417062540215   |844       
 [6, 0, 0, 0, 0]     |0.7524319151242224  |0.7338543049471151  |25        
 [16, 3, 0, 0, 0]    |0.2748266291757485  |0.24792851521044507 |103       
 [12, 7, 0, 0, 0]    |0.3233575242714857  |0.2825226141200468  |135       
 [5, 17, 12, 20, 0]  |0.9030640827418959  |0.4887218517875603  |614       
 [15, 19, 6, 0, 0]   |0.31169227905320923 |0.19364303067424432 |476       
 [8, 6, 9, 0, 0]     |0.3543470093584212  |0.3046844605236104  |151       
Gen 1 Train time: 9.152101063728333 minutes:
 Average MSE:        0.4601787366651539
 Average Error:      0.6799703137297296
 Structure           |Error               |MSE                 |weights&biases
 [11, 2, 18, 0, 0]   |0.3077742906136038  |0.2702551983426225  |130       
 [14, 5, 0, 0, 0]    |0.27598211407248435 |0.24404095499101328 |123       
 [16, 3, 0, 0, 0]    |0.2683434561210244  |0.24207986992402986 |103       
 [12, 8, 16, 0, 0]   |0.3725434783745201  |0.2757111477267261  |301       
 [11, 18, 7, 5, 0]   |0.5336279387146866  |0.34782478170975095 |428       
 [13, 15, 12, 0, 0]  |0.3927233618237969  |0.24941182603658651 |454       
 [11, 2, 18, 7, 0]   |0.3290009559548863  |0.2557142618355885  |252       
 [10, 3, 0, 0, 0]    |0.348102597587881   |0.32554387883705327 |67        
 [12, 18, 14, 5, 0]  |0.6302855059946647  |0.3400772850830417  |617       
 [12, 8, 6, 17, 16]  |0.4527185869796026  |0.24402500795249119 |618       
 [17, 3, 19, 19, 18] |0.7188965240014287  |0.2808209930174432  |940       
 [14, 17, 17, 0, 0]  |0.4308482627595344  |0.2315407698200156  |621       
 [10, 4, 10, 4, 0]   |0.31152449373063185 |0.26203496962226247 |173       
 [16, 15, 8, 1, 1]   |5.520248890866419   |3.5410487778511737  |444       
 [10, 6, 10, 11, 17] |0.537114938866987   |0.32285784257109224 |509       
 [3, 2, 0, 0, 0]     |1.1005290858150139  |1.078737149851373   |20        
 [15, 3, 0, 0, 0]    |0.3074778937089391  |0.27905340918875565 |97        
 [10, 9, 6, 10, 0]   |0.4515212505688512  |0.34468206394159323 |270       
 [12, 2, 5, 0, 0]    |0.26469519746974035 |0.24361252865493296 |83        
 [13, 4, 9, 0, 0]    |0.2716775253647207  |0.23383501309683608 |150       
 [11, 6, 5, 0, 0]    |0.28146042811644484 |0.2432261970984732  |146       
 [15, 4, 12, 0, 0]   |0.2513935836221347  |0.20956202827932674 |182       
 [13, 1, 2, 0, 0]    |0.2596861899789735  |0.2445632435838186  |60        
