/tmp/tmp.g8VQmYblY1 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k1.mat
  Evaluating with: datasets/N6dataset100k1.mat
Gen 0 Train time: 8.710574503739675 minutes:
 Average MSE:        0.6529433633863139
 Average Error:      0.8602078063440649
 Structure           |Error               |MSE                 |weights&biases
 [5, 8, 18, 0, 0]    |0.48027326097256173 |0.3762881610391028  |244       
 [9, 20, 5, 1, 0]    |2.27642353551058    |1.6202907146147667  |340       
 [13, 20, 12, 8, 15] |0.41952919270958244 |0.18366861212885607 |826       
 [15, 0, 0, 0, 0]    |0.29312793740695614 |0.2757815757400719  |61        
 [20, 18, 8, 18, 0]  |0.4076454609169151  |0.18855652480778154 |771       
 [18, 17, 4, 10, 0]  |0.4026313670191785  |0.24177835578615547 |510       
 [19, 14, 4, 14, 0]  |0.2780640415321992  |0.17171763183062158 |482       
 [5, 18, 5, 1, 0]    |2.0963635862108245  |1.672307180393144   |226       
 [7, 12, 0, 0, 0]    |0.3546914017149007  |0.31145289923266367 |130       
 [8, 17, 14, 18, 0]  |0.7074953548113699  |0.3450643991650225  |718       
 [15, 3, 19, 0, 0]   |0.24719369347576078 |0.20462360399926877 |189       
 [8, 15, 1, 0, 0]    |1.0898077454778876  |0.9130188981779546  |177       
 [15, 15, 0, 0, 0]   |0.25725318307961303 |0.19038736276556104 |301       
 [20, 20, 1, 0, 0]   |0.4071467619605649  |0.2462072633004536  |503       
 [5, 3, 9, 0, 0]     |0.45505251997373874 |0.4204866961750799  |79        
 [15, 12, 0, 0, 0]   |0.2926776476446095  |0.22793758117311863 |250       
 [1, 7, 6, 11, 0]    |2.835902757118821   |2.431140087987216   |154       
 [14, 8, 11, 0, 0]   |0.22232908487901848 |0.1692130629815621  |273       
 [12, 14, 3, 6, 0]   |0.4094633828736474  |0.3051634333625719  |294       
 [14, 20, 3, 6, 12]  |0.37848590626153567 |0.22367158472843823 |526       
 [9, 18, 19, 15, 0]  |0.9315678383686867  |0.3848559138156693  |884       
 [11, 4, 7, 0, 0]    |0.25034193163353874 |0.22114701573271592 |124       
 [1, 4, 14, 0, 0]    |2.1221428367429955  |1.9278904041389786  |96        
 [2, 19, 7, 10, 0]   |3.153852315806551   |2.3504919884545967  |294       
 [5, 0, 0, 0, 0]     |0.7357324144995873  |0.7204431331264743  |21        
Gen 1 Train time: 8.74744649330775 minutes:
 Average MSE:        0.31450415627966166
 Average Error:      0.43507790513012184
 Structure           |Error               |MSE                 |weights&biases
 [14, 8, 11, 0, 0]   |0.25188362851943646 |0.1917068129879488  |273       
 [15, 3, 19, 0, 0]   |0.23036546212402603 |0.19069342115476548 |189       
 [11, 4, 7, 0, 0]    |0.2134024479009462  |0.1885154204707274  |124       
 [16, 17, 11, 3, 0]  |0.44914430130966415 |0.2527356851438463  |575       
 [17, 12, 2, 3, 4]   |0.2879836615900709  |0.20849264147634897 |323       
 [9, 11, 11, 3, 0]   |0.6885202682031073  |0.5054983406880467  |309       
 [13, 15, 2, 5, 0]   |0.2880228832651853  |0.21294628115718567 |302       
 [16, 16, 8, 9, 0]   |0.3395470713370454  |0.19649020571792916 |547       
 [9, 8, 7, 0, 0]     |0.30757924531012293 |0.2574261189847006  |178       
 [10, 6, 19, 0, 0]   |0.3482000547346434  |0.2714497894025845  |249       
 [15, 6, 15, 0, 0]   |0.28146363401631064 |0.21658936914834565 |262       
 [17, 14, 0, 0, 0]   |0.2995305970044558  |0.2179392975959305  |318       
 [14, 16, 1, 0, 0]   |2.972608568000617   |2.199961528253677   |301       
 [7, 12, 0, 0, 0]    |0.367731328619828   |0.3229031994674184  |130       
 [12, 10, 17, 9, 0]  |0.4291778725453213  |0.25388247277172205 |525       
 [12, 6, 9, 0, 0]    |0.2451235998560858  |0.20331623454087247 |187       
 [10, 13, 2, 3, 0]   |0.293134985698258   |0.23666205729713546 |214       
 [14, 12, 16, 4, 8]  |0.4195453845931065  |0.2427838903221698  |547       
 [13, 13, 2, 7, 0]   |0.2821980872052709  |0.21370771447797696 |278       
 [13, 10, 4, 0, 0]   |0.2859946431492114  |0.22768727359407065 |228       
 [13, 13, 13, 9, 10] |0.40645241973184365 |0.21431928165856645 |640       
 [12, 16, 7, 9, 0]   |0.33785609248432746 |0.2165063858693773  |445       
 [14, 8, 10, 0, 0]   |0.2701081330950153  |0.20764343871463747 |263       
 [15, 4, 6, 11, 0]   |0.2433553706431377  |0.1937411143302505  |228       
 [17, 10, 12, 5, 0]  |0.33801788731600796 |0.21900593176530778 |434       
Gen 2 Train time: 9.092760741710663 minutes:
 Average MSE:        0.5220820652099014
 Average Error:      0.6553061264213937
 Structure           |Error               |MSE                 |weights&biases
 [11, 4, 7, 0, 0]    |0.22287081878345974 |0.19687958843434106 |124       
 [15, 3, 19, 0, 0]   |0.20824340281761755 |0.17238107896061988 |189       
 [15, 4, 6, 11, 0]   |0.25116081041487903 |0.1999552142912183  |228       
 [15, 7, 13, 4, 0]   |0.3105536412495447  |0.22505766181390693 |322       
 [14, 5, 10, 3, 0]   |0.38233141439964813 |0.3086746499589935  |214       
 [12, 17, 7, 2, 0]   |0.45528512259559234 |0.30457698081572027 |402       
 [15, 6, 15, 12, 0]  |0.3548799581365178  |0.22605528340546766 |451       
 [14, 11, 11, 5, 0]  |0.3238752504585324  |0.21601728166682155 |405       
 [14, 9, 4, 0, 0]    |0.2927678089639233  |0.2344822363818005  |222       
 [12, 10, 5, 11, 0]  |0.3104053961283503  |0.23018404223837993 |299       
 [17, 19, 11, 5, 12] |0.4317905794027514  |0.20233822953808983 |758       
 [15, 5, 11, 6, 0]   |0.29297438764260997 |0.2236506398922648  |270       
 [4, 4, 6, 1, 0]     |2.792678704925086   |2.601273790593954   |71        
 [15, 13, 10, 7, 0]  |0.42832970305070406 |0.2655739235181426  |478       
 [14, 7, 5, 6, 0]    |0.3187708828865768  |0.25327417795304025 |230       
 [13, 16, 5, 7, 0]   |0.32425870249390193 |0.21779225760410656 |398       
 [15, 4, 13, 6, 0]   |0.2747086957721022  |0.21075814590646402 |265       
 [14, 8, 3, 5, 5]    |0.30250360807822585 |0.23677094687736683 |245       
 [13, 15, 7, 6, 0]   |0.33999509350869944 |0.224288055249184   |416       
 [2, 8, 5, 2, 2]     |3.941847908444873   |3.5810269816378595  |96        
 [13, 6, 9, 0, 0]    |0.24927276959371528 |0.20490526637815062 |196       
 [4, 15, 3, 7, 5]    |2.1063225763076723  |1.7090601031442012  |209       
 [13, 4, 7, 6, 0]    |0.2499252119520612  |0.20771391429600855 |185       
 [5, 7, 20, 20, 11]  |0.9013607656742089  |0.37386904286188793 |880       
 [14, 10, 9, 4, 0]   |0.3155399468535901  |0.22549213682954622 |336       
Gen 3 Train time: 9.071772162119547 minutes:
 Average MSE:        0.5597473163646761
 Average Error:      0.8597331734459277
 Structure           |Error               |MSE                 |weights&biases
 [15, 3, 19, 0, 0]   |0.22918236675931086 |0.18971407077572117 |189       
 [11, 4, 7, 0, 0]    |0.2802433539405976  |0.2475613294124935  |124       
 [13, 6, 9, 0, 0]    |0.25372626113379476 |0.20856609091113176 |196       
 [15, 7, 13, 4, 0]   |0.25325011757519733 |0.18352990190758062 |322       
 [15, 17, 16, 3, 0]  |0.5184434142171899  |0.2679581704965874  |660       
 [14, 4, 7, 6, 0]    |0.258094399080739   |0.21300708028056725 |192       
 [7, 10, 6, 4, 19]   |0.3758015976773288  |0.2756305379606617  |310       
 [15, 5, 12, 3, 0]   |0.2776714554913518  |0.21842410311239874 |240       
 [15, 4, 16, 3, 0]   |0.3002580462688858  |0.23524846633959845 |244       
 [9, 7, 8, 14, 13]   |0.37052635203962264 |0.2256363353988025  |496       
 [15, 6, 17, 9, 0]   |0.3279676058438325  |0.21291964496279459 |432       
