/tmp/tmp.ebCIjaNrFv ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k0.mat
  Evaluating with: datasets/N7dataset100k0.mat
Gen 0 Train time: 8.414694746335348 minutes:
 Average MSE:        0.6493780541895426
 Average Error:      0.8301110602955929
 Structure           |Error               |MSE                 |weights&biases
 [4, 4, 16, 0, 0]    |0.5419056656354726  |0.4763209718752302  |129       
 [3, 0, 0, 0, 0]     |1.3771667139261834  |1.3593794145945586  |13        
 [1, 9, 0, 0, 0]     |2.745793956128964   |2.661980169166816   |31        
 [20, 0, 0, 0, 0]    |0.28971364982427134 |0.26717210019333526 |81        
 [5, 9, 11, 16, 0]   |1.0232122170627576  |0.6941597978340044  |388       
 [10, 1, 15, 0, 0]   |0.2656051742758974  |0.24347417974036692 |87        
 [11, 0, 0, 0, 0]    |0.27106201543175346 |0.25913460417336115 |45        
 [20, 16, 9, 8, 12]  |0.4562337593801741  |0.2155095681624864  |750       
 [5, 7, 6, 11, 14]   |1.5701873381200149  |1.0900187913739228  |365       
 [12, 19, 12, 17, 0] |0.46029578489661843 |0.21483478556303642 |762       
 [12, 6, 11, 8, 5]   |0.3304468770392187  |0.23567315560507388 |338       
 [5, 14, 12, 1, 18]  |3.524319103508548   |2.4910075208404168  |347       
 [18, 0, 0, 0, 0]    |0.2645402838958118  |0.2459168674848055  |73        
 [16, 0, 0, 0, 0]    |0.4018112696864334  |0.3765242672415199  |65        
 [7, 6, 15, 8, 0]    |1.378452152818758   |1.0100110195922576  |311       
 [20, 2, 3, 7, 0]    |0.20002530879921526 |0.17268064441720204 |147       
 [16, 14, 6, 0, 0]   |0.23962433352231047 |0.16337896157831966 |383       
 [6, 12, 5, 0, 0]    |0.2770005291079648  |0.23299556436457217 |173       
 [13, 19, 0, 0, 0]   |0.2589856617924939  |0.18712422484617133 |325       
 [18, 19, 0, 0, 0]   |0.35123717677269156 |0.22734341428920501 |435       
 [12, 0, 0, 0, 0]    |0.5688174213065917  |0.541617214811901   |49        
 [13, 3, 7, 19, 7]   |2.382192656290111   |1.5825244857069876  |409       
 [13, 4, 14, 0, 0]   |0.21876311525093733 |0.1827263135246389  |180       
 [10, 0, 0, 0, 0]    |0.6683036342665755  |0.6414572958190392  |41        
 [7, 3, 13, 20, 0]   |0.6870807086500499  |0.46148602193934307 |398       
Gen 1 Train time: 8.732672262191773 minutes:
 Average MSE:        0.6214433289841887
 Average Error:      0.8596655204006268
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 3, 7, 0]    |0.20932296494191077 |0.18070725496927892 |147       
 [13, 4, 14, 0, 0]   |0.24817894857369713 |0.20729648284297922 |180       
 [16, 14, 6, 0, 0]   |0.2647505545086619  |0.18051034315712444 |383       
 [5, 5, 10, 2, 17]   |0.5357730119980492  |0.4404119708727793  |196       
 [15, 3, 6, 4, 3]    |2.480144014327317   |2.105002445274259   |164       
 [18, 8, 5, 4, 0]    |0.2592615217137678  |0.19594564289633626 |280       
 [11, 2, 8, 0, 0]    |0.2747115155818621  |0.25106742104338664 |90        
 [8, 18, 5, 18, 11]  |0.45720579571155073 |0.2484231664457693  |610       
 [17, 10, 12, 14, 6] |2.8043463509910604  |1.4757561195503552  |642       
 [15, 0, 0, 0, 0]    |0.25263750452365263 |0.23768723549486923 |61        
 [17, 15, 19, 8, 8]  |0.6044858342162716  |0.2542653065563848  |866       
 [19, 8, 5, 4, 6]    |0.23650463105493905 |0.17122316932070597 |323       
 [16, 1, 2, 4, 0]    |0.2189794042653132  |0.2009342381098767  |86        
 [16, 2, 7, 11, 0]   |0.21272152446312806 |0.17363995190213705 |203       
 [6, 6, 16, 2, 2]    |3.6204932544899173  |2.9200778436285955  |215       
 [2, 15, 11, 0, 0]   |2.2624369181603488  |1.7814764997888575  |239       
 [9, 16, 9, 9, 0]    |0.38970292776018    |0.2509828788802883  |440       
 [9, 0, 0, 0, 0]     |0.5900010326334735  |0.5685699149801764  |37        
 [13, 12, 7, 0, 0]   |0.25651290346936784 |0.18889266983267672 |306       
 [18, 0, 0, 0, 0]    |0.2961758915219883  |0.2753253545924695  |73        
 [16, 2, 7, 0, 0]    |0.18623583751404757 |0.16666966743057204 |111       
 [15, 9, 12, 4, 6]   |0.26998357872562145 |0.18133771792229675 |398       
 [12, 10, 8, 0, 0]   |1.165008716882822   |0.8955910114005411  |263       
 [12, 13, 12, 13, 3] |3.1392979324014574  |1.7436823785568563  |588       
 [16, 0, 0, 0, 0]    |0.2567654395852611  |0.24060653915514454 |65        
Gen 2 Train time: 8.960490794976552 minutes:
 Average MSE:        0.3605300596408798
 Average Error:      0.468711274180834
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 7, 0, 0]    |0.2015623711076371  |0.18038597623023783 |111       
 [20, 2, 3, 7, 0]    |0.1906135077627917  |0.16455549326581692 |147       
 [16, 2, 7, 11, 0]   |0.26799915150402354 |0.21876187609325992 |203       
 [16, 2, 7, 9, 0]    |0.23885760773176853 |0.19851558101654346 |185       
 [15, 11, 7, 16, 0]  |0.3211084230066914  |0.20474777023193913 |450       
 [15, 1, 4, 0, 0]    |0.21244295683764752 |0.1972897605710696  |74        
 [9, 2, 15, 20, 15]  |0.44435372680119045 |0.2113722775108097  |743       
 [16, 0, 0, 0, 0]    |0.32679198318128616 |0.3062261347317589  |65        
 [16, 2, 5, 2, 0]    |0.22408771100603894 |0.20034433120134873 |112       
 [18, 5, 4, 4, 3]    |1.109910264122071   |0.8978782211414652  |212       
 [16, 6, 10, 8, 3]   |1.1564454465644554  |0.8239470840062871  |339       
 [17, 5, 0, 0, 0]    |0.1858349528603185  |0.1604301955977586  |147       
 [16, 2, 6, 4, 0]    |0.18863499429777078 |0.16514335265783542 |133       
 [16, 1, 4, 20, 0]   |0.2509670310045262  |0.20671097879769498 |194       
 [14, 10, 4, 13, 6]  |1.2454487534194367  |0.8415548464126467  |392       
 [17, 4, 3, 2, 3]    |0.26357140253374406 |0.22482544668967103 |159       
 [16, 13, 7, 18, 0]  |0.27627595701270463 |0.16261740130032157 |530       
 [12, 7, 8, 3, 9]    |0.28893182479688284 |0.2218919962087334  |264       
 [18, 2, 3, 6, 0]    |0.1983597346935017  |0.17383076728498378 |132       
 [16, 6, 10, 2, 18]  |0.27124085212971305 |0.19794855613152298 |315       
 [15, 2, 7, 5, 0]    |0.24690858957948877 |0.213795122607458   |144       
 [18, 2, 3, 6, 3]    |0.9555483342257051  |0.8224480731277415  |150       
 [12, 14, 1, 4, 18]  |0.3750365070887407  |0.2642837597551434  |350       
 [16, 5, 6, 10, 3]   |2.029628765183832   |1.5401085516664632  |276       
 [15, 3, 8, 2, 0]    |0.24722100606888353 |0.21363793678348303 |146       
Gen 3 Train time: 8.996662199497223 minutes:
 Average MSE:        0.76430014815415
 Average Error:      1.0298213893972414
 Structure           |Error               |MSE                 |weights&biases
 [17, 5, 0, 0, 0]    |0.2259504379504006  |0.1950616522771606  |147       
 [16, 2, 6, 4, 0]    |0.2749408862361369  |0.24070114829318676 |133       
 [20, 2, 3, 7, 0]    |0.194528251149724   |0.16793506765488592 |147       
 [16, 16, 6, 3, 0]   |1.4226954024269889  |0.9098761779527471  |447       
 [17, 2, 5, 9, 0]    |0.21163832422880316 |0.17926744554816287 |166       
 [1, 18, 1, 4, 5]    |3.9423708677345526  |3.577922359417335   |97        
 [16, 2, 5, 1, 0]    |0.23419344900210748 |0.21085010516565336 |105       
 [16, 4, 8, 2, 9]    |0.26346702154307017 |0.21334876152402876 |211       
 [18, 2, 4, 4, 18]   |0.2991279870236987  |0.23695530386195754 |233       
 [16, 10, 13, 3, 0]  |0.3383982254467756  |0.2252528127769906  |407       
 [15, 8, 17, 11, 5]  |3.1515444703637012  |1.7469870889767605  |590       
 [3, 19, 18, 7, 12]  |2.3738935555427703  |1.1942656260233044  |687       
 [17, 5, 2, 1, 2]    |1.779003422091155   |1.5114256315680474  |163       
 [15, 6, 6, 8, 4]    |1.1540109143357569  |0.8721826865174211  |280       
 [14, 7, 1, 2, 9]    |0.2587850219866643  |0.21272445422450156 |196       
 [17, 3, 5, 1, 2]    |2.54699273621925    |2.21868204040664    |138       
 [15, 6, 6, 3, 6]    |0.26549696758289226 |0.20989416323586002 |235       
 [12, 2, 6, 7, 0]    |0.26180530288105935 |0.22828642915578273 |137       
 [16, 4, 1, 4, 9]    |0.2625861108022721  |0.21845478716400776 |184       
 [19, 4, 2, 4, 0]    |0.1973098953288549  |0.16746519949838426 |164       
 [16, 2, 7, 3, 0]    |0.2508368392770227  |0.22003853388587374 |131       
 [16, 20, 6, 6, 0]   |0.3618737617992175  |0.20608638523625303 |563       
 [11, 16, 5, 2, 1]   |4.942852567672553   |3.5642106307259995  |327       
 [16, 16, 8, 7, 0]   |0.2916666676486103  |0.17219225273484873 |527       
 [17, 4, 3, 1, 0]    |0.23956564865700794 |0.2074369600279593  |144       
Increasing Epochs
Gen 4 Train time: 10.439385481675465 minutes:
 Average MSE:        0.5601147883610361
 Average Error:      0.7170493882800354
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 3, 7, 0]    |0.20812582206383082 |0.17967376873252566 |147       
 [19, 4, 2, 4, 0]    |0.24263415035703934 |0.20593379935121964 |164       
 [17, 2, 5, 9, 0]    |0.22107208854132854 |0.18725828008331785 |166       
 [18, 4, 5, 5, 3]    |1.180544634771737   |0.9598059857568225  |207       
 [17, 2, 5, 4, 9]    |0.28015929243400994 |0.2337748196741317  |181       
 [18, 6, 8, 5, 6]    |0.2293418211287046  |0.16787397671645352 |312       
 [16, 2, 7, 3, 0]    |0.2261794664814407  |0.19840864819980303 |131       
 [16, 7, 7, 4, 5]    |0.31016023904192425 |0.23301179254534748 |286       
 [18, 20, 4, 3, 13]  |0.3833437024732453  |0.21059397325203905 |599       
 [15, 18, 7, 7, 0]   |0.39957304353374246 |0.2351906791734666  |530       
 [1, 17, 2, 8, 7]    |3.560993354109685   |3.010299387183207   |168       
 [18, 1, 6, 17, 4]   |2.0403436861474895  |1.5405172971594907  |281       
 [15, 5, 3, 2, 12]   |0.21386444334412585 |0.17509739675573954 |200       
 [13, 4, 5, 5, 3]    |1.838812357308927   |1.5482417082189905  |172       
 [20, 2, 7, 3, 0]    |0.17439473471542719 |0.1499529113033427  |151       
 [16, 6, 1, 1, 5]    |1.0411318578138917  |0.8739854475883595  |175       
 [16, 4, 6, 6, 3]    |1.0644716770305047  |0.8602593186853301  |213       
 [18, 4, 5, 20, 5]   |2.250447228842395   |1.5297876957660166  |386       
 [14, 2, 6, 6, 0]    |0.24490061672272517 |0.21311938085882703 |139       
 [10, 10, 11, 8, 6]  |0.5839158610189205  |0.3844281474730182  |418       
 [17, 9, 6, 6, 16]   |0.28420127132719436 |0.18230528811155805 |444       
 [16, 2, 5, 7, 0]    |0.25720968782507686 |0.22204757443252046 |147       
 [18, 11, 12, 5, 11] |0.316513107826504   |0.18261217754344    |550       
 [18, 2, 5, 6, 0]    |0.18074495650166295 |0.1555686257595814  |150       
 [19, 4, 1, 4, 3]    |0.19315560563935158 |0.1631216287013541  |169       
Gen 5 Train time: 10.518074703216552 minutes:
 Average MSE:        0.623189341446739
 Average Error:      0.7660048278579775
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 7, 3, 0]    |0.2328723371329744  |0.20023474316517867 |151       
 [18, 2, 5, 6, 0]    |0.2006694845182889  |0.1727178259499959  |150       
 [19, 4, 1, 4, 3]    |0.9375420635781977  |0.7917626199907033  |169       
 [18, 3, 4, 7, 0]    |0.22981039022138    |0.19388294071806395 |170       
 [19, 16, 6, 15, 0]  |0.3748755561680531  |0.20573606731224733 |600       
 [19, 2, 6, 17, 0]   |0.23102035192887804 |0.17955935292355657 |252       
 [18, 7, 9, 5, 2]    |1.201923266336855   |0.8692912937001024  |324       
 [4, 1, 6, 1, 9]     |1.3014789887728246  |1.2207937982531076  |64        
 [19, 2, 6, 6, 0]    |0.1966500495895468  |0.16690516069147485 |164       
 [17, 4, 4, 4, 2]    |0.5177302748379229  |0.43417791899712793 |176       
 [18, 4, 5, 3, 6]    |0.23794888434221736 |0.19403836144707545 |204       
 [17, 5, 3, 3, 6]    |0.24304555059376717 |0.19859128664909542 |202       
 [19, 11, 6, 3, 7]   |0.3498779068259797  |0.2331272066754873  |406       
 [18, 3, 4, 4, 5]    |0.22408645525954882 |0.1875474609359342  |178       
 [19, 7, 7, 6, 6]    |0.25179421960768134 |0.17743638761755115 |350       
 [11, 7, 9, 7, 6]    |0.31068230630249005 |0.22695933646642383 |314       
 [18, 4, 5, 5, 6]    |0.24283005500012464 |0.19332289780277676 |228       
 [16, 13, 7, 6, 3]   |0.35182972635595666 |0.2265911577929513  |440       
 [9, 17, 4, 19, 19]  |0.5391598857539542  |0.25114040393713066 |764       
 [10, 4, 8, 4, 3]    |3.3186689536961587  |2.8026454787872206  |169       
 [16, 2, 7, 3, 0]    |0.23516007328983546 |0.20628659611694414 |131       
 [17, 5, 6, 5, 3]    |0.29643536371023504 |0.23458762772139946 |234       
 [10, 2, 5, 6, 5]    |2.576356032407112   |2.2308351230997423  |144       
 [18, 3, 3, 7, 2]    |4.199586229883429   |3.5430431464153016  |170       
 [17, 11, 6, 3, 7]   |0.3480862903360256  |0.23851934300188032 |378       
Increasing Epochs
Gen 6 Train time: 11.988786033789317 minutes:
 Average MSE:        0.7613345738888836
 Average Error:      0.9738012989287238
 Structure           |Error               |MSE                 |weights&biases
 [19, 2, 6, 6, 0]    |0.23198950030134005 |0.19689923754073818 |164       
 [18, 2, 5, 6, 0]    |0.22106824363339078 |0.19027520062953746 |150       
 [18, 3, 4, 4, 5]    |0.22267484277968733 |0.18636602256601192 |178       
 [18, 4, 5, 6, 2]    |1.0964507575371683  |0.8905450206798242  |208       
 [13, 11, 4, 11, 13] |0.573361851071975   |0.3597887379425309  |466       
 [18, 10, 7, 6, 5]   |0.2888964217698958  |0.19172618257107893 |410       
 [17, 3, 6, 4, 3]    |0.3322617794714937  |0.2786407034403717  |176       
 [19, 3, 6, 6, 3]    |1.0607479418678172  |0.8615469425627479  |208       
 [19, 7, 6, 6, 0]    |0.21323496817019943 |0.15891900893090755 |294       
 [18, 4, 5, 5, 1]    |2.689651906390662   |2.2175695135279887  |193       
 [19, 5, 7, 6, 3]    |1.100393325077024   |0.8383393435847454  |272       
 [18, 4, 5, 3, 6]    |0.21955528776609973 |0.17903907556845208 |204       
 [18, 13, 3, 8, 5]   |0.3362525797361403  |0.21961205490590877 |426       
 [18, 4, 5, 5, 3]    |0.2506029985654279  |0.20374516217949995 |207       
 [9, 2, 7, 7, 2]     |2.8872097918485444  |2.5025008348396236  |143       
 [17, 4, 7, 6, 2]    |2.7646487902426378  |2.2120365501573596  |223       
 [18, 1, 5, 5, 3]    |0.8407668704227013  |0.7345913927084659  |135       
 [18, 3, 4, 6, 3]    |0.19603508431707306 |0.1634151090552238  |182       
 [19, 5, 8, 4, 1]    |3.9331632112036674  |3.069283020398145   |248       
 [18, 9, 7, 9, 3]    |2.312928819146795   |1.5488529249180494  |401       
 [18, 2, 7, 16, 0]   |0.2936872966142991  |0.22690140509458065 |258       
 [5, 5, 4, 4, 4]     |1.108938440992732   |0.9894591465595999  |114       
 [18, 6, 7, 20, 5]   |0.32500204640413727 |0.1995034399299746  |488       
 [16, 20, 3, 20, 20] |0.5776988738253387  |0.21855829021006407 |972       
 [18, 2, 15, 4, 19]  |0.26781084406185224 |0.19525002672066122 |316       
Result:  [18, 3, 4, 6, 3]
Fold 0
Fold 0 Train time: 20.727190641562142 minutes, MSE: 0.008506153594732285
Fold 1
Fold 1 Train time: 20.65315148830414 minutes, MSE: 0.007229300247462875
Fold 2
Fold 2 Train time: 20.841498879591622 minutes, MSE: 0.016343350111909946
Fold 3
Fold 3 Train time: 20.740668400128683 minutes, MSE: 0.008648757705513646
Fold 4
Fold 4 Train time: 20.51169554392497 minutes, MSE: 0.01188323619372276
Total Time: 171.53092628320059 minutes
CellsPerSensor: 7
 Resulting Network Architecture: [18, 3, 4, 6, 3]
 MSE after 5-Fold CV: 0.010522159570668302
 Weights and Biases: 182
 Objective Function Value: 0.012622531971242596
~/workspace/SolarCellResearch
