/tmp/tmp.aEf3lY2TRG ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k6.mat
  Evaluating with: datasets/N7dataset100k6.mat
Gen 0 Train time: 8.076786291599273 minutes:
 Average MSE:        0.6551138513139942
 Average Error:      0.7491226594851319
 Structure           |Error               |MSE                 |weights&biases
 [11, 12, 8, 0, 0]   |0.29988857400107294 |0.22439569425809142 |290       
 [2, 2, 0, 0, 0]     |2.378498751995705   |2.3430875189219527  |15        
 [19, 1, 9, 0, 0]    |0.21156207732910434 |0.1904745262686845  |105       
 [14, 0, 0, 0, 0]    |0.32966507470429496 |0.31139967444294886 |57        
 [9, 4, 11, 1, 19]   |0.6749863027813703  |0.5570708318232713  |192       
 [17, 0, 0, 0, 0]    |0.25412548397584006 |0.2371820942824371  |69        
 [20, 7, 5, 0, 0]    |0.1881355132101554  |0.1460811834381112  |253       
 [19, 14, 7, 0, 0]   |0.28395231532162973 |0.1810559899672537  |450       
 [6, 0, 0, 0, 0]     |1.3048866594538717  |1.2726688930389005  |25        
 [3, 10, 11, 2, 7]   |1.4353500262174304  |1.1484448699118937  |223       
 [16, 0, 0, 0, 0]    |0.2210988700762642  |0.20718455733797497 |65        
 [12, 5, 17, 0, 0]   |0.4150432522580258  |0.33274709837715055 |221       
 [14, 8, 16, 0, 0]   |0.23201838061889737 |0.16797524130086514 |323       
 [12, 4, 2, 16, 0]   |0.2587315556516137  |0.2198160498464102  |163       
 [11, 2, 16, 10, 0]  |0.7734248908477759  |0.5810452067367349  |286       
 [13, 11, 6, 8, 19]  |0.3409510358133725  |0.20433051962452745 |512       
 [16, 0, 0, 0, 0]    |0.23164926850527803 |0.2170709924314719  |65        
 [17, 11, 11, 4, 3]  |1.429709655923764   |0.9134481959753522  |448       
 [4, 0, 0, 0, 0]     |2.990230066947722   |2.939825805925076   |17        
 [18, 12, 14, 10, 0] |0.39899451455056545 |0.21356637382957672 |625       
