/tmp/tmp.AptTIy4UBH ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k3.mat
  Evaluating with: datasets/N8dataset100k3.mat
Gen 0 Train time: 8.319107433160147 minutes:
 Average MSE:        1.0055259135832406
 Average Error:      1.219067154223208
 Structure           |Error               |MSE                 |weights&biases
 [2, 5, 0, 0, 0]     |2.0319288573231615  |1.9778007952531997  |27        
 [1, 11, 2, 19, 11]  |4.075916574924321   |2.906924495102532   |338       
 [1, 1, 1, 0, 0]     |3.3532817045175425  |3.323237570577246   |9         
 [14, 16, 3, 2, 11]  |0.40756848641363425 |0.27705304426012894 |386       
 [10, 20, 20, 14, 16]|3.183364007022848   |0.9388857318420261  |1221      
 [19, 6, 10, 0, 0]   |0.1995984257477509  |0.15420879206876106 |258       
 [16, 3, 9, 0, 0]    |0.2503206962043389  |0.21653298264375448 |145       
 [20, 10, 8, 14, 18] |0.34187629173021133 |0.1578190228519923  |773       
 [9, 17, 6, 9, 0]    |0.4189814614323896  |0.28709887658703437 |378       
 [12, 0, 0, 0, 0]    |0.5831228605722342  |0.5552385841326937  |49        
 [7, 11, 0, 0, 0]    |0.8747914047883589  |0.7750948922024437  |121       
 [7, 19, 0, 0, 0]    |0.32113006187728094 |0.26476594737199455 |193       
 [6, 0, 0, 0, 0]     |1.8146629675485422  |1.7698587792408418  |25        
 [1, 2, 1, 0, 0]     |2.9350361338605295  |2.9000261800952316  |12        
 [1, 0, 0, 0, 0]     |3.473370728875101   |3.4560472200933083  |5         
 [20, 6, 9, 0, 0]    |0.25162500027669626 |0.19420996838693244 |259       
 [12, 7, 8, 15, 14]  |0.44489493501216976 |0.25286055055520323 |565       
 [20, 9, 4, 16, 0]   |0.21873417621383906 |0.14868904594913335 |386       
 [13, 4, 6, 20, 0]   |0.2549816412381721  |0.19155817481501952 |286       
 [9, 0, 0, 0, 0]     |0.9958448574478321  |0.9596719236325558  |37        
 [16, 0, 0, 0, 0]    |0.2512103974097277  |0.235401089874763   |65        
 [20, 11, 17, 3, 18] |0.3711820101603538  |0.1957214618986244  |640       
 [7, 0, 0, 0, 0]     |1.1660912805096126  |1.1327602689579839  |29        
 [2, 7, 5, 19, 0]    |2.0671238707993185  |1.6907263114884965  |201       
 [19, 0, 0, 0, 0]    |0.19004002367424083 |0.17595612969911775 |77        
Gen 1 Train time: 8.975778504212697 minutes:
 Average MSE:        0.2955677131026151
 Average Error:      0.38911591791027655
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.26230649584684124 |0.2428669230396646  |77        
 [19, 6, 10, 0, 0]   |0.23069329625975682 |0.17823254076931913 |258       
 [20, 9, 4, 16, 0]   |0.26441376286202417 |0.1797406825778299  |386       
 [15, 18, 5, 1, 6]   |0.3685095985634061  |0.23426823422214765 |453       
 [13, 8, 19, 4, 0]   |0.2897856898161353  |0.19289416085862918 |407       
 [17, 8, 2, 1, 6]    |0.22012887578948234 |0.17402747236070945 |235       
 [16, 18, 5, 0, 0]   |0.3386031050120653  |0.21482605191586535 |455       
 [10, 13, 4, 8, 7]   |0.3176761583695232  |0.22611246177666144 |340       
 [16, 2, 5, 4, 12]   |0.2928011833658277  |0.24116800905845692 |194       
 [20, 13, 5, 0, 0]   |0.2258115032523703  |0.15000979543262413 |409       
 [17, 12, 2, 1, 6]   |0.24617863778635002 |0.17965843093919026 |315       
 [20, 10, 8, 8, 18]  |0.30239191343539895 |0.16414068618233588 |611       
 [2, 13, 5, 6, 0]    |2.0089291357080485  |1.7153237045144478  |158       
 [18, 3, 5, 0, 0]    |0.17470884987669077 |0.1523409153342588  |137       
 [14, 12, 8, 5, 0]   |0.29510417739747125 |0.20241669875078813 |377       
 [20, 11, 13, 9, 16] |0.37143981057399905 |0.17545574287161542 |750       
 [20, 6, 10, 0, 0]   |0.19100921957454878 |0.1462506158298488  |267       
 [16, 2, 3, 10, 0]   |0.21099610626587645 |0.18306470683203516 |142       
 [13, 10, 8, 5, 0]   |0.26733675407164914 |0.19451496770823887 |318       
 [16, 7, 9, 8, 7]    |0.29274388745775687 |0.1982042614705913  |390       
 [13, 2, 8, 5, 12]   |0.3105808328508902  |0.24899783427497973 |221       
 [17, 2, 5, 0, 0]    |0.19057971590967598 |0.17106961232039755 |108       
 [14, 10, 5, 11, 6]  |0.38418272039616025 |0.2595938446842704  |392       
 [4, 8, 12, 1, 6]    |1.125033298327135   |0.9284977083912365  |192       
 [9, 4, 5, 19, 0]    |0.5459532189878297  |0.4355167654492357  |226       
Gen 2 Train time: 9.158697966734568 minutes:
 Average MSE:        0.7030774454893384
 Average Error:      1.0315113336880612
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 5, 0, 0]    |0.15468234328007813 |0.1348783978485743  |137       
 [17, 2, 5, 0, 0]    |0.22936381608424428 |0.2058832909398125  |108       
 [20, 6, 10, 0, 0]   |0.20419066477809908 |0.15634329346520368 |267       
 [16, 7, 7, 3, 0]    |0.23328110838960014 |0.18149792118917887 |251       
 [17, 13, 7, 3, 0]   |0.27506639642353453 |0.18236542615130844 |411       
 [17, 11, 11, 7, 8]  |0.2939570877962344  |0.17164592797905204 |538       
 [20, 6, 10, 8, 0]   |0.2874105642267908  |0.2019281075614281  |353       
 [15, 9, 9, 7, 4]    |0.265119988689109   |0.1802207540795564  |386       
 [3, 17, 7, 4, 15]   |3.154242620741104   |2.276748686069139   |326       
 [17, 8, 7, 3, 6]    |0.23150086701277095 |0.16928498876270914 |313       
 [15, 5, 8, 10, 2]   |4.605231781888305   |3.4528259134184127  |288       
 [17, 5, 3, 6, 3]    |1.7758926566483317  |1.4423925121748344  |208       
 [17, 7, 4, 1, 3]    |0.25662888441565873 |0.20512735122976253 |224       
 [18, 8, 12, 1, 3]   |1.631729363232867   |1.1649060167407803  |337       
 [20, 8, 9, 4, 9]    |0.25078252438222387 |0.1674334781207736  |404       
 [16, 5, 6, 9, 4]    |0.24612960219391314 |0.1865796518151163  |277       
 [19, 6, 5, 8, 0]    |0.2606569927736054  |0.19917928306549187 |269       
 [17, 2, 4, 5, 0]    |0.2512963051485203  |0.22066213735813484 |130       
 [19, 6, 7, 4, 9]    |0.2825030362045488  |0.20658032052502    |313       
 [1, 13, 15, 20, 7]  |7.058350267819359   |3.4563438896063294  |714       
 [20, 10, 8, 0, 0]   |0.27106919513796746 |0.1877993528660042  |367       
 [17, 5, 4, 1, 3]    |1.9934574017421374  |1.66507558539252    |180       
 [19, 9, 3, 9, 3]    |1.1437350837124836  |0.8165225867692195  |337       
 [18, 1, 3, 0, 0]    |0.18437110843113444 |0.16968616115884058 |83        
 [15, 11, 5, 3, 9]   |0.24713368104890962 |0.1750251029462573  |345       
Gen 3 Train time: 9.142042684555054 minutes:
 Average MSE:        0.7158767386024781
 Average Error:      0.9943722722609755
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 5, 0, 0]    |0.3436597326874235  |0.29966105482395294 |137       
 [18, 1, 3, 0, 0]    |0.17228402593193887 |0.15856180091416164 |83        
 [20, 6, 10, 0, 0]   |0.1812072291777304  |0.13874549573624279 |267       
 [7, 11, 17, 9, 19]  |0.9872628605783921  |0.4976695620396606  |685       
 [19, 5, 8, 0, 0]    |0.2800985348884973  |0.2261370997894475  |214       
 [19, 7, 7, 0, 0]    |0.23764369634108384 |0.1830524049583367  |261       
 [18, 7, 9, 2, 0]    |1.1026263362341289  |0.8316820292945369  |282       
 [17, 8, 6, 4, 0]    |0.21804685126869333 |0.16446700190727576 |282       
 [17, 7, 6, 12, 2]   |4.838102214860965   |3.450511702009083   |338       
 [19, 4, 7, 3, 0]    |0.22951255139853421 |0.18790898404737094 |200       
 [17, 8, 8, 17, 7]   |1.1519997725327038  |0.6619927762057515  |554       
 [18, 4, 6, 17, 5]   |1.3802778966005536  |0.9486502000857145  |375       
 [18, 3, 5, 3, 0]    |0.2000882318003655  |0.17170165869258133 |153       
 [16, 3, 5, 0, 0]    |0.22582188551318147 |0.19928711450119577 |125       
 [19, 6, 7, 2, 5]    |0.2148584937180975  |0.1651707261142683  |263       
 [17, 7, 5, 2, 5]    |0.26838978990339113 |0.20902217854513086 |250       
 [17, 5, 6, 2, 3]    |0.9266855073185564  |0.7556771611428893  |204       
 [18, 8, 10, 4, 2]   |1.2091133392164473  |0.8494954563416762  |353       
 [16, 10, 6, 3, 8]   |0.3092577668824136  |0.21880373180397913 |346       
 [18, 9, 8, 2, 0]    |1.1345816816001455  |0.8189469433439843  |326       
 [17, 14, 7, 4, 2]   |3.3243017605409593  |2.1133189108221018  |453       
 [17, 6, 7, 4, 2]    |1.8352990757125431  |1.4250507858315822  |253       
 [20, 7, 10, 6, 7]   |0.29166448273138657 |0.1935632069205649  |410       
 [17, 5, 4, 3, 2]    |3.3139742373900396  |2.7377821138014125  |191       
 [11, 19, 1, 9, 19]  |0.4825488516962168  |0.29005836538905133 |509       
Increasing Epochs
Gen 4 Train time: 10.467983420689901 minutes:
 Average MSE:        0.35092466978014186
 Average Error:      0.5190677501044881
 Structure           |Error               |MSE                 |weights&biases
 [18, 1, 3, 0, 0]    |0.18695966181615634 |0.17206853923638601 |83        
 [20, 6, 10, 0, 0]   |0.17942739073487182 |0.1373827213689871  |267       
 [18, 3, 5, 3, 0]    |0.19372241114872452 |0.16623895878768744 |153       
 [20, 6, 9, 1, 3]    |1.0360692301465717  |0.7917053146011244  |269       
 [19, 4, 7, 0, 0]    |0.17295471973147455 |0.14446392531468605 |180       
 [17, 3, 5, 2, 0]    |0.22898881833203888 |0.19907331503119902 |140       
 [17, 7, 5, 2, 14]   |0.2385574054023556  |0.17921926043607544 |286       
 [14, 11, 3, 5, 17]  |0.28196816391322327 |0.19224953134402215 |383       
 [18, 5, 5, 2, 0]    |0.19169148004696202 |0.15788820272162243 |194       
 [20, 6, 9, 1, 20]   |0.20245254397140247 |0.14701071985795297 |320       
 [13, 7, 8, 1, 3]    |1.0734686491205472  |0.8614787699426272  |220       
 [19, 6, 7, 2, 0]    |0.2303788685183941  |0.18031858590437372 |245       
 [19, 4, 5, 0, 0]    |0.19418081630803186 |0.16415149768819207 |168       
 [17, 9, 6, 4, 4]    |0.25840750632087534 |0.1865198785337017  |326       
 [12, 15, 15, 12, 3] |3.0046992497246037  |1.4831637567640246  |706       
 [20, 17, 9, 11, 3]  |1.6856545413316515  |0.813144816033215   |729       
 [19, 7, 7, 0, 0]    |0.3020679352301811  |0.23267716693533208 |261       
 [15, 10, 2, 5, 10]  |0.31734289191973425 |0.23205696197066183 |313       
 [19, 6, 8, 0, 0]    |0.16098001029613399 |0.1263783515453371  |242       
 [19, 5, 8, 3, 4]    |0.22864555711716653 |0.17753593142317475 |253       
 [15, 11, 3, 6, 10]  |0.29342499261306776 |0.20430664864058098 |362       
 [20, 7, 9, 0, 0]    |0.21330054354054476 |0.15976471053089153 |289       
 [19, 5, 6, 3, 3]    |0.24715769060768936 |0.19637509030493186 |230       
 [19, 4, 7, 3, 4]    |0.8221661685480878  |0.661786188813023   |217       
 [18, 6, 6, 3, 3]    |1.0320265061717144  |0.8061579007737363  |247       
Increasing Epochs
Gen 5 Train time: 11.799788880348206 minutes:
 Average MSE:        0.30280255941974216
 Average Error:      0.40012517572305145
 Structure           |Error               |MSE                 |weights&biases
 [19, 6, 8, 0, 0]    |0.19459480058818235 |0.15276785032121892 |242       
 [19, 4, 7, 0, 0]    |0.16658460398158897 |0.13914315738556485 |180       
 [20, 6, 10, 0, 0]   |0.21749979661322633 |0.16653373731594315 |267       
 [18, 5, 5, 3, 7]    |0.32149227428524363 |0.25467125393551465 |233       
 [20, 6, 9, 1, 10]   |0.24799768610936102 |0.18556763335941967 |290       
 [20, 6, 9, 2, 12]   |0.2622666228582069  |0.19082592609971044 |318       
 [19, 4, 6, 0, 0]    |0.17107940633409516 |0.14375749439578636 |174       
 [17, 9, 3, 3, 9]    |0.23263459287106591 |0.17216769135585558 |301       
 [18, 7, 6, 4, 4]    |0.2773164010425076  |0.20792118639963103 |288       
 [18, 7, 7, 2, 2]    |1.9631734933291158  |1.501646680702332   |268       
 [12, 9, 5, 18, 15]  |0.40334155584728804 |0.21871811095358576 |612       
 [20, 6, 9, 2, 2]    |1.805008591112052   |1.3669272688552259  |278       
 [20, 5, 9, 2, 2]    |1.0696598756167863  |0.8347197198631046  |248       
 [20, 6, 9, 0, 0]    |0.2031555703182579  |0.1568001464312055  |259       
 [20, 6, 2, 1, 10]   |0.2175341823693713  |0.17214824557918676 |234       
 [19, 5, 7, 2, 0]    |0.1759405521201899  |0.14147827418070608 |218       
 [20, 5, 7, 1, 10]   |0.25035805975921716 |0.19576053111495267 |246       
 [20, 11, 8, 7, 3]   |0.2603676932918619  |0.16143374921795414 |478       
 [20, 5, 8, 1, 10]   |0.2055914476173429  |0.1596351558525142  |253       
