/tmp/tmp.X7DIxt3sNy ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k1.mat
  Evaluating with: datasets/N9dataset100k1.mat
Gen 0 Train time: 8.250346358617147 minutes:
 Average MSE:        1.1108795841626962
 Average Error:      1.3122119467677897
 Structure           |Error               |MSE                 |weights&biases
 [2, 0, 0, 0, 0]     |2.95655931677689    |2.930069665163067   |9         
 [19, 10, 7, 9, 13]  |0.4093325704112825  |0.23616434888134666 |550       
 [2, 20, 0, 0, 0]    |2.596520220895033   |2.3801706148428097  |87        
 [13, 0, 0, 0, 0]    |0.3321891533016113  |0.31504155335466616 |53        
 [14, 0, 0, 0, 0]    |0.23656330474005327 |0.22345629468719985 |57        
 [14, 6, 12, 0, 0]   |0.19448649799612247 |0.15468066123779747 |229       
 [16, 19, 11, 15, 17]|0.47624232730968674 |0.1648320069710965  |1061      
 [2, 4, 15, 0, 0]    |2.075193537669228   |1.8608891674237669  |109       
 [17, 7, 17, 0, 0]   |0.24710546264724992 |0.17747242057141646 |331       
 [14, 11, 0, 0, 0]   |0.2135216166588829  |0.1715265519573538  |219       
 [9, 8, 6, 13, 0]    |0.27275257718710244 |0.20904824728293714 |266       
 [2, 9, 0, 0, 0]     |1.1759602190789438  |1.126465688121441   |43        
 [13, 9, 13, 9, 0]   |0.312924966162805   |0.2033570776647858  |431       
 [6, 0, 0, 0, 0]     |0.7665025315592434  |0.74757751662454    |25        
 [8, 11, 8, 9, 1]    |4.765380217614946   |3.488170294278757   |312       
 [18, 13, 2, 1, 20]  |0.25737039968332037 |0.1737324185639743  |393       
 [6, 0, 0, 0, 0]     |0.8157330122775934  |0.7955924924430664  |25        
 [8, 9, 16, 0, 0]    |1.262505178432854   |0.9522744326786536  |282       
 [3, 16, 2, 10, 0]   |3.451054252764161   |2.976296566936883   |148       
 [2, 7, 12, 18, 0]   |2.938539872473926   |2.0176083321784235  |376       
 [4, 0, 0, 0, 0]     |2.5049203655796966  |2.462696637933048   |17        
