/tmp/tmp.rMYF9xzXdZ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k7.mat
  Evaluating with: datasets/N9dataset100k7.mat
Gen 0 Train time: 8.569667502244313 minutes:
 Average MSE:        0.6527432212240492
 Average Error:      0.963583547819642
 Structure           |Error               |MSE                 |weights&biases
 [15, 10, 0, 0, 0]   |0.23483996280594058 |0.18921884832340127 |216       
 [7, 13, 6, 0, 0]    |0.6063342093351684  |0.48854487719488954 |216       
 [9, 0, 0, 0, 0]     |1.1140418627529733  |1.073575556914846   |37        
 [15, 15, 4, 9, 8]   |0.33320012779982483 |0.20556109599158937 |483       
 [7, 0, 0, 0, 0]     |1.2325882995888837  |1.1973565681295377  |29        
 [13, 15, 0, 0, 0]   |0.29862042851811454 |0.22910336954343716 |265       
 [4, 2, 8, 18, 0]    |1.9008618588535702  |1.514836319583076   |227       
 [7, 17, 13, 0, 0]   |0.4857591722399666  |0.32399010354586527 |405       
 [17, 19, 18, 4, 1]  |8.051333466976597   |3.489776610747728   |836       
 [10, 1, 0, 0, 0]    |0.998414119580178   |0.9563922571495989  |43        
 [7, 3, 0, 0, 0]     |0.28730900503070683 |0.27357021298269185 |49        
 [12, 14, 0, 0, 0]   |0.1961063816780277  |0.1553463710371727  |233       
 [15, 9, 17, 18, 15] |0.4937551490238247  |0.18457202091310987 |984       
 [7, 2, 8, 0, 0]     |0.4870501643023162  |0.45412256317965627 |70        
 [13, 7, 13, 14, 0]  |0.2861788499829302  |0.18211110447376777 |452       
 [11, 8, 1, 15, 20]  |0.4014441792150702  |0.24130664078624217 |509       
 [7, 3, 9, 0, 0]     |0.3367291753843122  |0.3074397009023821  |91        
 [10, 2, 6, 3, 0]    |0.29901224974397206 |0.27191364699162357 |95        
 [5, 18, 4, 0, 0]    |1.1147369797821234  |0.9090260607832915  |204       
 [12, 20, 19, 0, 0]  |0.37362460408788545 |0.182774209092821   |715       
 [12, 0, 0, 0, 0]    |0.3824187255642684  |0.3641318941256476  |49        
 [14, 11, 11, 9, 9]  |0.31172414592750924 |0.18038954457581696 |547       
 [9, 12, 11, 12, 15] |1.630752463738378   |0.8555947331715668  |645       
 [14, 16, 14, 0, 0]  |0.2501030440439343  |0.14647767226826308 |535       
 [5, 0, 0, 0, 0]     |1.982650069534568   |1.941448548193207   |21        
Gen 1 Train time: 8.925107399622599 minutes:
 Average MSE:        0.5207463087766083
 Average Error:      0.7547544147604627
 Structure           |Error               |MSE                 |weights&biases
 [12, 14, 0, 0, 0]   |0.2136282652575715  |0.1692263937295853  |233       
 [15, 10, 0, 0, 0]   |0.19032564851375489 |0.15335209385949608 |216       
 [14, 16, 14, 0, 0]  |0.2930626888675365  |0.17163781695697466 |535       
 [12, 12, 1, 8, 10]  |0.9987955600700764  |0.7238253348923261  |322       
 [13, 6, 3, 2, 0]    |0.19583589456884437 |0.1677168324048391  |155       
 [9, 2, 7, 2, 0]     |1.673183621401668   |1.533769102527441   |87        
 [13, 6, 3, 9, 0]    |0.2397166272386097  |0.1982358544530645  |190       
 [6, 12, 9, 13, 13]  |1.7386830459086606  |1.0081610780024337  |545       
 [10, 9, 0, 0, 0]    |0.19881035733976934 |0.17301034530486795 |139       
 [9, 3, 3, 2, 0]     |0.17949045486672    |0.1656905729078419  |80        
