/tmp/tmp.dkkPk2jay2 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k0.mat
  Evaluating with: datasets/N2dataset100k0.mat
Gen 0 Train time: 8.254428207874298 minutes:
 Average MSE:        0.7935038571119049
 Average Error:      1.0264970712576507
 Structure           |Error               |MSE                 |weights&biases
 [16, 12, 2, 9, 0]   |0.6083777008050183  |0.44398727740089133 |315       
 [3, 15, 18, 0, 0]   |2.398455227498802   |1.6467849548981803  |376       
 [8, 0, 0, 0, 0]     |0.6813856603268736  |0.6592669003172847  |33        
 [18, 13, 15, 7, 5]  |0.8299623124248252  |0.42512374576206274 |669       
 [5, 14, 16, 0, 0]   |0.6157177159711721  |0.43129340183159187 |356       
 [6, 16, 0, 0, 0]    |1.2865988099085661  |1.110713003945069   |147       
 [7, 18, 11, 0, 0]   |1.2852078657491095  |0.8736464265087557  |386       
 [11, 0, 0, 0, 0]    |0.5935343451147759  |0.5674173393111838  |45        
 [1, 17, 13, 0, 0]   |3.818705209568951   |2.8717207506395366  |285       
 [17, 7, 18, 20, 0]  |0.8692667749136676  |0.42227217426408864 |722       
 [11, 20, 17, 3, 0]  |1.127916415865976   |0.5668684860957969  |688       
 [8, 12, 0, 0, 0]    |0.545723950403246   |0.4720633829832683  |145       
 [17, 19, 4, 0, 0]   |0.7512041525083296  |0.4657632490202113  |478       
 [4, 11, 3, 0, 0]    |0.8898977140828931  |0.7995959424388659  |107       
 [3, 16, 8, 0, 0]    |0.8848636736685892  |0.7115413924034488  |218       
 [10, 0, 0, 0, 0]    |0.6145948540032651  |0.5899060439883484  |41        
 [19, 2, 7, 0, 0]    |0.5366652223250722  |0.4731320277541064  |126       
 [15, 0, 0, 0, 0]    |0.5730282480689782  |0.5391182928314271  |61        
 [6, 15, 17, 0, 0]   |0.8149055827132992  |0.5391922881472395  |413       
 [2, 0, 0, 0, 0]     |2.7642605802004026  |2.7394938524287578  |9         
 [7, 14, 0, 0, 0]    |0.6133697935953617  |0.5289891949622201  |148       
 [8, 12, 15, 0, 0]   |0.7119729884210944  |0.5052432381823225  |343       
 [18, 6, 0, 0, 0]    |0.5081969281605294  |0.42660947927770093 |175       
