/tmp/tmp.RGmNmsEVKy ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k6.mat
  Evaluating with: datasets/N2dataset100k6.mat
Gen 0 Train time: 8.472971558570862 minutes:
 Average MSE:        1.0409128621329535
 Average Error:      1.3646348389703749
 Structure           |Error               |MSE                 |weights&biases
 [20, 15, 2, 0, 0]   |0.7322718247626626  |0.48597237967152    |410       
 [3, 9, 17, 2, 19]   |3.701344970535747   |2.66631203994616    |328       
 [20, 14, 3, 10, 0]  |0.8498309804385048  |0.5418761572479232  |450       
 [1, 16, 0, 0, 0]    |2.4439540852137402  |2.320116162332011   |52        
 [4, 17, 15, 8, 0]   |1.7078764859982467  |1.0317442099504437  |504       
 [13, 5, 1, 13, 19]  |0.9458972197416434  |0.6171634600351276  |427       
 [19, 1, 0, 0, 0]    |0.4804375724384719  |0.4439434981366265  |79        
 [11, 9, 6, 0, 0]    |0.7022240854335613  |0.5703513435377443  |208       
 [17, 19, 0, 0, 0]   |0.6372935351682394  |0.42167309531084696 |413       
 [15, 0, 0, 0, 0]    |0.4282303863744042  |0.4028890994792994  |61        
 [2, 14, 0, 0, 0]    |2.4511886938978735  |2.301527626915999   |63        
 [13, 0, 0, 0, 0]    |0.5375089762515899  |0.5097627696068301  |53        
 [6, 0, 0, 0, 0]     |0.8130624182039882  |0.7929878355720751  |25        
 [17, 0, 0, 0, 0]    |0.4365555930268429  |0.4074489823093139  |69        
 [11, 13, 15, 8, 0]  |0.8124934318768257  |0.47537683689005006 |536       
 [11, 11, 10, 16, 16]|1.0730239736629532  |0.5068606354476345  |750       
 [15, 4, 10, 2, 10]  |0.6996579061711495  |0.560366766830691   |222       
 [12, 2, 8, 0, 0]    |0.5342250316622037  |0.485809784709042   |95        
 [5, 1, 5, 11, 14]   |3.479435876313893   |2.6297010647557952  |280       
 [6, 0, 0, 0, 0]     |1.0958562405232308  |1.0687994535404115  |25        
 [3, 8, 0, 0, 0]     |1.1430315437827478  |1.087285237578626   |50        
 [8, 20, 10, 8, 18]  |1.1115786530841612  |0.5614577317198826  |683       
 [3, 5, 10, 17, 3]   |5.5531340204486375  |3.9763426185568314  |334       
 [10, 4, 8, 8, 20]   |0.9758116985612663  |0.6626650348181915  |387       
 [17, 18, 3, 2, 0]   |0.7699457706867885  |0.4943877284247538  |443       
Gen 1 Train time: 8.28306538661321 minutes:
 Average MSE:        0.7674686286242935
 Average Error:      0.9432277554965849
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.4664290113899665  |0.43882725362142966 |61        
 [17, 0, 0, 0, 0]    |0.4251165314274495  |0.396772600923542   |69        
 [19, 1, 0, 0, 0]    |0.5282146089859023  |0.4880913873781242  |79        
 [13, 1, 4, 2, 0]    |0.5423325079097139  |0.5036488487457073  |74        
 [14, 2, 4, 4, 10]   |0.638469407689202   |0.5413541910324151  |165       
 [5, 13, 0, 0, 0]    |1.5211136433491512  |1.3667596600850316  |107       
 [12, 0, 0, 0, 0]    |0.753798480158692   |0.7177526884025194  |49        
 [17, 9, 2, 1, 0]    |0.7732627999702153  |0.6094878198592276  |238       
 [13, 7, 8, 4, 0]    |0.5894010359114886  |0.46271292429776184 |242       
 [15, 10, 0, 0, 0]   |0.5218852324820645  |0.4205013553372474  |216       
 [15, 1, 4, 0, 0]    |0.5365662959647567  |0.498293930931736   |74        
 [15, 7, 8, 4, 0]    |0.6516072030603463  |0.5014189258821973  |262       
 [19, 1, 20, 8, 1]   |5.35139225920304    |3.9802982847997272  |296       
 [15, 3, 4, 4, 10]   |0.8026091557282128  |0.663724972316016   |190       
 [18, 17, 0, 0, 0]   |0.5119540729093476  |0.3448932399311869  |395       
 [14, 5, 19, 0, 0]   |0.5643053073508476  |0.4390421535084128  |251       
 [16, 10, 5, 1, 5]   |0.7255725831452571  |0.5402117071508787  |295       
 [14, 1, 4, 0, 0]    |0.5734687896110193  |0.5346987553422589  |70        
 [14, 6, 5, 8, 8]    |0.801047143197495   |0.5958087943617774  |296       
 [20, 8, 1, 0, 0]    |1.4648901425423035  |1.153476299278858   |239       
 [13, 1, 0, 0, 0]    |0.6386977559115882  |0.6045179400015377  |55        
 [18, 0, 0, 0, 0]    |0.43373720808687993 |0.4032024686506336  |73        
 [17, 9, 2, 7, 8]    |0.7097788485192542  |0.511809988811379   |327       
 [18, 10, 6, 1, 5]   |0.7757026336667051  |0.5560005273403712  |333       
 [14, 2, 5, 7, 5]    |2.279341229243726   |1.9134089976173612  |175       
Gen 2 Train time: 8.468933121363323 minutes:
 Average MSE:        1.0257121158336704
 Average Error:      1.223309968082157
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.48393206326236377 |0.45166670598805636 |69        
 [18, 0, 0, 0, 0]    |0.41726893562871714 |0.38789354890443456 |73        
 [15, 0, 0, 0, 0]    |0.44286324221168777 |0.41665603031530785 |61        
 [15, 8, 4, 17, 0]   |0.7145091717866032  |0.5230075154975038  |312       
 [13, 1, 2, 2, 5]    |1.3984601813794142  |1.2857880011646907  |84        
 [18, 2, 0, 0, 0]    |0.5669005960974148  |0.5155240586248958  |95        
 [15, 3, 4, 4, 10]   |0.6202857136892611  |0.5129509365899118  |190       
 [17, 5, 3, 1, 3]    |3.8199926685775956  |3.213139521971306   |173       
 [16, 1, 0, 0, 0]    |1.3184315225293302  |1.2329908331605697  |67        
 [13, 1, 2, 1, 0]    |1.382356276925963   |1.299253008130956   |62        
 [10, 3, 11, 14, 18] |1.0257731155851413  |0.5835918586738958  |564       
 [15, 5, 6, 4, 5]    |0.6514996183747727  |0.522840690611136   |220       
 [6, 7, 17, 4, 6]    |2.5741229494491606  |1.8842104503853683  |312       
 [17, 1, 2, 0, 0]    |0.6392594621887794  |0.5924760297529953  |76        
 [14, 3, 12, 1, 0]   |1.9828039210858932  |1.7066151505655092  |150       
 [17, 1, 8, 0, 0]    |0.5174604790430632  |0.47103535421375015 |94        
 [2, 5, 1, 4, 4]     |4.227248943779607   |3.9810731298831095  |60        
 [16, 8, 19, 15, 14] |1.0779231058919885  |0.4408882396870406  |894       
 [13, 8, 4, 8, 8]    |0.6991460552284737  |0.5138131455130197  |308       
 [15, 3, 12, 0, 0]   |0.5400331314893803  |0.46295529404504715 |154       
 [3, 18, 11, 0, 0]   |1.0432355961715472  |0.7713037868973488  |302       
 [19, 9, 0, 0, 0]    |0.5560730516923793  |0.4343712892530941  |247       
 [14, 2, 7, 3, 5]    |0.7755209878648587  |0.6721859717457154  |143       
 [16, 7, 11, 1, 0]   |0.7524027410152057  |0.5749434800779879  |269       
 [14, 1, 4, 1, 0]    |2.3552456711053273  |2.191628864189105   |72        
Gen 3 Train time: 8.33817097345988 minutes:
 Average MSE:        0.6360234819214662
 Average Error:      0.7595440550444773
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.43442034682417974 |0.40383751498785025 |73        
 [15, 0, 0, 0, 0]    |0.46244478983437065 |0.43507880538950855 |61        
 [17, 0, 0, 0, 0]    |0.46382449945808146 |0.43289978021814496 |69        
 [16, 0, 0, 0, 0]    |0.6301414151443494  |0.5904850174583628  |65        
 [15, 3, 12, 0, 0]   |0.532883508955929   |0.4568261226863263  |154       
 [19, 12, 15, 14, 10]|1.1604874677128758  |0.48279659018478654 |877       
 [17, 6, 20, 0, 0]   |0.6069778956278435  |0.4407564144351738  |320       
 [17, 1, 4, 0, 0]    |0.6169617089785047  |0.5683895220712737  |82        
 [18, 1, 1, 16, 0]   |0.6054762173940067  |0.5348654845798075  |124       
 [14, 2, 6, 7, 9]    |0.7462365155010253  |0.598270261918805   |221       
 [17, 4, 6, 1, 0]    |0.6110823305371603  |0.5196895932552754  |162       
 [16, 2, 4, 2, 3]    |2.1992631651550636  |1.9564319475916427  |117       
 [18, 5, 4, 0, 0]    |0.5497805718285307  |0.4601346841732112  |178       
 [16, 1, 8, 0, 0]    |0.44989210310355304 |0.4111704230335958  |90        
 [18, 2, 4, 12, 0]   |0.6658334402679781  |0.5578217961159104  |177       
 [16, 5, 2, 4, 4]    |1.3780287161911995  |1.1487265849483588  |182       
 [15, 2, 6, 14, 0]   |0.608408895236568   |0.4941539859092775  |208       
 [16, 1, 4, 2, 3]    |1.343836471393356   |1.2208270777416073  |96        
 [12, 2, 4, 0, 0]    |0.473668911448987   |0.4376889851473084  |79        
 [16, 1, 1, 0, 0]    |0.689580817480142   |0.6436041750243534  |69        
 [16, 4, 6, 1, 0]    |1.366250642154358   |1.1700777861877256  |155       
 [18, 1, 0, 0, 0]    |0.4595028605622769  |0.4263007858359897  |75        
 [17, 4, 7, 1, 0]    |0.5932048769173096  |0.5014680174556887  |168       
 [17, 4, 10, 8, 7]   |0.6964230409062755  |0.49967470319399404 |332       
 [15, 3, 12, 3, 11]  |0.6439901674980111  |0.5086109884926777  |236       
Increasing Epochs
Gen 4 Train time: 9.428045558929444 minutes:
 Average MSE:        0.8205263013414549
 Average Error:      1.0446806866434377
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.39480650124862926 |0.36701245126030496 |73        
 [16, 1, 8, 0, 0]    |0.5202323658807628  |0.4754565827658608  |90        
 [18, 1, 0, 0, 0]    |0.4527392988783611  |0.42002593553935547 |75        
 [17, 2, 3, 1, 0]    |0.5230969448651381  |0.47237199960092485 |102       
 [18, 1, 1, 8, 0]    |0.5650927115515154  |0.5113170300712124  |100       
 [17, 9, 1, 4, 3]    |2.4003594619328106  |1.869401828606129   |250       
 [18, 1, 2, 6, 0]    |0.5746669022395102  |0.5189411950882872  |102       
 [18, 1, 2, 6, 0]    |0.5721401289831665  |0.5166594441674421  |102       
 [18, 1, 2, 0, 0]    |0.503679033474372   |0.46495434913241435 |80        
 [18, 3, 2, 0, 0]    |0.5493847027328544  |0.48628697330428683 |122       
 [16, 2, 5, 7, 0]    |0.5109075342404727  |0.4410633973264221  |147       
 [16, 3, 8, 11, 4]   |1.3168144829653172  |0.9922457698546291  |283       
 [15, 3, 7, 4, 4]    |1.4807550725252012  |1.2393067389925285  |178       
 [17, 3, 6, 0, 0]    |0.5585007045799105  |0.4874832252323337  |136       
 [16, 1, 1, 0, 0]    |0.5033595724425756  |0.4697989186334122  |69        
 [16, 11, 10, 18, 1] |7.066948476292185   |3.9805849104988176  |574       
 [16, 1, 4, 0, 0]    |0.6159716694779048  |0.5697518820256968  |78        
 [18, 16, 0, 0, 0]   |0.6249322118516868  |0.42950920917679286 |375       
 [16, 2, 7, 8, 0]    |0.6811629896290967  |0.5712355326866053  |176       
 [15, 2, 6, 0, 0]    |0.4992823311677214  |0.45086669967057913 |102       
 [18, 3, 2, 14, 0]   |0.5193248885527537  |0.435515190734861   |176       
 [16, 0, 0, 0, 0]    |0.3916122611752736  |0.36696710820700285 |65        
 [17, 3, 4, 1, 0]    |1.4707760795616829  |1.2940673035674581  |128       
 [2, 3, 6, 0, 0]     |2.155202739363641   |2.058309053120655   |46        
 [14, 1, 2, 0, 0]    |0.6652681004734001  |0.6240248042723611  |64        
Gen 5 Train time: 9.627128966649373 minutes:
 Average MSE:        0.738928447376767
 Average Error:      0.8516280664602371
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.4379155026211023  |0.410356369214797   |65        
 [18, 0, 0, 0, 0]    |0.5768102772259789  |0.5362033124766776  |73        
 [18, 1, 0, 0, 0]    |0.5956644468236484  |0.5526238105781405  |75        
 [18, 2, 2, 4, 9]    |0.8063869771109836  |0.6837304409508893  |165       
 [18, 1, 2, 6, 0]    |0.5746188442058054  |0.5188977972636567  |102       
 [17, 0, 0, 0, 0]    |0.5100425162268197  |0.4760362883687101  |69        
 [2, 10, 1, 7, 0]    |2.2928302167614167  |2.139959614192917   |69        
 [17, 1, 1, 9, 0]    |0.543705807181181   |0.4924575701644122  |99        
 [2, 1, 1, 4, 16]    |3.824638683792246   |3.405745985982052   |116       
 [18, 3, 3, 8, 0]    |0.4819924413025875  |0.40908723916213496 |164       
 [17, 2, 5, 7, 0]    |0.5067634042110383  |0.4353038253257588  |152       
 [17, 2, 3, 7, 0]    |0.7043076897962266  |0.6172137017180798  |132       
 [18, 2, 1, 7, 0]    |0.5435595972060963  |0.48354256927641126 |117       
 [20, 9, 5, 7, 14]   |0.5651470040571903  |0.3539253026753265  |468       
 [17, 2, 5, 9, 2]    |2.2595979465793397  |1.8892631734004133  |179       
 [18, 1, 1, 3, 0]    |0.6612128473313451  |0.6073321228779058  |85        
 [18, 2, 3, 0, 0]    |0.5037753820922634  |0.45356133037293056 |105       
 [17, 1, 5, 3, 0]    |0.6293685712244641  |0.5689070413899728  |101       
 [16, 1, 1, 0, 0]    |0.5352460938847453  |0.49955945983027494 |69        
 [18, 14, 1, 8, 13]  |0.9112399411143818  |0.5627335481978065  |482       
 [13, 1, 2, 3, 0]    |0.5189686779072001  |0.48388318800543395 |70        
 [18, 2, 2, 1, 0]    |0.49769937117230595 |0.4489880274193263  |103       
 [18, 14, 3, 8, 0]   |0.7348372061134428  |0.4896295018354838  |406       
 [15, 2, 2, 1, 11]   |0.5537658702056687  |0.4911462674418684  |120       
 [17, 2, 3, 4, 0]    |0.5206063453584491  |0.4631236962977936  |117       
Increasing Epochs
Gen 6 Train time: 11.346277817090352 minutes:
 Average MSE:        0.629925190441223
 Average Error:      0.7613785474987351
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.4737520400920398  |0.44393762247891766 |65        
 [18, 3, 3, 8, 0]    |0.5261209804741351  |0.44654098472121423 |164       
 [18, 2, 2, 1, 0]    |0.5952927699294559  |0.5370296648718887  |103       
 [17, 2, 5, 6, 1]    |4.609178235193961   |3.9790758112813265  |147       
 [17, 2, 3, 8, 0]    |0.5069415451073689  |0.44203793372303346 |137       
 [18, 2, 1, 4, 11]   |0.5942604040648949  |0.5013565948059024  |170       
 [17, 2, 4, 4, 0]    |0.5458658482298262  |0.4822068861525917  |124       
 [17, 2, 2, 4, 6]    |0.5456056476653023  |0.47337905757318044 |142       
 [20, 16, 3, 13, 8]  |0.9223125575767803  |0.4961529100721469  |620       
 [18, 2, 2, 5, 0]    |0.5474763835426684  |0.4860538040421223  |119       
 [19, 5, 3, 4, 7]    |0.5388165976798237  |0.42639888117458546 |234       
 [18, 1, 1, 5, 0]    |0.5658008908814575  |0.5165862342173535  |91        
 [17, 7, 3, 8, 0]    |0.5418273702067704  |0.42536492414748717 |242       
 [18, 3, 4, 8, 0]    |0.5053638483830484  |0.4238072113824548  |176       
 [18, 3, 3, 6, 0]    |0.5045338366386113  |0.43252274180384676 |154       
 [17, 9, 3, 12, 6]   |0.6800928027982847  |0.46695330508657984 |376       
 [16, 1, 6, 0, 0]    |0.5157080676101955  |0.47415811638123156 |84        
 [19, 2, 5, 9, 11]   |0.7527310824319193  |0.5643688548919729  |288       
 [18, 1, 3, 2, 10]   |0.6029239628266042  |0.5304846860602673  |128       
 [18, 8, 3, 8, 7]    |0.7271695464168951  |0.5196521597152952  |336       
 [16, 2, 10, 5, 0]   |0.617220655359439   |0.5191675098818738  |173       
 [18, 9, 7, 8, 0]    |0.7896398605241883  |0.5465233148150834  |368       
 [18, 2, 2, 4, 0]    |0.6333144875492873  |0.5645150926471392  |115       
 [10, 6, 1, 5, 0]    |0.5632154562742805  |0.5000270755900073  |119       
 [17, 2, 1, 4, 6]    |0.6292988100111344  |0.5498283835130734  |135       
Result:  [16]
Fold 0
Fold 0 Train time: 17.309247267246246 minutes, MSE: 0.05776967813364238
Fold 1
Fold 1 Train time: 17.415467294057212 minutes, MSE: 0.04128297308881939
Fold 2
Fold 2 Train time: 17.31068160533905 minutes, MSE: 0.042930464376895835
Fold 3
Fold 3 Train time: 17.339514656861624 minutes, MSE: 0.05151339451079096
Fold 4
Fold 4 Train time: 17.178748909632365 minutes, MSE: 0.05046635965790926
Total Time: 150.5235543012619 minutes
CellsPerSensor: 2
 Resulting Network Architecture: [16]
 MSE after 5-Fold CV: 0.048792573953611564
 Weights and Biases: 65
 Objective Function Value: 0.052069435617529684
~/workspace/SolarCellResearch
