/tmp/tmp.jGafTuBuft ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k2.mat
  Evaluating with: datasets/N3dataset100k2.mat
Gen 0 Train time: 8.232760393619538 minutes:
 Average MSE:        0.8024256175322217
 Average Error:      1.0068554966123744
 Structure           |Error               |MSE                 |weights&biases
 [19, 11, 1, 16, 0]  |0.4941972091481226  |0.35245912085692294 |338       
 [15, 4, 1, 3, 18]   |0.5642822601337548  |0.45694114065746894 |211       
 [6, 7, 0, 0, 0]     |0.5187390353852726  |0.4812567611830433  |75        
 [6, 10, 18, 0, 0]   |0.5239829528209996  |0.38624008230710427 |305       
 [5, 0, 0, 0, 0]     |1.4379923760164004  |1.4081094055015568  |21        
 [20, 10, 13, 9, 0]  |0.49104504047613196 |0.2835917930353751  |549       
 [4, 0, 0, 0, 0]     |1.4088030648779155  |1.3850558361290275  |17        
 [11, 0, 0, 0, 0]    |0.4712218014525534  |0.450486855573498   |45        
 [6, 17, 3, 0, 0]    |0.5413144373781568  |0.44541227998084165 |195       
 [8, 12, 7, 6, 0]    |0.5052630289250192  |0.3826340858336228  |278       
 [1, 0, 0, 0, 0]     |3.718351453330362   |3.699806098087957   |5         
 [12, 12, 4, 0, 0]   |0.4874118762418644  |0.3799765375080195  |249       
 [19, 15, 0, 0, 0]   |0.4265757816024994  |0.2937679099628777  |373       
 [17, 9, 0, 0, 0]    |0.3520825836439986  |0.28170650335155517 |223       
 [17, 4, 0, 0, 0]    |0.35397142297252937 |0.31144295262301797 |128       
 [17, 0, 0, 0, 0]    |0.4481198673094725  |0.41824222803303435 |69        
 [11, 12, 3, 19, 0]  |0.49432488942405006 |0.3618366880019078  |312       
 [11, 9, 0, 0, 0]    |0.35977583835411353 |0.3093524266419708  |151       
 [19, 2, 0, 0, 0]    |0.3920167698865643  |0.3547114418909557  |100       
 [1, 13, 15, 17, 5]  |4.937785886231533   |2.691011188703939   |607       
 [14, 19, 3, 6, 19]  |0.9487277120575668  |0.5397585103790453  |564       
 [4, 0, 0, 0, 0]     |3.1727240594690245  |3.119243622156205   |17        
 [13, 0, 0, 0, 0]    |0.46513699641120243 |0.44112663046243483 |53        
 [7, 20, 13, 9, 6]   |0.8635073668178959  |0.4521447757582182  |647       
 [14, 19, 17, 2, 12] |0.7940337049423517  |0.374325563685945   |752       
Gen 1 Train time: 8.944310748577118 minutes:
 Average MSE:        0.45550335110402623
 Average Error:      0.6951019517395545
 Structure           |Error               |MSE                 |weights&biases
 [17, 9, 0, 0, 0]    |0.40233318047678335 |0.32191275206338016 |223       
 [17, 4, 0, 0, 0]    |0.32790889509391546 |0.28851174939996804 |128       
 [11, 9, 0, 0, 0]    |0.4152372276885533  |0.35704077462563105 |151       
 [13, 11, 10, 8, 0]  |0.4670950663712369  |0.30998775763471204 |410       
 [14, 8, 2, 10, 0]   |0.4818250635492431  |0.3862871904293116  |221       
 [19, 10, 7, 5, 0]   |0.5381546866492619  |0.36802322238619806 |380       
 [16, 10, 9, 1, 6]   |0.5003950602907787  |0.3540357536421367  |346       
 [20, 2, 12, 8, 18]  |0.5150600971873243  |0.3374048644359065  |423       
 [13, 16, 10, 11, 16]|1.122102568353191   |0.5231977488876896  |763       
 [15, 12, 2, 5, 19]  |0.6042230682419069  |0.40019160624731304 |412       
 [10, 6, 1, 8, 0]    |0.3726591991685913  |0.3278854556578219  |128       
 [10, 12, 6, 3, 0]   |0.5283409470918218  |0.40534631822472444 |265       
 [16, 7, 2, 0, 0]    |0.40855668510002524 |0.33921382769189934 |186       
 [12, 3, 4, 10, 0]   |0.4021709199148373  |0.3454601070617221  |152       
 [19, 8, 13, 19, 8]  |0.7271186338457744  |0.3370022635017233  |769       
 [17, 3, 1, 2, 9]    |0.7889132817633442  |0.6790239543213795  |150       
 [14, 15, 13, 9, 3]  |4.33369425046735    |2.2965783788404543  |635       
 [12, 10, 8, 16, 8]  |0.8383625295141652  |0.4870908323309252  |543       
 [19, 5, 4, 2, 0]    |0.41754980273460146 |0.3439181954481395  |194       
 [10, 9, 2, 0, 0]    |0.5087877750663065  |0.437042736166308   |152       
 [9, 11, 0, 0, 0]    |0.4074495671142659  |0.35104596290460177 |149       
 [13, 11, 10, 8, 12] |0.5382244164690405  |0.3193461436046078  |522       
 [17, 11, 17, 11, 18]|0.7754599848308572  |0.3197234431922372  |886       
 [11, 11, 2, 2, 9]   |0.5042410259377125  |0.39983596672949406 |232       
 [12, 10, 2, 3, 10]  |0.4516848605679715  |0.35247677217236906 |248       
Gen 2 Train time: 9.077738952636718 minutes:
 Average MSE:        0.7190451300251854
 Average Error:      1.0889602382168178
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 0, 0, 0]    |0.3994729165364995  |0.3514775954914054  |128       
 [10, 6, 1, 8, 0]    |0.37450912507452727 |0.3295131192173269  |128       
 [12, 3, 4, 10, 0]   |0.4639239721929162  |0.3985052552685858  |152       
 [14, 10, 6, 2, 8]   |0.44630961186262297 |0.32898524711959426 |305       
 [11, 11, 16, 2, 5]  |1.5839974876032468  |1.049119989245201   |412       
 [10, 9, 2, 0, 0]    |0.49980154656972947 |0.42932367119968645 |152       
 [15, 8, 5, 4, 0]    |0.6001796166061124  |0.46882472195909425 |247       
 [18, 8, 8, 10, 4]   |1.404087112776958   |0.9253227807439552  |417       
 [3, 20, 5, 19, 19]  |2.7260147548301363  |1.3429124773245615  |708       
 [13, 14, 7, 14, 6]  |0.6936778418246746  |0.40061771678056635 |549       
 [14, 5, 3, 5, 0]    |0.387298232581878   |0.32970391455076603 |161       
 [13, 15, 15, 9, 6]  |0.9489735684498357  |0.4712463277786796  |700       
 [17, 8, 1, 0, 0]    |0.40751372953498777 |0.3316481521349852  |206       
 [13, 10, 4, 17, 13] |0.8759069908429263  |0.5023313242573024  |556       
 [9, 5, 3, 9, 0]     |0.4062693463084569  |0.3528405849392932  |141       
 [11, 10, 1, 1, 5]   |1.9369310531657036  |1.6146283222117923  |182       
 [14, 9, 2, 1, 5]    |1.3311323289219423  |1.0725403088774692  |216       
 [15, 11, 2, 1, 0]   |1.3674810010249658  |1.064995274433512   |250       
 [6, 8, 5, 19, 9]    |1.6180404311323942  |1.0599437139458465  |423       
 [5, 4, 13, 8, 15]   |0.6442994509151437  |0.4463768738908172  |367       
 [10, 9, 1, 4, 0]    |0.505495982379622   |0.4342151248258167  |152       
 [13, 7, 2, 4, 0]    |0.4192350362596698  |0.3536938499767926  |170       
 [15, 7, 11, 11, 9]  |0.5515392093300708  |0.33620225624082034 |495       
 [1, 17, 14, 12, 12] |6.135495995677092   |3.2416774320963966  |638       
 [19, 10, 7, 5, 0]   |0.4964196130183303  |0.33948221611936774 |380       
Increasing Epochs
Gen 3 Train time: 10.326021428902944 minutes:
 Average MSE:        0.5415824333845636
 Average Error:      0.7134194534964362
 Structure           |Error               |MSE                 |weights&biases
 [10, 6, 1, 8, 0]    |0.5731955470815626  |0.5043280390103757  |128       
 [14, 5, 3, 5, 0]    |0.39732079599516235 |0.3382360433166636  |161       
 [17, 4, 0, 0, 0]    |0.3147907848167482  |0.27696973574461037 |128       
 [12, 8, 4, 5, 4]    |0.5363675396531166  |0.42616203354644056 |230       
 [16, 7, 2, 3, 0]    |0.3994041344842301  |0.32831508512708896 |196       
 [14, 7, 1, 20, 0]   |0.42503260304838925 |0.3424637727232648  |216       
 [12, 8, 4, 8, 4]    |0.6218942714976786  |0.4809532618991249  |257       
