/tmp/tmp.Shx1o7ZT4V ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k3.mat
  Evaluating with: datasets/N3dataset100k3.mat
Gen 0 Train time: 8.553626068433125 minutes:
 Average MSE:        1.0983925234347562
 Average Error:      1.4985866121594944
 Structure           |Error               |MSE                 |weights&biases
 [13, 2, 19, 0, 0]   |0.35857362409389204 |0.310484507880088   |144       
 [17, 5, 0, 0, 0]    |0.34283682416547523 |0.2959689655385924  |147       
 [1, 8, 13, 8, 0]    |3.5797276531075557  |2.7684475808505735  |257       
 [4, 7, 16, 10, 0]   |1.747691988690064   |1.2242103866818883  |356       
 [14, 4, 13, 11, 0]  |0.5346975637573881  |0.38325527658896225 |333       
 [4, 5, 0, 0, 0]     |0.6941519331716072  |0.6649360432221307  |43        
 [8, 13, 19, 7, 0]   |0.6203953216793068  |0.35615174515212994 |555       
 [12, 6, 7, 20, 19]  |0.7155206941634629  |0.3407027925834087  |742       
 [18, 0, 0, 0, 0]    |0.35073882826621866 |0.32604710587855085 |73        
 [2, 4, 0, 0, 0]     |1.9777786506138741  |1.9328088764526747  |23        
 [5, 11, 0, 0, 0]    |1.139356154985992   |1.0381739229456382  |93        
 [8, 12, 20, 2, 0]   |3.5936837205301586  |2.321417016987925   |437       
 [12, 15, 6, 15, 14] |0.7389625695313666  |0.37775554101062847 |671       
 [8, 0, 0, 0, 0]     |0.7521890500800357  |0.72777191005308    |33        
 [7, 0, 0, 0, 0]     |1.1550386170373421  |1.1220235296848116  |29        
 [9, 8, 3, 10, 2]    |3.253119661476167   |2.666093871562036   |199       
 [5, 20, 8, 0, 0]    |0.8764362716711824  |0.6415351615325967  |312       
 [8, 18, 0, 0, 0]    |0.623792674998896   |0.5081710286849483  |205       
 [7, 10, 3, 2, 12]   |1.3145230173595024  |1.0859703025155225  |191       
 [10, 11, 11, 9, 2]  |4.499461748008452   |2.9741484956181714  |414       
 [18, 19, 11, 13, 0] |0.7372790349924354  |0.32962855505045113 |805       
 [13, 17, 15, 11, 0] |0.7699139517868671  |0.3691779428227362  |735       
 [6, 9, 18, 19, 3]   |4.647755890964603   |2.3405466168037936  |686       
 [16, 0, 0, 0, 0]    |0.37467801765498887 |0.3510985795872344  |65        
 [2, 6, 0, 0, 0]     |2.0663618412005413  |2.003287330180327   |31        
Gen 1 Train time: 8.452628028392791 minutes:
 Average MSE:        0.42863811490608905
 Average Error:      0.5590470940734131
 Structure           |Error               |MSE                 |weights&biases
 [17, 5, 0, 0, 0]    |0.3083651365686779  |0.2662097652449005  |147       
 [18, 0, 0, 0, 0]    |0.4230636867389305  |0.3932803543462818  |73        
 [13, 2, 19, 0, 0]   |0.36780232199407265 |0.3184755243223941  |144       
 [15, 3, 3, 10, 10]  |0.494222607973063   |0.3787915444461526  |266       
 [9, 9, 4, 10, 10]   |0.6518177057562355  |0.4695453708159434  |328       
 [12, 9, 17, 0, 0]   |0.4782562999276967  |0.3400684024694252  |341       
 [17, 3, 8, 0, 0]    |0.4236959878458583  |0.36614015170542524 |146       
 [15, 11, 8, 6, 0]   |0.44491673493817546 |0.3048705170363103  |378       
 [18, 10, 6, 7, 0]   |0.4650489425491447  |0.3221903928157427  |367       
 [17, 0, 0, 0, 0]    |0.3732313770794569  |0.34834680207058505 |69        
 [11, 10, 10, 0, 0]  |0.5686785540910378  |0.43238454518839664 |274       
 [12, 9, 0, 0, 0]    |0.3938524840178784  |0.33461359995678774 |163       
 [15, 4, 10, 0, 0]   |0.3853242915250875  |0.32508454773964446 |170       
 [16, 0, 0, 0, 0]    |0.5723863990575666  |0.5363646710366001  |65        
 [3, 5, 15, 4, 19]   |2.5930878093181873  |1.9248525549405116  |298       
 [14, 3, 4, 10, 10]  |0.4121481997717987  |0.3133694960475283  |274       
 [18, 3, 0, 0, 0]    |0.36690349027022057 |0.3270453493081241  |115       
 [14, 3, 16, 6, 0]   |0.44077770957229834 |0.3398623519525844  |260       
 [5, 12, 0, 0, 0]    |0.5429428283003637  |0.49127498690044236 |100       
 [15, 9, 20, 16, 0]  |0.6999042702053027  |0.3332668661369597  |742       
 [11, 13, 7, 0, 0]   |0.5984524099149263  |0.44556672277675924 |295       
 [11, 3, 0, 0, 0]    |0.3753904333654877  |0.3489632584402994  |73        
 [15, 4, 17, 0, 0]   |0.4477296829632543  |0.3621975075699139  |212       
 [16, 9, 8, 6, 0]    |0.40296725159390545 |0.2862470637263221  |342       
 [20, 1, 16, 13, 18] |0.7452107364967031  |0.4069405256581927  |605       
Gen 2 Train time: 8.721059747536977 minutes:
 Average MSE:        0.3355993073469245
 Average Error:      0.4369437541987273
 Structure           |Error               |MSE                 |weights&biases
 [17, 5, 0, 0, 0]    |0.3524349784173504  |0.3042549942985491  |147       
 [18, 3, 0, 0, 0]    |0.3420542273223609  |0.3048955576153636  |115       
 [13, 2, 19, 0, 0]   |0.36812916760173414 |0.3187585359295752  |144       
 [13, 3, 2, 5, 5]    |0.4547475298943741  |0.39533851014093874 |140       
 [14, 13, 4, 5, 7]   |0.559565896116013   |0.3872851709889439  |368       
 [18, 5, 0, 0, 0]    |0.3188434318695509  |0.2730623542940459  |155       
