/tmp/tmp.zPbd1DNFxJ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k2.mat
  Evaluating with: datasets/N4dataset100k2.mat
Gen 0 Train time: 8.565678719679514 minutes:
 Average MSE:        0.9719899753323671
 Average Error:      1.3384050954283262
 Structure           |Error               |MSE                 |weights&biases
 [9, 1, 0, 0, 0]     |0.30102257744989364 |0.2895086773315023  |39        
 [1, 5, 8, 17, 0]    |3.2103554709887017  |2.5456389251568936  |232       
 [5, 16, 7, 1, 0]    |0.6842636605313732  |0.5382608596893643  |240       
 [14, 15, 0, 0, 0]   |0.30619099725399807 |0.23072097529538788 |283       
 [18, 15, 7, 0, 0]   |0.38732103021159076 |0.24475406366088243 |459       
 [7, 19, 0, 0, 0]    |0.42114587306838464 |0.34722718082796006 |193       
 [2, 12, 12, 13, 3]  |5.345218134334779   |3.536729232976762   |413       
 [3, 1, 13, 2, 0]    |2.5117625087875393  |2.3419518402649615  |70        
 [13, 11, 14, 18, 3] |3.6637038841965475  |1.83395461287587    |692       
 [11, 0, 0, 0, 0]    |0.499224468285601   |0.47725733455050284 |45        
 [19, 20, 17, 9, 0]  |0.7388697933377959  |0.27564717938199257 |986       
 [7, 16, 2, 6, 0]    |0.5957939590993244  |0.4839080460109365  |208       
 [2, 0, 0, 0, 0]     |2.427729686881634   |2.4059781484453486  |9         
 [8, 14, 16, 0, 0]   |0.508747229361433   |0.3386446375564334  |407       
 [2, 12, 2, 10, 15]  |2.3672321351699463  |1.790905570429021   |279       
 [5, 1, 0, 0, 0]     |0.5527433452376028  |0.5401753344560497  |23        
 [12, 4, 10, 0, 0]   |0.3252570966442668  |0.2802314688704059  |149       
 [16, 10, 7, 12, 6]  |0.6544423544273695  |0.4065811360417751  |476       
 [5, 0, 0, 0, 0]     |2.495153292267857   |2.4433014232966097  |21        
 [13, 0, 0, 0, 0]    |0.3620552567652986  |0.34336596893035554 |53        
 [17, 12, 14, 19, 6] |0.7574295890696424  |0.3201951268420021  |861       
 [20, 20, 6, 13, 4]  |2.2123651472156918  |1.036720272124923   |758       
