/tmp/tmp.RThKkcKOKE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k7.mat
  Evaluating with: datasets/N4dataset100k7.mat
Gen 0 Train time: 8.679377714792887 minutes:
 Average MSE:        0.705785900642877
 Average Error:      1.0635600476856562
 Structure           |Error               |MSE                 |weights&biases
 [5, 8, 19, 18, 11]  |2.5224334646274995  |1.1165282520964788  |815       
 [5, 14, 20, 9, 7]   |2.3190279323032925  |1.1914226570288533  |666       
 [8, 17, 15, 0, 0]   |0.6529161590086973  |0.41094062012560223 |463       
 [9, 3, 12, 0, 0]    |0.3116760484602752  |0.27698527396116873 |118       
 [12, 4, 0, 0, 0]    |0.2943113019203297  |0.2681745453734995  |93        
 [19, 6, 6, 20, 2]   |5.4983746822332735  |3.67095753312696    |404       
 [6, 13, 18, 0, 0]   |1.4675539608459498  |1.0036035197592859  |380       
 [13, 9, 9, 8, 0]    |0.37563576442523644 |0.2662990598110414  |344       
 [15, 19, 16, 20, 13]|1.0891343534154727  |0.2980134109032178  |1296      
 [10, 10, 0, 0, 0]   |0.4815651468662137  |0.41407268328739616 |151       
 [13, 14, 8, 0, 0]   |0.35711955895347813 |0.2481592369872437  |364       
 [3, 12, 0, 0, 0]    |0.5856160285149604  |0.5460247658252146  |70        
 [12, 12, 4, 7, 0]   |0.4581354067736792  |0.34383599617918736 |287       
 [11, 18, 0, 0, 0]   |0.41926288159742886 |0.3206974404614821  |268       
 [20, 8, 0, 0, 0]    |0.3428346329701682  |0.2704935386441775  |237       
 [20, 6, 0, 0, 0]    |0.25714145450147097 |0.21200849404037445 |193       
 [4, 16, 4, 0, 0]    |0.7623335239770118  |0.6463777953952625  |165       
 [5, 20, 7, 2, 15]   |0.5301168095455394  |0.37021998300693176 |359       
 [20, 17, 2, 8, 3]   |3.544228657322126   |2.132554485726136   |508       
 [4, 9, 0, 0, 0]     |0.7115017021541741  |0.665392977597532   |67        
 [13, 17, 1, 0, 0]   |0.42325792608054164 |0.314499267658879   |297       
 [14, 10, 0, 0, 0]   |1.1668021051397381  |0.952435170475165   |203       
 [16, 9, 7, 7, 0]    |0.44655825743041655 |0.319440129315208   |335       
 [8, 0, 0, 0, 0]     |1.1112044983189413  |1.0751331997123612  |33        
 [12, 9, 8, 16, 0]   |0.4602589347554864  |0.3103774795732682  |394       
Gen 1 Train time: 8.582842071851095 minutes:
 Average MSE:        0.34395023150827364
 Average Error:      0.45508680658980916
 Structure           |Error               |MSE                 |weights&biases
 [20, 6, 0, 0, 0]    |0.23214918848538915 |0.19140282121722557 |193       
 [12, 4, 0, 0, 0]    |0.2710172889618396  |0.24694919216990918 |93        
 [9, 3, 12, 0, 0]    |0.3425028223003993  |0.30438090618773056 |118       
 [16, 9, 2, 4, 0]    |0.33506429758053746 |0.26409858104242356 |238       
 [12, 18, 1, 0, 0]   |0.47357305480429646 |0.35400328315313223 |291       
 [3, 9, 9, 8, 0]     |1.6302517872171303  |1.303084926355358   |224       
 [12, 10, 6, 4, 0]   |0.3803584719315611  |0.29181328278961816 |265       
 [9, 12, 4, 1, 8]    |0.5869369482889488  |0.4668077023426048  |229       
 [13, 9, 5, 19, 20]  |0.7207075205177924  |0.3404381270015137  |750       
 [12, 11, 2, 7, 0]   |0.4780075545011271  |0.3790342372529771  |232       
 [16, 11, 2, 4, 0]   |0.2898021600011204  |0.2199056263713884  |276       
 [12, 18, 1, 6, 0]   |0.46556810497023565 |0.3421531319190802  |308       
 [16, 9, 4, 8, 0]    |0.34489998061739485 |0.2580760899545499  |290       
 [10, 7, 6, 0, 0]    |0.32047281356934865 |0.27254328559431434 |162       
 [12, 9, 8, 16, 0]   |0.5279638569213659  |0.35603456846327264 |394       
 [12, 8, 2, 4, 0]    |0.3755325953416058  |0.31524347368719274 |175       
 [12, 12, 4, 0, 0]   |0.34988298891715297 |0.27276177118779354 |249       
 [10, 11, 6, 0, 0]   |0.5294019437027911  |0.42062763350244586 |230       
 [16, 8, 4, 8, 0]    |0.32943433678037665 |0.25173502662966224 |269       
 [17, 12, 1, 0, 0]   |0.41726890990814175 |0.3147349581175196  |282       
 [18, 13, 8, 16, 7]  |0.5255578628898709  |0.2651936448512264  |684       
 [11, 14, 0, 0, 0]   |0.36585663320139683 |0.2947836047949424  |216       
 [12, 14, 1, 0, 0]   |0.46576825174214054 |0.3682228025098748  |235       
 [20, 6, 10, 0, 0]   |0.32624059325041677 |0.24979363707073238 |267       
 [16, 5, 0, 0, 0]    |0.2929501983428496  |0.25493347354035173 |139       
Gen 2 Train time: 8.72870448033015 minutes:
 Average MSE:        0.6000670820259983
 Average Error:      0.847714236567277
 Structure           |Error               |MSE                 |weights&biases
 [20, 6, 0, 0, 0]    |0.277670918976128   |0.2289346674384584  |193       
 [12, 4, 0, 0, 0]    |0.41678066786272366 |0.37976783560559835 |93        
 [16, 11, 2, 4, 0]   |0.358213846032235   |0.2718172983469763  |276       
 [13, 11, 4, 2, 9]   |0.36908937316379464 |0.27672903610179633 |288       
 [19, 10, 6, 13, 4]  |1.4765140361416287  |0.9182220147373314  |475       
 [14, 12, 1, 3, 0]   |0.38437245758896565 |0.30085006693006344 |245       
 [14, 10, 4, 5, 0]   |0.3076711054989162  |0.23557548034850226 |267       
 [16, 10, 13, 0, 0]  |0.3527176604092696  |0.24241906643952596 |375       
 [14, 14, 2, 16, 0]  |0.4293482570865493  |0.30346563578695107 |347       
 [16, 5, 0, 0, 0]    |0.26600910943556433 |0.2314885828560464  |139       
 [16, 8, 1, 2, 0]    |0.30944610482727636 |0.25335304244228407 |200       
 [14, 11, 4, 4, 0]   |0.38632425853179864 |0.29197759352827174 |280       
 [18, 8, 6, 2, 0]    |0.2885150542818489  |0.21871013438243803 |277       
 [18, 9, 1, 2, 0]    |0.397077317151566   |0.3117280007955439  |242       
 [20, 9, 1, 0, 0]    |0.3360943914380148  |0.2588870969143444  |261       
 [20, 9, 5, 16, 0]   |0.3998601931895361  |0.26483711297632123 |412       
 [18, 9, 6, 2, 0]    |0.3529294164325471  |0.26093415178783114 |302       
 [12, 8, 2, 0, 0]    |0.3311041694243988  |0.2818663541415095  |161       
 [13, 4, 6, 0, 0]    |0.335862070663264   |0.29432970121446356 |132       
 [12, 14, 18, 2, 9]  |0.5061763324355794  |0.28826641126214436 |563       
 [14, 9, 2, 4, 0]    |0.33884880582599936 |0.2735690361504848  |214       
 [14, 5, 0, 0, 0]    |0.30243873757506834 |0.2674355857884009  |123       
 [1, 12, 3, 2, 0]    |3.965786894972995   |3.671881847621104   |77        
 [12, 11, 1, 2, 13]  |1.2861317876682787  |1.0036457288728948  |248       
 [13, 14, 20, 5, 1]  |7.0178729475679775  |3.6709855681806722  |648       
Increasing Epochs
Gen 3 Train time: 10.116735366980235 minutes:
 Average MSE:        0.3146831594650185
 Average Error:      0.41590995168911005
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 0, 0, 0]    |0.28645704493696394 |0.24928294945347088 |139       
 [20, 6, 0, 0, 0]    |0.2937638952431973  |0.24220303628090548 |193       
 [18, 8, 6, 2, 0]    |0.4742992210005399  |0.35954465745547015 |277       
 [16, 7, 1, 1, 0]    |1.1305171959291325  |0.9452320968861418  |179       
 [8, 16, 11, 4, 16]  |0.5403482744152491  |0.3277377953556641  |500       
 [17, 8, 2, 3, 0]    |0.3262936225875833  |0.26029032919618295 |226       
 [17, 7, 3, 1, 0]    |0.3362179104240903  |0.27335176785254645 |207       
 [20, 7, 4, 2, 0]    |0.3227681624885196  |0.25086985591038446 |252       
 [14, 12, 3, 3, 5]   |0.3632973993163837  |0.2694066048863327  |299       
 [15, 8, 1, 2, 0]    |0.4361583432644033  |0.36104599133660287 |189       
 [17, 8, 1, 2, 0]    |0.32782845560843565 |0.2654669817374509  |211       
 [10, 7, 1, 1, 0]    |0.5370525638738666  |0.4767994556264242  |119       
 [16, 9, 2, 3, 0]    |0.297422845214172   |0.2353690828775183  |234       
 [14, 8, 2, 3, 0]    |0.3061296514920854  |0.2523983794047117  |193       
 [15, 8, 2, 2, 0]    |0.30835113377780565 |0.2524565559703523  |200       
 [15, 13, 2, 10, 0]  |0.3572447338861119  |0.258894612152153   |322       
 [14, 11, 4, 4, 0]   |0.3459008927308054  |0.26142627088096365 |280       
 [19, 8, 3, 1, 0]    |0.41108759373156    |0.3201553399090785  |250       
 [17, 8, 2, 3, 4]    |0.3549610671080529  |0.2783858534307997  |243       
 [19, 9, 3, 9, 0]    |0.539673249026166   |0.39463601616614835 |313       
 [15, 18, 16, 11, 5] |0.5797051398271095  |0.23805925057010535 |890       
 [19, 8, 1, 1, 5]    |0.34011413806379315 |0.2664752214109539  |244       
