/tmp/tmp.1mDBiJUpTI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k1.mat
  Evaluating with: datasets/N5dataset100k1.mat
Gen 0 Train time: 8.73339204788208 minutes:
 Average MSE:        0.7365886384560087
 Average Error:      0.9353357349667862
 Structure           |Error               |MSE                 |weights&biases
 [12, 11, 3, 17, 0]  |0.336708521416884   |0.24919049259504464 |301       
 [13, 6, 20, 12, 13] |0.981817683068064   |0.4885323206418256  |698       
 [10, 0, 0, 0, 0]    |0.5091110750448504  |0.48865964020708735 |41        
 [6, 3, 0, 0, 0]     |0.2815897818424635  |0.26973805935338613 |43        
 [3, 2, 11, 0, 0]    |0.6832786851286954  |0.6422019430615776  |62        
 [2, 2, 5, 1, 11]    |1.3786295163204452  |1.2892877080841216  |67        
 [4, 20, 9, 7, 0]    |0.9363573831014688  |0.6409793384897879  |379       
 [4, 1, 0, 0, 0]     |1.113272871945387   |1.0923203664975918  |19        
 [9, 12, 0, 0, 0]    |0.2855906260197835  |0.24336427814973058 |160       
 [18, 10, 11, 11, 0] |0.3292753972629279  |0.19792624758548188 |509       
 [14, 0, 0, 0, 0]    |0.4428831273193314  |0.41834477548833926 |57        
 [15, 2, 18, 16, 5]  |3.705596250980218   |2.189874370771879   |526       
 [5, 13, 7, 2, 10]   |1.2525498801420545  |0.9774397534205622  |248       
 [4, 3, 5, 0, 0]     |1.1160037303241561  |1.0583956316951144  |53        
 [16, 12, 14, 6, 0]  |0.3823130431565285  |0.22480643829579608 |531       
 [20, 5, 18, 0, 0]   |0.2923929990225415  |0.21834989180892256 |292       
 [1, 16, 0, 0, 0]    |3.7147909698181327  |3.526558301935647   |52        
 [19, 3, 11, 6, 0]   |0.28363883067929413 |0.22311820669267143 |240       
 [16, 14, 12, 0, 0]  |0.3649843553934676  |0.2260722166047135  |479       
 [8, 16, 14, 13, 0]  |1.675499041062106   |0.9058433016497183  |615       
 [16, 0, 0, 0, 0]    |0.3393811236125568  |0.31802300862179156 |65        
 [7, 14, 0, 0, 0]    |0.4475706985941178  |0.3859988966039152  |148       
 [15, 14, 0, 0, 0]   |0.29383176446897946 |0.221186751447415   |284       
 [4, 18, 13, 0, 0]   |0.9388089694834383  |0.6530227828199456  |363       
 [6, 0, 0, 0, 0]     |1.2975170489617602  |1.2654812388781562  |25        
Gen 1 Train time: 9.106036718686422 minutes:
 Average MSE:        0.5013327889888951
 Average Error:      0.6655177646990874
 Structure           |Error               |MSE                 |weights&biases
 [6, 3, 0, 0, 0]     |1.6564720685390333  |1.586753461781435   |43        
 [19, 3, 11, 6, 0]   |0.3785902140459636  |0.29780961029570496 |240       
 [9, 12, 0, 0, 0]    |0.41047688957788026 |0.34978533196796    |160       
 [14, 13, 19, 9, 0]  |0.4743798705378521  |0.23722484758555643 |693       
 [11, 2, 0, 0, 0]    |0.2798277756627726  |0.26353187463096883 |60        
 [5, 9, 12, 3, 0]    |1.257312034303544   |0.9969807033878354  |232       
 [12, 13, 7, 3, 0]   |0.3814906692033858  |0.273988570562618   |331       
 [11, 14, 12, 6, 0]  |0.39737700817630905 |0.24935696714357364 |466       
 [12, 3, 9, 0, 0]    |0.28479459147945874 |0.25233767955918024 |121       
 [11, 8, 7, 3, 0]    |0.3381557414095136  |0.2713763391200736  |220       
 [18, 2, 13, 6, 0]   |0.3358501815046071  |0.2689875704816238  |222       
 [11, 15, 10, 9, 19] |0.743611825471839   |0.375973686685735   |682       
 [15, 14, 4, 1, 5]   |1.2875514725047388  |0.9073221875738808  |350       
 [16, 7, 0, 0, 0]    |0.282179904511703   |0.23687790196233363 |175       
 [15, 11, 16, 7, 3]  |2.704455594177836   |1.544809548171012   |560       
 [9, 4, 6, 0, 0]     |1.0920507576450573  |0.984183768857719   |104       
 [4, 17, 3, 1, 6]    |1.067078955506036   |0.8966631358683216  |174       
 [15, 7, 0, 0, 0]    |0.22976417887796377 |0.19481560069555517 |165       
 [17, 11, 13, 9, 0]  |0.47160450255022307 |0.27455201034073123 |541       
 [8, 8, 0, 0, 0]     |0.32072202947158074 |0.28875390806689916 |105       
 [17, 11, 13, 3, 20] |0.34405788361458534 |0.19890153624583523 |548       
 [14, 6, 1, 2, 4]    |1.1114608383929645  |0.9471244501157425  |160       
 [17, 9, 6, 3, 0]    |0.2841439895534526  |0.21092046412680548 |298       
 [15, 7, 6, 0, 0]    |0.27110130957205225 |0.2193113889078373  |212       
 [13, 6, 0, 0, 0]    |0.23343383118683395 |0.20497718058744052 |130       
Gen 2 Train time: 9.065130551656088 minutes:
 Average MSE:        0.3321277457673433
 Average Error:      0.4451747089570616
 Structure           |Error               |MSE                 |weights&biases
 [15, 7, 0, 0, 0]    |0.3125827527848548  |0.2650369480927478  |165       
 [13, 6, 0, 0, 0]    |0.24269425580632603 |0.21310871713420082 |130       
 [15, 7, 6, 0, 0]    |0.2580891879718105  |0.20878504189279923 |212       
 [12, 10, 3, 0, 0]   |0.3745368935343312  |0.30572631680321477 |203       
 [17, 11, 13, 3, 20] |0.36271831606458965 |0.20968922302203835 |548       
 [13, 10, 14, 2, 10] |1.3545049499019148  |0.9043272670316785  |404       
 [16, 9, 0, 0, 0]    |0.2624430437976663  |0.21251957090073717 |211       
 [17, 5, 9, 3, 0]    |0.2680794979132535  |0.21321127393812978 |229       
 [13, 8, 4, 2, 0]    |0.3877532983123635  |0.3174655499357527  |200       
 [19, 2, 9, 8, 17]   |0.3480328936035299  |0.23919927644030525 |375       
 [13, 11, 3, 2, 0]   |0.32038495650058174 |0.25202373304995335 |240       
 [15, 7, 17, 0, 0]   |0.33097252836900776 |0.24250816406752826 |311       
 [14, 12, 9, 5, 0]   |0.33996653798328846 |0.22902867065188343 |395       
 [17, 9, 7, 5, 0]    |0.27388830089202154 |0.1971018031056651  |329       
 [14, 10, 12, 2, 0]  |1.3491116390055058  |0.9478550688850585  |353       
 [10, 9, 9, 3, 0]    |1.1833577311639893  |0.918839270956647   |253       
 [10, 5, 0, 0, 0]    |0.31530034174958715 |0.28787479626996426 |91        
 [14, 12, 9, 8, 0]   |0.3666459049529338  |0.2389839860375332  |428       
 [16, 8, 6, 2, 0]    |0.3615118962967772  |0.2801415326495681  |255       
 [15, 7, 19, 0, 0]   |0.2807662595148991  |0.20205147799809425 |329       
 [14, 7, 0, 0, 0]    |0.33868664633029955 |0.29005638432829334 |155       
