/tmp/tmp.qt0o81304C ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k3.mat
  Evaluating with: datasets/N5dataset100k3.mat
Gen 0 Train time: 8.383319381872813 minutes:
 Average MSE:        1.021650327282805
 Average Error:      1.3420903869745384
 Structure           |Error               |MSE                 |weights&biases
 [7, 0, 0, 0, 0]     |2.4078843972917037  |2.3390585480614083  |29        
 [16, 17, 0, 0, 0]   |0.2813956313773129  |0.19730714375668068 |355       
 [11, 6, 17, 15, 3]  |6.121889394544291   |3.5461793109500706  |546       
 [20, 18, 0, 0, 0]   |0.3914820327456243  |0.24787872662233487 |457       
 [3, 0, 0, 0, 0]     |2.437983355739782   |2.406494691894261   |13        
 [15, 5, 20, 1, 19]  |0.42891842562736227 |0.31021535529617017 |324       
 [3, 11, 20, 9, 18]  |2.5310271816454732  |1.280979757899456   |681       
 [17, 9, 0, 0, 0]    |0.2869647219343794  |0.22960473524337957 |223       
 [15, 12, 0, 0, 0]   |0.2912899062886976  |0.22685680711843387 |250       
 [11, 19, 8, 2, 12]  |0.8023747365745768  |0.49254003730327744 |488       
 [19, 13, 0, 0, 0]   |0.2605326711706923  |0.18711591113873838 |331       
 [7, 0, 0, 0, 0]     |0.49988682156668757 |0.4855982888397602  |29        
 [18, 3, 14, 0, 0]   |0.25281162143175606 |0.21074410649818728 |182       
 [5, 15, 16, 14, 0]  |1.7843445331507142  |0.9656547980744643  |614       
 [16, 0, 0, 0, 0]    |0.3028469689325915  |0.2837880409691988  |65        
 [14, 2, 0, 0, 0]    |0.24127605919500983 |0.22384229232519273 |75        
 [11, 1, 5, 10, 9]   |0.9075160864962704  |0.7253913426201267  |224       
 [1, 18, 8, 0, 0]    |3.6415378355712518  |2.981439014479215   |200       
 [3, 6, 8, 13, 0]    |1.850409400237544   |1.4849883276171045  |220       
 [7, 7, 1, 7, 0]     |0.6008001395356415  |0.5398343497089317  |107       
 [18, 8, 2, 0, 0]    |0.33567100532041083 |0.2675032001520594  |227       
 [19, 13, 17, 5, 5]  |0.4237236613640968  |0.21445104860453465 |681       
 [2, 7, 16, 1, 0]    |4.229625209444207   |3.554140941753861   |174       
 [4, 3, 0, 0, 0]     |1.9478093253911597  |1.888353561976422   |31        
 [11, 9, 0, 0, 0]    |0.29225855178621707 |0.25129784316685094 |151       
Gen 1 Train time: 8.435284825166066 minutes:
 Average MSE:        0.37260852279247997
 Average Error:      0.5072772444750421
 Structure           |Error               |MSE                 |weights&biases
 [14, 2, 0, 0, 0]    |0.32504180753569273 |0.30155541972569805 |75        
 [18, 3, 14, 0, 0]   |0.2576060250071667  |0.21474072774514358 |182       
 [19, 13, 0, 0, 0]   |0.2702628756117012  |0.19410419426409248 |331       
 [16, 6, 0, 0, 0]    |0.24072611264714303 |0.20574958554291642 |157       
 [15, 9, 1, 0, 0]    |1.1431039798948277  |0.9349589557146725  |201       
 [17, 10, 7, 0, 0]   |0.31235099604906175 |0.2277224454388386  |316       
 [18, 4, 17, 1, 10]  |0.28760668332476824 |0.22087432262184764 |264       
 [14, 5, 0, 0, 0]    |0.23624548048082755 |0.2089032938334175  |123       
 [4, 15, 6, 14, 4]   |4.110327890381502   |2.9081083085470363  |346       
 [18, 15, 0, 0, 0]   |0.27139579644581396 |0.1902955250662442  |355       
 [17, 10, 3, 0, 0]   |0.42744531633075805 |0.3269562484573719  |268       
 [15, 4, 10, 1, 10]  |0.31331325897251394 |0.25626280948427294 |201       
 [16, 5, 1, 0, 0]    |0.306152119586883   |0.2658898436147941  |141       
 [20, 13, 14, 12, 17]|0.5643336168833549  |0.21868789927744353 |948       
 [17, 8, 0, 0, 0]    |0.2579803904483259  |0.21037330091481543 |204       
 [17, 8, 12, 0, 0]   |0.32872470199835446 |0.23965985049543628 |316       
 [18, 9, 14, 2, 0]   |0.49969861414664146 |0.33562858439762944 |398       
 [18, 13, 0, 0, 0]   |0.26676768172917553 |0.19468408614050103 |315       
 [19, 13, 16, 3, 3]  |0.41100561482652115 |0.22376734546493565 |608       
 [13, 11, 0, 0, 0]   |0.23039560812137957 |0.18769116386905776 |205       
 [17, 13, 0, 0, 0]   |0.2539919975466452  |0.18835015570190886 |299       
 [14, 13, 1, 4, 0]   |0.3194637827728844  |0.24533973204821308 |264       
 [20, 6, 0, 0, 0]    |0.2536210072063459  |0.20910594870463703 |193       
 [16, 0, 0, 0, 0]    |0.2709197177847535  |0.25387005272348095 |65        
 [16, 11, 10, 1, 10] |0.523450036143011   |0.3519332700175905  |397       
Gen 2 Train time: 8.600735596815746 minutes:
 Average MSE:        0.41704793641122206
 Average Error:      0.6037460174580809
 Structure           |Error               |MSE                 |weights&biases
 [13, 11, 0, 0, 0]   |0.3763784247400035  |0.3066156736695994  |205       
 [14, 5, 0, 0, 0]    |0.22286717199111583 |0.19707334176943647 |123       
 [16, 6, 0, 0, 0]    |0.20653840765516132 |0.17652921532460802 |157       
 [19, 5, 9, 1, 5]    |1.0939188388714398  |0.8630924336679054  |237       
 [19, 9, 15, 2, 7]   |0.4041193125586528  |0.25819372170148125 |448       
 [18, 13, 0, 0, 0]   |0.2749116961387204  |0.20062749724847376 |315       
 [17, 0, 0, 0, 0]    |0.3012113089307117  |0.2811285509663108  |69        
 [19, 15, 8, 2, 2]   |2.533468551427681   |1.518297031509747   |512       
 [17, 7, 12, 10, 9]  |0.35326005834973473 |0.21170726498306514 |512       
 [17, 10, 19, 0, 0]  |0.3174942228330542  |0.20042891041743874 |460       
 [15, 6, 16, 0, 0]   |0.312641265186399   |0.2386639309268273  |270       
 [17, 8, 6, 0, 0]    |0.2870628565215806  |0.22222740491474308 |256       
 [16, 13, 13, 2, 0]  |0.37708996735876604 |0.23287080136334506 |482       
 [15, 10, 6, 0, 0]   |0.26416755154659377 |0.20005324713345987 |278       
 [20, 18, 4, 0, 0]   |0.39060488381927255 |0.2324549683476643  |519       
 [16, 13, 0, 0, 0]   |0.28796921524203195 |0.21699050197930517 |283       
 [14, 4, 0, 0, 0]    |0.230902936317521   |0.2074722162501382  |107       
 [18, 9, 9, 2, 2]    |2.4814600730947585  |1.7591788296167277  |344       
 [19, 9, 16, 7, 14]  |0.45113628174762027 |0.23716817073942612 |643       
 [3, 1, 20, 12, 12]  |2.5628254078933503  |1.5953774034783508  |474       
 [15, 10, 0, 0, 0]   |0.28232260487222    |0.22747728926242533 |216       
 [16, 8, 8, 2, 0]    |0.279134586463754   |0.21159922856793076 |277       
 [18, 6, 7, 0, 0]    |0.2535874976477269  |0.20249372974631533 |225       
 [15, 11, 4, 8, 0]   |0.2674518982575171  |0.19459874693894613 |318       
 [15, 8, 1, 0, 0]    |0.28112541698663357 |0.2338782997568833  |184       
Gen 3 Train time: 8.767395945390065 minutes:
 Average MSE:        0.34019141714897755
 Average Error:      0.5433289769902161
 Structure           |Error               |MSE                 |weights&biases
 [16, 6, 0, 0, 0]    |0.2724209159803294  |0.23283926259521914 |157       
 [14, 5, 0, 0, 0]    |0.228508299157854   |0.20206158553886772 |123       
 [14, 4, 0, 0, 0]    |0.27030638338802254 |0.2428772250472985  |107       
 [15, 12, 0, 0, 0]   |0.2794089454116819  |0.21760390548377329 |250       
 [7, 7, 4, 1, 0]     |0.3336318265055863  |0.29709087520670563 |116       
 [17, 18, 0, 0, 0]   |0.3573024254950913  |0.2409483399371639  |394       
 [16, 6, 4, 0, 0]    |0.3427473106704727  |0.28542904579089734 |183       
 [17, 12, 9, 0, 0]   |0.3421669613280837  |0.23074167828306047 |394       
 [18, 12, 2, 0, 0]   |0.2860145985808821  |0.20956686508140937 |311       
 [9, 9, 14, 16, 14]  |0.8634511536268353  |0.4078654448989605  |750       
 [17, 9, 6, 4, 0]    |0.3472525583005596  |0.25571213750443145 |306       
 [16, 8, 17, 0, 0]   |0.35527032176488826 |0.2491061147817041  |355       
 [11, 20, 1, 1, 5]   |0.5017031379199822  |0.3672374296116085  |312       
 [4, 19, 7, 6, 11]   |2.5196221746946796  |1.7161938478030212  |384       
 [15, 12, 17, 0, 0]  |0.3868098596466692  |0.2403108403717416  |476       
 [9, 19, 17, 14, 8]  |2.442947370530261   |0.9561937195710174  |938       
 [17, 12, 0, 0, 0]   |0.27155934416186756 |0.20524013715791928 |280       
