/tmp/tmp.3ZYI4Kvlfo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k7.mat
  Evaluating with: datasets/N5dataset100k7.mat
Gen 0 Train time: 8.236524470647176 minutes:
 Average MSE:        1.0004706037852846
 Average Error:      1.296001866790727
 Structure           |Error               |MSE                 |weights&biases
 [2, 0, 0, 0, 0]     |3.6072721495431503  |3.5749523574201176  |9         
 [14, 0, 0, 0, 0]    |0.31608645377641365 |0.29857338964429603 |57        
 [11, 12, 18, 2, 0]  |1.480688271045846   |0.9422421553430539  |452       
 [13, 14, 17, 14, 18]|0.7483948137072554  |0.26691510913615285 |1031      
 [1, 0, 0, 0, 0]     |3.012356742569676   |2.9973325506370463  |5         
 [19, 0, 0, 0, 0]    |0.26365878544297927 |0.24411899425586642 |77        
 [16, 0, 0, 0, 0]    |0.41650534572700343 |0.39029360780353156 |65        
 [15, 0, 0, 0, 0]    |0.30633295030040397 |0.28820515875176944 |61        
 [16, 17, 4, 10, 0]  |0.32052408863969445 |0.20032828243905448 |470       
 [1, 16, 8, 6, 12]   |4.932267937078604   |3.574405648223067   |322       
 [14, 1, 5, 7, 2]    |3.7363986119094452  |3.287482944519882   |128       
 [14, 0, 0, 0, 0]    |0.3282448906070655  |0.3100581769672973  |57        
 [9, 14, 3, 11, 0]   |0.4256483233019315  |0.3255817145070349  |268       
 [18, 2, 18, 0, 0]   |0.2612065046458587  |0.22147535075603453 |165       
 [7, 9, 0, 0, 0]     |0.4153363558256673  |0.3746861296578515  |103       
 [17, 0, 0, 0, 0]    |0.30220813667408425 |0.2820589168946426  |69        
 [3, 15, 5, 0, 0]    |2.0857854329845793  |1.7862983017822245  |155       
 [8, 13, 6, 6, 0]    |0.519225154840061   |0.39478353950719647 |274       
 [9, 7, 19, 10, 0]   |0.41958666174509385 |0.2648781974325243  |460       
 [19, 5, 17, 15, 20] |0.5701068196653212  |0.23884713533543067 |870       
 [11, 19, 0, 0, 0]   |0.6191808194792306  |0.4674990634926746  |281       
 [19, 5, 0, 0, 0]    |0.27412433577731427 |0.2328936202064086  |163       
 [18, 16, 12, 11, 20]|0.5696058275324263  |0.2167933489816794  |966       
 [17, 8, 10, 20, 2]  |6.189706808178028   |3.5711501692891203  |550       
 [18, 0, 0, 0, 0]    |0.27959444877104406 |0.25991123164816654 |73        
Gen 1 Train time: 8.431494895617167 minutes:
 Average MSE:        0.28367005113741606
 Average Error:      0.3996065076117256
 Structure           |Error               |MSE                 |weights&biases
 [18, 2, 18, 0, 0]   |0.2579925757891775  |0.21875028071306804 |165       
 [19, 0, 0, 0, 0]    |0.26895965614175477 |0.24902701665114266 |77        
 [19, 5, 0, 0, 0]    |0.26534065678631785 |0.2254310839337957  |163       
 [16, 9, 2, 5, 18]   |0.41053689581977054 |0.28556389518306374 |363       
 [15, 9, 2, 20, 0]   |0.41926969871110287 |0.31372424053516    |290       
 [16, 0, 0, 0, 0]    |0.26497302634760345 |0.24829760166298262 |65        
 [14, 7, 2, 6, 0]    |0.31575760055618574 |0.2616413917413576  |188       
 [6, 19, 18, 6, 10]  |1.979587245475162   |0.9771533893484324  |706       
 [15, 17, 4, 5, 18]  |0.40043138961889035 |0.2331174584400646  |541       
 [15, 9, 2, 5, 0]    |0.2903142562135082  |0.23066443184739457 |230       
 [13, 6, 9, 0, 0]    |0.31474192217817665 |0.2587217107965909  |196       
 [12, 8, 19, 11, 7]  |0.5358724184375303  |0.2874060739154983  |623       
 [20, 20, 0, 0, 0]   |0.31951791361857007 |0.19360371039255242 |501       
 [15, 0, 0, 0, 0]    |0.2941715952267619  |0.2767634732713191  |61        
 [15, 11, 9, 0, 0]   |0.2848282863792542  |0.2029351550493687  |339       
 [13, 4, 10, 5, 0]   |0.2590173969625931  |0.2107969249808616  |206       
 [17, 14, 0, 0, 0]   |0.33456314911873497 |0.2434290801995597  |318       
 [19, 9, 0, 0, 0]    |0.20585577382907597 |0.16080232193628258 |247       
 [17, 8, 6, 6, 10]   |0.35535770033767977 |0.24496733834143086 |372       
 [17, 0, 0, 0, 0]    |0.460809778436584   |0.43008606065578875 |69        
 [14, 4, 10, 5, 0]   |0.27825704164278187 |0.22487513592731814 |213       
 [12, 7, 2, 6, 0]    |0.4338231325584967  |0.3667340486832362  |168       
 [14, 15, 8, 11, 10] |0.4923644507686854  |0.2635436992704146  |625       
 [18, 1, 9, 0, 0]    |0.2528863636378812  |0.22859233765866746 |101       
 [13, 7, 0, 0, 0]    |0.294932765700858   |0.2551234173000492  |145       
Gen 2 Train time: 8.547576491038004 minutes:
 Average MSE:        0.38012263830447474
 Average Error:      0.5011737531381205
 Structure           |Error               |MSE                 |weights&biases
 [19, 9, 0, 0, 0]    |0.27359100400964226 |0.21371306661603753 |247       
 [18, 1, 9, 0, 0]    |0.24579917859703582 |0.22218599699007274 |101       
 [18, 2, 18, 0, 0]   |0.21940885244116234 |0.1860353846060161  |165       
 [17, 5, 1, 3, 2]    |2.722758648463758   |2.310919680388949   |164       
 [15, 8, 3, 3, 5]    |0.3287931032301954  |0.25915560877911187 |238       
 [14, 6, 6, 6, 0]    |0.3563068006998755  |0.28508636214460564 |223       
 [17, 10, 5, 0, 0]   |0.2598644091681107  |0.19405856438605149 |292       
 [16, 10, 1, 10, 0]  |0.29166681885811635 |0.22489016320683214 |260       
 [16, 3, 10, 3, 0]   |0.24258328404120194 |0.20343470445391737 |176       
 [19, 6, 9, 0, 0]    |0.24461932991150154 |0.19050972568947974 |250       
 [18, 2, 18, 17, 16] |0.48426501086761736 |0.22332593582228263 |774       
 [16, 10, 6, 3, 9]   |0.31266464854241344 |0.2201108329788366  |351       
 [16, 8, 0, 0, 0]    |0.2311773857165887  |0.1906015873519311  |193       
 [18, 15, 1, 10, 0]  |0.2873431944939569  |0.19532743437181982 |386       
 [5, 5, 5, 0, 0]     |1.0587183222694478  |0.9763433578137043  |81        
 [15, 8, 14, 0, 0]   |0.32482069149721843 |0.2372876958786204  |314       
 [17, 7, 5, 3, 0]    |0.36950072017042523 |0.2909503661096189  |239       
 [19, 3, 0, 0, 0]    |0.32641113739370387 |0.28921135252015756 |121       
 [18, 3, 13, 0, 0]   |0.26189235506711317 |0.21940812079634547 |177       
 [17, 6, 10, 10, 0]  |0.3500714016414095  |0.2466911472878373  |350       
 [16, 16, 5, 3, 0]   |0.3759939013673294  |0.24532231650215458 |427       
 [13, 8, 9, 12, 20]  |0.5082190050131298  |0.26986247217294    |633       
 [19, 14, 3, 3, 5]   |0.37535723411029226 |0.2466272769667433  |420       
 [17, 6, 4, 11, 0]   |0.28685681497453697 |0.22251247973691113 |254       
 [6, 2, 16, 13, 10]  |1.7906605759072296  |1.1394943240408912  |452       
Increasing Epochs
Gen 3 Train time: 9.913829322655996 minutes:
 Average MSE:        0.33761814589216366
 Average Error:      0.4721622585622244
 Structure           |Error               |MSE                 |weights&biases
 [18, 2, 18, 0, 0]   |0.261419223551157   |0.22165571377657742 |165       
 [16, 8, 0, 0, 0]    |0.3137948899619688  |0.25871823035060826 |193       
 [16, 3, 10, 3, 0]   |0.26762448281635864 |0.22443470407108207 |176       
 [17, 12, 2, 7, 3]   |0.48486675566377724 |0.3444242294089275  |342       
 [16, 8, 6, 3, 0]    |0.3335989570829988  |0.25645149520900884 |263       
 [17, 6, 10, 6, 0]   |0.33556213324162715 |0.2480938582410679  |302       
 [18, 7, 5, 0, 0]    |0.23002850759525448 |0.18221790430404564 |233       
 [18, 8, 7, 0, 0]    |0.23337119220580635 |0.17690808174765232 |277       
 [11, 6, 9, 2, 14]   |0.42907988611919184 |0.33584277413379543 |245       
 [17, 5, 11, 2, 3]   |1.1757756882680133  |0.9212057124248947  |244       
 [17, 18, 14, 2, 0]  |0.5784448293810341  |0.2948135650539866  |674       
 [19, 3, 9, 0, 0]    |0.2643309883419131  |0.22457327852020917 |163       
 [18, 9, 0, 0, 0]    |0.3186549353081521  |0.25191930294495557 |235       
 [17, 5, 14, 8, 0]   |0.2890230087988895  |0.2028580148656783  |354       
