/tmp/tmp.bZWJAfbiA7 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k1.mat
  Evaluating with: datasets/N6dataset100k1.mat
Gen 0 Train time: 8.536835086345672 minutes:
 Average MSE:        0.7341021947309094
 Average Error:      0.9992934401711807
 Structure           |Error               |MSE                 |weights&biases
 [5, 11, 18, 15, 0]  |0.6878818259171368  |0.3782733409602811  |598       
 [17, 0, 0, 0, 0]    |0.2608391434655061  |0.24344813180510258 |69        
 [13, 20, 0, 0, 0]   |0.2992641731107413  |0.21300735708631785 |340       
 [15, 15, 0, 0, 0]   |0.306651188975968   |0.22694572894746418 |301       
 [18, 4, 7, 16, 3]   |4.071032042917737   |2.874551150536963   |348       
 [10, 3, 3, 1, 20]   |0.2840154863650377  |0.24691120205224276 |140       
 [9, 9, 4, 7, 13]    |0.3679979518134556  |0.2699069776543517  |310       
 [20, 0, 0, 0, 0]    |0.20381253159655957 |0.18795463087570208 |81        
 [3, 18, 9, 3, 0]    |2.182047665235786   |1.6392908371058315  |286       
 [19, 20, 0, 0, 0]   |0.26328685430022647 |0.16324369383970455 |478       
 [8, 4, 0, 0, 0]     |0.32978656805226714 |0.3090322627806774  |65        
 [5, 0, 0, 0, 0]     |2.4782545703040606  |2.4267538742726735  |21        
 [16, 18, 13, 0, 0]  |0.34181038509604145 |0.18479667262434613 |615       
 [6, 10, 15, 11, 9]  |2.908539539139676   |1.6831231385205996  |547       
 [20, 7, 5, 3, 0]    |0.2814131692184205  |0.2150399753088414  |269       
 [7, 8, 13, 14, 0]   |0.47035589113008563 |0.3112167526666594  |413       
 [8, 9, 1, 15, 5]    |2.831520043475804   |2.247489207376572   |231       
 [16, 13, 0, 0, 0]   |0.26965227303229794 |0.2031883235711877  |283       
 [19, 7, 12, 0, 0]   |0.22166575294920102 |0.1632316944634532  |306       
 [18, 11, 6, 5, 12]  |0.34397013564736545 |0.2182311535963474  |455       
 [17, 12, 13, 13, 3] |1.7487668099502187  |0.900244270788028   |664       
 [14, 18, 19, 4, 0]  |0.40200191129788476 |0.1883791793592427  |758       
 [3, 16, 0, 0, 0]    |1.408673300636248   |1.287430459310419   |90        
 [9, 0, 0, 0, 0]     |0.5224133389761118  |0.5034372675592944  |37        
 [5, 13, 15, 2, 0]   |1.496683451675681   |1.0674275852104322  |338       
Gen 1 Train time: 8.705222245057424 minutes:
 Average MSE:        0.513159739441609
 Average Error:      0.8209203093502271
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.25956502171942214 |0.23936922554933376 |81        
 [19, 7, 12, 0, 0]   |0.19899251173731683 |0.14653542301532108 |306       
 [17, 0, 0, 0, 0]    |0.40229050939635974 |0.37546846556187313 |69        
 [16, 15, 13, 5, 6]  |0.399874467972335   |0.2142515233884697  |624       
 [14, 20, 6, 12, 0]  |0.3763182731289105  |0.21388430894309174 |565       
 [19, 20, 1, 0, 0]   |3.729048690393106   |2.3074733968516936  |480       
 [18, 16, 14, 10, 2] |5.122381870115789   |2.369359202467058   |771       
 [18, 7, 7, 0, 0]    |0.26153168540186067 |0.20347750211416676 |251       
 [15, 12, 2, 1, 10]  |1.2339625320442589  |0.9168884709144649  |297       
 [20, 4, 6, 0, 0]    |0.23907412461229968 |0.19949190292574617 |181       
 [19, 20, 0, 0, 0]   |0.4132364943646874  |0.25621579910913084 |478       
 [2, 6, 7, 19, 14]   |3.050416944110966   |1.8135355531504171  |520       
 [15, 5, 4, 2, 10]   |0.291184332713602   |0.23840156800711698 |200       
 [12, 13, 5, 18, 18] |0.5734499713673508  |0.27250874324191915 |744       
 [19, 0, 0, 0, 0]    |0.222646551333273   |0.20614618281995517 |77        
 [10, 6, 4, 4, 17]   |0.2931569019083745  |0.22899678567021736 |247       
 [17, 10, 0, 0, 0]   |0.2682555361715607  |0.210595665833962   |242       
 [12, 13, 13, 7, 0]  |0.34492832878894164 |0.21067921167777226 |493       
 [13, 8, 2, 1, 10]   |0.3085760055187548  |0.2518838791309885  |203       
 [14, 10, 5, 6, 13]  |0.2923591434939284  |0.19834005161240242 |388       
 [20, 10, 0, 0, 0]   |0.25216743903088595 |0.19039356175379665 |281       
 [8, 7, 11, 8, 10]   |0.39689290965947654 |0.2735998111015431  |372       
 [10, 3, 3, 1, 20]   |1.0506020720753753  |0.9133495634857771  |140       
 [17, 11, 6, 0, 0]   |0.27737787927088714 |0.19981276671102874 |328       
 [18, 17, 0, 0, 0]   |0.26471753742595056 |0.17833492100297796 |395       
Gen 2 Train time: 8.8006160736084 minutes:
 Average MSE:        0.42769900974537856
 Average Error:      0.6125876857738886
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 12, 0, 0]   |0.2495166022167646  |0.18374068720457576 |306       
 [19, 0, 0, 0, 0]    |0.254629788955867   |0.23575913802020051 |77        
 [20, 4, 6, 0, 0]    |0.2256218878634132  |0.1882668809289284  |181       
 [18, 12, 4, 0, 0]   |0.3354689850092943  |0.23901576403288732 |339       
 [17, 9, 1, 1, 5]    |0.2797979957864638  |0.21987691206903417 |241       
 [15, 3, 2, 2, 9]    |0.2430127052396033  |0.21042172408969545 |144       
 [17, 13, 9, 3, 3]   |1.3853171905136297  |0.877155609784207   |457       
 [19, 9, 0, 0, 0]    |0.250125939022408   |0.19538354947815054 |247       
 [11, 17, 4, 8, 13]  |0.35576650448226194 |0.22014240433454865 |480       
 [18, 11, 13, 3, 3]  |2.9968318316734455  |1.8599612878768916  |477       
 [19, 9, 20, 0, 0]   |0.3529886552940683  |0.22328208303609384 |458       
 [16, 8, 5, 1, 17]   |0.30048415603011386 |0.225516883430308   |287       
 [17, 10, 0, 0, 0]   |0.27547198880972523 |0.21626098655756323 |242       
 [8, 3, 2, 2, 9]     |0.45190859323563226 |0.4080868143448858  |102       
 [19, 4, 6, 0, 0]    |0.2425807730181124  |0.203839870998704   |174       
 [17, 14, 16, 0, 0]  |0.48437672513478947 |0.2766803757143978  |560       
 [16, 4, 1, 1, 5]    |0.27065638673319703 |0.2355327738164641  |139       
 [2, 10, 20, 3, 8]   |2.6038058836048363  |1.816613722675557   |360       
 [17, 10, 7, 1, 5]   |0.7740881322295183  |0.5553984216467535  |332       
 [10, 19, 1, 1, 5]   |1.2106977269624302  |0.9177748565653406  |277       
 [16, 8, 7, 4, 0]    |0.2605418494351669  |0.19612721380485754 |284       
 [15, 7, 2, 2, 9]    |0.36207994214418876 |0.29174059148588    |216       
 [11, 9, 1, 6, 5]    |0.30190061183733347 |0.2461885887917664  |204       
 [7, 17, 20, 6, 16]  |0.603134633904628   |0.2787012571603285  |772       
