/tmp/tmp.BzwQG3lQVg ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k2.mat
  Evaluating with: datasets/N6dataset100k2.mat
Gen 0 Train time: 8.626315184434254 minutes:
 Average MSE:        0.6011622717464306
 Average Error:      0.8007404089053677
 Structure           |Error               |MSE                 |weights&biases
 [18, 11, 13, 12, 14]|0.4895728995096811  |0.22352726046076224 |784       
 [12, 0, 0, 0, 0]    |0.2794420814692719  |0.26607947681871297 |49        
 [14, 4, 8, 0, 0]    |0.2741109359992008  |0.23569365749623356 |151       
 [19, 11, 12, 5, 9]  |0.41219201524259036 |0.23781410503456318 |550       
 [13, 18, 0, 0, 0]   |0.2834656599106202  |0.20790702545555395 |310       
 [10, 9, 15, 9, 14]  |0.47021918301024035 |0.26380202930125557 |578       
 [10, 13, 11, 3, 0]  |1.3078134663043264  |0.906065783374576   |367       
 [13, 15, 17, 4, 0]  |0.43326314214934847 |0.23825588948693333 |598       
 [15, 16, 16, 3, 9]  |0.49049001955763405 |0.2509879503263303  |670       
 [19, 0, 0, 0, 0]    |0.35047206125900815 |0.3244985254922697  |77        
 [18, 1, 0, 0, 0]    |0.20843789364991996 |0.19337689813775688 |75        
 [14, 13, 11, 20, 16]|0.6410025194219124  |0.23961498053033686 |984       
 [14, 18, 0, 0, 0]   |0.4027000220938468  |0.2892212374405526  |331       
 [4, 8, 6, 16, 0]    |0.8078098940311745  |0.6386309542627245  |235       
 [14, 16, 11, 12, 0] |0.45260516808581386 |0.24201994782654324 |626       
 [9, 17, 0, 0, 0]    |0.3887954741982245  |0.31357966169426277 |215       
 [15, 18, 0, 0, 0]   |0.3681626686472032  |0.2589214865133403  |352       
 [2, 2, 0, 0, 0]     |2.008074585300246   |1.9781782495927414  |15        
 [6, 16, 13, 14, 5]  |2.3366180552725497  |1.246955036146838   |628       
 [6, 3, 5, 2, 17]    |1.0886531742729846  |0.9464296025472704  |140       
 [6, 16, 1, 0, 0]    |1.164178205954199   |1.0030199864886165  |149       
 [1, 15, 7, 19, 0]   |2.4953484854459584  |1.817439046706631   |317       
 [3, 0, 0, 0, 0]     |2.3166411675859404  |2.286719743058957   |13        
 [16, 0, 0, 0, 0]    |0.2254343003898388  |0.21124714802456585 |65        
 [20, 17, 0, 0, 0]   |0.32300714387245555 |0.2090711114424318  |435       
Gen 1 Train time: 8.675325727462768 minutes:
 Average MSE:        0.5411785705066905
 Average Error:      0.8651650661174827
 Structure           |Error               |MSE                 |weights&biases
 [18, 1, 0, 0, 0]    |0.32050263286893604 |0.29734422999530696 |75        
 [16, 0, 0, 0, 0]    |0.35890963451178304 |0.3363225407936675  |65        
 [14, 4, 8, 0, 0]    |0.20948049130738075 |0.18012131836465103 |151       
 [5, 18, 16, 11, 3]  |6.6329277107755304  |3.4488687960123108  |654       
 [11, 16, 9, 2, 0]   |0.35312693092771097 |0.23647147084988016 |401       
 [18, 16, 0, 0, 0]   |0.2507677024974748  |0.17234995339355857 |375       
 [5, 12, 11, 18, 13] |2.0596791040048044  |1.0156717293479203  |707       
 [13, 17, 9, 2, 0]   |0.43624861056819125 |0.2748463704265799  |462       
 [13, 14, 8, 5, 9]   |0.37185520831914687 |0.23380900252985012 |464       
 [9, 8, 20, 5, 3]    |4.893868272537456   |3.234851583517326   |414       
 [8, 8, 3, 13, 9]    |0.34461493743502325 |0.2525041464904834  |311       
 [16, 10, 0, 0, 0]   |0.28630879994606584 |0.22770955799070788 |229       
 [15, 8, 9, 2, 0]    |0.25954319966574724 |0.19674788970107027 |277       
 [15, 2, 4, 16, 0]   |0.2593883788295503  |0.21536332178734616 |186       
 [17, 18, 0, 0, 0]   |0.27265702974333056 |0.1838673739698864  |394       
 [8, 9, 15, 0, 0]    |0.3616559271480599  |0.275804776065779   |271       
 [17, 1, 0, 0, 0]    |0.2609751324860496  |0.24308839070370475 |71        
 [15, 8, 16, 2, 0]   |0.37528359568574277 |0.2634021614709456  |354       
 [13, 13, 16, 6, 12] |0.4179040823768014  |0.21947798650061348 |644       
 [13, 9, 0, 0, 0]    |0.3217767899471195  |0.27011778544168796 |175       
 [15, 17, 6, 6, 0]   |0.3003608255642087  |0.18697679230093775 |474       
 [14, 17, 9, 2, 0]   |1.3369290909488256  |0.8256166319031719  |482       
 [17, 8, 6, 6, 0]    |0.3080361880410985  |0.22865567507370477 |298       
 [14, 14, 6, 3, 5]   |0.3325343211969924  |0.22536990543103505 |389       
 [16, 1, 0, 0, 0]    |0.3037920556040409  |0.28410487260513423 |67        
Increasing Epochs
Gen 2 Train time: 10.214992272853852 minutes:
 Average MSE:        0.575808264913421
 Average Error:      0.7762395501096193
 Structure           |Error               |MSE                 |weights&biases
 [14, 4, 8, 0, 0]    |0.24969235867235703 |0.2146973999772151  |151       
 [18, 16, 0, 0, 0]   |0.27668007509456916 |0.1901592492675785  |375       
 [15, 2, 4, 16, 0]   |0.2527553487434253  |0.20985609205211583 |186       
 [15, 2, 4, 20, 1]   |4.33742145942883    |3.50882083914529    |212       
 [4, 7, 4, 0, 0]     |0.5212249439861395  |0.47923050495728725 |84        
 [20, 15, 3, 2, 3]   |0.41085162352587107 |0.26354710958261046 |444       
 [12, 9, 16, 1, 0]   |3.0306682139352152  |2.174466023276435   |332       
 [17, 12, 5, 1, 0]   |0.3434376926138707  |0.2444487573206207  |340       
 [12, 9, 12, 1, 0]   |3.7978811642559323  |2.8475054288471915  |288       
 [15, 13, 11, 4, 0]  |0.384974558319891   |0.24302814260359948 |460       
 [13, 5, 8, 0, 0]    |0.23305101762252697 |0.19740498685116886 |166       
 [17, 9, 2, 18, 0]   |0.2613424600862405  |0.19244909070324745 |306       
 [11, 16, 9, 2, 0]   |0.36711506531256816 |0.2458386258945066  |401       
 [15, 8, 4, 3, 5]    |0.2877708008395844  |0.22411612503895362 |250       
 [16, 13, 8, 1, 11]  |0.4659306996525956  |0.3049161771671621  |424       
 [17, 9, 3, 3, 0]    |0.30416636406297237 |0.234762602619295   |259       
 [15, 7, 8, 3, 6]    |0.2859743689902579  |0.21635102143787394 |279       
 [16, 18, 3, 3, 0]   |0.3304441117667572  |0.21560273897613175 |427       
 [13, 15, 16, 14, 0] |0.43237181130720775 |0.20261059637541506 |758       
 [12, 9, 17, 7, 5]   |0.42372751891946553 |0.2582919681541527  |495       
 [17, 9, 3, 16, 0]   |0.2707593143992972  |0.19582673976589166 |324       
 [14, 11, 9, 4, 5]   |0.3237497234726853  |0.2200755197138859  |386       
 [17, 8, 0, 0, 0]    |0.21790335461977592 |0.177691986247908   |204       
 [16, 15, 4, 3, 5]   |1.3253846499831703  |0.8813527985542301  |408       
 [17, 1, 0, 0, 0]    |0.27071005312928154 |0.2521560983057615  |71        
Increasing Epochs
Gen 3 Train time: 11.659117595354717 minutes:
 Average MSE:        0.48657021089712715
 Average Error:      0.6961545386667983
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 0, 0, 0]    |0.20732835392414517 |0.16906847110534168 |204       
 [13, 5, 8, 0, 0]    |0.2904076640381658  |0.24598871820326867 |166       
 [14, 4, 8, 0, 0]    |0.27098768850305194 |0.23300814032432685 |151       
 [15, 5, 4, 10, 3]   |0.28096018888745744 |0.22189692732782368 |236       
 [16, 8, 4, 2, 3]    |0.31395292679410874 |0.24622433714982628 |243       
 [17, 5, 1, 9, 0]    |0.2560049024534114  |0.21490511271585228 |175       
 [15, 5, 6, 10, 3]   |0.3188356982142952  |0.2438799064574789  |268       
 [15, 7, 1, 0, 0]    |0.22532496336347083 |0.1906698964227352  |167       
 [3, 5, 1, 9, 0]     |1.9060657551370623  |1.7896880012082943  |63        
 [17, 9, 2, 2, 0]    |0.2615372515969831  |0.20532143502613867 |242       
 [16, 8, 5, 11, 9]   |0.3669940960227368  |0.24282615135874663 |413       
 [20, 15, 3, 4, 3]   |0.473978633970643   |0.2998139886943439  |458       
 [15, 5, 10, 20, 3]  |3.6600499498389762  |2.282969013666504   |472       
 [16, 3, 4, 0, 0]    |0.1918882260424646  |0.17018958924246333 |120       
 [16, 6, 4, 10, 0]   |0.33804764615080474 |0.26618374753019997 |239       
 [16, 16, 6, 10, 3]  |0.3698195347279065  |0.21789540251610454 |529       
 [18, 13, 2, 2, 7]   |0.2869126781285876  |0.1993730936916624  |364       
 [17, 5, 2, 8, 0]    |0.3374491010677162  |0.28017507826691423 |186       
 [15, 8, 8, 10, 0]   |0.3012513557287382  |0.213139095935845   |346       
 [15, 9, 9, 4, 6]    |0.3229031786271002  |0.22618483561521666 |356       
 [16, 14, 5, 2, 3]   |0.35445786075087216 |0.2409500063341424  |386       
 [19, 16, 2, 1, 2]   |1.5268062851886077  |1.0021805323671102  |421       
 [15, 9, 9, 4, 3]    |0.33495735584271236 |0.23889000783389064 |338       
 [20, 7, 10, 20, 2]  |3.906514280357882   |2.2493594526762393  |552       
 [11, 4, 2, 0, 0]    |0.3004278913120589  |0.2734743307577099  |94        
Gen 4 Train time: 11.716955045859018 minutes:
 Average MSE:        1.1500901403361394
 Average Error:      1.5223020331568415
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 4, 0, 0]    |0.20656676554354564 |0.18320828590713217 |120       
 [17, 8, 0, 0, 0]    |0.22419868947442517 |0.18282559493589828 |204       
 [15, 7, 1, 0, 0]    |0.2835720020833021  |0.23995851794899856 |167       
 [2, 6, 3, 1, 2]     |3.146598779029194   |2.9752322905170403  |56        
 [16, 3, 4, 2, 0]    |0.2037523792515487  |0.17927221939323615 |128       
 [16, 13, 6, 8, 6]   |0.33519296982617913 |0.20949636645377684 |470       
 [16, 5, 4, 10, 2]   |1.9335207510093793  |1.533177783845915   |232       
 [17, 14, 4, 9, 2]   |1.4677052109402704  |0.953801309720068   |431       
 [15, 7, 4, 0, 0]    |0.24723877388281792 |0.20364017035025433 |194       
 [17, 10, 2, 1, 4]   |0.37225967709624075 |0.2844597216028687  |269       
 [15, 5, 7, 5, 2]    |2.494805096174947   |1.9981277325469222  |222       
 [16, 9, 5, 2, 2]    |1.4887335153206276  |1.134197972274273   |272       
 [8, 6, 3, 10, 0]    |0.24191977281736352 |0.20822227811884267 |150       
 [15, 8, 5, 2, 2]    |1.1595251529339243  |0.9130273619056389  |239       
 [17, 4, 3, 5, 0]    |0.24957152155332787 |0.2118218378068911  |164       
 [3, 18, 17, 9, 7]   |2.4195440628616467  |1.2707142178323616  |644       
 [16, 5, 4, 9, 2]    |0.31050298643797136 |0.247941670643943   |225       
 [4, 19, 2, 5, 2]    |4.148414256670177   |3.4754576020652572  |177       
 [15, 10, 7, 13, 2]  |4.189548007578158   |2.760999782104215   |417       
 [15, 6, 3, 5, 2]    |1.672711860348046   |1.3736153119488062  |197       
 [17, 10, 18, 1, 2]  |3.4833849574788998  |2.210026507853913   |455       
 [16, 8, 2, 1, 0]    |0.3103208714732032  |0.2522969663089817  |207       
 [16, 5, 3, 10, 2]   |3.4880577701763475  |2.810451280405176   |216       
 [15, 7, 6, 10, 2]   |3.632493855231463   |2.691017634469846   |300       
 [17, 12, 3, 5, 0]   |0.3474111437280326  |0.24926309144322634 |332       
Result:  [16, 3, 4, 2]
Fold 0
Fold 0 Train time: 19.83914168278376 minutes, MSE: 0.010246721544439485
Fold 1
Fold 1 Train time: 19.789825495084127 minutes, MSE: 0.00929936437408003
Fold 2
Fold 2 Train time: 19.88393468062083 minutes, MSE: 0.013515987942917668
Fold 3
Fold 3 Train time: 19.81545978784561 minutes, MSE: 0.010785316545789316
Fold 4
Fold 4 Train time: 19.779298289616904 minutes, MSE: 0.007787020029391749
Total Time: 150.00635990699132 minutes
CellsPerSensor: 6
 Resulting Network Architecture: [16, 3, 4, 2]
 MSE after 5-Fold CV: 0.01032688208732365
 Weights and Biases: 128
 Objective Function Value: 0.01173704884484618
~/workspace/SolarCellResearch
