/tmp/tmp.FLfaQuvXgP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k5.mat
  Evaluating with: datasets/N6dataset100k5.mat
Gen 0 Train time: 8.72847241560618 minutes:
 Average MSE:        1.1474897060859057
 Average Error:      1.4595136198085321
 Structure           |Error               |MSE                 |weights&biases
 [9, 5, 17, 15, 0]   |1.4997693087474386  |0.9420577525102672  |465       
 [1, 12, 0, 0, 0]    |2.530733781852605   |2.4315022909100024  |40        
 [19, 4, 0, 0, 0]    |0.24331884179894833 |0.2111085992483009  |142       
 [1, 18, 0, 0, 0]    |3.0746805472620373  |2.901422136808768   |58        
 [19, 17, 19, 3, 20] |0.508637810606087   |0.2067967015893201  |900       
 [5, 0, 0, 0, 0]     |2.317650716192803   |2.269487534543983   |21        
 [1, 17, 11, 0, 0]   |2.9948767797507547  |2.3394201247755197  |247       
 [10, 0, 0, 0, 0]    |0.5344311431575152  |0.5129625791538854  |41        
 [17, 12, 8, 1, 0]   |3.1978493411146176  |2.1825163562068424  |382       
 [15, 20, 0, 0, 0]   |0.296527819260263   |0.2015708715773882  |386       
 [3, 8, 8, 0, 0]     |2.5116901545154593  |2.22321844245347    |122       
 [17, 13, 4, 2, 10]  |0.32032531596082164 |0.21644513380046457 |392       
 [5, 10, 1, 13, 11]  |2.2293421821351833  |1.6882737485988073  |278       
 [10, 5, 5, 0, 0]    |0.3207316607487781  |0.28417914334003874 |121       
 [3, 15, 1, 5, 0]    |2.5411914682709136  |2.297066911057809   |101       
 [6, 2, 17, 0, 0]    |0.3289079640242968  |0.29731077346079726 |101       
 [20, 0, 0, 0, 0]    |0.23642162081796914 |0.21802652723944033 |81        
 [5, 0, 0, 0, 0]     |1.2710507626757803  |1.2446370117425996  |21        
 [1, 17, 19, 5, 0]   |4.7306780912510344  |2.912665239577481   |485       
 [13, 0, 0, 0, 0]    |0.37305108523551583 |0.3537941928721934  |53        
 [20, 18, 15, 1, 0]  |2.4814159929095196  |1.1827347740749425  |741       
 [10, 1, 13, 18, 0]  |0.36750206226896714 |0.2621007391031285  |338       
 [5, 8, 11, 7, 0]    |0.7068604357475341  |0.5483058452003621  |254       
 [12, 9, 11, 2, 11]  |0.31195555066588565 |0.22382415289684995 |332       
 [10, 0, 0, 0, 0]    |0.5582400582425732  |0.5358150694049776  |41        
Gen 1 Train time: 8.946930638949077 minutes:
 Average MSE:        0.30254679229187315
 Average Error:      0.4119068990803034
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.24510647954272277 |0.2260356491664958  |81        
 [19, 4, 0, 0, 0]    |0.2695421192957057  |0.2338604722192163  |142       
 [15, 20, 0, 0, 0]   |0.29049787597302784 |0.19747189385920186 |386       
 [13, 13, 3, 0, 0]   |0.288224564035978   |0.22068578721719567 |267       
 [11, 5, 4, 10, 6]   |0.4002196298977044  |0.3148239114232788  |240       
 [17, 12, 0, 0, 0]   |0.25140652040121064 |0.19000896061519218 |280       
 [13, 10, 0, 0, 0]   |0.36403932640975023 |0.30104564608913204 |190       
 [6, 2, 17, 0, 0]    |0.30521794324763835 |0.2758965811310233  |101       
 [19, 2, 0, 0, 0]    |0.2582358638430461  |0.23366147228402742 |100       
 [15, 9, 16, 11, 10] |0.488173769875131   |0.2505532388491151  |667       
 [19, 16, 10, 2, 5]  |0.4603785063920843  |0.255200367398452   |590       
 [20, 2, 10, 0, 0]   |0.2629705299693756  |0.2279307768505594  |143       
 [19, 14, 4, 6, 4]   |1.3841296642958185  |0.8737784203309419  |460       
 [10, 14, 9, 1, 19]  |0.5214903514186429  |0.35413945373856276 |387       
 [17, 0, 0, 0, 0]    |0.3679761423322654  |0.34344195127095717 |69        
 [5, 2, 18, 0, 0]    |0.4577281445432684  |0.4141695524709214  |100       
 [20, 2, 3, 0, 0]    |0.22684823168722043 |0.20220483353112115 |115       
 [16, 2, 0, 0, 0]    |0.23721418494793922 |0.21788414290896144 |85        
 [16, 5, 6, 1, 6]    |0.2637849476879358  |0.21705139723112737 |195       
 [9, 9, 11, 5, 6]    |0.34406711929162653 |0.24735801795230405 |330       
 [17, 14, 0, 0, 0]   |0.23142235921125923 |0.16838355386359635 |318       
 [18, 15, 12, 5, 8]  |0.3997743120200503  |0.20807532798762746 |653       
 [15, 3, 3, 0, 0]    |0.23034165335829038 |0.20655436698321356 |109       
 [15, 20, 3, 9, 0]   |0.301461304195941   |0.1876618482304869  |474       
 [11, 1, 16, 9, 13]  |1.4474209331339531  |0.9957921836941168  |374       
Gen 2 Train time: 9.08256873289744 minutes:
 Average MSE:        0.5173183253738787
 Average Error:      0.6803331018601934
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 3, 0, 0]    |0.23772140073825593 |0.21189680830018975 |115       
 [15, 3, 3, 0, 0]    |0.21924846975513806 |0.1966067718193742  |109       
 [17, 14, 0, 0, 0]   |0.25053685410858473 |0.18229131365002693 |318       
 [19, 8, 5, 0, 0]    |0.24541998436783674 |0.18772365568110155 |268       
 [17, 9, 8, 3, 4]    |0.3401592331295422  |0.2418732529254219  |341       
 [11, 11, 9, 0, 0]   |0.2585901486225999  |0.1948527939327142  |283       
 [16, 11, 9, 0, 0]   |0.3018153647853411  |0.2120485919090133  |353       
 [19, 6, 0, 0, 0]    |0.21703920304011026 |0.18056268384307436 |184       
 [4, 16, 12, 7, 20]  |1.685337220466866   |0.9550091805766842  |568       
 [12, 9, 15, 3, 6]   |0.3442807197494158  |0.23496988814296754 |382       
 [13, 11, 6, 3, 17]  |0.3131489462539201  |0.2158705546421295  |372       
 [17, 1, 0, 0, 0]    |0.29439095380255453 |0.274213954854174   |71        
 [16, 1, 2, 0, 0]    |0.2954757248431145  |0.2749492909287287  |72        
 [17, 20, 2, 5, 17]  |0.46859326878362184 |0.26027406225293215 |588       
 [14, 17, 2, 0, 0]   |0.4672998895500094  |0.33394329841772824 |336       
 [19, 1, 5, 0, 0]    |0.21179613465508298 |0.1929872612855578  |93        
 [18, 2, 2, 0, 0]    |0.24457527456745534 |0.22107966970865284 |101       
 [16, 17, 0, 0, 0]   |0.26084162711102665 |0.18289522181356507 |355       
 [16, 4, 5, 1, 3]    |1.0999437480022682  |0.9401263858886756  |157       
 [18, 5, 3, 18, 3]   |4.645865009353523   |3.441741449756729   |300       
 [16, 17, 2, 5, 0]   |0.3004187244879349  |0.20258858542901934 |394       
 [13, 7, 9, 3, 6]    |1.1276650153227497  |0.8608363491784405  |270       
 [18, 3, 3, 1, 3]    |1.029020606992568   |0.8972753313739101  |137       
 [16, 3, 2, 5, 3]    |1.756347786017576   |1.5208000292435293  |144       
 [10, 8, 10, 0, 0]   |0.392796237997741   |0.3155417487926261  |219       
Gen 3 Train time: 8.904724713166555 minutes:
 Average MSE:        0.4091171222129908
 Average Error:      0.5316469176439045
 Structure           |Error               |MSE                 |weights&biases
 [19, 1, 5, 0, 0]    |0.2338066325467522  |0.2130430839027287  |93        
 [19, 6, 0, 0, 0]    |0.23439096322358538 |0.19499823439912137 |184       
 [15, 3, 3, 0, 0]    |0.2752806732476518  |0.24685255305056214 |109       
 [18, 1, 3, 0, 0]    |0.2521672706184968  |0.23208243680510118 |83        
 [16, 2, 2, 0, 0]    |0.21051899946164415 |0.1922075749892741  |91        
 [14, 13, 5, 0, 0]   |0.3855134968215313  |0.28190671084486874 |313       
 [19, 4, 3, 18, 0]   |0.2829428066419494  |0.2219039832758544  |243       
 [18, 4, 0, 0, 0]    |0.3235876165179997  |0.2827236493769822  |135       
 [19, 5, 5, 0, 0]    |0.2382060174284971  |0.19639656750126208 |193       
 [15, 16, 4, 3, 0]   |0.33065489287067334 |0.2243203606841348  |388       
 [18, 10, 0, 0, 0]   |0.2502235796422306  |0.19390238004364296 |255       
 [15, 9, 12, 3, 5]   |0.31275986951911616 |0.2151715691757961  |374       
 [17, 12, 4, 2, 2]   |2.077847113050439   |1.4819107700006227  |338       
 [18, 10, 7, 0, 0]   |0.2568037479857494  |0.1848070239124204  |329       
 [16, 10, 2, 0, 0]   |0.2881222442529079  |0.22596606865148616 |243       
 [17, 1, 12, 13, 4]  |3.8923254342091025  |2.8179418470586333  |323       
 [8, 9, 4, 3, 0]     |0.2791274714741797  |0.236907214501305   |164       
 [16, 10, 3, 3, 0]   |0.25330936193520504 |0.19395215718386252 |267       
 [19, 2, 3, 0, 0]    |0.21205809287441763 |0.1899688782627848  |110       
 [17, 13, 5, 4, 3]   |0.3521158280222207  |0.23650283102129227 |398       
 [13, 6, 7, 0, 0]    |0.21132429455153684 |0.1765128881864001  |180       
