/tmp/tmp.OGlNiEYolY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k6.mat
  Evaluating with: datasets/N6dataset100k6.mat
Gen 0 Train time: 8.472449199358623 minutes:
 Average MSE:        0.42843231341620647
 Average Error:      0.5957667479249396
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.26235563875434703 |0.24194271497417935 |81        
 [17, 0, 0, 0, 0]    |0.3245030433565018  |0.30286734813119665 |69        
 [12, 0, 0, 0, 0]    |0.2819091403450835  |0.268428563726116   |49        
 [15, 16, 0, 0, 0]   |0.31909619152069674 |0.23217527872293675 |318       
 [16, 20, 0, 0, 0]   |0.35165158994691315 |0.23360715602047058 |409       
 [12, 19, 3, 0, 0]   |0.40147198503052295 |0.28376253816578906 |347       
 [20, 15, 16, 19, 18]|1.135572885712425   |0.2994335573480458  |1333      
 [14, 18, 15, 0, 0]  |0.36852092172015405 |0.19963635476186162 |613       
 [12, 11, 1, 10, 0]  |0.3168118165124669  |0.2537394514476076  |222       
 [10, 20, 14, 0, 0]  |0.4016038371444936  |0.22962926634337028 |559       
 [14, 12, 1, 8, 20]  |0.491108121914433   |0.3125187011661058  |452       
 [3, 18, 0, 0, 0]    |1.943920988463871   |1.7589324480675592  |100       
 [2, 1, 0, 0, 0]     |1.7745291725404497  |1.7551163180878817  |11        
 [5, 11, 17, 13, 0]  |0.5508099738970004  |0.32323831700507377 |533       
 [8, 17, 12, 16, 0]  |0.5713192582126776  |0.30795330816634103 |618       
 [17, 0, 0, 0, 0]    |0.2809703064311529  |0.262237083301943   |69        
 [16, 15, 0, 0, 0]   |0.3523575456483638  |0.2561200845453876  |319       
 [7, 8, 19, 18, 0]   |0.5836490947345297  |0.3092963680242498  |635       
 [15, 13, 6, 0, 0]   |0.2795208850123561  |0.1981604413792602  |344       
 [10, 3, 8, 4, 11]   |0.3551806142856923  |0.291379468378958   |198       
 [18, 15, 7, 16, 11] |0.4578928455448429  |0.21032105467894668 |778       
 [3, 8, 0, 0, 0]     |1.1141615533849214  |1.0598232532271603  |50        
 [19, 0, 0, 0, 0]    |0.24572890654222942 |0.22751790130526897 |77        
 [17, 16, 17, 16, 0] |0.5712926319733667  |0.22473042408184968 |933       
 [5, 19, 20, 0, 0]   |1.158229749494001   |0.6682404343476025  |550       
Gen 1 Train time: 8.611959234873455 minutes:
 Average MSE:        0.6032636041731658
 Average Error:      0.8121311265292107
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.2635086881235137  |0.24398002067071972 |77        
 [20, 0, 0, 0, 0]    |0.24373887715002956 |0.22477445486754957 |81        
 [15, 13, 6, 0, 0]   |0.270360500876524   |0.191666380073323   |344       
 [16, 10, 2, 0, 0]   |0.2724407947450273  |0.21366755450780844 |243       
 [3, 19, 5, 20, 2]   |5.011512581119899   |3.53155322739068    |350       
 [17, 14, 7, 8, 16]  |0.4184007825314694  |0.22216931759590133 |633       
 [17, 10, 2, 9, 0]   |0.3286690419565777  |0.24593106988705796 |290       
 [12, 17, 12, 2, 6]  |0.4209006942925657  |0.2492351741725985  |524       
 [15, 7, 3, 0, 0]    |0.3455740967162567  |0.2872081121692098  |185       
 [11, 13, 17, 9, 0]  |0.3939328537991136  |0.21641123707219362 |599       
 [14, 10, 7, 0, 0]   |0.27664547358084074 |0.20971234535322264 |277       
 [19, 17, 18, 0, 0]  |0.3858695175354379  |0.18410371639154524 |740       
 [18, 0, 0, 0, 0]    |0.3988615594226056  |0.3707820367046362  |73        
 [19, 7, 0, 0, 0]    |0.2715388249701467  |0.22120837506343882 |205       
 [3, 10, 2, 0, 0]    |3.1898600446835665  |2.962332730812932   |74        
 [17, 13, 14, 1, 15] |0.32289625304147823 |0.187791268787405   |542       
 [17, 8, 0, 0, 0]    |0.23951681852396525 |0.19531695277278918 |204       
 [9, 6, 9, 7, 0]     |0.2818813302879117  |0.22441256543689675 |228       
 [19, 8, 8, 10, 9]   |0.27183295486311043 |0.16686544033043874 |488       
 [15, 0, 0, 0, 0]    |0.31094219688322206 |0.2925416450547429  |61        
 [2, 17, 12, 4, 8]   |4.189078899931548   |2.881989564982845   |374       
 [2, 17, 12, 7, 6]   |1.2349451321165124  |0.8122285943185986  |419       
 [17, 8, 9, 8, 0]    |0.3394774564505005  |0.23566411331651232 |365       
 [15, 12, 0, 0, 0]   |0.33654617383067953 |0.2621024237190184  |250       
 [12, 6, 1, 5, 0]    |0.2843466157977693  |0.24794178287708096 |137       
Gen 2 Train time: 8.520205342769623 minutes:
 Average MSE:        0.485352393853431
 Average Error:      0.6532268284760394
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 0, 0, 0]    |0.2937332609254045  |0.23952842145080613 |204       
 [20, 0, 0, 0, 0]    |0.32235217078895173 |0.29727113832504615 |81        
 [19, 0, 0, 0, 0]    |0.2598918870273956  |0.2406312612333111  |77        
 [18, 7, 3, 1, 0]    |1.0954106605880622  |0.8817288694035204  |217       
 [19, 4, 5, 4, 0]    |0.24974397957522068 |0.20632164022165597 |191       
 [19, 20, 0, 0, 0]   |0.35893563737256895 |0.2225480624588725  |478       
 [2, 1, 19, 20, 2]   |5.776379402180736   |3.5316920324388965  |492       
 [13, 8, 6, 8, 0]    |0.28323041986515957 |0.21621229469748013 |270       
 [17, 8, 9, 8, 0]    |0.30797658158315555 |0.21379631148387518 |365       
 [14, 5, 1, 0, 0]    |0.21321974027393306 |0.18816576036163785 |125       
 [18, 7, 7, 1, 8]    |0.30917092008843244 |0.234602891978453   |276       
 [13, 13, 12, 5, 0]  |0.3559993750659453  |0.22473658328981738 |460       
 [19, 7, 2, 0, 0]    |0.23756630971116705 |0.19141556227009576 |216       
 [5, 5, 1, 2, 0]     |3.0383509215016793  |2.867139687369608   |58        
 [19, 12, 9, 0, 0]   |0.2933997094428733  |0.19200777680453635 |424       
 [13, 8, 6, 4, 0]    |0.24877634232608192 |0.19608618250188284 |238       
 [17, 0, 0, 0, 0]    |0.27465260434651706 |0.2563406033895667  |69        
 [13, 7, 5, 4, 0]    |0.24943144167077996 |0.20299555749661477 |206       
 [16, 9, 4, 0, 0]    |0.2328368555826909  |0.1820603121618697  |246       
 [16, 7, 9, 5, 0]    |0.2730872927898469  |0.2033221156175923  |295       
 [14, 10, 7, 0, 0]   |0.28108546876447166 |0.2130781036693231  |277       
 [17, 12, 5, 9, 8]   |0.36978115683707335 |0.2299613755993238  |475       
 [15, 3, 5, 4, 0]    |0.23326002637702198 |0.20238135717316924 |142       
 [17, 4, 0, 0, 0]    |0.22832737615656787 |0.2008946134625864  |128       
 [11, 13, 17, 9, 0]  |0.5440711710592494  |0.29889133147623287 |599       
Gen 3 Train time: 8.813184277216594 minutes:
 Average MSE:        0.667638261600754
 Average Error:      0.9581285976522217
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 1, 0, 0]    |0.2829322181930478  |0.2496868061967536  |125       
 [17, 4, 0, 0, 0]    |0.2670303939677211  |0.23494759446682495 |128       
 [16, 9, 4, 0, 0]    |0.26015882621994385 |0.2034239682318991  |246       
 [18, 10, 6, 5, 8]   |0.30402915879585646 |0.20338965336286088 |402       
 [14, 13, 9, 8, 1]   |5.562281850646651   |3.5325091607928947  |454       
 [17, 5, 7, 9, 0]    |0.24552585596244084 |0.18836889756729952 |265       
 [18, 8, 6, 4, 0]    |0.2943000035042726  |0.21955431862145725 |293       
 [17, 4, 5, 4, 0]    |0.26055751785825076 |0.21828982116713144 |177       
 [16, 7, 6, 3, 4]    |0.3449430096896518  |0.266767959254564   |257       
 [15, 11, 8, 3, 0]   |0.29116833909442785 |0.2055936370237843  |348       
 [16, 3, 1, 18, 1]   |4.146509696102125   |3.533422483421598   |160       
 [18, 4, 5, 3, 0]    |0.273958788224276   |0.22951713456671446 |177       
 [17, 4, 3, 0, 0]    |0.22914479168653568 |0.1988108920802751  |142       
 [15, 6, 3, 2, 0]    |0.24030622836557186 |0.20213060775972447 |173       
 [16, 10, 20, 8, 2]  |6.611494906764126   |3.5318075250639844  |627       
 [14, 6, 3, 2, 0]    |0.9971259921359533  |0.8463027306347761  |164       
 [18, 14, 0, 0, 0]   |0.2339100835833363  |0.16732479156907112 |335       
 [17, 9, 5, 5, 0]    |0.3045297110540089  |0.22582687268462523 |299       
 [19, 7, 5, 1, 4]    |0.26847347186368764 |0.20783658207704545 |256       
 [18, 8, 1, 0, 0]    |0.2304059685408773  |0.18546066918529752 |217       
 [17, 5, 3, 2, 0]    |0.27780451792273475 |0.23437389766293082 |170       
 [17, 7, 8, 3, 4]    |0.3024310260664686  |0.2265245298162378  |289       
 [17, 7, 3, 0, 0]    |0.3213872013479392  |0.2618172211070736  |205       
 [18, 4, 11, 4, 3]   |1.1610345011908145  |0.9024079567670642  |252       
 [19, 2, 5, 0, 0]    |0.24177088252482523 |0.21486082893696454 |118       
Increasing Epochs
Gen 4 Train time: 10.090995939572652 minutes:
 Average MSE:        0.30395641503230214
 Average Error:      0.40478856174638994
 Structure           |Error               |MSE                 |weights&biases
 [17, 4, 3, 0, 0]    |0.22361319657868134 |0.1940115625824272  |142       
 [18, 8, 1, 0, 0]    |0.3138334165106097  |0.25261392231876884 |217       
 [18, 14, 0, 0, 0]   |0.28483192204995844 |0.20375112205133877 |335       
 [17, 7, 6, 7, 3]    |1.191878995013874   |0.8812015097560376  |302       
 [19, 3, 5, 2, 0]    |0.1974260172128354  |0.16958663509922092 |152       
 [18, 8, 4, 2, 0]    |0.2697075298592699  |0.2090008145122791  |255       
 [19, 5, 3, 0, 0]    |0.2856813928186886  |0.2388598978836674  |179       
 [15, 7, 3, 0, 0]    |0.320380045960313   |0.26626922865835706 |185       
 [20, 9, 10, 15, 6]  |0.3874144448363298  |0.20903360675250576 |617       
 [18, 6, 1, 0, 0]    |0.22505742439236648 |0.18854856051273677 |177       
 [16, 7, 1, 0, 0]    |0.3898346848011753  |0.32659561823231786 |177       
 [7, 6, 17, 9, 9]    |0.601100803043688   |0.3832787939831103  |450       
 [17, 7, 5, 2, 0]    |0.30916434563344036 |0.24515066933468418 |232       
 [16, 5, 3, 2, 0]    |0.2133193400503585  |0.18141555650415442 |162       
 [18, 8, 5, 1, 2]    |1.9941445218728275  |1.5314502270497052  |264       
 [16, 10, 6, 2, 0]   |0.2501490317238302  |0.18512973825291779 |301       
 [16, 10, 17, 2, 0]  |0.32471722790823027 |0.20829487325003365 |444       
 [17, 4, 4, 1, 0]    |0.2666268058434198  |0.22948781851816666 |150       
 [18, 20, 6, 5, 0]   |0.32236150865087165 |0.176738919657842   |601       
 [19, 19, 3, 0, 0]   |0.34127230903764694 |0.20678523008508476 |501       
 [19, 8, 3, 0, 0]    |0.26298056031886674 |0.2052194951336565  |248       
 [18, 8, 5, 2, 0]    |0.39400363707291425 |0.3019798038303926  |266       
 [18, 4, 6, 5, 0]    |0.22880682786152134 |0.18714394893234226 |201       
 [17, 9, 5, 2, 0]    |0.25830106003397174 |0.1956105717575104  |278       
 [17, 3, 2, 1, 18]   |0.263106994574056   |0.22175225115829486 |171       
Gen 5 Train time: 10.400489687919617 minutes:
 Average MSE:        0.4163575553207371
 Average Error:      0.6038772874565539
 Structure           |Error               |MSE                 |weights&biases
 [19, 3, 5, 2, 0]    |0.26156019114058776 |0.22467713889817312 |152       
 [16, 5, 3, 2, 0]    |0.2595858254642042  |0.2207624820893485  |162       
 [17, 4, 3, 0, 0]    |0.23304092608688823 |0.20219126110414698 |142       
 [19, 9, 17, 9, 3]   |2.8276039794558723  |1.547173476513467   |603       
 [19, 6, 4, 1, 9]    |0.24990937415573938 |0.19697924123911376 |238       
 [19, 4, 6, 4, 0]    |0.2249260178726994  |0.18415384799974677 |200       
