/tmp/tmp.z7aEgTlPI8 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k5.mat
  Evaluating with: datasets/N7dataset100k5.mat
Gen 0 Train time: 8.3706223487854 minutes:
 Average MSE:        0.9384198304611989
 Average Error:      1.2380690620109693
 Structure           |Error               |MSE                 |weights&biases
 [13, 12, 18, 8, 0]  |0.47278073968193335 |0.25894915470542734 |602       
 [7, 8, 0, 0, 0]     |0.34568758417512707 |0.31467344899527233 |94        
 [20, 10, 1, 0, 0]   |0.2079780676880511  |0.15671558944377417 |283       
 [19, 7, 16, 0, 0]   |0.21751014897220514 |0.1545079438284316  |342       
 [9, 10, 20, 6, 4]   |3.650083418574589   |2.200643949245471   |506       
 [17, 2, 3, 0, 0]    |0.20117948679163952 |0.1820347273903465  |100       
 [6, 8, 1, 0, 0]     |1.6776437899510248  |1.5409364299198345  |85        
 [18, 11, 9, 0, 0]   |0.24438654031383758 |0.1669594808631161  |381       
 [18, 10, 0, 0, 0]   |0.23240232106857306 |0.1800923927604854  |255       
 [4, 11, 0, 0, 0]    |1.4041868021866355  |1.2975246665993265  |79        
 [10, 18, 13, 16, 10]|0.7372843415185614  |0.30581294591230634 |880       
 [17, 2, 5, 0, 0]    |0.1771558111537571  |0.15901994495963098 |108       
 [13, 0, 0, 0, 0]    |0.2936700984456171  |0.27851085162953204 |53        
 [4, 0, 0, 0, 0]     |2.439871114872793   |2.3987438779103227  |17        
 [6, 20, 9, 9, 0]    |0.45827070439629    |0.29308423733744926 |447       
 [9, 8, 6, 10, 0]    |0.2720052456429999  |0.21353939841853992 |242       
 [1, 0, 0, 0, 0]     |3.5420143015467693  |3.5243484315179883  |5         
 [15, 0, 0, 0, 0]    |0.3358697604592509  |0.31599407617806474 |61        
 [18, 8, 10, 13, 0]  |0.32267027327822867 |0.20512734390516058 |453       
 [11, 11, 1, 0, 0]   |1.0758701263793877  |0.8995413596508401  |179       
 [5, 3, 13, 14, 7]   |5.168405778961896   |3.485335401339507   |394       
 [7, 20, 13, 5, 0]   |1.6509774345777548  |0.9717735228192881  |530       
 [8, 4, 11, 20, 4]   |4.887226226327585   |3.134986627949539   |444       
 [4, 10, 1, 13, 0]   |0.4653793247009773  |0.4156538510610234  |113       
 [5, 19, 0, 0, 0]    |0.47121710860875904 |0.40598610718929484 |149       
Gen 1 Train time: 8.519050276279449 minutes:
 Average MSE:        0.49356691112250695
 Average Error:      0.5947392482733869
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 5, 0, 0]    |0.22005879366800787 |0.1975308460335949  |108       
 [17, 2, 3, 0, 0]    |0.1872404279980942  |0.16942214542174355 |100       
 [20, 10, 1, 0, 0]   |0.7964746412901267  |0.6001594027405807  |283       
 [13, 14, 13, 5, 0]  |0.39305420880261843 |0.236973314616665   |506       
 [16, 11, 9, 4, 0]   |0.27936999213701025 |0.18952805100334347 |388       
 [12, 5, 2, 0, 0]    |0.34367742813382457 |0.3060362345597685  |116       
 [8, 7, 3, 5, 0]     |0.2794651737985056  |0.24368531079313221 |137       
 [13, 5, 5, 5, 0]    |0.23068664536548947 |0.19365152404975647 |175       
 [18, 5, 10, 0, 0]   |0.21308839058779222 |0.17100743907427413 |220       
 [15, 5, 16, 5, 0]   |0.29550288932968805 |0.216302656527427   |312       
 [14, 9, 1, 0, 0]    |1.0563658190218248  |0.8744453711197975  |189       
 [20, 6, 9, 0, 0]    |0.20653664288258794 |0.15940973607893683 |259       
 [20, 9, 9, 14, 0]   |0.25037318334357767 |0.15277290507749056 |494       
 [13, 5, 6, 5, 0]    |0.26156025280420414 |0.21716657140012968 |186       
 [18, 10, 0, 0, 0]   |0.25533084604819933 |0.19786008504111055 |255       
 [16, 1, 3, 0, 0]    |0.1576572269997289  |0.14626546542162056 |75        
 [3, 5, 5, 5, 0]     |2.4035010861488706  |2.18567883570878    |95        
 [15, 1, 2, 8, 0]    |0.23824243670437398 |0.21600224406568355 |98        
 [18, 5, 6, 5, 0]    |0.20777522428563    |0.16574605749029248 |226       
 [15, 9, 4, 5, 0]    |0.25591383327660566 |0.19732276697699627 |260       
