/tmp/tmp.zfGOodSCA2 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k6.mat
  Evaluating with: datasets/N7dataset100k6.mat
Gen 0 Train time: 8.639484866460164 minutes:
 Average MSE:        0.9076342647575041
 Average Error:      1.2375334211663676
 Structure           |Error               |MSE                 |weights&biases
 [1, 4, 0, 0, 0]     |3.5142390426868464  |3.4584586511130566  |16        
 [6, 5, 17, 12, 6]   |3.45748485791777    |2.1914017445069933  |456       
 [13, 5, 12, 13, 11] |0.33458514713481596 |0.1997150094632209  |516       
 [8, 8, 0, 0, 0]     |0.4847699362145381  |0.4364502613865285  |105       
 [15, 14, 19, 6, 10] |0.43826773570869315 |0.2059904878770038  |755       
 [5, 6, 8, 19, 19]   |2.072434517773145   |1.0520325046150916  |678       
 [13, 2, 9, 0, 0]    |0.23201261268933018 |0.2090956358764124  |104       
 [5, 3, 4, 19, 0]    |2.135983043851947   |1.8128985673407396  |164       
 [12, 0, 0, 0, 0]    |0.23615508698026635 |0.2248624175049187  |49        
 [7, 20, 0, 0, 0]    |0.6571921831243488  |0.536988399514191   |202       
 [14, 12, 12, 15, 0] |0.37301250648587275 |0.20697788432219427 |589       
 [8, 19, 18, 7, 0]   |1.9680618513368746  |0.9812276636155293  |696       
 [15, 17, 17, 14, 6] |0.5157427135474801  |0.19511868685988784 |972       
 [19, 5, 20, 11, 1]  |5.826976015338413   |3.457335383598123   |522       
 [18, 4, 10, 10, 0]  |0.2432817459951439  |0.18004741272601638 |301       
 [7, 4, 15, 18, 0]   |1.460103712716674   |0.9450735435109603  |435       
 [11, 16, 0, 0, 0]   |0.3143213870072311  |0.24675994660668615 |242       
 [13, 14, 6, 2, 0]   |0.37810385386557194 |0.2685853937870301  |342       
 [10, 11, 3, 16, 0]  |0.2643404393824519  |0.20219605894378737 |268       
 [18, 1, 14, 2, 0]   |1.0192973347042993  |0.8914673218090392  |134       
 [10, 2, 13, 0, 0]   |0.3559290747512594  |0.3204516742999989  |105       
 [4, 0, 0, 0, 0]     |1.7412780292547203  |1.7119264976552997  |17        
 [3, 0, 0, 0, 0]     |2.3075213878578023  |2.277717753174432   |13        
 [18, 0, 0, 0, 0]    |0.2748156387641035  |0.255468845899179   |73        
 [18, 10, 13, 0, 0]  |0.33242567406959245 |0.22260887293127912 |401       
Gen 1 Train time: 8.901205801963807 minutes:
 Average MSE:        0.4979904945751037
 Average Error:      0.7339703114892896
 Structure           |Error               |MSE                 |weights&biases
 [13, 2, 9, 0, 0]    |0.26143042900831076 |0.23560771613796802 |104       
 [12, 0, 0, 0, 0]    |0.4443459180085695  |0.42309779818631893 |49        
 [18, 4, 10, 10, 0]  |0.25469258667629424 |0.18849232228248963 |301       
 [1, 20, 12, 8, 8]   |5.589776745269036   |3.458861013876665   |480       
 [16, 6, 6, 8, 0]    |0.2957357701149585  |0.22871264428035493 |257       
 [16, 3, 10, 5, 0]   |0.24752613046645044 |0.20265725520327577 |200       
 [11, 7, 6, 19, 11]  |0.4698775157233421  |0.27657224089487864 |530       
 [9, 11, 7, 0, 0]    |0.3250204541632398  |0.25849804116880915 |229       
 [14, 7, 11, 8, 0]   |0.3107038993273364  |0.22114981470781964 |340       
 [13, 6, 6, 8, 0]    |0.21886316771742217 |0.17389414110181484 |230       
 [12, 13, 12, 9, 0]  |0.43215246368857463 |0.26211371889747104 |500       
 [13, 18, 5, 0, 0]   |0.35578165250111954 |0.24040312626671634 |392       
 [12, 8, 8, 15, 6]   |1.4240511892508256  |0.9080151276167919  |450       
 [14, 11, 8, 8, 0]   |0.273434558782003   |0.18624487126339548 |384       
 [13, 1, 5, 0, 0]    |0.22143451310973084 |0.20667073897543817 |69        
 [12, 11, 6, 7, 6]   |0.29633923509956483 |0.2077852018325565  |355       
 [14, 8, 14, 3, 5]   |1.1925797016026585  |0.8328670755418098  |359       
 [11, 6, 2, 8, 0]    |0.2506015751965437  |0.21526381622909643 |152       
 [11, 14, 2, 8, 0]   |0.2709605142750297  |0.208090505254996   |264       
 [12, 7, 13, 8, 0]   |0.36302479862450077 |0.25530812465707553 |352       
 [1, 7, 20, 5, 8]    |3.4286255591446833  |2.4428355353892033  |339       
 [17, 12, 16, 3, 5]  |0.36300350619881455 |0.20901635305122146 |552       
 [18, 7, 12, 5, 0]   |0.2354400966141847  |0.1652495101252317  |354       
 [12, 13, 19, 9, 0]  |0.4622710926302979  |0.23868662511468708 |661       
 [14, 8, 8, 15, 12]  |0.36158471403874587 |0.20366904632150779 |574       
Gen 2 Train time: 8.949007125695546 minutes:
 Average MSE:        0.3424422716754417
 Average Error:      0.4926489312348339
 Structure           |Error               |MSE                 |weights&biases
 [13, 6, 6, 8, 0]    |0.26950611734986085 |0.21413166631467123 |230       
 [13, 1, 5, 0, 0]    |0.1996481042534548  |0.1863369023267837  |69        
