/tmp/tmp.vN4Uck7MwI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k5.mat
  Evaluating with: datasets/N8dataset100k5.mat
Gen 0 Train time: 8.364092135429383 minutes:
 Average MSE:        0.9184254240136935
 Average Error:      1.171526324298533
 Structure           |Error               |MSE                 |weights&biases
 [9, 10, 11, 9, 14]  |0.555273293671449   |0.33310588538836744 |511       
 [10, 6, 16, 0, 0]   |0.22902692724989054 |0.18288171594166153 |225       
 [8, 0, 0, 0, 0]     |1.181515454383691   |1.143161760866577   |33        
 [5, 12, 16, 16, 9]  |2.2142962666684927  |1.067089277630719   |730       
 [15, 2, 19, 16, 7]  |1.7921431614642962  |1.0024151122682796  |581       
 [13, 3, 0, 0, 0]    |0.19702442959206448 |0.18096935890750124 |85        
 [6, 2, 0, 0, 0]     |1.6497696527881205  |1.593026512309574   |35        
 [5, 7, 7, 0, 0]     |0.2703115306772666  |0.23950519584958957 |121       
 [12, 10, 2, 0, 0]   |0.21480772785515143 |0.17745966416785355 |191       
 [2, 0, 0, 0, 0]     |2.967491172186241   |2.9409035752886408  |9         
 [17, 6, 14, 16, 0]  |0.29213349071354583 |0.17472457164772037 |514       
 [20, 6, 0, 0, 0]    |0.15453626929058314 |0.12741236838079284 |193       
 [2, 11, 0, 0, 0]    |2.399565170135116   |2.280255599731915   |51        
 [8, 4, 2, 16, 5]    |2.6836092171882857  |2.17746773315532    |209       
 [8, 5, 4, 14, 6]    |0.7177881299596418  |0.5534516758763581  |260       
 [18, 10, 3, 10, 0]  |0.19357209456939847 |0.13944217857469204 |328       
 [14, 1, 0, 0, 0]    |0.9331256540778207  |0.8796638705733079  |59        
 [8, 19, 0, 0, 0]    |0.6214393318796081  |0.501216573717015   |215       
 [4, 20, 13, 6, 0]   |3.6897939294514233  |2.292334225386536   |476       
 [13, 20, 13, 10, 0] |0.31295058885629906 |0.14886581280885913 |743       
 [4, 17, 17, 9, 10]  |2.02154167174948    |1.0282521552442263  |676       
 [7, 0, 0, 0, 0]     |1.0773606942598029  |1.0465659165731445  |29        
 [16, 14, 0, 0, 0]   |0.22841248378678816 |0.16904300226846966 |301       
 [17, 0, 0, 0, 0]    |0.22275859539703888 |0.20790654030080172 |69        
 [1, 11, 1, 0, 0]    |2.4679111696118365  |2.373515317484423   |39        
Gen 1 Train time: 8.374338404337566 minutes:
 Average MSE:        0.2759694449313183
 Average Error:      0.3429930855589213
 Structure           |Error               |MSE                 |weights&biases
 [20, 6, 0, 0, 0]    |0.1811640106529697  |0.14936646114611887 |193       
 [18, 10, 3, 10, 0]  |0.23032626156504402 |0.16591852129842818 |328       
 [13, 3, 0, 0, 0]    |0.207755412303624   |0.1908258983517683  |85        
 [15, 8, 2, 8, 0]    |0.2305941767535588  |0.184317415376564   |224       
 [19, 5, 7, 8, 0]    |0.20527671060133193 |0.15639093667413015 |272       
 [17, 18, 0, 0, 0]   |0.2360624776422202  |0.15918968932420036 |394       
 [17, 7, 0, 0, 0]    |0.21045249594653723 |0.1749079709285392  |185       
