/tmp/tmp.i9wNYij5PS ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k0.mat
  Evaluating with: datasets/N9dataset100k0.mat
Gen 0 Train time: 8.219500593344371 minutes:
 Average MSE:        1.3375742448976622
 Average Error:      1.744673644861935
 Structure           |Error               |MSE                 |weights&biases
 [6, 18, 16, 13, 0]  |1.7919393646180506  |0.9051075317491216  |683       
 [9, 15, 9, 8, 0]    |1.3480052030741263  |0.8946039902052039  |410       
 [1, 4, 0, 0, 0]     |3.0426280080219086  |2.9943333474597513  |16        
 [2, 0, 0, 0, 0]     |3.6022136988581814  |3.569939228537282   |9         
 [5, 0, 0, 0, 0]     |1.1799066791685113  |1.1553869966639794  |21        
 [6, 16, 13, 8, 12]  |1.8025759732479383  |1.0052303689795024  |584       
 [12, 0, 0, 0, 0]    |1.06561731102405    |1.014660695037163   |49        
 [1, 12, 13, 0, 0]   |2.392404241756296   |1.9392451883599044  |210       
 [8, 10, 7, 0, 0]    |1.0468037951838698  |0.8579079386834423  |199       
 [7, 2, 9, 15, 14]   |0.6741826677242821  |0.4285901472489576  |453       
 [7, 11, 19, 10, 4]  |2.867871013353384   |1.5961108432955873  |586       
 [14, 0, 0, 0, 0]    |0.30496672771633876 |0.2880697623549689  |57        
 [5, 17, 12, 13, 0]  |1.7642964623812745  |1.0531145440787506  |516       
 [10, 8, 5, 0, 0]    |0.3167687071545059  |0.2675139935060636  |169       
 [8, 14, 8, 18, 8]   |0.5798752975579324  |0.32047782212011067 |593       
 [10, 6, 6, 0, 0]    |0.20835301577660087 |0.18023000348361376 |145       
 [17, 0, 0, 0, 0]    |0.23386548738131574 |0.21827289892247403 |69        
 [5, 0, 0, 0, 0]     |1.2057406017597507  |1.1806840635945404  |21        
 [17, 1, 9, 1, 20]   |0.22811096285615753 |0.19477249589935056 |158       
 [1, 5, 9, 0, 0]     |3.230699385611314   |2.9912717811902536  |77        
 [2, 2, 15, 14, 0]   |4.0292519991607945  |2.996906981300974   |296       
 [1, 16, 0, 0, 0]    |1.8916868977095203  |1.79583297902412    |52        
 [20, 15, 18, 1, 2]  |4.3709324346314045  |2.1945485603674975  |689       
 [8, 0, 0, 0, 0]     |1.195663510752706   |1.156850550946838   |33        
 [8, 17, 10, 1, 0]   |3.2424816750681638  |2.2396934094320966  |370       
Gen 1 Train time: 8.493276838461558 minutes:
 Average MSE:        0.6863371947490231
 Average Error:      0.890331341459011
 Structure           |Error               |MSE                 |weights&biases
 [10, 6, 6, 0, 0]    |0.1948921195731364  |0.16858602818236726 |145       
 [17, 1, 9, 1, 20]   |0.2272907486404748  |0.19407215617012238 |158       
 [17, 0, 0, 0, 0]    |0.2564746173954967  |0.239374603178066   |69        
 [14, 4, 8, 20, 10]  |1.4084523650183765  |0.8183145245921555  |543       
 [19, 8, 17, 1, 1]   |5.27573287235669    |3.5648344060087256  |392       
 [14, 3, 3, 0, 0]    |0.16046644623136863 |0.14476110948403909 |103       
 [11, 1, 5, 8, 7]    |0.27815130066131893 |0.2337296750253639  |174       
 [13, 7, 4, 9, 16]   |0.29105702891332186 |0.19686519863272456 |391       
 [17, 1, 2, 1, 10]   |0.25681394273645397 |0.23075392073056605 |107       
 [16, 0, 0, 0, 0]    |0.2059542962973509  |0.19299307000303675 |65        
 [1, 3, 3, 0, 0]     |2.475084108742059   |2.413974064359942   |25        
 [17, 11, 0, 0, 0]   |0.20991255708018758 |0.1616916375064797  |261       
 [14, 4, 8, 1, 10]   |0.22911304459475287 |0.19098894108091613 |182       
 [17, 6, 0, 0, 0]    |0.16220139624747365 |0.13739208187168517 |166       
 [7, 7, 4, 9, 4]     |1.1317080767618646  |0.9274912335941966  |199       
 [8, 5, 15, 9, 2]    |4.9422375560403236  |3.567332705469751   |326       
 [14, 3, 3, 8, 0]    |0.18786808883740289 |0.16332467019943064 |140       
 [14, 3, 3, 16, 5]   |1.2467247361152698  |0.967074157213171   |254       
