/tmp/tmp.0IhbkYJWXw ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k3.mat
  Evaluating with: datasets/N10dataset100k3.mat
Gen 0 Train time: 8.703606148560842 minutes:
 Average MSE:        0.9495242024887438
 Average Error:      1.25415302142996
 Structure           |Error               |MSE                 |weights&biases
 [4, 13, 9, 0, 0]    |2.7306896983025557  |2.2068236385170517  |213       
 [6, 10, 6, 5, 0]    |0.4460549565780927  |0.36702947767012706 |195       
 [17, 18, 1, 2, 0]   |0.277807249979803   |0.18603364190575583 |401       
 [3, 6, 0, 0, 0]     |0.5863775313757424  |0.5633853395020234  |40        
 [2, 11, 0, 0, 0]    |1.799850577721103   |1.7103596141538304  |51        
 [10, 17, 19, 14, 9] |0.6777962938679827  |0.2533689663266544  |984       
 [2, 18, 19, 0, 0]   |4.60349148356239    |2.96185284529476    |441       
 [6, 8, 19, 2, 0]    |2.091242448934378   |1.5679332682709113  |288       
 [6, 19, 0, 0, 0]    |0.3007473305969234  |0.2534763383910884  |171       
 [2, 9, 15, 0, 0]    |2.9817336404824566  |2.4436794870045935  |199       
 [10, 7, 17, 3, 0]   |0.25179212060586215 |0.18634575181315685 |301       
 [9, 17, 20, 0, 0]   |1.6988690604241683  |0.9530983036207881  |578       
 [6, 6, 15, 6, 0]    |2.144154742127712   |1.6400806461420916  |268       
 [8, 10, 14, 10, 16] |0.5931272280583479  |0.3219540797268133  |611       
 [13, 3, 19, 13, 0]  |0.3209245608364824  |0.2085556855460613  |431       
 [9, 12, 15, 2, 0]   |0.3846056032776051  |0.26380716539858523 |377       
 [10, 0, 0, 0, 0]    |0.8848632845513871  |0.8493175565337096  |41        
 [3, 17, 2, 14, 2]   |4.224449620483917   |3.5004410854964894  |188       
 [7, 16, 4, 20, 16]  |0.5292824421640624  |0.2708383657271603  |670       
 [17, 10, 19, 20, 14]|0.562039957406451   |0.17814056790242044 |1149      
 [12, 0, 0, 0, 0]    |0.3140563957755273  |0.29903857371858233 |49        
 [16, 15, 17, 9, 0]  |0.2933968772525433  |0.13900726839028948 |747       
 [8, 0, 0, 0, 0]     |1.1813508401263904  |1.1430024902251805  |33        
 [8, 12, 0, 0, 0]    |1.120114179033388   |0.9689237356933168  |145       
 [12, 1, 11, 7, 0]   |0.3550074122237301  |0.3016111692471472  |163       
Gen 1 Train time: 9.201113788286845 minutes:
 Average MSE:        0.3852504937195451
 Average Error:      0.5744906552689845
 Structure           |Error               |MSE                 |weights&biases
 [10, 7, 17, 3, 0]   |0.25670559921345865 |0.1899821081175055  |301       
 [17, 18, 1, 2, 0]   |0.24192251571016551 |0.16200342741176302 |401       
 [16, 15, 17, 9, 0]  |0.32246184231496655 |0.15277783553817698 |747       
 [19, 16, 18, 16, 13]|0.5791072702905183  |0.17062833791465656 |1222      
 [6, 9, 9, 2, 0]     |1.898396444921199   |1.5636292372947114  |194       
 [15, 11, 14, 8, 0]  |0.2690150763164308  |0.16025518064839037 |518       
 [9, 6, 9, 5, 0]     |0.3002697301045124  |0.2443694381655977  |206       
 [9, 10, 0, 0, 0]    |0.3293765722643292  |0.2869195011911726  |138       
 [13, 2, 10, 7, 0]   |0.29527688215612224 |0.2461432047591226  |182       
 [13, 2, 15, 10, 0]  |0.2162790750603557  |0.16297056275797508 |283       
 [14, 5, 10, 10, 7]  |1.7179133970084823  |1.184250888516996   |372       
 [9, 10, 9, 2, 12]   |0.2544251040511626  |0.18942752661039125 |295       
 [7, 19, 13, 3, 3]   |2.5501310916271756  |1.5607161186242573  |491       
 [9, 10, 12, 1, 0]   |0.6980448257282659  |0.5307458709710932  |274       
 [15, 9, 18, 11, 0]  |0.2848899204983263  |0.15792225607806679 |590       
 [7, 13, 5, 13, 8]   |0.38871648578579016 |0.2621325389171786  |394       
 [15, 9, 19, 11, 0]  |0.31535504967309347 |0.1711771775122697  |611       
 [12, 1, 6, 15, 0]   |0.19616849090993688 |0.16352631696985537 |182       
 [13, 2, 15, 10, 16] |1.372606552089074   |0.8621823609804607  |465       
 [15, 9, 1, 1, 12]   |0.2143237357293789  |0.16893054526716653 |238       
 [15, 10, 6, 5, 0]   |0.37394815492732436 |0.2737231419218607  |312       
 [13, 14, 16, 6, 0]  |0.2534332998704926  |0.14133043673131604 |584       
 [17, 18, 1, 13, 0]  |0.29918814711492375 |0.19384766721171312 |434       
 [13, 11, 10, 10, 7] |0.29273319813962956 |0.17613691304141116 |508       
 [9, 12, 11, 12, 8]  |0.44157792021949566 |0.25553374983551996 |547       
Gen 2 Train time: 9.502983367443084 minutes:
 Average MSE:        0.40842261247889167
 Average Error:      0.670771540066016
 Structure           |Error               |MSE                 |weights&biases
 [12, 1, 6, 15, 0]   |0.1935317046533822  |0.1613282884120016  |182       
 [15, 9, 1, 1, 12]   |0.2621369127202042  |0.20661702004107774 |238       
 [13, 2, 15, 10, 0]  |0.19716409720636516 |0.14856704870049295 |283       
 [18, 17, 10, 15, 7] |0.35790034404209164 |0.1542006349849156  |842       
 [11, 11, 12, 12, 4] |3.609869103261633   |2.1418533640796595  |522       
 [17, 18, 1, 2, 0]   |0.23814700647515188 |0.15947515742208687 |401       
 [13, 2, 13, 9, 0]   |0.2812289893943056  |0.22078055543065753 |242       
 [17, 18, 20, 13, 0] |0.3883191224151177  |0.13697897981143556 |1042      
 [12, 11, 12, 15, 6] |0.32306857708567144 |0.17361923792837217 |621       
 [14, 6, 15, 9, 0]   |0.22784364242931357 |0.15410891841889912 |391       
 [8, 19, 15, 4, 4]   |0.4611711369624857  |0.2571781933474888  |584       
 [12, 8, 5, 3, 6]    |1.1207481043080534  |0.8869172549867542  |234       
 [10, 7, 13, 12, 0]  |0.23846557212487363 |0.1611321681227515  |392       
 [13, 14, 5, 2, 6]   |0.2210448577469573  |0.1562356832395257  |347       
 [14, 10, 15, 11, 4] |0.9780404230540627  |0.5443274530651412  |586       
 [11, 11, 10, 17, 10]|0.5733573686113963  |0.2954528317439391  |663       
 [17, 17, 9, 6, 0]   |0.25738021387663734 |0.14324470950940146 |586       
 [19, 15, 8, 11, 8]  |0.3628028506479355  |0.18215529191857496 |689       
 [14, 2, 15, 10, 0]  |0.19977621015461947 |0.14978452941700882 |288       
 [14, 8, 12, 12, 4]  |2.3891501293565445  |1.4739379673168211  |483       
 [15, 12, 10, 6, 6]  |0.4151883039841943  |0.2563983172045     |482       
 [15, 19, 12, 13, 17]|0.7135854814348603  |0.2588638468232138  |1014      
 [15, 13, 14, 10, 4] |1.5186511996392882  |0.7943926427035235  |648       
 [12, 5, 16, 7, 0]   |0.20325885611040118 |0.14700701694769716 |324       
 [11, 4, 10, 6, 0]   |1.0374582939548578  |0.8460082003963517  |204       
Gen 3 Train time: 9.377841063340504 minutes:
 Average MSE:        0.6069678821880329
 Average Error:      0.9274986468541603
