/tmp/tmp.K44BIaSW5z ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k4.mat
  Evaluating with: datasets/N10dataset100k4.mat
Gen 0 Train time: 8.097140824794769 minutes:
 Average MSE:        0.9309891001855343
 Average Error:      1.1272246061571547
 Structure           |Error               |MSE                 |weights&biases
 [3, 10, 0, 0, 0]    |1.162381781744529   |1.0946899365314644  |60        
 [5, 20, 0, 0, 0]    |1.6968526741926535  |1.4517579001111642  |156       
 [7, 14, 13, 11, 0]  |0.29844043793598757 |0.18210262012570633 |494       
 [8, 1, 0, 0, 0]     |0.8675754443798046  |0.8377355481052045  |35        
 [1, 4, 10, 0, 0]    |2.6853500549510385  |2.4988011922002604  |72        
 [10, 2, 20, 0, 0]   |0.19719576767129285 |0.17263801090780823 |133       
 [14, 20, 3, 0, 0]   |0.23654977627025608 |0.1571433830289673  |409       
 [17, 0, 0, 0, 0]    |0.205258165868599   |0.1915729225090804  |69        
 [6, 0, 0, 0, 0]     |0.4923970651595006  |0.4802397383037217  |25        
 [12, 8, 16, 0, 0]   |0.24464869430573688 |0.1810590607871799  |301       
 [13, 14, 0, 0, 0]   |0.24587733356788216 |0.19148945992217567 |250       
 [2, 0, 0, 0, 0]     |3.014069532839857   |2.98706461147342    |9         
 [20, 17, 8, 1, 0]   |2.7006009864795013  |1.5242070929977483  |572       
 [19, 0, 0, 0, 0]    |0.1951277156901764  |0.18066677211494725 |77        
 [19, 4, 0, 0, 0]    |0.15726580843182136 |0.1364471583138899  |142       
 [16, 0, 0, 0, 0]    |0.22708553783399754 |0.21279446890779746 |65        
 [3, 13, 0, 0, 0]    |2.5682220617050544  |2.382651289192151   |75        
 [6, 8, 3, 3, 0]     |0.380160055744317   |0.33818475662232145 |117       
 [18, 1, 8, 4, 0]    |0.8746526133785989  |0.7680284634504759  |130       
 [8, 15, 18, 7, 9]   |0.6001261449337865  |0.30955626681327814 |662       
 [20, 9, 9, 15, 0]   |0.22451372325425062 |0.13549528374382386 |505       
 [12, 0, 0, 0, 0]    |0.3137331696042704  |0.29873080385768686 |49        
 [4, 2, 10, 7, 4]    |3.350506545435834   |2.8380339519383577  |166       
 [13, 2, 15, 0, 0]   |0.20968911804840656 |0.18449567908475065 |128       
 [2, 16, 6, 17, 4]   |5.0323349445017165  |3.5391411335949705  |352       
Gen 1 Train time: 8.310645413398742 minutes:
 Average MSE:        0.37385233791874684
 Average Error:      0.472689734362027
 Structure           |Error               |MSE                 |weights&biases
 [19, 4, 0, 0, 0]    |0.24596777147148027 |0.21340686693912586 |142       
 [19, 0, 0, 0, 0]    |0.30310998743658274 |0.28064646189432424 |77        
 [10, 2, 20, 0, 0]   |0.31510094904209573 |0.27585988137669953 |133       
 [14, 1, 10, 0, 0]   |0.15227511100630028 |0.13944758915827127 |88        
 [15, 1, 8, 0, 0]    |0.19455791839109046 |0.17852522355386552 |86        
 [9, 1, 20, 9, 20]   |0.4026377481619079  |0.247407622464555   |487       
 [12, 4, 8, 0, 0]    |0.17301796986633095 |0.1508665183092631  |137       
 [3, 11, 8, 7, 5]    |3.008192834904654   |2.324115441505559   |258       
 [16, 2, 0, 0, 0]    |0.23403832894379464 |0.21496708015566451 |85        
 [19, 13, 5, 8, 0]   |0.20882305606649743 |0.13395276953814278 |444       
 [11, 1, 10, 0, 0]   |0.18015104887023664 |0.1669669117216066  |76        
 [4, 11, 8, 0, 0]    |0.42889500888166854 |0.3611206649542837  |172       
 [15, 7, 0, 0, 0]    |0.1727526175676793  |0.14647585680034275 |165       
 [17, 0, 0, 0, 0]    |0.15973700451318926 |0.14908680810793168 |69        
 [18, 5, 5, 17, 0]   |0.26407892631834323 |0.19583021264486225 |299       
 [15, 10, 2, 0, 0]   |1.035074440175543   |0.8224014238117958  |230       
 [18, 2, 3, 6, 0]    |0.16642071987777815 |0.14584129925951775 |132       
 [6, 2, 8, 0, 0]     |1.2512360249683818  |1.172492568003547   |65        
 [3, 8, 10, 16, 19]  |1.1620222048742375  |0.6066287845571198  |650       
 [16, 6, 8, 0, 0]    |0.15976935986258814 |0.12886060959978146 |215       
 [20, 5, 5, 8, 0]    |0.17498874980644274 |0.13600908500832093 |252       
 [7, 7, 8, 0, 0]     |0.4712831202661306  |0.4056371407675485  |150       
 [13, 1, 10, 0, 0]   |0.20383904817236653 |0.1874159921023536  |84        
 [13, 8, 8, 0, 0]    |0.35768121715263845 |0.28362193452080076 |232       
 [15, 4, 8, 19, 0]   |0.39159219245271615 |0.27872370121338774 |340       
Gen 2 Train time: 8.63528652191162 minutes:
 Average MSE:        0.3053419742242516
 Average Error:      0.4960134474295304
 Structure           |Error               |MSE                 |weights&biases
 [14, 1, 10, 0, 0]   |0.1598853959515129  |0.14641679037181352 |88        
 [17, 0, 0, 0, 0]    |0.2949444112094863  |0.27527948812176983 |69        
 [16, 6, 8, 0, 0]    |0.17596493441486655 |0.14192301162367535 |215       
 [16, 6, 19, 0, 0]   |0.22227173312744958 |0.16416970123663532 |303       
 [18, 15, 14, 13, 8] |0.33698964248546515 |0.13991739257384767 |879       
 [18, 7, 15, 4, 0]   |0.2561499653775589  |0.17587316383693657 |376       
 [18, 6, 7, 4, 0]    |0.20428925366716513 |0.158465499315813   |254       
 [15, 3, 8, 9, 0]    |1.043380698348444   |0.8406886619527455  |216       
 [17, 5, 2, 3, 0]    |0.1774849521741888  |0.1503379603644323  |166       
 [19, 8, 9, 7, 0]    |0.19137937136948452 |0.13140152287845702 |376       
 [18, 16, 0, 0, 0]   |0.2125911359917502  |0.1461116085331235  |375       
 [17, 1, 0, 0, 0]    |0.14805477878488152 |0.13790738438549782 |71        
 [18, 4, 4, 12, 0]   |0.1458864343358544  |0.116725902422752   |223       
 [10, 13, 13, 16, 14]|0.4025579811945197  |0.1751844009984136  |832       
 [15, 1, 9, 11, 0]   |0.3405003473941016  |0.2784994670820435  |201       
 [15, 7, 8, 4, 0]    |0.19256865012855842 |0.14818369909441298 |262       
 [14, 6, 4, 0, 0]    |0.16417960250538158 |0.13920685130396965 |165       
 [13, 1, 10, 0, 0]   |0.27715612175392706 |0.2548260011586665  |84        
 [19, 6, 18, 14, 0]  |0.3018770033353422  |0.16834570966927737 |584       
