/tmp/tmp.ICwBgbmQQy ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k0.mat
  Evaluating with: datasets/N10dataset100k0.mat
Gen 0 Train time: 8.039397164185841 minutes:
 Average MSE:        1.014707447746108
 Average Error:      1.259202076697497
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.6459613222070659  |0.6175373973915347  |45        
 [11, 9, 14, 8, 9]   |0.5463135124296394  |0.3340173739856946  |492       
 [11, 19, 0, 0, 0]   |0.42945267524831277 |0.3242489385602559  |281       
 [3, 0, 0, 0, 0]     |2.9526330838446344  |2.914497273599065   |13        
 [2, 0, 0, 0, 0]     |3.5173370107981077  |3.485823003453239   |9         
 [13, 10, 0, 0, 0]   |0.16336259298662614 |0.13509418841496235 |190       
 [17, 0, 0, 0, 0]    |0.16832014708232967 |0.1570976840666254  |69        
 [16, 12, 15, 0, 0]  |0.20173863722749183 |0.12697281196322036 |463       
 [2, 3, 0, 0, 0]     |1.8181334019588344  |1.7839149718063123  |19        
 [4, 19, 19, 0, 0]   |2.8537906051661595  |1.7188374264983062  |507       
 [8, 10, 14, 0, 0]   |0.27031079631931965 |0.20368453389872498 |283       
 [13, 15, 3, 0, 0]   |0.21277181123212527 |0.15746768815995418 |301       
 [20, 0, 0, 0, 0]    |0.18274087043997958 |0.1685224778888456  |81        
 [20, 17, 3, 13, 0]  |0.2558473232905221  |0.1495425358607227  |537       
 [9, 0, 0, 0, 0]     |1.0477333740553414  |1.0096756487858756  |37        
 [1, 13, 13, 7, 0]   |4.023311407088944   |2.93030143523094    |317       
 [3, 9, 6, 0, 0]     |1.9447465930008352  |1.7386895237657811  |112       
 [12, 1, 17, 0, 0]   |0.20597442627071041 |0.18618708783580906 |101       
 [14, 8, 20, 7, 6]   |0.2805956232724374  |0.16286384903989837 |544       
 [8, 10, 2, 1, 0]    |1.7273677810968286  |1.5002004552535126  |141       
 [3, 5, 16, 18, 0]   |4.464635100122834   |2.8467770265570134  |450       
 [7, 0, 0, 0, 0]     |0.7257388568591027  |0.704994674456105   |29        
 [19, 0, 0, 0, 0]    |0.1624133323373804  |0.1503768565016002  |77        
 [3, 17, 14, 0, 0]   |2.2816701573241227  |1.617541978794349   |344       
 [11, 14, 14, 5, 0]  |0.39715147577774174 |0.24281935188434386 |492       
Gen 1 Train time: 8.254000421365102 minutes:
 Average MSE:        0.6203939024452594
 Average Error:      0.8905691459670773
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.197285462634462   |0.18266460811731172 |77        
 [13, 10, 0, 0, 0]   |0.2493950716511295  |0.20623953246236085 |190       
 [17, 0, 0, 0, 0]    |0.22224764618397203 |0.20742965776808148 |69        
 [14, 5, 7, 13, 0]   |0.21985408187407357 |0.16666137547274337 |277       
 [16, 3, 11, 20, 10] |0.3194619604068228  |0.17462454412330136 |604       
 [20, 9, 2, 7, 0]    |0.16929281525064838 |0.12566628357022874 |298       
 [2, 15, 11, 7, 2]   |4.848638141836691   |3.485801034989671   |330       
 [17, 14, 3, 7, 0]   |0.22501349865491616 |0.15326376547348614 |384       
 [16, 8, 2, 0, 0]    |0.23801599616574715 |0.19389909253941545 |205       
 [17, 16, 3, 7, 0]   |0.2038361600520946  |0.1331287272451486  |426       
 [14, 1, 16, 0, 0]   |0.17121384801428216 |0.1539939549959705  |106       
 [18, 0, 0, 0, 0]    |0.2214366971726731  |0.20584773748988705 |73        
 [3, 20, 2, 20, 20]  |4.606973045891052   |2.4487337035602073  |632       
 [8, 0, 0, 0, 0]     |1.1406286849008154  |1.1036022348148666  |33        
 [16, 5, 0, 0, 0]    |0.15337217906248962 |0.13346876900589627 |139       
 [15, 5, 0, 0, 0]    |0.15029858947440142 |0.13184459415284752 |131       
 [15, 1, 9, 0, 0]    |0.18495500047355945 |0.16920526349369652 |89        
 [13, 17, 0, 0, 0]   |0.35720903925434205 |0.26595341305320763 |295       
