/tmp/tmp.sGVmlE1CTz ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k2.mat
  Evaluating with: datasets/N10dataset100k2.mat
Gen 0 Train time: 8.428299375375111 minutes:
 Average MSE:        0.5737146211232341
 Average Error:      0.6994783687817732
 Structure           |Error               |MSE                 |weights&biases
 [15, 11, 12, 18, 10]|0.5781205026534345  |0.25976628659219514 |800       
 [4, 10, 10, 0, 0]   |1.295811544112826   |1.0791105897736701  |183       
 [15, 3, 3, 0, 0]    |0.1997235187247517  |0.17909815433026322 |109       
 [11, 3, 10, 0, 0]   |0.22005103564199946 |0.19516776063166494 |120       
 [12, 18, 10, 4, 8]  |0.3500850922992636  |0.2013764910448767  |553       
 [6, 0, 0, 0, 0]     |0.6584823363029029  |0.6422243494917952  |25        
 [10, 2, 13, 12, 0]  |0.2854873287718623  |0.21749973791199864 |272       
 [11, 3, 5, 1, 0]    |0.938164201482994   |0.8514365557951169  |97        
 [17, 0, 0, 0, 0]    |0.40219284992110416 |0.37537731736805463 |69        
 [12, 20, 0, 0, 0]   |0.2485780972382296  |0.18104707326922986 |317       
 [10, 14, 20, 6, 7]  |1.8058970451300065  |0.9268694501982502  |667       
 [4, 4, 0, 0, 0]     |1.8746133611266307  |1.8065201591242108  |37        
 [19, 7, 2, 8, 0]    |0.16772274678601012 |0.13114614333752947 |246       
 [14, 19, 8, 9, 19]  |0.37257935180362417 |0.1711345415971615  |778       
 [14, 6, 8, 0, 0]    |0.22912049688088884 |0.18815160593852798 |197       
 [5, 0, 0, 0, 0]     |2.2899641513391966  |2.2423763251755497  |21        
 [3, 11, 0, 0, 0]    |0.7274616527603801  |0.6816806456565029  |65        
 [2, 1, 6, 11, 0]    |1.9729549170836311  |1.7674403621246484  |110       
 [15, 11, 4, 12, 18] |0.2715690205676343  |0.151747252823002   |582       
 [15, 14, 0, 0, 0]   |0.277040649551815   |0.20854696021034497 |284       
 [16, 0, 0, 0, 0]    |0.32765456650466057 |0.30703443349854503 |65        
 [15, 7, 13, 13, 0]  |0.21882357927446544 |0.1385547883387563  |457       
