/tmp/tmp.pipX8TnGvf ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k6.mat
  Evaluating with: datasets/N10dataset100k6.mat
Gen 0 Train time: 8.097689831256867 minutes:
 Average MSE:        0.9434905901355289
 Average Error:      1.1022100816794878
 Structure           |Error               |MSE                 |weights&biases
 [5, 10, 12, 0, 0]   |0.44956261959023325 |0.36078245308241697 |220       
 [2, 18, 0, 0, 0]    |3.1770237134433144  |2.935696752130409   |79        
 [14, 0, 0, 0, 0]    |0.9016199556619835  |0.8516648629408173  |57        
 [7, 19, 17, 0, 0]   |0.28408339653008097 |0.1670457696802994  |531       
 [10, 8, 11, 15, 0]  |1.3339721385333227  |0.8826390504107051  |413       
 [6, 9, 17, 6, 0]    |0.4875194804282232  |0.33809612532129746 |366       
 [3, 13, 8, 17, 2]   |4.107173983099797   |2.851186423641047   |365       
 [13, 0, 0, 0, 0]    |0.4166972456196083  |0.3951873390020634  |53        
 [17, 0, 0, 0, 0]    |0.20681203505017398 |0.1930231900735956  |69        
 [9, 4, 0, 0, 0]     |0.23172504563202467 |0.21562731429386045 |72        
 [12, 20, 2, 9, 13]  |0.3086075530480724  |0.18550288135426232 |509       
 [20, 9, 3, 0, 0]    |0.17213876092216637 |0.1297099626125054  |283       
 [4, 0, 0, 0, 0]     |3.0225967959456894  |2.971646951131717   |17        
 [20, 12, 0, 0, 0]   |0.22141633631916116 |0.15997935953380654 |325       
 [3, 13, 0, 0, 0]    |0.726669647473941   |0.6741630321566146  |75        
 [1, 6, 0, 0, 0]     |2.9994101076571984  |2.9341436487295534  |22        
 [2, 0, 0, 0, 0]     |2.963269777987886   |2.9367200031833534  |9         
 [12, 0, 0, 0, 0]    |1.1925145549202205  |1.1354898560858453  |49        
 [16, 0, 0, 0, 0]    |0.37156644167559083 |0.34818282297711384 |65        
 [8, 12, 2, 0, 0]    |0.3031062225787703  |0.2580319239845465  |161       
 [19, 6, 17, 0, 0]   |0.17909675513327206 |0.1308335875064644  |314       
 [7, 16, 7, 4, 0]    |0.32130439462120824 |0.23684097957004419 |305       
 [12, 6, 0, 0, 0]    |0.5099184830922598  |0.4518050926438278  |121       
 [8, 12, 12, 8, 15]  |1.531958489227382   |0.8900719072530832  |543       
 [5, 7, 13, 0, 0]    |1.1354881077956123  |0.9531934640889693  |175       
Gen 1 Train time: 8.590143477916717 minutes:
 Average MSE:        0.4294327855015652
 Average Error:      0.5706782206242182
 Structure           |Error               |MSE                 |weights&biases
 [20, 9, 3, 0, 0]    |0.14350678245524295 |0.10813520027210526 |283       
 [19, 6, 17, 0, 0]   |0.16335887728689505 |0.11933676827683733 |314       
 [17, 0, 0, 0, 0]    |0.23460303792730897 |0.21896127452495576 |69        
 [14, 10, 1, 20, 7]  |1.2394060063106191  |0.8324619512950642  |398       
 [7, 7, 6, 0, 0]     |0.26179055461011314 |0.22941779512940758 |132       
 [20, 12, 0, 0, 0]   |0.18390851218368354 |0.13287893062032766 |325       
 [20, 9, 9, 0, 0]    |0.18527280995056006 |0.1306901673649359  |349       
 [19, 13, 17, 0, 0]  |0.22006889250495493 |0.12408175279293261 |573       
 [14, 14, 10, 0, 0]  |0.24812710385183173 |0.1641763459660656  |413       
 [20, 11, 2, 0, 0]   |0.1711381634539048  |0.12452060493321396 |318       
 [13, 2, 0, 0, 0]    |0.1905963686343254  |0.1777108762111609  |70        
 [14, 12, 1, 0, 0]   |0.2728882437491714  |0.2153064469205222  |237       
 [4, 2, 1, 14, 7]    |4.1344546020273825  |3.502074201074327   |166       
 [15, 7, 2, 0, 0]    |0.2091254116517771  |0.17537633098394872 |176       
