/tmp/tmp.F4NnZALm5F ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k3.mat
  Evaluating with: datasets/N10dataset100k3.mat
Gen 0 Train time: 8.697696606318155 minutes:
 Average MSE:        0.904009994422041
 Average Error:      1.1114843117666786
 Structure           |Error               |MSE                 |weights&biases
 [6, 0, 0, 0, 0]     |1.2026677705328068  |1.1729737974776628  |25        
 [3, 0, 0, 0, 0]     |2.9701814693375383  |2.931819006514331   |13        
 [10, 5, 18, 0, 0]   |0.28227006708020724 |0.22834651944761547 |212       
 [17, 14, 0, 0, 0]   |0.18633141849962753 |0.13557525966957593 |318       
 [2, 3, 6, 3, 0]     |2.433142273611554   |2.282299617217204   |64        
 [4, 5, 0, 0, 0]     |1.2958348744851158  |1.2412949859153735  |43        
 [9, 15, 5, 1, 0]    |0.43537065426847515 |0.3340189563996553  |265       
 [7, 6, 4, 17, 18]   |0.39368174302475123 |0.23288454693956956 |525       
 [11, 13, 6, 19, 9]  |0.38465127893832657 |0.2119471931734623  |596       
 [15, 1, 15, 19, 0]  |0.2542770944371844  |0.16790940791749775 |415       
 [2, 13, 0, 0, 0]    |3.1185272079243647  |2.939856708710889   |59        
 [12, 2, 0, 0, 0]    |0.20720984022001682 |0.19416959936180822 |65        
 [1, 20, 9, 0, 0]    |3.7598260494162625  |2.951674666614527   |242       
 [14, 15, 0, 0, 0]   |0.2156512360915     |0.16249747367135287 |283       
 [2, 18, 9, 14, 0]   |3.377675089033458   |2.296043970849599   |386       
 [20, 5, 19, 19, 7]  |0.3376452659285246  |0.1506555093259216  |807       
 [11, 8, 0, 0, 0]    |0.2342290310247867  |0.20403660249457772 |138       
 [13, 13, 20, 0, 0]  |0.25079769038184946 |0.14880646956489949 |522       
 [7, 13, 7, 6, 12]   |0.3625546673472464  |0.2509303145724714  |368       
 [14, 3, 12, 13, 0]  |0.2204650794669971  |0.16041100656823246 |318       
 [16, 13, 1, 8, 0]   |0.24450279283534054 |0.17968884775068975 |308       
 [10, 4, 12, 2, 0]   |0.7802044458500857  |0.6628548223561213  |163       
 [20, 19, 18, 16, 11]|0.808285368609225   |0.21549014446132847 |1322      
 [2, 16, 3, 5, 16]   |3.7242105184708367  |2.9354327528584396  |238       
 [12, 15, 4, 2, 20]  |0.30691486735088264 |0.2086316807182155  |386       
Gen 1 Train time: 9.004609954357147 minutes:
 Average MSE:        0.4882976408775883
 Average Error:      0.744978647478374
 Structure           |Error               |MSE                 |weights&biases
 [17, 14, 0, 0, 0]   |0.31447542884287205 |0.2288131989139494  |318       
 [12, 2, 0, 0, 0]    |0.24753881721781756 |0.23196057153774302 |65        
 [14, 15, 0, 0, 0]   |0.4464449172564472  |0.3364050793421271  |283       
 [17, 15, 2, 1, 10]  |0.24409509398431314 |0.16576280464002752 |387       
 [10, 10, 12, 9, 9]  |1.390922820481521   |0.8529685743325833  |489       
 [10, 16, 12, 9, 9]  |0.3961566930375406  |0.21162372644997413 |627       
 [11, 4, 9, 0, 0]    |0.16203662932964408 |0.14143247810368537 |136       
 [14, 14, 3, 10, 5]  |0.25371811827419916 |0.17041282577463823 |398       
 [12, 9, 2, 1, 5]    |0.9886352828121607  |0.8159274893380932  |192       
 [16, 15, 0, 0, 0]   |0.19386661076425857 |0.14091689919142852 |319       
 [18, 14, 17, 16, 2] |4.078817228213456   |1.6583233326188385  |900       
 [12, 9, 2, 20, 10]  |1.3319057720996301  |0.8458703581710614  |454       
 [9, 11, 4, 3, 6]    |0.24835591177194388 |0.1971298887965586  |231       
 [12, 9, 19, 0, 0]   |0.2648053454240471  |0.18419500579500886 |363       
 [17, 10, 10, 10, 4] |1.3222184215723798  |0.8019660115204923  |500       
 [15, 8, 8, 10, 0]   |0.20606494425166566 |0.14579352121295858 |346       
 [10, 14, 3, 10, 5]  |0.35355631880145616 |0.25418002869119116 |330       
 [8, 10, 2, 1, 10]   |0.40823704724445364 |0.34441523359134124 |170       
 [14, 2, 8, 10, 0]   |0.1974817696140517  |0.16217017945706752 |197       
 [12, 12, 2, 1, 1]   |4.348724982445704   |3.472527429406982   |225       
 [13, 9, 10, 4, 0]   |0.26301897891820303 |0.19214036886680996 |314       
 [13, 9, 10, 3, 0]   |0.2496433011815152  |0.18457079520817604 |302       
 [16, 2, 10, 10, 0]  |0.19217558799658266 |0.1522325787756292  |233       
 [13, 3, 17, 10, 20] |0.2717787241715847  |0.15369778221633593 |570       
 [14, 8, 16, 7, 0]   |0.2497914412519021  |0.16200485998700742 |433       
Gen 2 Train time: 9.237419140338897 minutes:
 Average MSE:        0.595846997131749
 Average Error:      0.8413203952013977
 Structure           |Error               |MSE                 |weights&biases
 [11, 4, 9, 0, 0]    |0.18150191484770467 |0.1584226091574139  |136       
 [16, 2, 10, 10, 0]  |0.6145103706000644  |0.48678658603859154 |233       
 [16, 15, 0, 0, 0]   |0.2741359764606652  |0.19926273847447543 |319       
 [14, 6, 13, 10, 10] |0.35952017909076145 |0.221577032727507   |484       
 [15, 11, 6, 10, 3]  |1.290099147039095   |0.8647793196337851  |400       
 [15, 5, 13, 9, 0]   |0.5385774974638242  |0.3837270144173534  |339       
 [14, 10, 5, 0, 0]   |0.1956697716976964  |0.15193129316704468 |253       
 [15, 5, 8, 10, 0]   |0.18255014455231025 |0.13879873024663206 |274       
 [15, 9, 8, 5, 16]   |0.2768097934126541  |0.18060830110149156 |427       
 [20, 15, 6, 13, 7]  |0.294504055092462   |0.1510019532876373  |668       
 [8, 14, 1, 3, 10]   |0.3077669209166664  |0.2464952555961281  |222       
 [6, 16, 13, 2, 1]   |5.143061410069021   |3.503100758312366   |384       
 [15, 20, 9, 10, 18] |0.4411129336984444  |0.18462023439084857 |871       
 [15, 8, 5, 11, 13]  |1.2913399402555292  |0.8201076988071151  |454       
 [13, 3, 9, 3, 0]    |0.22289130280223868 |0.19165257376565703 |151       
 [15, 9, 4, 5, 0]    |0.21714529452192133 |0.1674302236909099  |260       
 [16, 12, 4, 5, 0]   |0.21014929428422255 |0.15032779402161672 |335       
 [3, 8, 7, 2, 3]     |3.240481260081984   |2.8369282248344208  |133       
 [14, 3, 13, 17, 10] |1.4334499653375297  |0.8122753477285969  |568       
 [11, 10, 11, 5, 20] |0.2904770052297238  |0.18064330879907672 |475       
 [11, 11, 4, 3, 6]   |0.24520419342379654 |0.18925424183134762 |259       
 [14, 8, 6, 13, 3]   |3.072545312278227   |2.158700262024837   |353       
 [15, 12, 4, 5, 0]   |0.30720489655196237 |0.22307653981553027 |320       
 [15, 8, 8, 10, 0]   |0.1911361163589289  |0.1352311890609835  |346       
 [14, 10, 6, 1, 5]   |0.21116518396750872 |0.15943569736236    |281       
Increasing Epochs
Gen 3 Train time: 10.571445894241332 minutes:
 Average MSE:        0.46182985768278473
 Average Error:      0.5984987253236183
 Structure           |Error               |MSE                 |weights&biases
 [11, 4, 9, 0, 0]    |0.218385727118326   |0.19061637295592276 |136       
 [15, 5, 8, 10, 0]   |0.24936218626250936 |0.18959806857256437 |274       
 [15, 8, 8, 10, 0]   |0.20851190426831664 |0.14752477598018948 |346       
 [14, 10, 6, 1, 3]   |0.2620850024974577  |0.1990724618124151  |275       
 [19, 3, 20, 5, 20]  |0.3031729860189738  |0.19466955931711047 |443       
 [19, 8, 19, 4, 0]   |0.26309304981471665 |0.16394119085739148 |473       
 [16, 12, 2, 3, 0]   |0.22615981440461777 |0.16905800700511348 |291       
