/tmp/tmp.g6wRXyX9ep ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k4.mat
  Evaluating with: datasets/N10dataset100k4.mat
Gen 0 Train time: 8.2975603501002 minutes:
 Average MSE:        1.4640219310490397
 Average Error:      1.7209039459832058
 Structure           |Error               |MSE                 |weights&biases
 [8, 19, 11, 0, 0]   |1.2970212143248077  |0.846259068813309   |427       
 [20, 12, 16, 10, 0] |0.274881319516435   |0.13636558976336086 |701       
 [18, 6, 12, 5, 6]   |0.2614716562828445  |0.1824225845271224  |360       
 [5, 0, 0, 0, 0]     |3.055878883829295   |2.992374556472998   |21        
 [17, 13, 3, 14, 0]  |0.23523178591275762 |0.15799625829671857 |398       
 [5, 0, 0, 0, 0]     |2.5568620819445558  |2.503727840428661   |21        
 [1, 6, 3, 0, 0]     |3.0828993306405184  |2.962017118849176   |40        
 [20, 5, 3, 5, 0]    |0.20262602749916658 |0.16440979333017464 |209       
 [4, 0, 0, 0, 0]     |1.5479808011266607  |1.5218875485637646  |17        
 [16, 1, 0, 0, 0]    |0.1617009531509138  |0.15122195543831748 |67        
 [5, 16, 2, 15, 4]   |4.521969921311787   |3.4901604947795613  |259       
 [3, 2, 1, 0, 0]     |2.5810945666439347  |2.524930555563164   |22        
 [1, 20, 0, 0, 0]    |3.159606957248927   |2.9637271224515693  |64        
 [5, 3, 11, 13, 0]   |1.330153320109678   |1.039036886973537   |247       
 [19, 11, 14, 13, 18]|0.39066956769278705 |0.15709678922528586 |911       
 [6, 20, 16, 0, 0]   |0.8391577194205446  |0.5034068418090689  |511       
 [6, 11, 10, 0, 0]   |0.28640352365777383 |0.22846927520263938 |226       
 [20, 0, 0, 0, 0]    |0.18147800942696649 |0.16735787542947358 |81        
 [5, 20, 1, 12, 2]   |4.349286737318207   |3.5289905371070702  |209       
 [13, 20, 0, 0, 0]   |0.4515707131316542  |0.32141463223585937 |340       
 [17, 20, 12, 7, 0]  |0.35180851201378377 |0.16420030058434587 |762       
 [11, 0, 0, 0, 0]    |0.5860176381378425  |0.5602313863695582  |45        
 [6, 9, 7, 14, 1]    |4.681536598549955   |3.5382292462139957  |280       
 [1, 0, 0, 0, 0]     |3.5564214165016286  |3.538683690687237   |5         
 [4, 13, 7, 15, 0]   |3.0788693941867282  |2.255930327110021   |311       
Gen 1 Train time: 8.878798886140187 minutes:
 Average MSE:        0.6790214465283266
 Average Error:      0.9778062862997986
 Structure           |Error               |MSE                 |weights&biases
 [16, 1, 0, 0, 0]    |0.19654112589182626 |0.1838043177993632  |67        
 [20, 0, 0, 0, 0]    |0.2078624004566659  |0.1916893943896701  |81        
 [20, 5, 3, 5, 0]    |0.20014669985587435 |0.1623980786928083  |209       
 [6, 1, 0, 0, 0]     |0.9431077689712578  |0.9179845488971109  |27        
 [17, 7, 2, 7, 0]    |0.18638909581146607 |0.14928189057984803 |222       
 [13, 14, 15, 13, 3] |4.4790316366824845  |2.1932991480151838  |714       
 [19, 6, 8, 5, 3]    |0.2119134728622664  |0.15698936190430768 |300       
 [17, 4, 6, 3, 3]    |0.9696480757294913  |0.8018593329351079  |190       
 [15, 17, 2, 7, 0]   |0.2204237210868129  |0.15043809925087442 |382       
 [18, 17, 7, 11, 8]  |0.3576207532729489  |0.17830098985764864 |696       
 [17, 4, 6, 3, 10]   |0.22203412736772202 |0.1772978518212113  |225       
 [4, 16, 12, 7, 9]   |2.7220364968245145  |1.7029811147715919  |469       
 [12, 4, 6, 3, 3]    |1.0309772326799467  |0.8829445497071614  |155       
 [20, 6, 8, 5, 0]    |0.14562103556102407 |0.1086365166797814  |293       
 [19, 20, 2, 7, 0]   |0.24409630918354247 |0.14396394081117414 |528       
 [11, 18, 5, 0, 0]   |0.26795299871987316 |0.18882328680230828 |350       
 [1, 7, 2, 7, 0]     |1.9306511117321632  |1.8145859402812505  |62        
 [18, 7, 8, 5, 0]    |0.17900772173015955 |0.13234722258425996 |302       
 [18, 1, 0, 0, 0]    |0.20753009040062706 |0.1925346895863575  |75        
 [5, 17, 6, 5, 12]   |2.3320849708439795  |1.6516300423680672  |345       
 [17, 19, 9, 7, 0]   |0.30541348194052415 |0.15928045828785709 |651       
 [19, 20, 8, 5, 3]   |3.042129796597095   |1.5228108356415055  |692       
 [17, 11, 6, 4, 0]   |0.20806901745092557 |0.1460384348310373  |354       
 [19, 9, 3, 10, 0]   |0.20861077367162853 |0.151785780616803   |318       
 [11, 5, 4, 7, 1]    |3.426257242170147   |2.9138303360958764  |162       
Gen 2 Train time: 8.997967847188313 minutes:
 Average MSE:        0.4017269850960449
 Average Error:      0.5464122062165568
 Structure           |Error               |MSE                 |weights&biases
 [20, 6, 8, 5, 0]    |0.17424587629738078 |0.12999128164303525 |293       
 [18, 7, 8, 5, 0]    |0.17180701733462475 |0.12702346773062373 |302       
 [17, 7, 2, 7, 0]    |0.1739795904704286  |0.1393429270884181  |222       
 [20, 7, 12, 8, 0]   |0.20029598159825193 |0.13213130731767103 |416       
 [16, 12, 2, 7, 0]   |0.22568278469523728 |0.1660236761754736  |307       
 [17, 13, 6, 7, 0]   |0.2530042804992456  |0.16524123022054069 |426       
 [4, 7, 5, 6, 0]     |0.4354667654909416  |0.3823813770953514  |130       
 [1, 7, 19, 8, 3]    |5.072071119894879   |3.53866394449924    |360       
 [19, 4, 4, 3, 0]    |0.17744446107667128 |0.14880811610245198 |176       
 [18, 16, 4, 6, 0]   |0.2679404016988727  |0.16863971478054812 |463       
 [20, 13, 5, 6, 0]   |0.2174915916948918  |0.13923458756292745 |446       
 [18, 9, 7, 5, 0]    |0.23273513351811762 |0.1654883899406657  |341       
 [19, 6, 3, 2, 0]    |0.16033133021908955 |0.13009207746413978 |209       
 [18, 7, 5, 6, 2]    |2.902343243594107   |2.1935438356323003  |280       
 [19, 8, 6, 8, 0]    |0.19113881750379122 |0.13659221540656785 |336       
 [16, 11, 4, 5, 5]   |0.21246560794190283 |0.1506230156856408  |344       
 [18, 13, 3, 6, 0]   |0.19627073575407147 |0.13502973466648777 |374       
 [17, 10, 15, 4, 15] |0.25991279371455855 |0.14980675536536003 |551       
 [18, 1, 0, 0, 0]    |0.9022265757582275  |0.8370348288522103  |75        
 [18, 7, 17, 6, 12]  |0.292801654867954   |0.17268954312262091 |528       
 [18, 9, 4, 6, 4]    |0.19867878687059778 |0.1431208508614898  |328       
 [20, 6, 6, 5, 0]    |0.15162891068367393 |0.11586620946021257 |269       
 [18, 12, 5, 6, 0]   |0.2140054956926225  |0.14489389203907743 |390       
 [18, 1, 8, 0, 0]    |0.1603685398372878  |0.145397960840094   |98        
 [18, 3, 3, 2, 5]    |0.21596765870649182 |0.18551368784797512 |152       
Increasing Epochs
Gen 3 Train time: 10.410053634643555 minutes:
 Average MSE:        0.47779723477850516
 Average Error:      0.6544488008808328
 Structure           |Error               |MSE                 |weights&biases
 [20, 6, 6, 5, 0]    |0.16669245562084525 |0.12737691573010562 |269       
 [19, 6, 3, 2, 0]    |0.17698131457400745 |0.14360179544325752 |209       
 [18, 1, 8, 0, 0]    |0.14951740234560157 |0.13555978892877357 |98        
 [18, 10, 7, 10, 0]  |0.23056630870446312 |0.15270966349469367 |412       
 [17, 6, 6, 14, 3]   |4.014436661084768   |2.83458921502578    |348       
 [19, 10, 7, 6, 0]   |0.2093709264964319  |0.14189785203120808 |389       
 [18, 7, 3, 5, 0]    |0.17099643788974378 |0.13491469977705214 |237       
 [19, 4, 4, 3, 0]    |0.1657851136554506  |0.13903037768104157 |176       
 [19, 9, 6, 6, 18]   |0.21520699323960696 |0.13263491107741865 |484       
 [18, 9, 4, 6, 0]    |0.1864314221505717  |0.1378358468874071  |302       
 [18, 10, 7, 6, 0]   |0.17588587101319392 |0.12076364938683617 |376       
 [19, 13, 4, 6, 0]   |0.20890858856546463 |0.13864223705709602 |410       
 [19, 7, 5, 6, 0]    |0.17825583956566235 |0.13472286536326783 |280       
 [19, 5, 7, 4, 0]    |0.18359321379686372 |0.14499837212197617 |236       
 [18, 1, 8, 20, 8]   |1.3257544571853712  |0.8487264892284724  |446       
 [18, 10, 6, 6, 0]   |0.18906282434518143 |0.13203662731676258 |359       
 [12, 14, 8, 8, 17]  |0.4902843718689086  |0.2742350467519535  |581       
 [1, 4, 7, 3, 0]     |3.2062373543138087  |2.977541874687812   |74        
 [19, 5, 8, 13, 3]   |2.1248102558635735  |1.4706176859116067  |368       
 [18, 7, 3, 3, 0]    |0.1630795027526911  |0.12996144490916156 |227       
 [18, 11, 6, 8, 0]   |0.23285629690800197 |0.15608824366306037 |400       
 [19, 5, 5, 4, 3]    |0.20106946398391723 |0.15975644557255614 |230       
 [19, 7, 8, 5, 0]    |0.18707664035469582 |0.13693664510264866 |312       
 [19, 6, 3, 10, 0]   |0.17375649729933834 |0.13545708554003694 |249       
 [18, 20, 6, 3, 2]   |1.6346038084426562  |0.9042950907726451  |592       
Increasing Epochs
Gen 4 Train time: 11.803771062692006 minutes:
 Average MSE:        0.1741186002143154
 Average Error:      0.2565580683791512
 Structure           |Error               |MSE                 |weights&biases
 [18, 1, 8, 0, 0]    |0.1610836634764378  |0.14604632690357783 |98        
 [18, 7, 3, 3, 0]    |0.1969100303451526  |0.15692169542343412 |227       
 [19, 4, 4, 3, 0]    |0.19067709699053512 |0.15990524254677022 |176       
 [5, 15, 7, 3, 17]   |1.3182691418010926  |0.9505824470864048  |327       
 [20, 8, 5, 19, 0]   |0.18370103271030278 |0.12227952517600275 |407       
 [18, 4, 6, 3, 0]    |0.1720174823707797  |0.14296446649581254 |185       
 [19, 12, 6, 6, 0]   |0.20614578214714696 |0.13490672299187378 |424       
 [18, 10, 7, 10, 0]  |0.1778598201629092  |0.1178008766281595  |412       
 [19, 8, 7, 6, 9]    |0.21386141210515494 |0.1432123076698759  |401       
 [12, 16, 13, 11, 18]|0.4729873835007103  |0.20135483799096016 |854       
 [11, 17, 11, 10, 8] |0.3216436776559128  |0.1675772336967419  |652       
