/tmp/tmp.vO85Sb612M ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k5.mat
  Evaluating with: datasets/N10dataset100k5.mat
Gen 0 Train time: 8.420968973636628 minutes:
 Average MSE:        0.928357095273891
 Average Error:      1.1245024077952608
 Structure           |Error               |MSE                 |weights&biases
 [2, 1, 10, 8, 6]    |4.035235307885177   |3.3772596179288654  |178       
 [1, 4, 1, 10, 14]   |2.345311279750567   |1.9106015401982197  |205       
 [16, 1, 0, 0, 0]    |0.8937618704439426  |0.8358418123769569  |67        
 [20, 8, 16, 7, 12]  |0.250622440612693   |0.13754451167453002 |600       
 [15, 4, 15, 15, 0]  |0.22976523805069152 |0.1479771816034834  |440       
 [6, 0, 0, 0, 0]     |1.025477330596508   |1.0001582050911295  |25        
 [11, 0, 0, 0, 0]    |1.0995364929087148  |1.0511541184043294  |45        
 [8, 4, 11, 13, 19]  |1.6183249076126867  |0.9271792250183843  |557       
 [20, 14, 20, 0, 0]  |0.3139265085055844  |0.15983769740452866 |675       
 [16, 4, 13, 17, 0]  |0.23555667770295136 |0.15216288427410662 |437       
 [1, 18, 4, 0, 0]    |3.346810685431583   |2.9683547947326288  |120       
 [18, 0, 0, 0, 0]    |0.21839756613319586 |0.20302255875303182 |73        
 [20, 0, 0, 0, 0]    |0.18919583168242343 |0.17447520242514677 |81        
 [7, 9, 10, 0, 0]    |0.5262778357313322  |0.4291597718287887  |204       
 [18, 20, 3, 19, 0]  |0.28558378732459955 |0.15783267640480392 |593       
 [16, 2, 18, 0, 0]   |0.15177423703642834 |0.12998176014899282 |155       
 [17, 18, 3, 18, 0]  |0.28662370546817784 |0.16989323743920925 |523       
 [13, 1, 16, 2, 7]   |0.9706746556491189  |0.8371400255174557  |148       
 [14, 2, 7, 7, 16]   |0.20589074920936717 |0.1534455351913872  |294       
 [15, 6, 16, 4, 9]   |0.25912033828428604 |0.17791262880470107 |376       
 [6, 4, 0, 0, 0]     |1.3744079719228952  |1.3060705803280581  |51        
 [4, 8, 15, 0, 0]    |1.263816822631965   |1.0316261734621224  |203       
 [6, 8, 18, 18, 9]   |2.0886828879211947  |0.9777841587804682  |759       
 [1, 10, 0, 0, 0]    |2.508954148980869   |2.4250835868469536  |34        
 [2, 0, 0, 0, 0]     |2.38883091740456    |2.36742789720899    |9         
Gen 1 Train time: 8.819380946954091 minutes:
 Average MSE:        0.5273845124781993
 Average Error:      0.7224864633026041
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 18, 0, 0]   |0.1909392279734784  |0.16352325281349067 |155       
 [20, 0, 0, 0, 0]    |0.21430386610836977 |0.19762967337732854 |81        
 [14, 2, 7, 7, 16]   |0.26257667483413905 |0.1956922229552324  |294       
 [17, 1, 9, 0, 0]    |0.154397921280805   |0.14012476079288683 |97        
 [18, 3, 8, 2, 5]    |0.20396471636991662 |0.17002526096347775 |182       
 [17, 5, 12, 3, 14]  |0.2072558960867018  |0.15004784993036563 |323       
 [18, 10, 2, 10, 0]  |0.2513143058858787  |0.18487952014153594 |307       
 [18, 0, 0, 0, 0]    |0.1770454489599563  |0.1645815963054645  |73        
 [2, 1, 4, 12, 8]    |3.2948631626726916  |2.724717187465697   |190       
 [2, 14, 7, 9, 0]    |2.2814849741216627  |1.8036755144065566  |235       
 [18, 2, 8, 8, 0]    |0.17658331745484057 |0.14500856629319064 |197       
 [12, 6, 16, 0, 0]   |1.3362935797456486  |1.0480169886303319  |243       
 [16, 4, 14, 16, 0]  |0.22081684004825533 |0.14178808444133764 |443       
