/tmp/tmp.StNNqsbKLN ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k2.mat
  Evaluating with: datasets/N2dataset100k2.mat
Gen 0 Train time: 8.273492109775543 minutes:
 Average MSE:        0.6378125580375236
 Average Error:      0.8802024886684658
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.36520258369401687 |0.3449681946746997  |57        
 [11, 12, 20, 18, 5] |1.4043352290285513  |0.5618974293592458  |916       
 [7, 16, 5, 0, 0]    |0.7528986365619127  |0.5922510440786217  |240       
 [7, 11, 0, 0, 0]    |0.4901398820247523  |0.4342805804247762  |121       
 [10, 18, 3, 0, 0]   |0.5804738214042748  |0.43478197714853106 |289       
 [11, 0, 0, 0, 0]    |0.4869727669879937  |0.4655447389618189  |45        
 [20, 7, 19, 0, 0]   |0.3820247262658673  |0.2615133502953354  |379       
 [6, 13, 0, 0, 0]    |0.5656398283108219  |0.5001747462724013  |123       
 [20, 15, 19, 0, 0]  |0.8360877523306026  |0.41560428704151714 |699       
 [10, 19, 19, 17, 0] |1.2879221834952859  |0.48482378174098645 |977       
 [15, 0, 0, 0, 0]    |0.4651690059518302  |0.4376418112229869  |61        
 [9, 1, 17, 0, 0]    |0.520946940633445   |0.47658600270566004 |89        
 [20, 7, 0, 0, 0]    |0.5599374729466772  |0.451612775839666   |215       
 [8, 13, 0, 0, 0]    |0.47184565307126525 |0.4040957787198992  |155       
 [8, 15, 7, 0, 0]    |0.6005441936935492  |0.4543356461732763  |279       
 [6, 18, 0, 0, 0]    |0.6697731309536399  |0.569033350295064   |163       
 [16, 6, 6, 0, 0]    |0.44983719534988076 |0.3686640254661772  |199       
 [1, 1, 3, 10, 0]    |3.0084527496874025  |2.8275932551507847  |62        
 [4, 19, 6, 12, 0]   |0.7327309189182084  |0.5299478147067989  |324       
 [17, 17, 0, 0, 0]   |0.4853154494312288  |0.3335521052257058  |375       
 [18, 13, 12, 17, 0] |0.8467667881937515  |0.41714142714546326 |708       
 [1, 16, 18, 0, 0]   |4.079953168077518   |2.846486736846187   |360       
 [19, 14, 0, 0, 0]   |0.4170383051509003  |0.2932947501153317  |352       
 [20, 18, 10, 12, 9] |0.8296079198800174  |0.34170684923103584 |887       
 [6, 0, 0, 0, 0]     |0.7154459146682509  |0.6977814920961218  |25        
Gen 1 Train time: 8.307035867373148 minutes:
 Average MSE:        0.5326604112363035
 Average Error:      0.703152788670264
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.50132715587219    |0.47355065824925724 |57        
 [20, 7, 19, 0, 0]   |0.619407122629257   |0.4240124282501013  |379       
 [19, 14, 0, 0, 0]   |0.43410105670410487 |0.3052946441089214  |352       
 [17, 7, 2, 0, 0]    |0.563710335462232   |0.4633767925644996  |196       
 [7, 8, 4, 0, 0]     |0.7243916087002404  |0.6386343971154547  |126       
 [16, 9, 0, 0, 0]    |0.4380450233729993  |0.3547175000538574  |211       
 [20, 7, 10, 16, 0]  |0.5262669278327252  |0.32564523459973127 |480       
 [12, 11, 6, 0, 0]   |0.5321462878222761  |0.4111336847548916  |258       
 [17, 8, 10, 0, 0]   |0.46683279681304357 |0.34722436525704076 |296       
 [17, 8, 1, 0, 0]    |0.5069742450902045  |0.4125924094779726  |206       
 [12, 9, 2, 0, 0]    |0.5553208361440637  |0.4657020397121924  |176       
 [13, 6, 10, 9, 3]   |3.6853596168534204  |2.6601116889961594  |326       
 [11, 3, 3, 0, 0]    |0.5429863690966941  |0.4987396502778574  |85        
 [13, 7, 0, 0, 0]    |0.48694328046839275 |0.421216793085636   |145       
 [7, 15, 18, 0, 0]   |0.7554659677180451  |0.4826707454017634  |448       
 [13, 0, 0, 0, 0]    |0.5604299745117037  |0.5315005862228636  |53        
 [18, 9, 5, 6, 5]    |0.7093907323914439  |0.49890040080514053 |352       
 [14, 15, 4, 0, 0]   |0.6885798040889594  |0.4920750382002644  |336       
 [13, 4, 18, 10, 12] |0.9631355628418032  |0.5726038825902904  |520       
 [15, 7, 0, 0, 0]    |0.4488398176288425  |0.3805684555114639  |165       
 [18, 7, 17, 0, 0]   |0.6627823690394015  |0.4712773077076145  |341       
 [7, 13, 0, 0, 0]    |0.5177459745690258  |0.45055705869139934 |139       
 [13, 13, 0, 0, 0]   |0.47425917404085227 |0.37493547816569894 |235       
 [16, 17, 0, 0, 0]   |0.5506139926712573  |0.3860759091201251  |355       
 [11, 9, 7, 14, 0]   |0.663763684393421   |0.4733931319873905  |338       
Increasing Epochs
Gen 2 Train time: 9.654768061637878 minutes:
 Average MSE:        0.5711948452030629
 Average Error:      0.806321675956799
 Structure           |Error               |MSE                 |weights&biases
 [19, 14, 0, 0, 0]   |0.5961159549855495  |0.4192365015342802  |352       
 [16, 9, 0, 0, 0]    |0.6174703787273103  |0.500011499760736   |211       
 [15, 7, 0, 0, 0]    |0.4765599925220536  |0.4040722172796335  |165       
 [17, 13, 5, 0, 0]   |0.5837439497771956  |0.4068572734768062  |361       
 [10, 12, 10, 0, 0]  |0.8390572635389577  |0.6197269366529641  |303       
 [16, 7, 0, 0, 0]    |0.42697196239588125 |0.3584246115048285  |175       
 [9, 8, 2, 0, 0]     |0.5177173214191986  |0.4555153346923955  |128       
 [17, 9, 5, 0, 0]    |0.5559744219363295  |0.4248441048355523  |269       
 [18, 11, 1, 7, 0]   |0.5629206107329608  |0.41827478924025285 |297       
 [17, 7, 0, 0, 0]    |0.4171110763871729  |0.3466628024275506  |185       
 [16, 8, 5, 0, 0]    |0.528811806548474   |0.4180631991967337  |235       
 [5, 8, 9, 4, 19]    |1.171525983847033   |0.8687561167193756  |299       
 [17, 7, 15, 0, 0]   |0.524768742160839   |0.38373709682399576 |313       
 [15, 5, 10, 0, 0]   |0.4830458991034578  |0.3970696389741672  |196       
 [17, 7, 10, 5, 0]   |0.5563174223083195  |0.4047781077151534  |318       
 [19, 8, 15, 0, 0]   |0.6206203355543187  |0.4295419975425693  |368       
 [17, 11, 0, 0, 0]   |0.521051583269744   |0.4013560927279114  |261       
 [11, 7, 0, 0, 0]    |0.6189226884804069  |0.5461973555232895  |125       
 [16, 8, 6, 8, 0]    |0.5292957207833378  |0.39093734108333655 |303       
 [14, 14, 2, 0, 0]   |0.72238583699365    |0.5432444465376628  |285       
 [13, 5, 2, 0, 0]    |0.5995163456272584  |0.5296006540068158  |124       
 [15, 9, 2, 0, 0]    |0.5877022821471629  |0.4754303989363214  |212       
 [15, 6, 4, 3, 3]    |0.5484070426637657  |0.4489977110333738  |200       
 [18, 7, 10, 2, 0]   |0.5998024798318257  |0.4479136197372015  |292       
 [14, 18, 9, 10, 2]  |5.95222479717777    |3.2406212821136613  |608       
Increasing Epochs
Gen 3 Train time: 11.304285033543904 minutes:
 Average MSE:        0.6291377111972155
 Average Error:      0.8728648635551324
 Structure           |Error               |MSE                 |weights&biases
 [17, 7, 0, 0, 0]    |0.3645863154019925  |0.3030092485644582  |185       
 [16, 7, 0, 0, 0]    |0.4258798757804472  |0.35750785172821437 |175       
 [15, 7, 0, 0, 0]    |0.4460240638984752  |0.3781809956512234  |165       
 [13, 8, 1, 0, 0]    |0.5781575871543648  |0.49168903483363274 |162       
 [17, 7, 10, 18, 2]  |2.9283181202359514  |1.7832334080823855  |496       
 [13, 10, 5, 0, 0]   |0.497622199045403   |0.39144348605432006 |240       
 [18, 7, 18, 8, 9]   |1.075720345303826   |0.6059186916103882  |574       
 [8, 20, 3, 5, 20]   |0.8708977021385145  |0.5676610633758697  |428       
 [18, 11, 2, 10, 0]  |0.6347647549546565  |0.45726105568163194 |328       
 [17, 10, 4, 8, 0]   |0.5825135399372832  |0.42130305894918    |324       
 [3, 9, 7, 12, 3]    |5.057013651425149   |3.9226840322476035  |254       
 [17, 8, 3, 8, 14]   |0.6100016883081723  |0.410945961321325   |395       
 [17, 7, 5, 1, 0]    |0.6723524472719055  |0.5368843338691753  |225       
 [16, 7, 9, 0, 0]    |0.6058837232404577  |0.47233481683801914 |249       
 [17, 11, 6, 4, 0]   |0.6937996342045616  |0.48696059560851096 |354       
 [17, 7, 5, 3, 0]    |0.5677802045980709  |0.4470785830171307  |239       
 [14, 8, 11, 17, 10] |0.8218402390292158  |0.4264717038675526  |656       
 [18, 11, 8, 0, 0]   |0.5307171930860648  |0.36731848795248095 |368       
 [16, 8, 6, 8, 0]    |0.5451889328112947  |0.40267605312561    |303       
 [14, 8, 0, 0, 0]    |0.46605545618123395 |0.3928015929037012  |171       
 [17, 8, 11, 4, 0]   |0.5946784973030785  |0.4203219304941276  |347       
 [17, 11, 5, 0, 0]   |0.6229044343032092  |0.4545887258873426  |315       
 [18, 11, 2, 0, 0]   |0.5309690464216584  |0.39730479294925897 |290       
 [16, 9, 3, 0, 0]    |0.5197291983337438  |0.41088275390356943 |235       
 [14, 10, 10, 1, 0]  |0.5782227385095784  |0.42198052141367637 |315       
Gen 4 Train time: 11.43589387734731 minutes:
 Average MSE:        0.5064895730290826
 Average Error:      0.8238466584997322
 Structure           |Error               |MSE                 |weights&biases
 [17, 7, 0, 0, 0]    |0.4725105349016798  |0.3927055297220455  |185       
 [16, 7, 0, 0, 0]    |0.4382014292671683  |0.36785126630942566 |175       
 [15, 7, 0, 0, 0]    |0.4313773881736972  |0.3657621715183668  |165       
 [17, 17, 3, 2, 0]   |0.5555038652479634  |0.36426279345771717 |422       
 [14, 8, 6, 9, 5]    |0.8875473900302003  |0.6348964515314126  |335       
 [17, 10, 6, 0, 0]   |0.4469343565275487  |0.32977537155395453 |304       
 [17, 8, 8, 4, 0]    |0.5217548342163902  |0.38344561991090736 |308       
 [17, 10, 4, 4, 0]   |0.5740262925239593  |0.4252491366521228  |300       
 [15, 10, 7, 1, 0]   |0.6411929715178435  |0.4788227366167864  |292       
 [16, 7, 2, 4, 0]    |0.5478812810493262  |0.4485672538308442  |200       
 [16, 10, 4, 0, 0]   |0.47343368273366787 |0.3624954219938509  |267       
 [17, 18, 14, 13, 2] |5.88838339252418    |2.474359299269306   |867       
 [16, 8, 3, 4, 0]    |0.47495764259785495 |0.3766158214328505  |232       
 [17, 7, 19, 0, 0]   |0.5650503917346453  |0.3985826645859654  |349       
 [17, 9, 3, 0, 0]    |0.5690548382805171  |0.44451189103182837 |247       
 [16, 7, 11, 19, 0]  |0.748509891720633   |0.45263425676391744 |503       
 [17, 9, 20, 20, 5]  |1.0534811762319538  |0.409876282944008   |944       
 [17, 7, 4, 0, 0]    |0.48995390923278737 |0.39556349735464036 |214       
 [16, 10, 7, 5, 0]   |0.5554001544703837  |0.3949222274553823  |341       
 [16, 8, 2, 0, 0]    |0.5124826865399265  |0.41749264529706326 |205       
 [15, 10, 3, 0, 0]   |0.5343284513197535  |0.4194778515502745  |242       
 [16, 10, 10, 5, 0]  |0.6162330907980236  |0.4176422839504517  |389       
 [17, 6, 19, 10, 4]  |1.0339452411758983  |0.6019275537278069  |541       
 [17, 15, 7, 15, 14] |0.9481429010867171  |0.4294499614464179  |792       
 [16, 9, 5, 1, 0]    |0.6158786685905869  |0.475349335819718   |259       
Result:  [15, 7]
Fold 0
Fold 0 Train time: 18.415985016028085 minutes, MSE: 0.12712186895499933
Fold 1
Fold 1 Train time: 18.163557954629262 minutes, MSE: 0.08567687845199727
Fold 2
Fold 2 Train time: 18.069188590844472 minutes, MSE: 0.04139467575991854
Fold 3
Fold 3 Train time: 18.038441483179728 minutes, MSE: 0.04109141026573978
Fold 4
Fold 4 Train time: 18.040840073426565 minutes, MSE: 0.048104739907967625
Total Time: 139.7090784072876 minutes
CellsPerSensor: 2
 Resulting Network Architecture: [15, 7]
 MSE after 5-Fold CV: 0.06867791466812452
 Weights and Biases: 165
 Objective Function Value: 0.08099825996703414
~/workspace/SolarCellResearch
