/tmp/tmp.KWnVKjPIp7 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k4.mat
  Evaluating with: datasets/N2dataset100k4.mat
Gen 0 Train time: 8.273846971988679 minutes:
 Average MSE:        1.2189034574031141
 Average Error:      1.6028173690278116
 Structure           |Error               |MSE                 |weights&biases
 [11, 4, 15, 0, 0]   |0.4928476316298732  |0.414967441377774   |172       
 [18, 11, 20, 0, 0]  |0.6846539899744973  |0.40541595381795104 |524       
 [5, 19, 18, 6, 17]  |1.4544882056226691  |0.6939565628637951  |740       
 [20, 4, 14, 0, 0]   |0.5685224387368996  |0.452162117465358   |229       
 [2, 16, 3, 12, 14]  |4.054088559108988   |2.8568679222690037  |350       
 [16, 15, 7, 9, 0]   |0.7749811762869482  |0.47146211099166013 |497       
 [13, 13, 11, 0, 0]  |0.7440240010673073  |0.5052600735364948  |387       
 [2, 0, 0, 0, 0]     |3.3392070720932048  |3.3092890415283414  |9         
 [2, 0, 0, 0, 0]     |2.8665119743259115  |2.840829112792958   |9         
 [5, 6, 0, 0, 0]     |1.4701156866693241  |1.3872745904515207  |58        
 [4, 3, 11, 10, 0]   |1.4745370552641708  |1.2048367489192355  |202       
 [17, 9, 8, 20, 2]   |6.7958069996922585  |4.048335481042931   |518       
 [5, 5, 0, 0, 0]     |1.4163081243756614  |1.3458874014959787  |51        
 [13, 6, 18, 0, 0]   |0.7330607231536077  |0.5607238511610869  |268       
 [15, 0, 0, 0, 0]    |0.40827452581524315 |0.3841141620955112  |61        
 [4, 16, 17, 18, 0]  |1.8315530665832729  |0.8879536593222639  |724       
 [4, 0, 0, 0, 0]     |0.8837840690947116  |0.8688867261114084  |17        
 [5, 18, 8, 16, 0]   |0.7852313950208969  |0.5077445389815253  |436       
 [19, 0, 0, 0, 0]    |0.405406504298809   |0.37536176891634526 |77        
 [15, 0, 0, 0, 0]    |0.4589276614314516  |0.431769809250766   |61        
 [16, 17, 13, 12, 0] |0.9393937873164439  |0.4428516154560872  |752       
 [1, 2, 15, 7, 5]    |4.9984246787033655  |4.051644299225543   |210       
 [20, 1, 14, 0, 0]   |0.6070503011030236  |0.536255998396215   |124       
 [4, 19, 9, 0, 0]    |1.1850230540180253  |0.8805242847989533  |297       
 [9, 10, 0, 0, 0]    |0.698211544308721   |0.6082111628091404  |138       
Gen 1 Train time: 8.105530989170074 minutes:
 Average MSE:        0.5881679406163044
